@relation education-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {bildung,bildungssystem,ausbildung,bildungsbereich,primarstufe,grundbildung,aufklärungskampagne,schwerwiegenderer,kultur,schulen,schulbildung,bildungswesen,bildungsminister,aufenthaltsland,erziehung,umwelterziehung,lernen,erwachsenenbildung,grundvik,bildungsniveau,leisteten,unterrichtsmethodik,bildungsanstrengung,erziehungssysteme,volksbildungstradition,bildungseinrichtung,ausbildungsstand,aufklärung,grundschulbesuch,bildungsbudgets,bildungspolitische,primärschulbildung,unterrichtssprache,hochschule,weiterbildung,tiefem,sprachunterricht,hochschulbereich,bildungsministern,interkulturalität,bildungsmaßnahme,erbauung,hochschuleinrichtung,hochschulwesen,kulturausschuß,bildungspolitik,sexualerziehung,erwachsenenbildungseinrichtungen,aufklären,bildungspolitiken,lebenslange,bildungsmäßigen,qualitätsverlust,hochschulraum,hochschulraums,bildungsinhalt,auffällt,körperertüchtigung,bildungssektor,hochschulbildung,hochschulstandort,unterricht,bildungsmöglichkeit,kultusminister,lehrmaterial,bildungsziel,postgradualen,fortbildung,grundschulbildung,grundausbildung,ausbildungssystem,bildungsprogramm,unterdrückungskräfte,schulische,hochschulausbildung,schulalter,konsenspapier,sportlehrer,bildungsstand,vorschulbildung,hochschulzugang,sekundarschulbildung,bildungsreserven,bildungskampagne,gleitende,mechanischer,medienerziehung,darüberhinaus,hochschuldozent,schulrecht,bildungsausgabe,allgemeinbildung,eu-bildungsprogramme,bildungsbehörde,erziehungsprogrammen,erziehungsbereich,schwersten,allgemeine,zugangsbestimmungen,risikobereite,bildungszusammenarbeit,bildungsausschuß,unterrichtung,ausbildungsniveau,gastgeberorganisationen,volksbildungsniveau,ader,bildungsgemeinschaft,sprachlehrer,shanagolden-grundschule,kulturminister,arbeitssituation,bildungsfrage,gründerwelle,weiterzubilden,weiterbildungswilligen,bildungs-und,gesundheitserziehung,ausbildungsqualität,oberstufe,bildungsproblemen,lehrinhalt,aufschrei,schulung,bildungsaufwendung,schulwesen,ausbildungsgang,bildungsthematik,dunfermline,unbekleidet,bildungspraxen,schulbesuch,fremdsprachenunterricht,medienkunde,kultusministerium,ungewollter,betätigung,bildungsangebot,bildungsmodells,bildungsgrundlage,bildungsform,großaffen,bildungsmärkte,schulpflichtalters,ausbildungsangebot,erzieherische,bildungspolitischen,wähleraufklärung,unesco,leibeserziehung,erziehungskampagne,berufsbildungsprogrammen,bildungszugangs,bildungsgrad,bronzemedaille,kindereinrichtung,schule,sokratiker,hinzuweisen,hochschuldiplom,ausbildungspolitik,erzieherisches,unterrichtswesen,tastatur,verkehrserzieherischer,berufsberatung,fachschule,aufklärungsprogramm,bildungs-euros,schulischen,kunsterziehung,ausbildungsmaßnahme,bildungskampagnen,ausbildungsangebots,erziehungspolitiken,primarbildung,grundschulunterricht,bildungspolitischer,hochschulstudium,sexualaufklärung,bildungsministerium,bildungsdefiziten,pflichtschulunterricht,kooperationsprogramm,spielbezogenen,weiterbildungsmaßnahme,lehrplan,ausbildungsprogramm,bildungshaushalt,bildungsprozeß,lehre,erziehungswesen,erzogen,erwachsenenbildungsprozess,studieren,auslandsaufenthalt,weltbildungsforum,unterrichtsvorschlägen,bildungsvermittlung,hochschulkurs,schulbildungsniveaus,anfällig,schulabschluß,bildungsinstitution,bildungsförderung,bildungsstandard,bildungsmängeln,gendersensitive,studentin,partizipatorische,schulunterricht,schulzeit,ausgrenzendes,bildungsebenen,bildungskosten,diplomanerkennungsrichtlinie,erziehungsauftrag,pädophil,bildungsdiskussion,hochschulabschluß,bildungswelt,pädagogik,erziehungsprozeß,information,ausgebildetes,ausbildungsstufen,verkehrserziehung,bildungskooperation,schulischer,hochschulpolitik,bildungsbegriff,ausbildungsbereich,entwicklungserziehung,verbraucherbildung,bildungsnetzwerke,bildungsraumes,bildungsraum,lehrinstitut,erzieherischen,bildungskonzepte,fernausbildung,bildungsfeld,bildungsreform,turbo-computer,rektor,erziehungsfrage,elementare,erstausbildung,bildungsleistungen,bildungsinitiative,education,gesellschaftsleben,bildungsmarkts,schulpflicht,lernzentrum,sekundarausbildung,erwerben,gesundheitsaufklärung,ausbildungsabschlusses,ausbildungskomponente,wahlbeobachterorganisationen,sprachausbildung,berufsschule,bildungsstufe,beruflichen,sekundarschulabschluss,erziehungsbedürfnissen,ausbildungsniveaus,sexualkunde,volksbildungsvereinen,studium,verstärkte,erziehungsmaßnahme,abgelegt,berufsausbildung,computertechnik,sexualkundepolitik,hochschuldiplomen,bildungsproblem,partneruniversität,hochschulsystem,rationalisierung,unterrichtssektor,universitätsabschnitt,bildungsetats,hineingekniet,unternehmungsgeistes,aktives,universitätsabschluß,weiterbildungsstätte,aufklärungspolitik,multimediaeinsatzes,erwachsenenbildungsinstitutionen,beratung,unterrichtskosten,hochschulgesetz,sekundarbereich,bildungsbereichen,bildungsnetzen,grundschulausbildung,heranführens,bildungsthemen,pädagogisches,ungeteiltem,hochschulnetzes,hochschulbildungsmarkt,bildungsmotivation,schulbindungsniveau,bildungsmarkt,geschichtslehrer,lernanbieter,reichhaltig,universitären,feminisierung,schülergeneration,bildungsministerin,bildungsprozesses,geschult,religionsunterricht,erziehungsaktionen,ausbildungsplatz,bildungsweg,anfangsbildung,erziehungswissenschaft,multimedia-technologie,fortbildungskurs,ausbildungsaufgaben,gesundheitserziehungsinitiativen,weltraumaktivität,ausgebildet,bildung-jugend,verständlichere,gesellschaftkunde,bewußte,bildungsqualität,bildungsphase,weiterbildungssysteme,leonardo,bildungsraums,ausbildungsfrage,bildungssektors,schulausbildung,hochschulsektor,ausbildungsstätte,märtyrertum,bildungsarbeit,unterweisen,hochschulbildungsgänge,einsicht,berufsbildungssystemen,bildungsarten,hochschulstudent,wahlprüfungsausschüssen,aufgeklärt,hochschulangebots,hochschulnachweis,schulungsmaßnahme,bildungsprojekt,unterrichtsangebot,umerziehung,schulsystem,hochschulstudien,erzieherischer,bildungszeiten,ausbildungsinitiative,ausbildungsstruktur,verkehrstelematik,bewußtseinsbildungsprozeß,universitärer,energiebörse,bildungsvielfalt,primarschulbildung,zeitliche,volksbildung,safer,grundschule,fachhochschule,bildungsaspekte,bildungschance,volksbildungsministerium,aufenthaltsfreiheit,erstbildung,vorschule,bildungsmodell,differierte,toleranter,bildungsanbieter,elternorganisationen,hochschulausbildungskurse,europahäuser,erziehungsprogramm,bauingenieur,bildungsstrategien,unternehmenspotenzials,anzutun,produktivem,ausbildungsproblem,derschulbildung,hochschulausbildungen,multimedia-bildungsmaterialien,elternbildung,bildungspaket,consultancy,ausbildungsministerium,schattenbildungssystem,verkehrsunterricht,straßenverkehrserziehung,bildungskongreß,monfils,gesundheitsvorsorge,wählerinformation,volksbildungsarbeit,ausbildungsmöglichkeit,assoziationsvorhaben,programm,anerziehung,berufliche,friedenserziehung,weiterbildungseinrichtung,sportunterricht,pr-veranstaltungen,erziehungsziels,sekundarstufe,bildungsdefizits,bildungskrise,hochschulstruktur,erzieht,pflichtschulzeit,sporterziehung,partner,erziehungsrat,holocaust-mahnmal,bildungsabbau,internet-schulungsprogramme,bildungsmangel,bildungsstrategie,bürgererziehung,bildungsportal,vorschulerziehung,medienunterricht,untergeordneter,zukunftsbedarf,bildungsanstalt,weiterbildungsstruktur,bildung-ausbildungjugend,berufsbildungsprogramme,gesinnung,interventionsbereiche,bildungstouristik,volksbildungstraditionen,hinausgelangt,allgemeinbildenden}

@data
1,insist:today:matter:urgenc:right:duti:rememb:recal:date:histori:countri:teeter:brink:horror,bildung
2,social:democrat:polici:economi:futur:remind:problem:internet:economi:europ:lag:lack:entrepreneuri:spirit:behaviour:govern:way:institut:function,bildungssystem
3,exampl:countri:right:free:general:refer:right:european:union:charter:step:subvert:right,bildung
4,exampl:state:respect:basic:right:languag,bildung
5,requir:care:mixtur:first:absolut:necessari:legisl,bildung
6,research:lifelong:learn:receiv:boost,bildung
7,develop:employ:polici:combat:social:exclus:right:invest:econom:growth:train:way:give:exclud:societi:foothold:labour:market:enabl:help,ausbildung
8,urg:commiss:council:link:poverti:erad:basic,bildung
9,million:children:africa:seen:schoolroom:manag:doubl:budget:year:budget:simpli:shift:figur:welcom:bonus,bildungsbereich
10,major:programm:financ:edf:devot:primari,primarstufe
11,fund:alloc:head:repres:total:devot,bildung
12,specifi:balanc:approach:mean:prioritis:basic:said:level:educ:neglect:consequ,grundbildung
13,hand:necessari:guarante:futur,bildung
14,vital:establish:inform:prevent:young:countri:concern:client:famili:men,aufklärungskampagne
15,propos:council:decis:modifi:decis:april:adopt:phase:trans-european:cooper:scheme:higher:tempus:iii:com:cns:committe:cultur:youth:media:sport,bildung
16,line:real:note:offici:specialis:posit:women:ngos:largest:financi:resourc:polit:communic:systemat:milit:favour:notion:reproduct:health:detriment:urgent:need:offer:unfail:support:european:american:deleg,schwerwiegenderer
17,belong:committe:cultur:youth:media:sport:ask:speak:issu:involv:legal:question:subject:consensus:respect,kultur
18,essenti:develop:tool:improv:ensur:meet:modern-day:requir,schulen
19,assess:self-assess:school:key:element:develop,schulbildung
20,point:view:want:realli:effect:prevent:conflict:genuin:aid:develop:local:economi:local:democraci,bildungswesen
21,furthermor:shall:consid:question:moment:french:presid:wish:develop:real:plan:foster:mobil:minist:jacqu:lang:just:set:specif:meet:minist:theme:mobil,bildungsminister
22,right:follow:death:divorc:exampl:relat:automat:right:resid:host:countri:just:given:right:work:receiv:countri,aufenthaltsland
23,short:sport:essenti:factor:promot:integr:social:class,erziehung
24,final:presid:believ:europ:resum:provis:semi-structur:aid:especi:area:health:care,bildung
25,last:lack:genuin:environment:goe:necessari:prevent:awareness-rais:campaign,umwelterziehung
26,true:elit:continu:creat:pass:acquir:new:knowledg:idea:great:major:leav:school:meant:end:formal,lernen
27,access:money:problem:think:quantit:object:requir:connect:expenditur:adult,erwachsenenbildung
28,think:swedish:govern:propos:just:quantit:object:lifelong:adult,erwachsenenbildung
29,help:reflect:implement:adult:compon:grundvik:form:socrat,grundvik
30,need:point:hous:principl:role:particular:term:belong:govern,bildungsbereich
31,final:committe:cultur:youth:media:sport:consid:import:urg:commiss:extend:youth:protect:measur:multimedia:offer:kind:imag:violenc:harm:content:certain:longer:confin:convent:televis,bildung
32,presid:right:start:thank:jutta:haug:budget:rapporteur:cooper:demonstr:deal:appropri:relat:cultur:youth:communic:budget,bildung
33,ensur:aid:health:care:doubl:necessari:ensur:aid:end:need,ausbildung
34,hope:reinforc:flourish:econom:relationship:hong:kong:strengthen:cooper:area:environ,bildung
35,need:activ:context,bildung
36,set:exampl:thing:european:union:demonstr:take:measur:exampl:field:democraci:support:free:press:field:conflict:prevent:polici:help:lid:situat,bildung
37,need:social:agenda:cover:employ:health:environ:right:mention:concret:specifi:barrier:overcom:overcom:guarante:justic:freedom,bildung
38,reason:object:public:subsidi:content:industri:achiev:high:level:cultur:divers,bildungsniveau
39,rapporteur:mrs:gill:succeed:bring:differ:opinion:balanc:manner:import:contribut:mrs:fraiss:committe:committe:cultur:youth:media:sport,leisteten
40,help:new:develop:offer:opportun:challeng:undergo:sea:chang:way:children:taught:taught:learn,unterrichtsmethodik
41,school:associ:organis:learn:exchang:inform:experi:exemplari:solut:provid:good,ausbildung
42,regard:motiv:hand:obvious:key:factor:age:inform:knowledg:societi:human:develop:econom:competit,bildung
43,comparison:intern:extern:generat:competit:european:school:enhanc:result:three-fold:challeng:pose:inform:societi:globalis:rapid:scientif:technolog:chang:taken:account:report:achiev:goal:give:renew:impetus:effort:field:major:step:forward:taken:european:level,bildungsanstrengung
44,thank:mrs:sanders-ten:holt:rapporteur:committe:cultur:youth:media:sport:member:assist:work,bildung
45,need:provid:train:refuge:anomal:situat:live:precis:year:wast:year,erziehung
46,confirm:visit:young:countri:saw:widespread:poverti:problem:face:health:possibl:open:initi:aris:cooper:take:level:auspic:govern:implement:ngos:interest:microcredit:benefit:limit:number:role:particular:difficult:situat:women,bildungswesen
47,twentieth:centuri:women:acquir:right:access:scienc:art:paid:employ:final:recognis:polit:right,bildung
48,wish:draw:attent,bildung
49,believ:mediterranean:trade:area:doe:deal:issu:area:mediterranean:colonis,bildung
50,hand:believ:awar:face:nation:conflict:hand:histori:impregn:system:countri:promot:hate:younger:generat:mean:clear:expect:magic:solut:confront:problem:persever,erziehungssysteme
51,item:debat:report:mrs:tool:behalf:committe:cultur:youth:media:sport:new:frontier:book:product:electron:publish:print:demand:ini,bildung
52,denmark:countri:come:develop:tradit:youth:adult:interf,volksbildungstradition
53,except:current:exist:articl:mean:generous:provis:except:continu:help:vulner:user:ensur:school:librari:research:institut:benefit:privat:copi,bildungseinrichtung
54,bolster:employ:focus:best:obtain:valu:word:train:research:adopt:new:technolog:tool:growth:sustain:growth,bildung
55,inform:centralis:prepar:brussel:direct:target:group:accord:exampl:gender:age:geograph:consider:level:popul:group,ausbildungsstand
56,need:step:effort:train,bildung
57,shock:complet:neglect:nation:health:care:niyazov:regim,bildungswesen
58,member:european:union:cut:redistribut:share:expenditur:budget:sacrif:public:servic:hospit:transport:drastic:limit:social:expenditur:generat:greater:profit:compani,bildungswesen
59,solb:mira:substanti:public:invest:necessari:meet:lisbon:object:particular:train:exampl:transport:ration:energi,bildung
60,duti:just:pontif:right:activ:encourag:access:train:employ:opportun,bildung
61,hope:head:govern:have:realis:tremend:import:european:union:far:import:think:spend:money,bildung
62,lag:far:unit:state:regard:inform:potenti:busi,ausbildung
63,inform:non-credit:learn:effect:way:involv:adult:young:disadvantag:area:threaten:social:exclus:poverti:negat:attitud:formal:like:benefit,bildung
64,need:direct:need:ambiti:object:need:measur:need:programm:fund:cours:shall:need:commiss:parliament:inform:campaign:shall:reach:citizen,bildung
65,good:social:polici:prevent:exclus:issu:equal:high:ignor,bildung
66,help:young:adult:discov:strength:achiev:success,bildung
67,cover:principl:subsidiar:doe:improv:competit:need:taken:greater:consider:educ:polici:differ:countri:point:view:individu,bildung
68,draw:attent:ladi:gentlemen:studi:primari:secondari,bildung
69,cours:need:stabil:know:need:extens:invest:scienc,bildung
70,chancellor:brown:doubt:general:elect:june:mind:decid:promis:consider:increas:public:spend:particular:health:threaten:tax:rise:breach:stabil:growth:pact:agreement:rais:proport:spent:public:sector:desir:current:level:gdp,bildung
71,inform:health:promot:critic:fight:under-ag:bing:drink:health:promot:polici:target:children:parent:teacher:carer:better:label:alcohol:product:integr:adolesc:polici,aufklärung
72,think:stick:propos:approach:stage:intensifi:health:promot:effort:bring:produc:retail:respons,aufklärung
73,given:greec:high:level:unemploy:non-exist:provis:train:lowest:spend:factor:direct:link:poverti:doe:commiss:consid:possibl:meaning:address:basic:caus:poverti:mere:give:social:assist:poor,bildung
74,way:proceed:natur:prevent:mixtur:support:initi:affect:prevent:initi:part:inform:part:effort:vaccin,aufklärung
75,fact:accord:unicef:data:million:children:school:million:start:primari:left:fulli:liter,grundschulbesuch
