@relation execution-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {haushaltsausführung,umsetzung,steinigung,hinrichtung,durchführung,grenzlinie,ausführung,lionel,mittelausführung,ausführungszielen,zarafshan,haushaltsvollzug,beschreitet,exekution,vollstreckung,hingerichtet,vollstreckungsaufschub,ausführungszahlen,haushaltsdurchführung,todesstrafe,ausführungsinstrumente,erfüllung,kurdenproblem,vornahme,meisternden,programmdurchführung,kinderschutzbestimmungen,jackie,ausübung,hungermärsche,ignorierte,galgenfrist,umsetzungsgrad,angedroht,vollzug,realisiert,außergerichtlich,befehl,push,fahndungsliste,tötung,abwicklung,durchführungsmodalitäten,unumstrittenes,hinrichtungsbefehl,finanzvermittlern,überwachenden,vollstreckt,gefolterten,liquidierung,massenhinrichtung,strafvollstreckung,umzusetzen,berichtigungsund,durchführungsrate,durchführungsberichte,wots-abkommen,angeschnittenen,massenerschießung,rassenhaß,bevorzustehen,vollstreckten,durchführungsausschüssen,haushaltsvollzugs,basisinstrumente,maschadows,vermögensverwaltungsgeschäfts,schwerwiegende,einsatz,laogai,amputation,gesetzesgrundlage,geldbeutel,trägheit,inanspruchnahme,massenexekution,umwidmungen,ausgeführt,handelsplattformen,nordkoreanischer,steinigen,ausführungsraten,auzuführenden,abwicklungssätze,umweltverträglichkeitsvermerk,hinrichtungsmoratoriums,turkmenistans,verhaftung,endgültig,bundesebene,verschwindenlassen,bedeutungswandel,unterminierend,argwöhnischen,organentnahme,zwangsverfahren,schatten,geschädigten,programmausführung,todeszelle,totenwache,us-präsident,üblich,rückführungsabkommen,exekutivgewalt,realisierung,ten-programms,geiselerschießung,bewährungsfrist,durchführungsprobleme,ausführungsstandes,durchsetzenden,schafott,massengrab,woraufhin}

@data
1,mutual:consensus:effort:term:budgetari:rationalis:awar:lack:resourc:absenc:financi:autonomi:poor:budget:continu:urgent:issu:resolv,haushaltsausführung
2,connect:particular:keen:women:involv:plan:programm:think:good:step:right:direct,umsetzung
3,remain:necessari:relentless:violat:human:right:death:penalti:stone:spring:mind:constant:disrupt:intern:televis:programm,steinigung
4,presid:eighty-f:percent:took:countri:china:iran:saudi:arabia:democrat:republ:congo:unit:state,hinrichtung
5,awar:situat:turkish:prison:mean:ignor:violenc:intransig:prison:fact:case:turkish:author:lost:control:section:prison:constant:report:authorit:sourc:summari:prison:tri:detach:organis:belong:lot:drawn:select:prison:fast:death,hinrichtung
6,eur:specif:earmark:start:number:state:cover:reconstruct:programm:eur,durchführung
7,divers:institut:role:institut:consequ:apart:messag:common:exist:specif:divers:viewpoint:suggest:limit:respect:mandat,grenzlinie
8,order:guarante:futur:programm:determin:guidelin:scope:shall:soon:begin:draft:new:decis:programm:onward:wijkman:opinion:given:report:discuss:obvious:taken:consider,ausführung
9,worst:far:china:year,hinrichtung
10,believ:parliament:tri:prevent,hinrichtung
11,presid:commission:ladi:gentlemen:report:discuss:confirm:concern:regard:structur:fund:period:ala:regard:new:program:period:end,ausführung
12,french:repres:jacqu:chirac:lionel:jospin:call:stay:presidenti:elect:troubl,lionel
13,servic:compar:work:art:product:mind:confus:mere,ausführung
14,practic:implement:structur:fund:aim:effect:result-ori:appropri:project:accord:timet:optimum:project,umsetzung
15,nation:govern:role:play:free:favour:mep:direct:channel:fund:region,mittelausführung
16,view:spiral:unparallel:ruthless:violenc:recent:week:certain:specif:languag:point:finger:blame:act:palestinian:suicid:terrorist:condemn:provoc:destruct:act:extra:judici:excess:forc:isolationist:measur:use:sharon:govern:relat:palestinian,hinrichtung
