@relation letter-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {brief,hague,schreiben,briefen,berichtigungsschreiben,buchstabe,vocis,sektorschreiben,auffassungsgabe,leserbrief,nichtwirksamkeit,papier,wurde,berichtigungsschreibens,fristsetzungsschreiben,rechtshilfeersuchen,schriftlich,schriftwechsel,rücktrittsgesuch,schriftsätzen,toter,letter,geist,mahnschreiben,gründungsvertrag,inhalt,Ärmelkanals,schriftverkehr,briefwechsel,schriftliche,rechtshilfen,berichtigungshaushalt,antwortschreiben,strikt,schriftlicher,wiedervorgelegten,abwechselnd,wortlaut,wirkungslos,buchstabengetreu,briefentwurf,abstimmanlage,wörtlich,vorfinde,aussagt,rücktrittsschreiben,genauen,beitrittsbedingung,absichtserklärung,brieflich,befriedigend,linke,ko-vorsitzender,reisegenehmigung,zweideutigkeiten,verteidigungsaufwendungen,gehalten,zuschrift,warnschreiben,freundschaft,nichtexportierbarkeit,versandten,agrarausschuß,anfangsgebühr,brandbrief,befolgt,briefbombe,treu,eingehaucht,briefaustausch,verfaßt,leeres,auslieferungsverfahren,lobbybriefen,begleitschreiben,leere,unwirksam,kündigen,intention,kandidaturschreiben,entgegennimmt,gebärden,telegramm,kinnock,rauchverbotsschildern,ausschusse,verwarnung,konsequent,bedrohlichem,feierlicher,abschrift,kürzliches,anzuschreiben,erwiderung,buchprüfer,kondolenzschreiben,protestschreiben,briefeschreibern,mittelsmann,aufforderungsschreiben,exakt,kleingeschrieben,geiste,futtersack,einflußreichen,wortwörtlich,erläuterte,vorlas,rahmenmitteilung,wemheuer,beschwerdebrief,beileidsschreiben,vollstreckungsmacht,euratom-abkommen,stichwort,briefdienst,standardschreiben,setzten,antwortbrief,briefkasten,schreibt,absehbarer,detail,breitband-frage,haushaltstechnischen,mahnungsschreiben,schriftwechsels,text,düngen,unfundiert,anfängliche,literat,wirtschaftsinvestitionsfonds,verfahrensordnung,richtigstellung,auslegung,schriftlichen,wortgetreu,briefsendung,ausgetragen,korrigendum,totgeburt,verstands,subsidiaritätsbrief,genauste,rundschreiben,glückwunschschreiben,rigoroser,worthülse,zustellungsschreiben,unersetzlichen,differenzierten,briefzustellung,briefporto,fristsetzungsschreibens,getreulich,sonderzeichen,fettgedruckter,engen,sprachreglungen,briefeschreiben,freiheitsentzug,beistrich,briefdiensts,taktisches,bekomme,oecd,europa-mittelmeerassoziierungsabkommens,kompetenzerweiterung,gebrauchten,anschreiben,rückwärts,eu-regelwerks,reagieren,briefkästen,geisteswissenschaft,schrift,totes,richtiggestellt,flugzeug-spotter,komma,gatt-abkommen,ausübte,drohbrief,buchstabengetreue,folgeschreiben,standardbrief,aufmerksam,angewendet,amtshilfeersuchen,steuerzahlerin,angeschrieben,versöhnlich,entschließt,lebendiges,chirac-brief,abfertigungsschalter,verwaltungsebene,warnzeichen,verwaltungsschreiben,fehlen,hasina,nichtverbindlichkeit,protestbrief,briefverkehr,strecke,solana-papiers,postwertzeichens,pannella,dankschreiben,erklärungsschreiben,chodorkowskij,beglaubigungsschreiben,schriftstück,scheitert,liebesmühe,hierhergekommen,kleingedruckten,umweltvorschrift,überraschendere,dringlichkeitsantrag,gewandt,auszulegen,leuchtbuchstabe,pulsader,weihnachtswunschzettel,federstrich,briefmarkts,höflichkeitsschreiben,verstoßschreiben,umschlag,zehnmonatige,beschwerdebriefen,buchstäblichen,nachbarstaat,regulierers,unzulässig,pakistan,aschgabad,grundelement,dreiergespräches,unfair,zustellte}

@data
1,yes:mrs:schroedter:shall:pleas:look:fact:case:receiv,brief
2,let:remind:parti:leader:hagu:secretari:wale:broke:rule:book:addit:led:stern:commission:wulf-mathi:regard:regulatori:requir,hague
3,simpli:wish:remind:european:parliament:sent:king:report,brief
4,receiv:contact:british:perman:repres,schreiben
5,presid:ladi:gentlemen:date:august:decemb:council:call:european:parliament:pursuant:articl:treati:deliv:opinion:draft:convent:member:state:aim:guarante:improv:mutual:assist:crimin:matter,schreiben
6,acknowledg:respons:parliamentarian:sent:effect:head:govern:yesterday,schreiben
7,receiv:president-in-offic:confirm:worst:suspicion:obsess:secret:council,schreiben
8,public:post-box:close:possibl:send:post-offic:follow:offici:verif,briefen
9,famili:israel:set:case:motion,brief
10,request:send:avail,schreiben
11,isra:minist:foreign:affair:david:levi:sent:minist:includ:belgian:minist:point:way:guilti:spi,schreiben
12,briefli:point:commiss:propos:includ:propos:amend:budget,berichtigungsschreiben
13,relat:case:commiss:consist:call:republ:china:compli:spirit:unit:nation:human:right:convent:sign:china:ratif:convent:activ:pursu:ratif,buchstabe
14,say:question:prompt:number:receiv:constitu:issu,briefen
15,issu:receiv:year,brief
16,promis:allow:van:hulten:come:year:claim:lost:allow,schreiben
17,right:fear:american:herald:tribun:said:recent:endeavour:destin:remain:unheed:dead:come:boycott:sanction:abhorr:exampl:promot:european:tourism:dozen:state:america:inflict:death:penalti,vocis
18,juli:appear:hous:put:member:health:carpet,schreiben
19,madam:presid:sent:behalf:request:amend:agenda:issu:just:address:dignifi:way,schreiben
20,commission:say:plan:indic:assess:progress:discrep:complaint:post:bag:student:teacher:knock:door:mep:lobbi:suggest:wish:allow:constraint:work:accept:amend:propos:hope,brief
21,evid:rais:issu:includ:problem:mrs:langenhagen:refer:introduct:elaps:sector:sent:report:debat:parliament:length:attribut:work:relat:commiss:court:auditor,sektorschreiben
22,run:counter:spirit:defin:copenhagen:candid:countri,buchstabe
23,council:respons:assert:cem:partnership:agreement:link-up:cyprus:problem:eu-turkey:relat:link-up:constitut:violat:term:helsinki:conclus,schreiben
24,committe:pleas:conclus:bourlang:report:externalis:taken:amend,berichtigungsschreiben
25,realli:quit:dread:contradict:treati:hope:happen,buchstabe
26,communic:speech:presid:tell:presid:receiv:berengu,schreiben
27,sure:understand:observ:courtesi:recognis:basi:person:written:releas:wrote:mrs:gradin,brief
28,simpli:hope:gahrton:power:comprehens:advanc:great:read:did:evid:cours:contribut:have:rudimentari:understand,auffassungsgabe
29,carnero:question:began:point:criteria:rule:procedur:direct:annex:rule:procedur:presid:parliament:sit:send:member,schreiben
30,matter:ask:given:detail:explan:sent:commission:byrn:commission:wallström:member:committe:environ:public:health:consum:polici:state:desir:provid:citizen:better:inform:gmos,brief
31,exampl:know:pierr:sané:secretari:amnesti:intern:commiss:council:end:year:threat:day:akin:birdal:turkish:human:right:associ:persist:declar:turkish:author:situat:kurdish:cyprus:conflict:matter,schreiben
32,januari:newspap:frontier:post:publish:reader:follow:newspap:staff:taken:custodi:accus:blasphemi,leserbrief
33,parliament:import:demand:opinion:relat:revis:claus:mrs:jackson:describ:claus:requir:commiss:present:report:parliament:year:applic:impact:recommend:prove:dead:fulli:expect:present:propos:direct,nichtwirksamkeit
34,produc:shorter:understand:better,schreiben
35,compani:profit:dive:dot:wrong,buchstabe
36,framework:lisbon:object:singl:integr:capit:market:want:need:remain:dead,papier
37,criticis:procedur:adopt:council:substanc:decis,wurde
38,opportun:remind:council:deem:desir:commiss:did:year:submit:amend:propos:includ:final:budget:estim:surplus:avail,berichtigungsschreiben
39,ask:commiss:submit:detail:analysi:need:meet:need:use:appropri:left:second:includ:requir:appropri:amend:come:autumn,berichtigungsschreiben
40,reduct:doe:provid:discuss:amend:interinstitut:agreement:prescrib:request:account:taken:develop:market:negoti:differ:common:market:organis,berichtigungsschreibens
41,remind:spoke:look:amend:decid:accord:annex:iia:amount:enter:budget:agreement:conclud:communiti:consid:compulsori:expenditur,berichtigungsschreiben
42,second:prime:minist:verhofstadt:sent:colleagu:govern:ask:reduc:size:deleg:sent:particip:laeken:council,schreiben
43,associ:joint:resolut:reject:spirit,buchstabe
44,commiss:initi:new:infring:procedur:incorrect:implement:applic:direct:formal:notic:refer:just:sent:greec,fristsetzungsschreiben
45,make:pronounc:legisl:affair:intern:rogatori:clear:unfamiliar:suggest:read:articl:european:convent:mutual:assist:crimin:matter:sign:right:strasbourg:answer:unfound:concern:advis:mrs:napoletano:clear:unfamiliar:provis:read,rechtshilfeersuchen
46,refer:sent:presid:yesterday,schreiben
47,concili:meet:juli:parliament:side:council:faith:discuss:amend:commiss:send:short:reach:agreement:cushion:effect:differ:crise,berichtigungsschreiben
48,accord:instanc:amend:present:overal:view:thing,berichtigungsschreiben
49,support:strategi:general:rapporteur:relat:new:demand:commiss:amend:refer:mobilis:flexibl:instrument:order:financ:new:structur:need:restructur:spanish:portugues:fleet:fish:moroccan:water:await:propos:fund:commiss:promis:present,berichtigungsschreiben
