@relation match-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {gerecht,gewachsen,personalbedarf,fußballspiel,fußballwettkämpfen,entspricht,untermauert,fußballspielen,übereinstimmen,gleiche,brauchbaren,wettkämpfen,rauschgifthandel,widerspiegeln,durchführungsprogramme,fangschiffs,nationalitätsklauseln,disqualifiziert,exempel,grenzkosten,match,baukastenprinzip,aufgezäumt,messen,klafft,taten,league,spiel,psychischer,handelsmacht,finanzpartnern,steuerverwaltung,Übereinstimmung,entsprechen,anstimmen,dienstmädchenarbeit,folgen,ehrensache,möge,verkehrung,angemessen,geweckt,finanzierungspaket,rivale,spiele,fußball-nationalmannschaft,reagieren,boxkampf,zynismus,abgestimmte,grundbestand,fußballkampf,inkonsequente,vergleichbar,wasserkochern,ablehnte,stoffstrom,korrelierte,fußballweltmeisterschaft,beschreibung,Ölpflanzen,erfordernis,kompatibilität,transportkapazität,schlagabtausch,völligem,streichholz,bereitstellen,ambition,übereinstimmende,versorgungszusagen,entgegenzusetzen,zielterminen,europa-mittelmeer,ausstattet,auszustatten,mainstream-betreiber,königlichen,urne,wissenstransfer,drauf,klimakonvention,professionnels,randzioplath,leichtere,besorgen,zwanzigfache,eröffnungsspiel,kleingedruckten,heruntergefahrenen,untermauern,teilnahmeberechtigt,destrukturierung,bereitstehen,hilfestellung,europäer,wachstumsphase,originalfassung,fußballstadien,vorabausstattung,flankieren,ford-werk,dienstleistungsindustrie,genügen,nehmenden,investmentprodukts,nahrungsmittelressourcen,angepaßt,zielen,charme,brillant,ankündigung,bewältigung,bury,wm-spiele,titley,offengeblieben,profifußballer,potentielles,unumgänglichen,terminstellung,optimistisch,altern,mongolei,anpassen,risikoprofil,entsprechenden,schwerlich,aggressivität,spielchen,termingemäß,lesart,zahlungsverzögerung,kompromissentschließungsantrags,deutsch-französischen,direktfördermittel,mannschaftsspiel,nachahmenswertes,hügeliger,entsprechung,aufgelistet,ebensolchen,geschmacksrichtung,länderspiel,gewichte,qualifizieren,statement,reihen,pokalspiel,köpfe,länderkampf,eintrittskarte,brasilien-schottland,likeminded,verladerampe,unionshaushalt,schweren,anlaufende,heranführungsstrukturen,krisenhafte,perestroika,begegnung,wettkampf,medienclowns,hollywood,eu-botschaften,wahrnehmbare,wohlklingenden,garantierten,kostüm,vorrangiger,ermutigende,kreditaufnahme,erweiterungsverhandlung,fußballrowdytums,fachliche,schnellwarnsysteme,unverträglichen,hochhalte,unerquicklichen,herkömmlichen,ihrige,endspiel,harmoniert,risikoaktiva,eu-sonderbeauftragte,weiterkommt,finanzmittel,zufallspakets,fußball,lärmpegel,bedrohungslage,unternehmensabgleich,zuzugestehen,einsatztruppe,ertappen,fußballverantwortlichen,teamwork,fußballtor,qualitätsevaluierungssysteme,bilanzieren,zurückbleiben,gleichzuziehen,erreichung,goldpreis,anpassung,beispiellosen,ebenbürtig,schwindlig,entsprochen,vietnam,geschuldet,fischereimacht,sonntagsreden,asylantrag,verhältnis,patentrealität,zivilisatorisches,starres,mehrwertsteuerrichtlinie,momentane,version,angleicht,parkbereich,nachstanden,allradfahrzeugen,gesetzblatt,thematisch,fußballzuschauer,provençalischen,relation,austragung,darlehensvergabe,erreichenden,beschäftigungsquote,antirassistisches,zukünftig,nordkorea,zielgerecht,dringenden,lauthals,präzisen,untersetzen,arbeitskräftetransfer,mittel,korrespondiert,gebietet,seifenoper,angebot,meisterschaftsrunde,kommission,faltenwurf,australien-urlaub,Ähnlichkeit,vereint,bildungsprogramm,wachstumsentwicklung,gebrachten,absatzgenossenschaften,gesetzentwurf,zusammenpassen,bezogenen,zweitligisten,analphabetentum,entsprach,nachstehen,größe,eingeschleppt,weltmarktpreis,qualitätsreferenz,bestrebung,politikmaßnahmen,hohem,export,anspruch,finanzierung,verschleiern,skrupellosen,angemessener,zeitvorgabe,geldhöhe,konkurrieren,montenegriner,kette,finanzierungsstruktur,einlösen,erlangt,mitlaufen}

@data
1,way:degre:serious:presid:prepar:special:summit,gerecht
2,doe:report:bad:doe:issu:stake:lucid:ambiti,gewachsen
3,approach:taken:absolut:correct:make:sure:simpli:money:away:spare:budget:ask:secretary-gener:parliament:come:forward:number:report:exampl:paragraph:resolut:ask:secretary-gener:look:identifi:job:need:way:commiss:job:need:staff:avail:longer:term,personalbedarf
4,took:advantag:vent:hatr:chant:nazi:slogan:chase:black:arab:leav:ground,fußballspiel
5,presid:ppe-d:doe:support:resolut:british:deleg:announc:withdraw:later:want:condemn:increas:violenc:result:footbal:resolut:restrict:insubstanti:stand:extent:doe:belong:chamber,fußballwettkämpfen
6,true:tunisia:doe:idea:democraci:countri:world:europ:live:idea:democraci:accord:democrat,entspricht
7,madam:presid:think:miss:comment:footbal:itali:franc,fußballspiel
8,council:attitud:year:difficult:negoti:insuffici:trust:polit:pledg:financi:pictur,untermauert
9,travel:footbal:euro:subject:check:carri:extern:border:schengen:area,fußballspielen
10,fulli:concur:bullmann:talk:target:constant:experienc:just:target:concret:action,übereinstimmen
11,regard:public:opinion:press:disagre:provan:word:written:newspap:read,gleiche
12,reject:text:emerg:concili:committe:commission:bolkestein:present:workabl:new:draft:long:idea:idea:elect:repres:million:european,brauchbaren
13,crucial:test:barcelona:european:parliament:circumst,gewachsen
14,second:observ:order:prevent:disturb:maintain:law:order:connect:footbal:foremost:essenti:organis:effici:exchang:inform:regard:risk:present:specif:type:support:travel:second:improv:coordin:organis:respons:secur,wettkämpfen
15,violenc:footbal:organis:orchestr:nowaday:frequent:use:sport:common:crime:sell:drug:launder:dirti:money:accord:investig:carri:britain,rauschgifthandel
16,second:want:serious:address:problem:surround,wettkämpfen
17,deprez:report:suppos:intend:deal:problem:violenc:intern:footbal,fußballspielen
18,inform:council:point:draft:council:decis:concern:secur:intern:footbal,fußballspielen
19,citizen:concern:polici:fund:concern,widerspiegeln
20,start:centuri:world:leader:given:chanc:johannesburg:succeed:specif:implement:programm:draft:concret:pledg,durchführungsprogramme
21,commiss:explain:exist:tonnag:capac:newly-introduc:vessel:taken:decommiss:european:commiss:discontinu:legal:proceed:irish:govern:ground:introduct:fish:capac:violat:common:fisheri:polici,fangschiffs
22,appropri:earmark:limit:concern:express:regret,gerecht
23,case-law:court:held:nation:claus:justifi:relat:specif:offici:team:repres:countri:olymp:game:world:european:championship,nationalitätsklauseln
24,commission:tell:latest:posit:question:organis:racist:violenc:footbal,fußballspielen
25,countri:england:short:play:footbal:candid:countri:risk:thrown:competit:question:result:racism:fan,disqualifiziert
26,view:report:repres:out-of-d:agricultur:polici:doe:condit:need:modern:global:societi,entspricht
27,deni:real:test:rhetor:concret:act:deal:endless:stream:tortur:member:state:kingdom:spain,exempel
28,financi:assist:propos:educ:train:bodi:prove:desir:contribut:develop:educ:system:elitist:vision:far:remov:problem:face:young:today:doe:need:member:educ:system,gerecht
29,essenti:extern:cost:traffic:account:road:toll:impos:margin:cost:ceil:charg,grenzkosten
30,success:guidelin:hing:european:budget:ambit:set,gerecht
31,player:weak:experi:field:promis:fair:play:accept:author:coach:realis:import,match
32,hope:work:separ:organis:work:tandem:share:idea:sure:building-block:approach:council:approach:set:böge:work:document,baukastenprinzip
33,new:neighbourhood:polici:current:set-up:inadequ:develop,aufgezäumt
34,term:combat:terror:spread:weapon:mass:destruct:european:union:realli:unit:state,messen
35,hope:debat:underway:contribut:effort,entspricht
36,lisbon:object:want:europ:dynam:competit:knowledge-bas:economi:scienc:technolog:innov:play:fundament:role:particip:women:field:level:far:men,klafft
37,conclud:text:provid:opportun:word:action:support:european:research:shall:tomorrow,taten
38,need:specif:perform:tabl:need:opportun:shame:point:finger:member:state:pay:lip:servic:idea:sustain:develop:fine:word:deed,taten
39,princip:object:end:bskyb:longstand:monopoli:concern:broadcast:live:premier:leagu:think:object:achiev,league
40,barroso:countri:good:tonight:best:team:win,spiel
41,patient:increas:seen:consum:better:inform:involv:decision-mak:attitud:mental:health:chang:trend,psychischer
