@relation post-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {leitungsfunktion,postamt,post,poststelle,vertreter,funktion,managementqualitäten,rotation,levi,stellen,gorica,amt,planstelle,position,poststelleninfrastruktur,endspurt,verwaltungsposition,postsektors,dienstposten,temporären,hinteren,posten,verordnung,stock-taking,rechnungsführer,ausschreibungsfolgen,briefkasten,sekretär,nachträglichen,jumblatt,laufbahngründen,genutzt,fesselt,tierraststätten,aufenthaltsort,sitze,stelle,eu-grenzkontrollstellen,wahlkampfbeginn,führungsebene,beeinflusst,eu-postrichtlinie,lehrstuhl,ortstafel,pilatus,stellenbewilligungen,vizepräsidentenposten,stellenwechsel,höherstufung,nachträglich,postwesen,postminister,grenzposten,führungsposition,sendung,herauszufinden,zielgerade,Ämter,bekleiden,dauerplanstellen,personal,verwaltungsposten,einzuwerfen,nachgängige,postmonopol,twinning-projekte,stellenanforderung,eu-delegationsbüros,korrespondenz,staatsanwalt,postdienst,aufgabenprofil,nebelwand,schlüsselministerium,kehrtwenden,angestellt,unterausgelastet,aufgabenverteilung,mitteilung,maßnahmepaket,entscheidungsgremium,zwischenstadium,geladenen,optionsfrist,beinhalte,unsäglich,beamtenposten,übereinstimmende,bezöge,textilsektors,anstellung,forschungsposten,geschäftsstelle,postbehörde,augsburg,postzustellung,notar,a-bereich,raststätte,xxiv-dienststellen,hauptberichterstatters,richteramt,tätigkeitsfeld,euprogrammen,zollaußengrenze,klischeevorstellung,außerbilanzielle,mandat,interviewen,parteibiographie,pflichtversicherungssystemen,asiaten,görlitz,kommissariat,amtsantritt,okay,erstattenden,personalaufbau,arbeitsverhältnis,poststellennetzes,postdiensten,rentenfrage,Überwachungsfunktionen,ureigenen,spitzenfunktion,gleichwertigen,arbeitsunterlage,gebietsansässigen,ausschreibung,versicherungsprämie,führungskraft,standardpostsendung,losgesagt,personalstelle,postalischer,Ämtern,antrittsrede,posteingang,a-stellen,regionalforum,siegbert,transportgebühren,amtsbefugnis,allerheiligste,führungsfunktion,freistaat,erwerbung,extrabüro,generaldirektor,sprachendienst,erweiterungsreserve,forstökosysteme,investitionsprogramm,postsektoren,kandidat,stellenplan,hochqualifizierten,urkunde,postangestellte,stellung,hintergrundinformation,ruf,gleichstellungsbeauftragte,stellenausstattung,fraglich,verschicken,stellenmehrung,kroes,poststellennetz,minsk,mautstation,soria,eingangspost,karadjic,Ämteranhäufung,postverwaltung,arbeitsplatz,teilzeitarbeitsstellen,staatsgewalt,textkorrektoren,stellenausschreibung,bezifferten,rehabilitiert,ernennung,anhängiges,einschneidende,nichtnationalisten,herabsinkt,postsendung,weltwährungsfonds,achthunderttausend,truppendislozierung,tüchtige,beschäftigungsstruktur,belastung,grenzübergang,koordinationsmethode,militärrat,kernziele,abhörstation,entscheidungszentrum,oktroyierte,postfiliale,spendeneinnahme,agens,stellenkürzung,kandidieren,finanzmakler,jahresurlaube,inlandsendungen,unverfälschtes,kennenlernte,herausgehobenen,präsidentenämtern,talentierten,stellenbedarf,postweg,nachbereitung,ministerposten,hilfskraft,besetzen,auslandsbriefe,postfach,parteivorsitz,beraterposten,rechtsreferent,zurückstellung,abgezeichnet,mitreißenden,betreuer,sollten,hauptpostamt,stellenbesetzung,innenpolitische,markstein,gehaltsanpassung,einluden,borrell,bestätigt,stellenzuwächse,eu-außenministers,militärposten,scheck,internetseite,diabetes-pflegepersonal,gehaltszahlung,nachbesetzt,vertraute,überrumpelt,zollstelle,amtsträger,monsieur,briefpost,tiefschürfenden,leiter,umweltschutzprogramm,post-ag,condicio,leitungsverfahren,enthoben,hinschicken,entscheidungsposition,verfassungsrichter,anteile,grenzkontrollstelle,sicherheitsrahmens,eu-botschafter,kalten,evaluieren,nachkontrollen,ansprechpartner,akademischen,lehrerstelle,kontrollpunkt,eilpost,nicht-dauerplanstellen,implementierungszahlen,krieg,einräumen,inspektor,aufgabenbereich,nomenklatur,etappe,vorbereitungszeit,kommissionsposten,zielpunkt,beamtenstelle,herumreichen,péry,spitzenmandat,zollbeamte,miti-ministerium,todesschein,bewertungsbericht,scheinarbeitsverhältnissen,klemmt,amtsübernahme,haushaltskontrollverfahren,führungsebenen,mitglied,professioneller,post-kontrolle,risikokapitalprogramme,aufwand,post-nizza,mitarbeiter,lebensfähiger,datenschutzinstrumente,kontrollposten,wiederingangsetzung,spielball,kopenhagen,briefkästen,bewerben,gipfelpunkt,kommissarskandidat,standort,zollstation,schlagbaum,systemeinführung,postverteilung,zusammenstieß,ministeramt,rechenschaftsbericht,treffer,erdenklich,a-laufbahngruppen,zwischenstation,mondengwo,beantragten,postorganisation,postfrage,grenzkontrollposten,poplasen,koordinatorin}

@data
1,polici:encourag:recruit:women:administr:order:creat:reserv:suitabl:candid:futur:promot:manageri:posit,leitungsfunktion
2,postal:servic:offic:vital:featur:life:rural:communiti:europ:scotland,postamt
3,incumb:oper:public:offic:chang:cultur:believ:consid:negat:current:trend:concentr:custom:need:continu,postamt
4,provid:exampl:sort:vigil:case:deutsch:follow:complaint:court:commiss:initi:formal:aid:procedur:juli,post
5,order:ensur:proper:postal:servic:european:union:level:essenti:end:polici:close:local:offic:reduc:number:deliveri:overwork:postal:staff,poststelle
6,present:larger:member:state:european:commiss:smaller:member:state,vertreter
7,polit:sens:citizen:union:class:virtu:citizen:member:state:allow:enjoy:polit:particip:express:elect:collect:repres:respons:elector:natur:compet:perman:public:administr,funktion
8,background:follow:inform:use:hous:guid:principl:commiss:use:appoint:senior:determin:evid:merit:candid:includ:manageri:capac:relev:abil,managementqualitäten
9,clear:current:debat:european:parliament:ask:commiss:rotat:senior:lent:support:idea,rotation
10,somewhat:doubt:lengthi:interview:involv:fill:levi:did,levi
11,turn:administr:expenditur:staf:expenditur:point:commiss:did:request:new:draft:preliminari:budget:apart:olaf:european:anti-fraud:agenc,stellen
12,creat:vast:number:new:realloc:mean:request:total:new:year:year:particular:strengthen:area:extern:assist:health:consum:protect:environment:polici:justic:intern:affair,stellen
13,want:ask:border:gorica:slovenia:itali,gorica
14,commission:say:plan:indic:assess:progress:discrep:complaint:letter:bag:student:teacher:knock:door:mep:lobbi:suggest:wish:allow:constraint:work:accept:amend:propos:hope,post
15,allow:say:fischler:mediterranean:atlant:unfortun:director-gener:fisheri:north:atlant:learnt:fisheri:problem:recent:appoint,amt
16,note:exampl:prodi:chef:cabinet:transfer:commiss:hierarchi,planstelle
17,brok:report:discuss:high:repres:cfsp,amt
18,end:commiss:request:addit:year:budgetari:author:delight:decis:taken:week:framework:concili:procedur,stellen
19,previous:coloni:occup:take:european:commiss:wrote:book:televis:programm:asia:rememb:visit:indonesia:short:riot:interview:presid:habibi,position
20,turn:unit:kingdom:privatis:offic:block:public:opinion:simpli:toler,post
21,furthermor:abil:nation:postal:servic:cross-subsidis:rural:offic:infrastructur:doubt,poststelleninfrastruktur
22,let:say:happen:given:valuabl:breath:space,post
23,look:goal:move:reach:finish:line,endspurt
24,scandinavian:countri:women:manag:particular:highest:level,verwaltungsposition
25,januari:newspap:frontier:publish:reader:letter:follow:newspap:staff:taken:custodi:accus:blasphemi,post
26,spite:public:apolog:offer:editor:newspap:frontier:guarante:taken,post
27,hope:solut:soon:regard:recruit:olaf:repeat:certain:commiss:olaf:actual:agre:quick:possibl,stellen
28,von:wogau:tire:speak:slow:deregul:open:competit:energi:sector:transport:sector:offic:differ:member:state,postsektors
29,word:great:deal:room:manoeuvr:transfer:staff:servic:european:parliament:need:creat:new:straight:away,planstelle
30,explain:commiss:posit:use:deploy:offici:obvious:longer:product,dienstposten
31,remain:given:budgetari:author,stellen
32,help:feel:suspici:way:fill:given:main:redeploy:rationalis:recruit,stellen
33,temporari:bring:total,temporären
34,commission:just:look:commiss:fill,stellen
35,want:strang:new:high:repres:common:foreign:secur:polici:develop:european:super-minist:foreign:affair:defenc:call:account:polit:area:integr:european:commiss:portfolio:extern:relat,amt
36,vote:reform:speak:allow:live:debat:member:access:document:legisl:group:independ:member:fair:share:backbench:speak:time:year:newcom:invit:observ:languag:accept,hinteren
37,matter:great:concern:fellow:member:rapporteur:glad:close:follow:happen:sector:cours:import:live:happi:hope:get:agreeabl:just:bill,post
38,reiter:petit:sign:french:postal:worker:point:monopoli:postal:franc:enabl:build:high:public:servic:valu:comprehens:servic:provid:franc:postmen:offic:whilst:price:lowest:avail:thank:tariff:equalis,poststelle
39,kashmir:week:went:indian:metr:line:control:know:talk,posten
40,understood:today:debat:hous:agre:decis:question:regul:question:need:pass:hast,verordnung
41,stock-tak:year:show:concern:commiss:clear:specif:commiss:concern:new:dedic:implement:communiti:acqui:candid:countri,stock-taking
42,unabl:report:propos:immedi:extern:advertis:contrari:statut:expressli:provid:instanc:trawl:institut:advertis:extern,stellen
43,tell:reason:extern:candid:account:offic:statut:say,rechnungsführer
44,far:extern:advertis:concern:statut:awar:laid:council:govern:sequenc:event:involv:recruit,ausschreibungsfolgen
45,invit:sent:giscard:pope:retriev:box:earli:set:date:start:negoti,briefkasten
46,propos:new:secretari:union:foreign:affair,sekretär
47,lesson:offset:exist:past:difficulti:intern:communiti:karzai:govern:tri:clear:numer:problem:establish,nachträglichen
48,understand:understand:samir:geagea:prison:leader:walid:jumblatt:excess:bit:bad:worst:offend:conflict:occupi:quasi-offici,jumblatt
