@relation range-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {archivierungsvorschriften,palette,zahl,hineingenommen,rechtsgarantie,spektrum,reihe,reichen,paralleler,danielle,abstimmungsgeräte,vielzahl,anzahl,bündel,bandbreite,panorama,durchschaubaren,punkten,kernwaffentest,baustelle,vielfältigsten,chimäre,sorgfältig,vielfältigen,netz,forschungsgeld,sozialwesen,lebensmittelimport,unterschiedliche,szenario,zusammengesetzt,sortiment,kooperationsbereichs,zielkorridor,durchschnittsgeldbußen,geplanten,errichtenden,Überbuchungen,maßnahmenpaket,paket,zahlreichen,schmiermittel,föderalstaaten,bezog,echolot,skala,arbeitsmarktreformen,fülle,kreditanstalt,diversifizierten,zugestehens,vorsorgeformen,unterschiedlichsten,ausgeprägte,auswahl,internalisierers,kreise,spannbreite,verschiedenen,vielfalt,breite,verschiedene,kleinstmaßnahmen,speicherdauer,umfassenden,krankheitsbereiche,kleinkinderbetreuung,qualifikationsstufe,tragweite,gesundheitsverwaltung,messbereich,instrumentarium,unterschiedlichster,erschwert,nicht-erneuerbarer,produktangebot,informationspluralismus,wirtschaftsfachleute,neuorganisation,schleppnetzflotte,reichweite,schiffsregister,fachkraft,konsensus,bewältigt,lohnfächer,ursprungsland,verschiedensten,meinung,breiten,totalfälschung,stoffvielfalt,modell,rundfunkdiensten,durchdachter,niveauvollen,umschreibung,handelsziele,abgelassen,kohlenwasserstoff,zahlreicher,strukturfondsförderung,produktpalette,breitgefächerte,nichtmilitärischen,anlagespektrums,verbrauch,verschuldungssituation,industrieabfall,anzusprechen,negation,umfangreichen,spannt,erreichter,geltungsbereich,beschäftigungssicherheit,ausschußvorsitzende,irrelevante,gründungsschreiben,hässlichen,forschungsrahmenprogramms,frauenforschung,forschungsbereich,jubilee,angelegten,impliziert,altersmäßige,themenpalette,veterinärdienst,skizziert,kreuzzug,umfang,zweckmäßigsten,außenministerebene,schießplatz,anspruchsrechte,stattfinde,verbreitungsstaaten,spanne,therapiekosten,gesamten,berufsspektrum,gewässerarten,linderung,delphinfreundlichen,unterschiedlichen,umweltbedingte,umweltpartnerschaft,darlegen,presseerklärung,aktionspakets,wertereihen,weltgesundheit,gesundheitssystem,homogenen,berücksichtigenden,kontinuum,arás-schlucht,förderumfang,arsenal,einkommensstreuung,mindestangebot,weitreichendere,langstreckenrakete,innenpolitiken,krankenverbände,nachfrageänderung,schußfeld,menge,eigeninitiative,angebot,batteriekäfigen,schiffs-oder,kommision,wirtschaftssegment,umpflanzung,kohlendioxidfreie,schulberatungspolitik,gesamtheit,auslegungsfaktoren,differenzierte,erhältlicher,altersgrenze,verfolgte,späterer,auswirkende,drogenprojekte,stand,umwelthormone,leistungskatalogs,asap,hineininterpretiert,angebotsprodukte,umfassende,straßenverkehr,magerbetriebes,dialog,erörternden,maghreb,fachwissen,strafen,regelungsausschuss,verschiedener,konzentrierter,bergmassive,abweichende,eu-rechtsakte,kontaminationsradius,zynisch-heuchlerisch,bereich,dienstleistungsangebot,raum,profund,unternehmensbereich,gültigen,teilnehmerspektrum,anreicherung,reicht,katalog,hybridantrieb,kostenverwerfungen,zugezogenen,hochpreissegment,vertriebskette,sozialmodelle,angelegte,sprachenauswahl,schwankungsbreite,globaler,produktfälschung,bewegt,energiezentrum,kreis,solidarität,angebotspalette,handlungsvollmacht,Öko-businesses,vielfältige,auslaufhaltung,nebenberuflichen,städtepolitisches,beinah,projektangebot,dieselfahrzeug,unterschiedlicher,competitive,nro-vertretern,regulierung,bardong,wirkungsvermögen,gesamtverantwortung,konfliktpunkt,maßnahmebündel,rechtsakt,ausgeliefert,prozentspanne,etlichen,gehörigen,verständigungsschwierigkeit,sar,fermentation,transitweg,einschließt,angebotsspektrum,ausfuhrsubvention,diskutierte,unzähliger,erreichbare,gefächerte,horowitz,gegebenen,enormen,sicherheitskonzept,aufgabenspektrum,erhobenen,mehreren,strukturiertes,lebensmittelprodukt,ausnahmetatbestände,glaubensgemeinschaft,wahlmöglichkeit,hut,Ölmarkt,vielschichtige,fraktionsübergreifende,teilnahmslos,strombedarf,indikator,umfangreicheres,sachverständig,existenzmöglichkeit,finanzkontrollen,produktsortiment,synergieeffekt,ausmaß,energieeffizienzwerte,steuerrechtliche,breitgefächertes,finanzierungsinstrument,informationsspektrum,gesundheitsbehörde,informationsangebot,niederschlag,mindestpalette,bürgerinnenrecht,reihen,gesamtpaket,beratungsqualität,apparat,aufführten,generell,rechtstechnik,effektiven,aufgabenbereich,jahrtausend-runde,vorenthalten,grundaltersrente,vorleistung,beachten,flugangebot,querschnittsaufgabe,charakterisiert,europäisch-türkischen,zahlreiche,beschlussfassungsprozess,fahrschule,gepflanzt,einstimmig,bevölkerungsbewegung,service,zollpräferenzregelung,bankterrorismus,schießfeld,belaufen,vorbehaltlos,statutarischen,einsatzeffizienz,verschiedenster,erfassten,wechselspiel,hafenpaket,zahlreichere,haftbaren,störfall,großmutter,vielfältiger,charakter,westbalkan,maßnahmenpalette,nahöstlicher,gestaffelten,tücke,angebotsdarlegung,politikbereich,oxfam-produkte,altersgruppe,warenangebot,technologieprognose,Überlegungen,transportfrage,breites,pädophile,fragenhorizont,formalisierung,höchstalter,gefächerten,verschiedenheit,fischereirates,mindestreservesatzes,gewichtsreihe,wirkungsgrad,unterschiede,produktreihen,angewandt,variationsreichtum,zugreift,handelnden,aufgabenbündel,riesige,pflanzenöl,aktualisieren,gesamtkomplex,sachgebiet,adapt-projekten,flachsfaser,manifestieren,immobilienhai,kümmert,massiv,euratom-vertrag,verschlechterungsklausel,ergriffenen,jungem,küstenstreifen,paritätisch,betrugsdelikt,ökologischem,e-learning,eingeschränkten,expertenmission,blutgerinnungsfaktoren,disziplinarverstoß,seuchenproblematik,bergmassiven,dossier,unberechenbaren,mandat,weitreichendes,gesetzgebungsinstrumente,detailreiche,verübten,zahlungskräftigen,stufensystem,wahlentscheidung,nicht-institutionellen,finanzprodukt,modellreihen,gefächert,berührenden,multilateraler,beachtliche,datenspektrum,serienmäßige,themenspektrum,brandstifter,eßstörung,staat,unwiderstehlich,kinderfrage,programmangebot,desorientierung,geprüften,assoziationsrat,kapitalund,veterinärfragen,gewaltdarstellungen,vermietungsgesellschaften,leistungsreserve,komplexere,richtlinienpaket,sicherheitsmangel,mecklenburg-vorpommern,erdölfernleitungen,materiell-rechtliche,gebirgskette,verschlingende,fernzuhalten,justitiabler,kulinarisch,versicherungssystem,gerückten,schicht,rüstungsgut,kunststoffen,achtens,schussweite,gründe,ausdehnt,entgegensehe,thema,rechtsinstrumenten,taiwan,klavier,jugendparlament,forschungsbereichen,csr-prinzipien,lärmerzeuger,vorschule,wüssten,beträgt,umfange,sanktionsspektrum,literacy,zugnetzen,tätig,tatenlos,kony,nagendes,foie-gras,sanierungstätigkeiten,abschwächung,unhandlich,sämtlichen,eisenbahnverkehrsleistungen,zuwiderzuhandeln,vermelden,euroexperten,herangehensweisen,verwaltungstechnischer,diverser,eu-beitrittsländer,lobenswerten,verfolgen,verarbeitungssystems,marktbedienung,umfänglicheren,eu-unterstützung,kulturkreis,sektorisch,chemischen,serie,sinken,verwandter,geringerem,maßnahmenkatalog,umgebende,kulturpolitische,meinungsspektren,offengelegt,versus,alexandros,sparmöglichkeit,unbewußten,fragenkatalog,entbinden,angebotsvielfalt,gemeinschaftsinstrumente,quersubvention,schießstand,paisley,trainingseinrichtung,angemessensten,initiativreich,regierungssystem,versorgungsbreite,handelshindernissen,rang,finanzierungshöhe,diensten,tatbestand,erwägung,babyprodukte,arbeitsentgelt,tiefststand,problembereich,sicherheitsresolution,beschäftigungsschutz,letale,aufzufordern,schenkt,Ölbekämpfung,aufzukommen,blickfeld,inflationsspanne,bohren,wieweit,einigelt,verfahrensrecht,aktionsbereich,ungenügender,photosensibilisatoren,ministertagung,datenanforderung,schwanken,wertereihe,fertigkeit,pessimistischen,gefüge,produktangebots,literarischer,fährunternehmen,birke,landwirtschaftspolitik,fungizide,geldhöhe,strafrahmen,erfahrungsschatz,schwereren,schußwunde,solvabilität,unterpunkt,intermodalitätsfähigkeit,ernstlichen,anberaumung,umts,interessengruppe,missionar,jahresobergrenzen,abgeleiteter,regierungskonferenz}

@data
1,precis:file:rule:document:simpli:disappear:fundament:reform:disciplinari:proceed,archivierungsvorschriften
2,dimitrakopoulo:leinen:report:cover:wide:issu:consid:framework:igc:take:remaind,palette
3,order:achiev:believ:scope:igc:restrict:tidi:outstand:point:amsterdam:plus:issu,zahl
4,present:regul:respons:request:council:involv:transfer:fund:joint:action:decid:framework:cfsp:previous:fund:common:foreign:secur:polici:budget:pillar:vast:communiti:polici:manag:commiss,hineingenommen
5,far:harder:accept:fact:draft:direct:racial:discrimin:appli:broader:social:term:content:compris:stronger:legal:guarante:control:mechan:second:draft:direct:pipelin:design:fight:type:discrimin,rechtsgarantie
6,ask:presid:confer:colleagu:eu-russia:relat:investig:debat:influenc:brought:bear:turbul:putin:put:danger,spektrum
7,balanc:piec:work:cover:quit:wide:view,palette
8,direct:way:link:cooper:exchang:inform:extend:scope:offenc,palette
9,ban:identifi:phthalat:precautionari,reihe
10,said:agricultur:product:refund:present:risk:disadvantag,reihe
11,disagr:portion:brok:report:point:greater:import,reichen
12,think:say:essenti:problem:tremend:increas:legisl:work:european:union:exponenti:growth:legisl:codecis:huge:legisl:decis:taken:parallel,paralleler
13,comment:daniell:auroi:just:subject:countri:south:add:expert:estim:provid:interest:figur:instanc:usd:billion:recov:tobin-typ:tax:undp:unit:nation:develop:programm:amount:usd:billion:annum:suffici:guarante:minimum:live:condit:hundr:million:depriv:countri,danielle
14,follow:decis:member:hous:began:indic:machin:work,abstimmungsgeräte
15,agricultur:multi-output:industri:public:expenditur:necessari:achiev:public:good:industri:produc,vielzahl
16,desir:accept:goal:looser:communiti:nation-st:trade:freeli:act:unison:limit:polici:area:easier:accommod:countri:turkey,anzahl
17,presid:ladi:gentlemen:report:today:result:initi:portugues:presid:measur:design:promot:creation:area:freedom:secur:justic:order:provid:use:respons:everyday:concern:european:public,bündel
18,person:tabl:amend:harmonis:vat:rate:correct:effect:unfair:competit:result:countri:oper:power:choos:come:regist:broad:vat:rate:avail:domest:oper:choic,bandbreite
19,perform:import:role:social:life:villag:rural:communiti:promot:activ:particip:local:associ,vielzahl
20,extend:remit:cover:maritim:traffic:said:previous:occas:chang:recognit:year:term:number:vessel:number:tonn:materi:transport:natur:materi,panorama
21,hunger:strike:turkish:prison:spoke:short:prison:famili:lawyer:politician:travel:deleg:istanbul:express:conflict:belong:past:possibl:solv:turkey:longer:oppos:cultur:ethnic:polit:plural:instead:use:posit:forc:develop:turkish:democraci,reihe
22,follow:result:recent:achiev:adopt:regul:local:loop:unbundl:initi:solut:situat:compani:oper:european:electron:communic:market:find:weav:way:layer:layer:direct:regul:issu:year:plethora:nation:regulatori:author:act:extrem:vari:legisl:accord:wide:criteria:oper:hope:predict:find,durchschaubaren
23,committe:develop:cooper:adopt:amend:point:reproduct:health:involv:develop:countri:cooper:partner:involv:ngos:civil:societi:decision-mak,punkten
24,welfar:therapeut:econom:ground:essenti:european:veterinarian:access:fullest:possibl:veterinari:medicin:treat:food-produc:anim:keep:consum:health:protect:agenda,palette
25,forget:washington:refus:sign:agreement:nuclear:test:unit:state:regard:appli:state:agreement:washington:want:tie:world:bound:way,kernwaffentest
26,just:work:build:site:fall:build:scaffold:differ:industri,baustelle
27,necessari:rapporteur:point:introduc:wide:technic:measur:mesh:size,vielfältigsten
28,appear:reform:chanc:pomé:ruiz:mention:financi:regul:speak:just:castl:air:talk:year:feel:propos:rais:difficulti:problem,chimäre
29,manufactur:produc:wide:engin:benefit,palette
30,new:commiss:white:paper:common:polici:offer:current:estim:cost:road:transport:treat:prioriti:resolut:transport:problem:alpin:region:mean:wide:measur:refer:earlier,spektrum
31,council:follow:turkey:progress:close:commiss:submit:report:matter,sorgfältig
32,analysi:price:irrig:water:complex:wide:agricultur:use:european:union:region:differ:need:avail:water:agricultur:usag,vielfältigen
33,hope:possibl:solut:basi:propos:commiss:present:creat:penalti:sanction:individu:offenc:list:articl:commiss:propos:greater:flexibl:adapt:scale:penalti:forc:nation:legisl:member,netz
34,believ:public:support:research:vital:order:ensur:result:benefit:broad:possibl:world,forschungsgeld
35,take:korean:peninsula:energi:develop:organis:kedo:offer:humanitarian:econom:assist:north:korea,reihe
36,parliamentari:resolut:point:central:guidelin:exchang:polici:strong:weak:euro:stabl:euro:vari:cours:way:destabilis,bandbreite
37,key:focus:commiss:effort:lie:ensur:specif:featur:european:union:context:includ:wider:institut:regim:appli:fulli:reflect:new:regim,spektrum
38,applic:countri:substanti:progress:meet:copenhagen:criteria:regard:transposit:legisl:implement:new:european:regul:direct:cover:wide:econom:social:sector,sozialwesen
39,reaction:indian:farmer:call:increas:tariff:protect:cheap:food:import:steel:worker:includ:fulli:restructur:steel:worker:unabl:compet:romanian:steel:export,lebensmittelimport
40,view:hous:militari:need:contin,unterschiedliche
41,believ:commiss:communic:cover:wide:aspect:fail:adequ:consider:scale:issu:futur:assess,szenario
42,welcom:effort:commiss:communic:propos:oper:framework:european:tourism:measur:action:implement:player:involv,reihe
43,commiss:basic:prioriti:compar:guidelin:adopt:parliament:seen:agre:point,reihe
44,agre:tackl:issu:secur:safeti:broad:sens:word:part:have:discuss:manag:secur:europ:follow:terrorist:attack:septemb:part:adopt:broader:perspect:safeti:issu:food:safeti:transport:safeti:initi:need:taken:later:year:budget,reihe
45,popul:latin:america:caribbean:greater:europ:talk:enlarg:europ:clear:larger:popul:young:say:compris:low:age,zusammengesetzt
46,just:want:committe:exampl:hominem:argument:danger:produc:area:turn:plant:protect:product:alarm:effect:danger:pesticid:seen,sortiment
47,adult:european:union:children:suffer:allergi:effect:respiratori:ill:life-threaten:symptom,reichen
48,glad:propos:submit:confeder:european:unit:left:nordic:green:left:incorpor:report:exampl:emphasi:need:provid:fund:promot:smes:increas:share:co-fin:order:account:calamit:gap:term:develop,reihe
49,head:mission:great:drive:forc:hans-georg:wieck:given:thumbnail:descript:commit:observ:human:right:situat:administr:justic:belarus:legal:assist:affect:famili:report:process:intervent:case:violat:law:humanitarian:aid:victim:persecut:polit:ground:administr:crimin:penalti:develop:cooper:polit:parti:form:coalit:parti:social:forc:observ:elect,kooperationsbereichs
50,honour:monetari:refer:valu:breach:month:allow:inflat:exceed:target,zielkorridor
51,exampl:case:falsif:failur:record:data:logbook:averag:member:state:appear:eur:eur,durchschnittsgeldbußen
52,activ:mention:said:parliament:know:taken:note:countri:wish:cooper:particular:sound:basi:activ:get:way:danish:presid,geplanten
53,bring:wide:high:educ:extrem:interest:enrich:immeasur:territori:shape:precis:contribut:creation:new:treati:absolut:crucial:ensur:take:account:cultur:nation:aspect:build:new:europ,errichtenden
54,vote:favour:entir:propos:aim:establish:appropri:compens:tariff:disrupt:suffer:passeng:result:overbook:practis:airlin:polici:impos:clearly-defin:respons:carrier,Überbuchungen
55,includ:issu:includ:extens:qualifi:major:vote:council:level:re-weight:vote:council:extens:codecis:measur:european:parliament:reform:european:commiss,reihe
56,ideal:review:went:disguis:step:backward:instead:achiev:genuin:modul:redistribut:accord:criteria:crucial:employ,reihe
57,sustain:fisheri:manag:base:balanc:measur:simplist:solut:fleet:reduct:greater:select:fish:method:proper:magp:tac:quota,maßnahmenpaket
58,candid:countri:implement:direct:regul,paket
59,awar:area:consult:advoc:temporari:agenc:work:direct:exampl:area:relat:family-friend:work:work:modernis:work:organis:activ:age:polici,zahlreichen
60,ach:pain:end:care:european:court:auditor:detail:special:report:major:weak:uncov,reihe
61,exampl:injustic:corrupt:reign:suprem:necess:termin:tir:cargo:agreement:russia:simpli:doe:work:driver:freight:prepar:divers:charg:greas:palm:engin,schmiermittel
62,introduct:common:penalti:worri,spektrum
63,member:state:homogen:feder:state:centralis:unitari:state,föderalstaaten
64,question:thing:talk:contrari:specif,bezog
65,commiss:thank:parliament:support:new:measur:forward:commiss:strategi,reihe
66,remain:total:unclear:effect:mediterranean:baltic:sea:radar:shore:shore:anim:escap:nois,echolot
67,presid:session:parliament:strasbourg:spend:hour:foreign:affair:committe:discuss:north:korea:benign:stewardship:honour:friend:member:westphalia:week:spend:hour:committe:foreign:affair:human:right:common:secur:defenc:polici:discuss:wide:issu:concentr:iraq:bear:mind:limit:impos:compet:commiss,reihe
