@relation ring-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {konzentrischer,sternenkreisbanner,diversity,ringimpfung,klingt,kreis,ring,klingen,aufgedeckt,ringelreihen,ringe,pädophil,labour-abgeordneten,telefonnummer,pädophilen-rings,ringimpfungen,brustton,sternenkreis,heranwachsen,nuklearfall,ratsdokument,schlüsselringe,kartoffelringfäule,freundeskreis,schlüsselring,kinderschänderringe,ringstraße,kissinger,pädophilenringe,pädophilenringen,c-ringstraße,läuten,gespeist,weinkultur,zeugenaussage,schlepperbanden,liebend,abgefeuerte,eingepfercht,pädphilenringen,einträgliche,geklingelt,menschenhandelsringen,menschenhandelsnetz,beißringe,beißringen,geprägt,Überschriften,absprechen,schwergewicht,missverstandenwerdens,sternenkranz,hohl,feststellung,hochtrabend,brot,alarmsignal,kürzere,schleuserringe,nichtssagend,entwaffnet,gedicht,rings,eu-außenminister,verleiten,mafiaähnlicher,zeugt,schlaglichtartig,einwanderung,ringautobahn,programmplanungsperioden,crew,ringfäule,beigeschmack,händlerring,klingelzeichen,anrufen,telefonischer,gruppiert,boxring,prostitutionsringe,konzentrischen,nasenring,parodie,weltklimakonferenz,ringversuche,vorgebrachten,austrickst,konzentrische,forschungsreaktor,verkehrsampel,effektvolles,cyberspace,kanzler,sklavenhändlerringe,schutzring,sicheres,prostitutionsnetzwerken,chilene,warnen}

@data
1,novemb:european:liber:democrat:reform:parti:adopt:posit:intern:differenti:union:propos:concentr:europ:onion:skin:model,konzentrischer
2,content:gunboat:fleet:fli:star:flag:enforc:fisheri:polici,sternenkreisbanner
3,talk:unit:divers:hollow:especi:non-align:member:state:part:content:report:practic,diversity
4,need:ask:govern:fail:consist:reject:idea:vaccin:face:mount:call:rural:communiti:want:adopt,ringimpfung
5,background:statement:respect:rule:law:freedom:democraci:extrem:hollow,klingt
6,respons:simpl:demand:histori:led:road:intent:first:strengthen:barcelona:polici:develop:encount:major:problem:second:defin:new:polici:outlin:friend:share:institut:union:point:hope:greek:italian:presid:help:boost:year:given:consecut:mediterranean:presid,kreis
7,agre:presid:prodi:said:develop:friend:stretch:russia:morocco:exclud:possibl:acced:union:condit:countri,kreis
8,clear:achiev:friend:know:immigr:come:europ:distant:countri,ring
9,three-fold:challeng:relat:first:energi:stabil:vector:strateg:import:relat:neighbour:countri:partner:talk:friend:presid:prodi:mention:includ:countri:southern:rim:mediterranean,ring
10,object:combin:sort:polici:continu:deepen:enlarg:creat:friend:european:union,ring
11,presid:import:establish:relat:new:neighbour:follow:enlarg:zone:prosper:friend:enjoy:close:peac:cooper:econom:relat,ring
12,econom:dialogu:bank:cultur:dialogu:foundat:great:prospect:close:relat:friend:southern:mediterranean,ring
13,key:principl:friend:forg:joint:ownership,ring
14,optimist:refer:common:destini:preambl:fals:ear:countri:suppos:fat:stuf:gullet:refus:poor:countri,klingen
15,presid:dutroux:case:brought:light:exist:intern:paedophil:reveal:complic:polit:legal:circl:belgium:crimin,aufgedeckt
16,line:argument:familiar,klingt
17,appear:spanish:author:run:european:law:quit:disgrac:affair,ringelreihen
18,oper:impun:protect:friend:high:place,ringe
19,report:discoveri:cross-bord:paedophil:recal:horror,pädophil
20,happi:speak:subject:main:reason:spoke:comment:success:labour:mep:have:remark:have:down:street:way:vote:expung:record,labour-abgeordneten
21,euroland:take:serious:commit:act:respons:number:european:commiss,telefonnummer
22,member:so-cal:wonderland:club:internet:paedophilia:arrest:site:differ:european:countri,pädophilen-rings
23,commiss:urg:britain:exampl:vaccin,ringimpfungen
24,member:state:want:evad:respons:import:necessari:unpopular:true:convict:shrug:respons,brustton
25,travel:british:univers:speak:student:rash:star:flag:literatur,sternenkreis
26,addit:condemn:terror:hollow:fail:strong:line:incid:terror:commit:israel:potenti:creat:futur:generat:terrorist:region,heranwachsen
27,import:warn:bell:duti:continu:turn:blind:eye:number:proven:case:activ:member:bin:laden:network:penetr:citi:regular:immigr:order:prepar:ground:recent:discov:franc:biolog:weapon:attack:possibl:known:dirti:bomb:contain:nuclear:wast,nuklearfall
28,friend:morocco:russia:treat:term:way,ring
29,commiss:explain:countri:western:balkan:romania:bulgaria:turkey:includ,ring
