@relation scene-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {szene,deprimiert,bühne,sportgeschehen,vorzugeben,verschwunden,missetat,parkett,kulissen,taktvollen,gefüge,sondervertreter,zugeschnitten,fernsehgesellschaft,agrarproduktion,panorama,agrarwirtschaft,schauplatz,drogenszenen,zusammengetroffen,organische,jeffrey,anzufordern,handelsbühne,stabilität,rahmenbedingung,kathedrale,unfallort,venezolanische,enger,antidrogendiskos,landschaft,unvorstellbare,weltbühne,schrecklichere,überfüllen,gewaltszene,ouattara,geschehen,pr-gag,stadien,weltpolitisch,rückfluß,eingreift,aufschrei,steinige,geglückte,unwirtschaftlichkeit,lobbyorganisation,schmelztiegel,tapet,jubel,behaupten,dauert,bedenke,folterszene,kriegsgeschehen,peinlichkeit,flüchtete,augenschein,hörfunk,umfeld,szenario,beklagenswerten,bild,strafrechtsvorschrift,brand,tatort,partnerschaft,schutzorientierte,anlaß,verschienenen,propagandistisches,markise,katastrophenort,revolte,aufstrebenden,einstiegen,energieszenario,spieler,arrangement,mamère,gnome,hätte,terrain,tragender,wirtschaftsebene,operierenden,inselreich,dazukamen,dach,reformpaket,verhältnis,erfolgreiche,gewalttat,erscheinung,phantasie,sette,sicherheitspolitischen,eu-masterstudiengänge,millenniumsentwickungsziele,weitergeht,paradiesischen,klasse,scene,spurlos,couleur,friedensmanager,auftreten,umgehe,umgezogen,employment,solidaritätsvertrag,verhaftung,unglücksort,kescher,bekannt,fanatischer,slobodan,arena,aktiv,bewegung,krankenhauspersonal,superterrorismus,kriegsszene,abseits,oligarch,tür,zeitgenossen,weichen,voran,unfallfolgekosten,verkaufsverbots,passiver,sexszene,fortschreitet,energiewirtschaft,währungsgefüge,drogenszene,brandstätte,vorzubereiten,protestwähler,unterstützungsbedürftigen,vorzuweisen,energiesektor,begibt,gewichtiger,arbeitend,bildfläche,vormarsch,tatsächliche,zwangsvertreibung,friedensaktion,berishas,sen,gesamtwirtschaftlichen,rave-szene,auftauchten,fernsehschirm,mitzuerleben,hungernde,tigris,schußwechsel,szenerie,veränderung,praktischerweise,entgegengebracht,vorgefunden,zukunftsgewandt,landesintern,fernsehmüll,abdankung,kulisse,quadratkilometer,gliedern,einzeletat,allendale,spiele,aufreizendes,umwälzen,beinaheunfällen,freudenszenen,angeblich,zwangsverheiratungen,biopersistent,hinzukommen,auszeichnung,meinungsaustausches,balkanproblem,wiebenga,namhafte,schlimmsten,absurde,hochwasser}

@data
1,presid:week:andalusian:town:ejido:saw:inappropri:european:union:year,szene
2,depress:intern:year:practic:abil:deliv:humanitarian:relief:rapid:unpromis:circumst:increas:great:deal:abil:prevent:humanitarian:assist:necessari,deprimiert
3,general:favour:strong:european:union:presenc:intern,bühne
4,role:impact:sport:societi:enorm:entir:sport:undergo:chang:far:social:debat:concern:just:heat,sportgeschehen
5,final:present:report:plenari:behalf:legal:affair:committe:thank:inspir:especi:mention:hope:set:debat:tonight,vorzugeben
6,cours:difficult:determin:long:serbian:popul:need:continu:fight:milosev:actual:disappear,verschwunden
7,explan:culprit:drawn:crime,missetat
8,obvious:appli:major:player:intern,bühne
9,presid:member:elect:hous:elect:europ:speak:europ:determin:role:europ:play:intern,parkett
10,parliament:support:effort:swedish:ngos:promot:peac:parti:involv:start:costa:rica,kulissen
11,presid:welcom:effort:public:moment:portugues:citizen:kidnap:particular:effort:portugues:govern:view:ensur:releas:hostag,taktvollen
12,oppos:disclosur:spoken:debat:oppon:difficult:negoti:necessari:vote:better:outcom:today,kulissen
13,opportun:european:union:improv:presenc:intern:defend:principl:democraci:human:right:legitimaci:object,gefüge
14,special:repres:léotard:swoboda:said:necessari:negoti:rebel,sondervertreter
15,shall:vote:favour:framework:decis:combat:terror:shall:abstain:vote:favour:framework:decis:european:arrest:warrant:appear:terrorist:threat:serv:overal:purpos:feder:limit:strike:blow:terrorist,zugeschnitten
16,fact:intern:compani:quick:european:union:aid:organis,fernsehgesellschaft
17,presid:europ:forc:reckon:intern:jeopardis:secur:need:credibl:defenc:contribut:nato:outlin:coher:viabl:euro-atlant:secur:concept:matter:urgenc:pain:ostracis:intern:isol,bühne
18,case:member:posit:member:hous:legisl:european:prejud:conduct:member:way:bring:hous:sole:appropri:author:member:sought:immun:waiv:clear:unsatisfactori:affair,bühne
19,effort:vain:negoti:commit:defend:agricultur:product:convict:intern,agrarproduktion
20,look:contin:promis:instabl:venezuela:extrem:delic:situat:colombia:spectacular:fall:public:support:presid:toledo:peru:visit:hous:decemb:general:uneas:region,panorama
21,shall:leav:cover:agricultur:total,agrarwirtschaft
22,day:teheran:heat:student:protest:glad:say:presid:khatami:announc:doe:support:sentenc:order:review:novemb:suprem:leader:khamenei,schauplatz
23,intern:situat:good:come:hold:debat:institut:consid:burn:issu:current:intern:view:possibl:resolv:european:perspect,bühne
24,method:heroin:inject:supervis:inject:room:open-drug:on-the-spot:anonym:test:substanc:requir:research:evalu:general:recommend,drogenszenen
