@relation soil-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {erde,boden,ernterückständen,zurückgreift,wassernutzungsplänen,hoheitsgebiet,melioration,bodenverhältnissen,erdreich,geselligkeit,zipfel,inhafthaltung,verwaltungshafteinrichtungen,us-amerikanischem,operierende,anzulocken,mitzuhelfen,bodentrockenheit,rieche,nährboden,bodenfruchtbarkeit,bodenqualität,territorium,bodenausschöpfung,bodenschutzstrategie,energieknappheit,schandmauer,bodenbeschaffenheit,anbaugebiet,abziehen,regionalerzeugnissen,extremismus,bodenerosion,kompromißlösung,flachgründigem,indonesischem,bodensanierungsprojekte,verfeuert,salzböden,grundwasserverseuchung,sandboden,bodenbedingungen,guantánamo-affaire,bodennutzung,veranstalten,stickstoffanreicherung,territorialen,Überweidung,ölverseuchte,prosperierende,kugeln,weichem,babylons,zähmung,neuansiedlung,us-invasion,eu-boden,lehmboden,glücklich,irakisch-türkischen,bodenverhältnisse,beschreiten,anbauerzeugnisse,flußwasser,bodenfeuchtigkeit,ausgewiesen,bodenschutz,brüssler,agrarräumen,nährstoffeintrag,eutrophierung,bodenkundlichen,nitratkonzentration,bodenverbesserung,abgezogen,bodenverunreinigung,bodentypen,lebensmittelpunkt,aufgewachsen,waldboden,einzutauchen,befreite,eu-gebiet,zwangsarbeitslager,verwickelt,zarte,erdoberfläche,bodengebundene,bodenzerstörung,bodenbegasung,standardkontrollen,bodenerosionsprozesse,erdwärme,grundgebiet,bodenkolloide}

@data
1,answer:order:use:lie,erde
2,let:paduan:reclaim:trojan:antenor:trojan,boden
3,polici:bear:fruit:futur:unless:point:support:family-run:farm:protect:landscap:environment:benefici:cultiv:especi:ecolog:sensit:area:instead:pour:consider:percentag:financi:resourc:farm:busi,boden
4,general:tendenc:seen:increas:deterior:non-conifer:speci:oak:beech:intens:defoli:owe:serious:atmospher:pollut:essenti:central:europ:increas:acid,boden
5,furthermor:pollut:marin:terrestri:origin:increas:contamin:drink:water:resourc,boden
6,ensur:oper:carri:knowledg:consent:govern:subject:law,boden
7,wish:establish:harmonis:area:immigr:asylum:contribut:develop:countri:origin:ensur:migrant:enjoy:dignifi:fair:treatment:observ:human:right:base:equal:right,boden
8,prove:product:contain:activ:substanc:imidacloprid:fipronil:damag:effect:nervous:system:honey-gath:insect:crop:undergo:seed:treatment:subsequ:crop:rotat:system:product:persist:year:harvest:residu:plough:subsequ:humus,ernterückständen
9,imagin:commiss:council:accept:children:use:manufactur:product:world:cup:european,zurückgreift
10,rain:increas:global:warm:deforest:longer:retain:water:river:bed:narrow,boden
11,agreement:state:principl:base:sustain:develop:mapuch:territori:experienc:blind:exploit:natur:resourc:deforest:construct:dam:flood:ancestr:result:nation:hydrolog:plan,wassernutzungsplänen
12,doe:come:bloodstain:invad:iraq:set:foot:greek:freedom:sure:forget:recept:greek:store:peac:recept:cours:flag-wav:voic:rais:song,boden
13,posit:aspect:report:hernández:mollar:emphasis:altern:extradit:european:nation:unit:state:particular:regard:crime:commit:european,hoheitsgebiet
14,reveal:lofti:ambit:aim:embrac:field:pollut:climat:chang:biodivers:natur:resourc,boden
15,natur:environment:non-hazard:materi:wast:rock:wast:especi:use:filler:materi:mine:quarri:improv:road:construct,melioration
16,thunder:gun:broke:uneasi:silenc:ethiopia:eritrea:democrat:republ:congo:burundi:algeria:côte:ivoir:sudan:uganda:africa:defin:chatter:weapon:war:strive:peac:exemplifi:african:peopl:south:africa:rwanda:year:sought:address:grossest:injustic:occur:african,boden
17,unaccept:appli:join:european:union:doe:turkey:recognis:member:cyprus:keep:thousand:troop:cypriot,boden
18,consid:vital:differ:measur:method:introduc:europ:reflect:climat:type:differ,bodenverhältnissen
19,furthermor:farmer:main:victim:measur:toler:level:substanc:sulphat:generat:natur:area:depend:characterist:crop:exampl:crop:rice:endur:higher:level:sulphat:plant:speci,boden
20,final:thank:committe:environ:public:health:food:safeti:council:understand:propos:provid:analysi:eros:forget:current:signific:progress:loss:european:union:express:concern:specif:role:european:environ:agenc:play:term:creat:infrastructur:necessari:correct:applic:object:doubt,erdreich
21,wine:goe:hand-in-hand:cuisin:mark:region:produc:carri:flavour:cultiv:symbol:festiv:live,geselligkeit
22,live:souther:patch:european:heart:euro-afro-asian:basin:awar:need:establish:border:boundari:spirit:peac:coexist,zipfel
23,import:hous:prejudic:prior:judgment:avert:shut:eye:fact:examin:thing:rang:abduct:tortur:engag:european,boden
24,vote:did:resolut:concern:london:constitu:believ:object:investig:alleg:alleg:countri:cia:transport:prison:alleg:european:illeg:detent:prison,inhafthaltung
25,foremost:need:widen:legal:entri:channel:turn:matter:communiti:amend:dublin:agreement:last:close:administr:detent:centr:locat:european,verwaltungshafteinrichtungen
26,consum:produc:countri:case:finland:enjoy:price:advantag:link:fact:waterfal:har:product:energi:fish:industri:transport:spent:nuclear:fuel:buri:etern,erde
27,demand:fair:trial:unit:state:held:guantanamo,us-amerikanischem
28,believ:respect:competit:rule:duti:commiss:european:union:impos:common:minimum:rule:busi:oper:say:perfect:solut:specif:think:compani:tax:harmonis,operierende
29,urgent:need:european:union:stem:brain:drain:effect:appropri:measur:attract:excel,anzulocken
30,regard:nuclear:safeti:consider:progress:especi:allevi:effect:possibl:accid:reactor:safeti:prevent:occurr:futur:accid:better:understand:effect:radiat:human:treatment:mechan:radionuclid:movement:biota,boden
31,barbar:commit:european,boden
32,council:bring:forward:initi:foster:understand:dialogu:polit:democrat:forc:countri:cooper:fight:terror:unfortun:transmit:european,mitzuhelfen
33,term:proport:possibl:obstacl:freedom:movement:intimid:compar:thousand:appal:mutil:bodi:litter:algeria,erde
34,give:privileg:manag:except:flood:risk:situat:result:arid,bodentrockenheit
35,elimin:quarter:farm:forestri:practic:took:carbon:air:plant,boden
36,till:fetch:water:cook:food:need:money:children:school:medicin:tea:sugar:bus:fare:shoe:older:children,erde
37,acid:especi:remind:commission:stringent:limit:valu:achiev:northern:region:finland:sweden:austria:allow:maintain:impos:limit:countri,boden
38,said:chadian:reek:petroleum,rieche
39,foster:cultur:ingenu:solidar:whilst:nurtur:manner:shadi:deal:susten,nährboden
40,point:fertilis:fruit:implicit:add:fertilis:crop:absorb,bodenfruchtbarkeit
41,farmer:know:absenc:rotat:crop:reduc:oblig:increas:fertilis:phytosanitari:product,bodenqualität
42,presid:obtain:safe:healthi:food:take:account:chain:say:way:cultiv:crop:grow:seed:condit:breed:anim:nutrit:water,boden
43,presid:presid:commiss:agre:total:previous:speaker:acidif:eutroph:increas:ozon:level:problem:effect:address:europ,erde
44,oblig:complement:grow:cereal:legum:fodder:crop:order:receiv:subsidi:contribut:establish:ecolog:cycl:improv,boden
45,conclus:vigil:regard:respect:free:movement:person:equal:econom:social:polit:right:algerian:nation:european,boden
46,invit:lebanes:govern:ensur:respect:right:refuge:migrant:asylum:seeker:present:lebanes:ceas:kind:discriminatori:measur:palestinian:refuge,territorium
47,definit:gmo:contamin:inappropri:general:definit:doe:list:sourc:contamin,boden
48,pressur:suppli:food:cheapli:american:competitor:outsid:intensif:exploit:export:subsidi,bodenausschöpfung
49,nonetheless:consid:new:part:regul:concern:strategi:monitor:biodivers:issu:member,bodenschutzstrategie
50,estim:ukrain:tonn:pesticid:locat:honour:member:know:affect:human:health:contamin:groundwat:food:air,boden
51,countri:huge:energi:shortag:tremend:disloc:soviet:troop:tremend:insecur,energieknappheit
52,instead:contain:terror:stronger:danger:spread:hatr:west:islam:world:danger:embroil:world:clash:civilis:fertil:fundament,nährboden
53,call:econom:polit:measur:taken:immedi:includ:immedi:suspens:associ:cooper:agreement:israel:order:forc:isra:govern:stop:slaughter:palestinian:withdraw:isra:occupi:forc:palestinian:demolish:wall:shame:creat:independ:palestinian:capit:eastern:jerusalem,schandmauer
54,essenti:point:doe:climat:condit:consider:critic:goal:nitrat:direct:defin:communiti:level:mechan:achiev:goal,bodenbeschaffenheit
55,accord:concern:agreement:danger:aggrav:crisi:current:hit:wine-produc:sector:long:term:destroy:individu:natur:european:wine:characteris:tradit:root:natur:quit:specif:wine-mak:practic,anbaugebiet
56,wish:hand:flag:presid:request:send:turkish:premier:tell:patienc:run:delay:excus:occup:troop:cypriot:european:union,abziehen
57,kind:rehabilit:requir:strict:complianc:legal:provis:preclud:water:pollut,boden
58,fact:slowli:sure:turn:back:gulf:stream:natur:sourc:heat:day:ocean:current:alter:global:warm:rob:million:tonn:arabl:human:born:desertif:proceed:headlong:ever-fast:rate,boden
59,mercuri:classifi:prioriti:hazard:substanc:water:framework:direct:retard:microbiolog,boden
60,exist:wide:network:agricultur:smes:agricultur:polici:promot:sustain:product:method:notabl:regard:water:vital:precondit:fight:effect:drought:forest:fire,boden
61,addit:problem:lie:restrict:territori:ceuta:climat:featur:develop:farm:imposs,boden
62,product:great:singl:market:bring:new,regionalerzeugnissen
63,have:said:hous:attack:real:problem:fertil:extrem:attack:unemploy:ravag:unrestrict:free:enterpris:disastr:effect:social:fabric,extremismus
64,far:concern:reject:general:polici:suicid:polici:europ:wine-grow:design:control:product:perman:abandon:familiar:effect:countrysid:wine-grow:area:eros:abandon:land:result:econom:declin:rural:exodus:youth:unemploy:mention:lost:mean:product:world:market,bodenerosion
65,belarus:today:regim:european:led:presid:lukashenko:hand:russian:puppet:hand:certain:base:free:democrat:order:sort,boden
66,follow:condit:met:reusabl:hop-grow:facil:maintain:good:condit:area:given:perman:grass:cover:improv:fertil:area:hop:extend:includ:farmland,bodenfruchtbarkeit
67,first:environment:viewpoint:varieti:genet:alter:resist:soil-born:air-born:diseas:drastic:reduc:need:herbicid:fungicid:chemic:plant:protect:product:leav:damag:residu,boden
68,commiss:tri:compromis:solut:time:fallen:good,kompromißlösung
69,approach:research:biotechnolog:seed:plant:abil:surviv:produc:arid:infertil:area:normal:temperatur:shallow,flachgründigem
70,lebanon:suffer:presenc:hundr:thousand:palestinian:thrown:israel:quick:evolv:welcom:refuge:revolutionari:conqueror:host:countri,boden
71,strang:europ:want:stop:clock:histori:nuremberg:european:absorb:innoc:blood:hundr:thousand:victim:women:children:civilian:respons:continu:run:free:unpunish:receiv:honour:respect:includ:offici:europ:far:limit:occasion:verbal:condemn,boden
72,investig:emiss:accumul:inciner:plant:dioxin:emiss:present:grass:eaten:anim,boden
73,europ:duti:offer:guarante:individu:resid:european,territorium
74,imposs:talk:east:timor:mention:ten:thousand:timores:refuge:live:indonesian:inhuman:condit:control:indonesian:soldier:militia:use:bargain:chip,indonesischem
75,clear:miss:opportun:support:substanti:arid:area:southern:europ:crop:altern,boden
76,transpir:turn:project:success:present:side:impetus:creat:certain:fertil,boden
77,draw:commission:attent:environment:signific:decontamin:project,bodensanierungsprojekte
78,fact:old:combust:plant:allow:pollut:hour:annual:unaccept:fact:permit:exceed:emiss:limit:valu:fuel:high:pollut:brown:coal:extract:countri,verfeuert
79,biotechnolog:offer:major:advanc:product:food:europ:advantag:farmer:consum:alik:benefit:part:world:struggl:drought:salin:fast-increas:popul,salzböden
80,proper:pre-treat:high:toxic:compon:contamin:groundwat:pollut:air,boden
81,data:did:commiss:base:conclus:financi:cost:involv:protein:crop:programm:outweigh:need:combat:impoverish:degre:food:depend:increas:gmos:europ,boden
82,contamin:water:underground:harm:health:popul:capabl:dealt:ukrainian:budget:situat:reason:understand:aid:run,grundwasserverseuchung
83,equal:import:pay:attent:compon:terrestri:ecosystem:crucial:factor:sustain:develop,boden
84,heavi:rain:brought:landslid:flood:threaten:worsen:scale:catastroph:environment:consequ:term:eros:sever:socio-econom:problem:experienc:area:interior:countri:woodland:main:sourc:econom,bodenerosion
85,situat:clay:differ:peat:sandi:type:differ:finland:heel:itali,sandboden
86,said:meet:room:european:union:farmer:old:member:left:bank:river:farm:ident:climat:condit:receiv:direct:payment:level:euro:compar:euro:receiv:farmer:new:member:opposit:bank:river,bodenbedingungen
87,let:forget:import:factor:futur:impact:assess:weight:need:given:fact:exampl:oliv:grove:almond:tree:key:factor:prevent:desertif:preserv:scarc:rain,boden
88,talk:respect:human:right:instanc:guantanamo:affair:isol:case:demonstr:exampl:abu:ghraib:situat:absolut:mention:kidnap:free:citizen:document:major:european:newspap:carri:secret:servic:european:union,guantánamo-affaire
89,incent:introduc:increas:clean:technolog:research:innov:support:sustain:energi:sustain:manag:promot:european:level,bodennutzung
90,case:lock:transport:illeg:european:judici:trial:core:valu:stake:question:aris:intend,boden
91,european:right:live:free:violenc:right:live:peac:believ:unequivoc,boden
