id,phrase,classes
1,presid:vote:report:just:hatzidaki:remark:abil:committe:chairman:expert:european:union:transport:regul:repres:pension:parti:itali:pleas:note:allow:-metre-long:buse:hold:instead:passeng:travel:european:road:cost:travel:reduc:elder:travel:just:come:strasbourg:travel,seniorentourismus
2,institut:parti:involv:bus:manufactur:public:transport:oper:user:group:includ:repres:passeng:reduc:mobil:arriv:consensus,autobusherstellern
3,imagin:era:tow:barg:carrier:pigeon:caus:quit:bit:delay,kutsche
4,propos:direct:protect:children:car:help:reduc:number:death:injuri:result:accid:minibus:lorri:make:safeti:belt:compulsori:driver:passeng:safeti:belt:suppli,bussen
5,equal:true:say:countri:fit:speed:limit:obvious:reason,busse
6,say:turm:fulli:share:constern:tragic:air:crash:luxembourg:franc:issu:relat:portfolio:transport,waggon
7,intern:ferri:journey:intern:journey,busreise
8,buse:green:fond:environment:friend:way:travel:safer:date,bustransport
9,bulk:wear:seatbelt:so-cal:cosi:corner:wear:simpli:doe:sens,reisebus
10,player:weak:experi:field:promis:fair:play:accept:author:realis:import:match,trainer
11,view:recent:tragic:event:meath:ireland:young:lost:live:school:bus:crash:urgent:need:measur:quick:progress:fit:safeti:belt:child:restraint:includ:school:buse:direct:approv:implement:quick:possibl,reisebus
12,agre:fulli:hatzidaki:stabilis:associ:agreement:help:countri:european:standard:regard:elector:reform,wahlreform
13,welcom:inclus:seat-belt:necessari:safeti:measur:buse:european:union,omnibusse
14,problem:conceptu:drive:hors:idea:quota:respect,einzuhaltende
15,field:bus:transport:welcom:transport:environment:reason:need:europe-wid:rule:guarante:overtir:driver:passeng:involv:risk,bustourismus
16,madam:presid:foremost:quot:great:dutch:philosoph:michel:famous:footbal:said:footbal:war,fußballtrainer
17,preposter:jospin:endeavour:drive:hors:european:direct:british:date-bas:export:scheme:introduc:condit,gröblichst
18,european:commiss:approv:propos:direct:special:arrang:buse:vehicl:special:need:mobil:problem:use:wheelchair:access,reisebus
19,longer:locomot:train,waggon
20,stress:direct:european:communiti:set:pace:enabl:industri:compet:common:rule:produc:safe:access:buse:benefit:european:public:transport:user,busse
21,encourag:enter:honest:durabl:relationship:encourag:enter:marriag:conveni:drive:hors:direct:intent,scheinehe
22,programm:doe:includ:specif:measur:construct:commiss:care:studi:recommend:ecbo:research:project:produc:final:report,reisebus
23,numer:european:countri:especi:year:phenomenon:emerg:led:well-known:histor:club:bankruptci:spend:ambiti:plan:vain:hope:unpaid:player:debt:reach:far:fifa:uefa,trainer
24,commiss:european:standard:hotel:inn,reisebusse
25,far:detail:place:particular:option:travel:spread:day:restrict,mehrtägige
