id,phrase,classes
1,rapporteur:deplor:fact:given:report:cover:aid,zahlen
2,second:explod:myth:take:start:point:appar:paradox:clear:highlight:eurostat:main:intern:tourist:countri:tradit:regard:tourist:destin:contrari:advanc:nation:life:main:attract:heavili:promot:featur,eurostat-statistiken
3,know:finland:presid:just:lead:public:polit:leader:commander-in-chief:arm:forc:quit:interest:histor:occas,oberkommandierender
4,delight:note:follow:inform:discuss:taken:possibl:consider:increas:budget:propos:just:eur:million:just:eur:million,beantragten
5,respect:think:essenti:allow:greater:flexibl:regard:period:adapt:said:target:level:given:real:difficulti:control:ozon:concentr:set:pure:basi:exist:previous:data:constant:seen:climat:condit:especi:just:mention:mediterranean:countri,ozonvorläufern
6,start:ece:gothenburg:protocol:revis:propos:mrs:myller:report,unece-angaben
7,studi:back:renew:energi:creat:job:convent:form:energi,zahlenbelegen
8,set:million:african:unload:europ,zahl
9,million:children:africa:seen:schoolroom:manag:doubl:educ:budget:year:budget:simpli:shift:welcom:bonus,bildungshaushalts
10,let:discuss:budget:cours:quot:actual,zahlen
11,budgetari:framework:suggest:commiss:close:propos:arriv:committe:develop:cooper:parliament:approv:certainti:adopt:council:accept,zahl
12,overal:budget,zahlen
13,increas:staff:new:structur:independ:condit:olaf:concentr:fight:fraud:area:object:verifi:point:situat,zahlen
14,manag:valu:poorest:countri:water:share:poor:middle-incom:countri,summe
15,evid:highlight:high:socio-econom:depend:communiti:region,zahlen
16,bear:mind:just:mention:doe:sens:discuss:financ:new:prioriti:actual:question:prioriti:establish:return:consider:unutilis:sum:member:state,angaben
17,hand:implement:programm:outsid:european:union:poor:case:fault:countri:major:case:fault:commiss,ausführung
18,presid:first:wish:express:satisfact:fact:entir:budget:tighten:increas:appropri:amount:total:gnp:member:state:correspond:budget,zahl
19,council:declar:aim:increas:expenditur:comparison:current:budget,zahlen
20,committe:discuss:took:lenient:approach:ultim:decid:start:negoti,gehen
21,believ:work:begun:european:agenc:health:safeti:bilbao:posit:contribut:reduct:accid:answer:question:construct,unfallzahl
22,intend:fact:heard:great:deal:score,detail
23,presid:rapporteur:fine:report:point:recent:publish:european:agenc:health:safeti:work:headquart:bilbao:indic:differ:result:relat:work:accid:member:state:owe:fact:state:appli:uniform:statist:criteria,arbeitsunfallzahlen
24,known:franc:instanc:tax:receipt:vari:accord:statist:direct:générale:comptabilité:publiqu:comptabilité:national,zahl
25,good:world:impos:presid:hous:live:televis:programm:broadcast:day:show:allur:commission:just,liveübertragung
26,cours:support:hundr:thousand:million:moot:prepar:moment:risk:order:support:opposit:help:kostunica:wish:milosev,million
27,comment:daniell:auroi:just:subject:countri:south:add:expert:estim:provid:interest:instanc:rang:usd:billion:recov:tobin-typ:tax:undp:unit:nation:develop:programm:amount:usd:billion:annum:suffici:guarante:minimum:live:condit:hundr:million:depriv:countri,zahlenangabe
28,regard:comment:domin:ka-sh:famili:subject:media:hong:kong:today:sector:hong:kong:economi:point:reason:rais:matter:rais:lead:hong:kong:subject:major:media:debat:recent:visit,ka-shing
29,madam:presid:expect:announc:chair:yesterday:sakharov:prize:award:vote:present:plenari,verleihung
30,turn:construct:statement:assur:question,zahlen
31,suggest:budget:avail:programm:total:insuffici,neige
32,accord:eurostat:popul:live:averag:nation:incom:take:low-incom:threshold:measur:relat:poverti,angaben
33,thirti:year:provid:intern:aid:today,anteil
34,total:extern:aid:european:union:account:eur:billion:today:year:later:near:eur:billion,angewachsen
35,vote:favour:want:say:parliament:account:check:money:spent:commiss:attent:paid:check:plus:plus:plus:plus:check:expens:realli:use:europ:realli:achiev,zahlen
36,mention:forward:potenti:job:loss:issu:origin:direct:recast:propos:year,zahlen
37,offici:suggest:doubl:passeng:number:just:year:look:mean:term:order:meet:scale:demand:need:extra:new:heathrow:airport:extra:new:gatwick:airport,zahlen
38,quit:frank:perplex:evalu:contain:regard:agricultur:sector:data:interpret:harsh:sector:undergo:great:all-encompass:chang:world:agricultur:common:agricultur:polici:concern:decis:adopt,zahlen
39,presum:misinterpret,rechenfehler
40,poetter:favour:creation:slight:baroqu:euro:model:cfsp:believ:heard:say:conclus:european:parti:congress:berlin,figur
41,sort:report:necessarili:refer:averag:round:conceal:econom:diverg:economi,verwerfung
42,consensus:propos:present:commiss:satisfi:concern:budgetari:author:first:doe:rais:overal:appropri:end:program:period:council:want:bound:budgetari:limit:member:state:second:transfer:commit:appropri:end:period:favour:complianc:berlin:agreement:parliament:demand,gesamtausgabenbetrag
43,familiar:agricultur:consider:better:posit:section:budget,zahlen
44,corri:alloc:ninth:european:develop:fund:cover:develop:countri:low-incom:countri,prozentsatz
45,latest:avail,zahlen
46,basi:forecast:consid:year:entir:realist,wert
