id,phrase,classes
1,regret:have,arbeit
2,maintain:situat:invest:creation:lucrat:short-term:sale:foreign:currenc:share,arbeitsplatz
3,creat:function:urban:environ:term:social:polici:requir:polici:long-term:creation:combat:poverti:measur:assist:low-incom:group:old:facil:children:racial:ethnic:integr:better:opportun:particip:target:public:health:polici:includ:measur:prevent:drug:abus:concert:crime:prevent:measur,arbeitsplatz
4,exampl:mention:public:author:notabl:commiss:taken:measur:guidelin:nation:region:aid:came:forc:januari:year:ensur:public:fund:remain:associ:recipi:region:aid:consequ:attach:invest,arbeitsplatz
5,cours:possibl:lost:factori:close:idea:court:proceed:lengthi:itali:reassur,arbeitsplatz
6,worker:like:lose,arbeitsplatz
7,closur:mean:direct:indirect:loss:thousand:hundr:famili:abandon:insecur:sudden:poverti,arbeitsplatz
8,region:employ:consequ:merger:sever:result:abb-alsthom:have:announc:cut:britain:lost:stafford:rugbi,arbeitsplatz
9,need:dynam:vision:base:tourism:contribut:creation,arbeitsplatz
10,end:congratul:vicecont:come:crete:tourist:area:ask:view:tourism:term:pleasant:holiday:primari:job:creator:europ:need,arbeitsplatz
11,mention:relat:sector:european:public:postal:servic:today:employ:half:million:oper:futur:clear:threaten:spectr:radic:untrammel:liberalis,arbeitsplatz
12,second:growth:rate:consid:emin:feasibl:suffici:reduc:unemploy:improv:content:growth,beschäftigungswirksame
13,rigid:impos:social:converg:criteria:communiti:guidelin:certain:doe:creat:necessari,beschäftigungswachstum
14,potenti:clear:european:union:today:member:state:attain:best:practic:achiev:exist:state:competitor:million:twice:current:unemploy,arbeitsplatz
15,growth:stimulus:need:enabl:long-last:growth:effect:generat:organis:high:level,beschäftigungswirksames
16,practic:measur:relat:spoke:earlier:common:goal:support:servic:famili:particular:children:key:factor:creat:creat:equal:opportun:ensur:greater:particip:women:labour:market,arbeitsplatz
17,regardless:ideolog:consider:reorder:paragraph:new:articl:order:subject:qualifi:major:vote:affect:object:point:view:proper:oper:intern:market:social:secur:protect:worker:worker:protect:cancel:work:contract:collect:represent:defenc:interest:worker:includ:codetermin:work:condit:countri:nation:legal:resid:communiti:territori:financi:contribut:promot:employ:creation,arbeitsplatz
18,member:parliament:awar:implic:industri:agricultur:competit:yes:constitu:commiss:propos:win,arbeitsplatz
19,vila:garcia:arousa:repositori:instal:wharf:financ:erdf:hold:cubic:metr:hydrocarbon:pose:threat:fish:relat:activ:provid:hydrocarbon:handl:regular:basi:accid:transport:vessel:occur,transportschiff
20,summit:initi:portugues:presid:add:contribut:continu:intensif:support:neo-liber:monetarist:polici:led:present:dismal:situat:contradict:social:employ:polici:dramat:rise:unemploy:insecur:discrimin:social:exclus:widespread:poverti:ostens:order:promot:propos:measur:support:employ:combat:unemploy,arbeitsplatz
21,presid:ladi:gentlemen:dealt:problem:organis:crime:european:union:specif:reason:today:urgent:debat:murder:brindisi:februari:offici:guardia:finanza:sudden:brought:light:danger:face:colleagu:secur:bodi:member:state:protect:extern:border:european:union:work:region,operationsfelder
22,first:protect:environ:creation,arbeitsplatz
23,studi:back:figur:renew:energi:creat:convent:form:energi,arbeitsplatz
