id,phrase,classes
1,presid:old:forgotten:extraordinari:harrow:report:came:cambodia:aerial:pictur:desert:capit:khmer:roug:leader:school:violent:tenet:french:revolutionari:tradit:possess:mixtur:polit:ideal:mass:psychopatholog:move:million:citi:countrysid:begin:new:societi:year:zero:leadership:great:pol,pot
2,hand:intern:socialist:lenin:trotski:stalin:mao:pol:enjoy:total:immun,pot
3,polit:framework:afghanistan:american:play:integrist:broken:know,fundamentalist
4,mean:final:dispens:special:money:special:pension:fund:member:repeat:subject:public:critic:parliament,sondertopf
5,pension:ask:cook:brussel,topf
6,happen:new:piec:news:think:heat:pension:boil:possibl,topf
7,surpris:follow:pol:death:defeat:khmer:roug:need:kind:nation:catharsi:applic:justic:call:account:respons,pol
8,tri:demonstr:label:honey:inform:consum:origin:honey:order:prevent:honey:import:know:contain:know:pollen:confus:honey:produc:beekeep,honigglases
9,task:rapporteur:certain:stenmarck:look:institut:money:left:budget:ensur:commiss:disadvantag:great:extent,zugeleitet
10,true:open:window:hold:differ:view:start:smoke:cannabi:hard:drug:establish:fact:slave:heroin:start:smoke:grass,cannabis
11,europ:melt:cultur:languag:possibl:thank:free:movement:studi:programm,studienprogramm
12,europ:melt:meant:superst:contrari:divers:europ:wealth:begin:town:communiti:live:region,superstaat
13,technic:ethic:justifi:million:anim:die:nastiest:possibl:way:mere:cosmet:industri:produc:cream:million:cream:product,tiegelchen
14,compet:smaller:money:broad:object:direct:fund:defenc:cut,arbeitsplatzkürzung
15,say:kerr:rare:miss:opportun:shot:british:govern,schuß
16,macao:said:melt:cultur:new:meet:cultur:religion:territori:peac:tranquil:coexist:peopl:divers:ethnic:background:reign,umschlagplatz
17,collect:attent:europ:best:addit:practic:guarante:best:way:guarante:macao:uniqu:natur:safeguard:continu:deal:macao:uniqu:way:put:countri,magma
18,address:question:specif:commission:apart:singl:question:kinnock:thrown:enorm,topf
19,current:allow:build:consider:money,reibach
20,uncoop:approach:rapporteur:committe:women:right:equal:opportun:obstin:determin:listen:reason:throw:say:mean:vote:favour:report:indiscrimin:accus:religion:practis:pernici:fundament:import:reason:seek:manipul:resolut:defin:detail:asylum:immigr:polici:european:union,scheren
21,end:militari:conflict:year:war:vietnam:come:close:fall:bloodi:communist:regim:pol:violent:anti-govern:lao:intern:communiti:activ:cooper:support:indochina:term:develop:democraci:intern:forum,pot
22,govern:friend:american:follow:pol:pro-chines:reign:terror:vietnames:help:govern:hun:sen:subsequ:elect:produc:result:virtual:imposs:govern:widespread:support,pot
23,right:throw:racism:so-cal:homophobia:islamophobia,topf
24,today:peopl:dissolv:american:melt,schmelztiegel
25,differ:europ:melt:unit:state,schmelztiegel
26,present:fine:studi:sort:pourri:written:march:attitud:offici:french:suprem:audit:offic,potpourri
27,end:ispa:appear:reason:report:slip:enlarg:melt,ispa
28,content:take:potluck:pretti:foreign:polici:hopeless:inconsist:downright:non-exist:time:dire:crisi:deterr:need,stottern
29,cours:tri:break:lucrat:american:market:let:sure:produc:programm:sell:border:interest:buy:add:independ:produc,fonds
30,concern:human:right:stalinist:russia:maoist:china:today:pol:cambodia:south:america:haiti:east:germani:day:honeck,pot
31,reader:major:french:even:newspap:hyster:read:page:headlin:phnom:penh:freed:communist:pol:seiz:khmer:capit,pot
32,fact:case:call:kettl:black:reason:toler:deceit:fraud:theft:taxpay:money:especi:excus:toler:thing:reason:excus:allow:line:pocket:taken:advantag:year:unpunish,versündigt
