id,phrase,classes
1,apart:amend:error:intend:vote:favour:vote:explain:mean:follow:fiction:situat,stimmabgabe
2,diplomat:council:present:dilig:take:note:report:council,ansonsten
3,intern:work:foreign:polici:principl,innergemeinschaftliche
4,want:know:junior:doctor:countri:sort:superhuman:adequ:harm:health:patient,ruhezeit
5,illeg:exampl:involv:gangland:oper:illicit:distil:smuggl:privat:individu:politician:bring:ration:countri,rest
6,concern:arisen:main:result:success:budgetari:cut:field:cooper:extent:illustr:endors:fear:just:mention:feel:lay,ausgeräumt
7,wish:warn:rip:union:inner:circl,zweiteilen
8,unit:common:project:unmistak:project:peac:european:europ:world,welt
9,bank:obtain:form:secur:cover:risk,verbleibende
10,case:assur:presid:genuin:desir:presid:council:seek:compromis:suit,versichert
11,rapporteur:call:parliament:approv:suppos:social:polici:commiss:propos:council:word:approv:total:vacuum:singl:practic:measur:like:improv:situat:worker,Übrigen
12,dread:storm:flood:ravag:europ:world:recent:month:wake-up,welt
13,trust:council:adopt:soon:continu:consult:procedur:packag:quick:manner,rest
14,let:forget:barcelona:european:union:extern:relat:form:integr:acqui:communautair:candid:countri:prepar:see:mediterranean:countri:privileg:partner:privileg:partner:europ,ebenso
15,buy:gbp:million:worth:good:britain:annual:gbp:million:european:union,übrige
16,parliament:particular:sensit:human:right:situat:tunisia:world,übrige
17,awar:demonstr:concept:cultur:divers:respect:foreign:accept:idea:right:nub:problem:help:europ:play:fundament:role:relat:world:era:globalis,übrige
18,guarante:serv:ensur:will:entrepreneur:automat:jeopardis:livelihood:face:risk:financi:ruin:life,rest
19,accord:jaa:regul:lay:requir:commiss:propos:doe:contain:provis:flight:duti:time:period,ruhezeit
20,acp:countri:money:promis:ninth:european:develop:fund:world:financi:perspect:clariti:certainti:budget:level:develop:cooper,übrige
21,set:asid:examin:effect:unborn:possibl:unheard-of:natur:speci:varieti:natur,gattung
22,quit:right:group:vote:report:case:respons,okay
23,regret:council:examin:level:intermod:termin:includ:european:combin:transport:network:delight:chang:specif:project:annex:relat:lisbon-valladolid:motorway:known:new:portug:spain:multimod:link:europ:manag:rail:road:sea:air:connect:iberian:corridor:galicia:portug:portug:sevill:andalusia,übrige
24,welcom:paragraph:reserv:report:paragraph:agre:golden:rule:good:exampl:europ:follow,übrige
25,think:hous:construct:suggest:respect:thank:rapporteur:van:dam:committe,übrige
26,clear:prove:possibl:instead:seek:impos:plan:issu:sought:consensus:import:aspect:awar:ultim:respons:state,relevantesten
27,realli:welcom:fact:second:pillar:dealt,übrige
28,context:support:resolut:confeder:european:unit:left:nordic:green:left:subscrib:transatlant:dialogu:vote,Übrige
29,creat:author:precaut:taken:bureaucratis:centralis:tendenc:avoid:second:europ:accus:want:wipe:typic:tradit:product:appli:rule:hygien:health:process:conserv:right:moment:consumpt:unsuit:rigid:excess:valid:steril:standardis:product:busi:appropri:product:link:local:aosta:valley:alp,aosta-tal
30,despit:continu:effort:intern:communiti:terribl:realiti:afghanistan:unfortun:show:taliban:regim:remain:impervi:argument:pressur:abroad,übrige
31,mountain:climb:confid:ireland:europ:rise:challeng:given:chanc,übrige
32,send:clear:messag:unit:state:world:commit:goal:determin:combat:climat:chang,sonstigen
33,right:assum:command:polic:forc:sent:actual:final:analysi:council:commiss:polic:demonstr:peacekeep:militari:oper,polizeieinheit
34,remind:member:council:mrs:weiler:said:happen:europ:world:extrem:concern:given:social:advanc:achiev:individu:countri:globalis:european:union:construct:enlarg:union:circumst:lead:revers:social:advanc,ganzen
35,need:enquiri:unit:kingdom:behaviour:order:understand:fulli:just:govern:respons:european:sentiment:link:unit:kingdom:european:union:sentiment:polit:actual:exist,übrige
36,compli:requir:statut,Übrigen
37,place:right:home:instanc:women:right:men:world:unfortun:case:women:realli:face:tortur,übrige
38,commiss:believ:provid:pass:million:tonn:iberian:peninsula:european:contin,restlichen
39,longer:term:absolut:prioriti:maintain:control:flow:land:transport:alpin:region:hinder:freedom:movement:econom:develop:specif:access:italian:peninsula:europ:base:element:mention:moment:provid:alp:major:rail:cross:carri:proport:rail:transport:burden,übrige
40,burden:negoti:realli:did:main:european:union:follow:departur:unit:state:israel,trug
41,determin:racism:articl:european:union:say:world:approach:problem,welt
42,background:surpris:despit:obstinaci:loui:michel:come:know:belgium:world:sound:final:declar:obtain,welt
43,hope:major:parliament:adopt:report:tomorrow:support:posit:europ:urgent:need:satellit:navig:view:special:situat:europ:world:septemb,welt
44,commiss:council:refus:influenc:pressur:world,geschrei
45,explain:develop:approach:attempt:fear:express:oper:involv,zerstreuen
46,mean:european:parliament:distanc:polit:scientif:world:scientif:communiti:demand:promot:germlin:therapi:far:call:outlaw,wissenschaftlergemeinde
47,think:salafranca:given:clear:satisfactori:answer,salafranca
48,hope:european:council:courag:belgian:presid,übrige
49,realiti:strategi:integr:environment:polici:union:polici:strategi:mention:recent:european:council:repeat:especi:gothenburg:european:council:appli:practic:especi:relat:industri:polici:fisheri:polici:union:polici,übrige
50,requir:adher:break:lay:maximum:night:work:time:make:contribut:safeti:europ:road,ruhepausen
51,far:mention:access:union:dupui:did:fear:caus:offenc:europ:want:genuin:lay:histori:twentieth:centuri:confin:enlarg:refus:assum:respons:consequ:european:histori,aufarbeiten
52,member:state:taken:order:parliament:serious:realis:day:collect:great:import:famili:extend:famili:social:network,feiertags
53,said:system:vari:quit:lot:acp:countri:partner:countri,übrige
54,presid:commission:ladi:gentlemen:produc:million:hectolitr:alcohol:annual:million:hectolitr:agricultur:origin:union:product:known:synthet:alcohol,rest
55,sign:forc,Übrigen
56,appear:intern:communiti:turn:attent:entir:away:central:america,übrige
57,needless:say:import:matter:consid:light:signific:india:repres:asia:world,weltweit
58,basi:latest:extens:exampl:iberian:peninsula:road:link:franc:pyrene:integr:scandinavian:countri:road:link:contin:austria,rest
59,respons:follow:western:safeti:regul:member:state:respons:monitor:viabl:organis:western:european:nuclear:regulatori:associ,wenra
60,furthermor:advantag:restrict:heavi:good:traffic:ensur:driver:enjoy:minimum:period:uninterrupt,mindestruhezeit
61,expenditur:co-financ:local:region:nation:budget,verbleibenden
