id,phrase,classes
1,agreement:outsid:specif:scope:impos:industri:legal:basi,partei
2,understand:point:atlant:ocean,seiten
3,govern:propos:way:turkish:cypriot:think:right:council:commiss:urg:turkish:cypriot:institut:framework:negoti:conduct:republ:cyprus,türkisch-zyprische
4,maintain:wit:expert:wit:simpli:defend:counsel:examin:video:telephon:link,zeugen
5,warn:judg:just:apport:blame:sole:russian,einseitigen
6,polit:tale:war:suffer:think:seek:strong:understand:caus:conflict:russia:chechnya:help:stem:flow:human:blood:quick,seiten
7,certain,seiten
8,help:think:administr:expens:intent:estim:generous:order:extra:fund:build:reserv,eindruck
9,ensur:issu:common:european:union:africa:address:equal:foot:opportun:express:concern:common:object,seiten
10,relat:turkey:enter:new:stage:helsinki:make:progress:new:task:repres:challeng,seiten
11,deva:ask:question:patten:satisfactori:answer:socialist:hous:support:deva:take:differ:stanc:report:altogeth,sozialdemokrat
12,committe:region:polici:transport:tourism:pleas:agreement:known:difficult:reach:transport:agreement:establish:fair:balanc:competit:environ:produc:satisfactori:solut,partner
13,presum:say:solut:better:courag:consid:issu,anzugehen
14,concern:commission:patten:present:suffici:sensit:problem:current:face:southern:mediterranean:tunisia:play:import:role,problem
15,extend:ritual:thank:rapporteur:case:special:way:say:astound:sit:left:hous,tun
16,third:believ:principl:partnership:local:region:author:industri:head:right:direct:strengthen,sozialpartner
17,presid:issu:regul:discuss:rebuild:relationship:consum:product:world:say:great:deal:achiev,seiten
18,believ:come:consid:genuin:polici:movement:mediterranean:north:south,ufern
19,say:good:luck:agre:peac:shall,müssen
20,respect:note:come:request:help:advic:intervent:assist:just:predomin:financi:assist,partei
21,term:social:dialogu:european:level:industri:europ:heavili:involv:aspect:communiti:coordin:econom:polici:effort:implement:european:strategi:job,sozialpartner
22,scienc:case:discoveri:use:benefit:wheel:use:quick:kill:revolv:use:defend:murder:atom:energi:improv:live:atom:bomb,seiten
23,regret:czech:republ:unabl:defend:present:case:good:hear:complic:argument,seiten
24,stand:die:democraci:stand:kill:attempt:depriv:freedom,stehen
25,know:men:peac:wish:forg:ahead,seiten
26,madam:presid:comment:danish:vote:euro:express:view:appeal:irrat:fear,ablehnung
27,problem:doe:exist:sole:czech:exist:problem:resolv:joint,seiten
28,horrifi:pictur:children:run:cover:kill:civilian:fire:tank:helicopt:just:tini:glimps:hell:store:israel:palestin:fail:conclud:implement:peac:quick:possibl,inferno
29,follow:inform:employ:social:polici:council:juli:year:pari:presid:invit:parti:involv:european:parliament:cours:econom:social:committe:committe:region:industri:ngos:council:group:committe:submit:propos,sozialpartner
30,draft:balanc:text:applaud:exampl:european:consensus,seiten
