id,phrase,classes
1,second:project:injuri:nation:democraci,belasten
2,crucial:commiss:earmark:suffici:fund:support:develop:effect:vaccin:european:isa,impfstoff
3,presid:commission:vaccin:special:worst:case:scenario:fact:occur,typ
4,need:imparti:studi:undertaken:advers:effect:pvc:order:prevent:ecosystem:deterior:health,belastet
5,new:irish:presid:european:parliament:patrick:cox:recent:state:person:intend:conduct:yes:campaign:place:code:ethic:relat:posit:signific,neutralitätsgebot
6,equal:relat:repetit:injuri:hope:revisit:display:screen:direct:direct:doe:mention:mous:direct:manual:handl,arbeitsbedingte
7,general:speak:assum:singl:vaccin:exist:offer:protect:differ:foot:mouth:diseas,vorkommenden
8,problem:influenza:vaccin:work:vaccin:deriv:larg:diseas,seuchenstamm
9,hope:agre:spend:propos:ten:defenc:compat:member:state:commit:stabil:pact:great,belastung
10,hope:said:today:part:except:emot:hour:job:appoint,anspannung
11,given:incompet:way:textil:quota:dealt:far:good:reason:draw:clear:plan:transit:free:trade:textil:cloth:product:eas:employ:southern:europ:textil:cloth:industri,textilquoten
12,point:overshadow:bind:profound:resist:share:communiti:valu:work:world:issu:import,überschatten
13,encourag:commission:work:area:cours:realiti:inner-c:area:voluntari:sector:communiti:group:take:govern:lack:commit:urban:area,gruppengemeinschaften
14,widespread:public:support:union:polici:viabl:time:stress,belastung
15,anxious:begin:unfortun:stress:requir:presid,belastung
16,hear:press:commiss:approv:controversi:genet:modifi:maiz:develop:ciba:geigi:appar:defus:potenti:transatlant:trade:war,sorte
17,capabl:effici:handl:volum:trade,strapaziert
18,affect:limit:number:concern:new:flu,grippevirus
19,appear:immun,immun
20,presid:want:toler,strapazieren
21,believ:current:situat:put:untold:emot:psycholog:farmer,psychisch
22,vaccin:anim:european:union:suscept:foot-and-mouth:diseas:result:vaccin:administ:million:anim:month:seven:differ,stamm
23,situat:lead:justifi:greater:public:intervent:president-in-offic:council:said:correct:abandon:lose:sight:need:continu:structur:reform:european:economi:need:realli:competit:intern:level,abschwächung
24,conflict:place:partnership:relat:north:africa:conflict:western:sahara,westsaharakonflikt
25,emerg:period:transatlant:relationship:disput,belasteter
26,know:vigil:prevent:utmost:import:case:low:pathogen:virus:mutat:high:pathogen:circul:short:period:poultri:popul,geflügelbestand
27,think:need:regul:submit:regul:ensur:intern:roam:fee:base:true:cost:fantasi:price:household:budget,belasten
28,eas:road:shift:transport:flow:railway,verkehrsströmen
29,import:accept:moment:crisi:sorrow:live:experi:need:support:need:understand:need:diagnosi:drug,traurigkeit
