@relation coach-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {autocar,autobús,moderneces,torera,entrenador,carruajes,vagón,profesor,conocedor,preparar,traste,laudable,monopol,descansados}

@data
1,european:commiss:approv:propos:direct:special:arrang:buse:vehicl:special:need:mobil:problem:use:wheelchair:access,autocar
2,protest:member:assist:late:work,autobús
3,lunnon:use:day:fast:stage:folk:did:use:newfangl:thing:horseless:carriag:motorway:thing:bring:foreign:neck:wood,moderneces
4,encourag:enter:honest:durabl:relationship:encourag:enter:marriag:conveni:drive:hors:direct:intent,torera
5,remind:direct:novemb:drawn:regard:safeti:buse:issu:subject:debat,autocar
6,address:phenomena:help:creat:environ:conduc:phenomenon:drug:educ:background:sport:role:medic:field:pressur:success:come:sponsor,entrenador
7,athlet:understand:know:risk,entrenador
8,hope:hous:join:agre:britain:lead:way:europ:ensur:level:play:field:remov:aid:fit:seat:belt:mini-bus:safeti:sea,autocar
9,sens:pragmat:alongsid:vision:awar:work:good:footbal:judg:basi:care:thought-out:theoret:irreproach:game:plan:pure:simpli:result,entrenador
10,regul:drive:rest:period:import:number:lorri:accid:caus:driver:fatigu,autocar
11,tri:stress:overrid:issu:safeti:safeti:driver:lorri:carri:road:user,autocar
12,note:rapporteur:creation:uniform:simplifi:control:document:communiti:licenc:avoid:present:confus:situat:old:document:amend:hand,autocar
13,proceed:legisl:provid:greater:secur:injuri:caus:cours:roll-ov,autocar
14,tragedi:case:school:fastidi:use:fit:seatbelt:break-down:bus:resort:differ:vehicl,autocar
15,coupl:hour:spare:come:birmingham:busiest:rout:buse:europ:join:low:floor:double-deck:buse:actual:oper:europ:meet:standard,autocar
16,reason:want:floor:today:vote:amend:help:disabl:design:buse,autocar
17,buse:import:product:automot:industri:need:accept:standard:freeli:singl:market,autocar
18,say:far:tourist:concern:competit:extrem:strong:categori:buse:market:current:open:tradit:nation:base:know,autobús
19,albanian:minor:town:tetovo:see:load:worker:ethnic:macedonian:worker:arriv:skopj:possibl:conclus:treat:differ,autocar
20,imagin:era:tow:barg:carrier:pigeon:caus:quit:bit:delay,carruajes
21,say:turm:fulli:share:constern:tragic:air:crash:luxembourg:franc:issu:relat:portfolio:transport,vagón
22,chang:rest:requir:drive:time:sever:reduc:abil:school:compani:offer:trip:abroad:econom:viabl:rate,autocar
23,buse:green:fond:environment:friend:way:travel:safer:date,autocar
24,seat:vehicl:servic:communiti:juli:test:accord:direct,autocar
25,numer:european:countri:especi:year:phenomenon:emerg:led:well-known:histor:club:bankruptci:spend:ambiti:plan:vain:hope:unpaid:player:debt:reach:far:fifa:uefa,entrenador
26,final:striker:box:pass:goalkeep:just:ball:goal:sudden:shout:stop:turn:round:bring:ball,entrenador
27,mean:increas:cost:servic:provid:pass:passeng:factor:hit:industri:hard:pressur:low-cost:flight:travel,autobús
28,far:detail:place:particular:option:travel:spread:day:restrict,autocar
29,countri:spite:embargo:achiev:highest:econom:growth:past:year:countri:set:presid:non-align:movement:host:summit:countri:send:thousand:doctor:teacher:sport:countri:armi:occupi:exploit:oppress,entrenador
30,good:news:travel:compani,autocar
31,conclus:socialist:pleas:support:measur:creat:new:fast-track:bus:servic:oper:good:bus:compani:passeng:economi:environ,autocar
32,clear:wish:commission:spot:even:sure:welcom:opportun:sad:review:ensur:safer:european:union:learn:tragedi:ensur:doe:happen,autocar
33,import:even:parliament:talk:ship-build:buse:relev:citizen:europ,autocar
34,travel:bus:safer:risk:free,autocar
35,certain:congratul:commission:endors:say:relationship:disabl:organis:exampl:work:offici:involv:bus:direct,autocar
36,unit:kingdom:fatal:road:accid:involv:buse,autocar
37,mention:said:bbc:footbal:refere:england:team,entrenador
38,stress:direct:european:communiti:set:pace:enabl:industri:compet:common:rule:produc:safe:access:buse:benefit:european:public:transport:user,autocar
39,know:pension:elder:enjoy:spot:sightse:visit:beauti:citi:europ:good:health:travel,autocar
40,project:propos:aim:improv:rule:forc:propos:new:regul:standard:construct:safer:buse:order:exampl:achiev:better:protect:accid:involv:overturn,autocar
41,presid:apart:accid:franc:hungari:terribl:accid:greec:just:easter:pupil:lost:live:tembi:thessaloniki:larissa:school:trip,autocar
42,posit:correct:addit:man:cover:provid:chang:necessari:send:pitch,entrenador
43,recent:year:situat:sector:gone:bad:wors:wit:social:dump:epic:proport:case:long-dist:lorri:driver:mention:driver,autocar
44,view:recent:tragic:event:meath:ireland:young:lost:live:school:bus:crash:urgent:need:measur:quick:progress:fit:safeti:belt:child:restraint:includ:school:buse:direct:approv:implement:quick:possibl,autobús
45,obvious:propos:design:facilit:bus:transport:nation:intern:fulli:consist:approach:set:green:paper,autocar
46,presid:behalf:concern:unaccept:high:level:lorri:accid:europ:welcom:report:commiss:work:rapporteur,autocar
47,obvious:inconsist:commiss:quit:right:plan:tackl:appal:toll:road:accid:contin:live:lost:year:power:prevent:accid:involv:lorri:buse:clear:enforc:european:union,autocar
48,condit:good:train:teacher:sport,profesor
49,madam:presid:parliament:entir:satisfi:way:council:chosen:field:intern:carriag:passeng:bus,autocar
50,constant:review:issu:hope:gain:faster:widespread:implement:chang:improv:secur:buse:civil:parliament:commiss:want,autocar
51,yesterday:even:visitor:attack:get:molsheim,autobús
52,bus:driver:effect:categoris:road:haulier:carri:differ:task:requir:differ:work:hour,autocar
53,opinion:constitut:infring:freedom:manufactur:decid:consult:custom:axl:requir:meet:safeti:standard:demand:term:weight:mean:buse:carri:load:think:vip:exampl,autocar
54,presid:vote:report:just:hatzidaki:remark:abil:committe:chairman:expert:european:union:transport:regul:repres:pension:parti:itali:pleas:note:allow:-metre-long:buse:hold:instead:passeng:travel:european:road:cost:travel:reduc:elder:travel:just:come:strasbourg:travel,conocedor
