@relation match-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {altura,partido,encuentro,embajada,ajustando,citadas,consonancia,dicen,futbol,afortunado,asimilar,corresponden,adaptarse,ajusta,corresponda,coincide,cumplir,adaptados,tendencioso,poner,marco,contrarrestar,considerarla,correspondan,digno,responder,referentes,igualar,acompañar,cuadrar,responde,adapta,corresponder,evidenciadas,correspondencia,corresponde,coherentes,coordine,igualan,emular,adecuadas,tenis,atenerse,igualaban,mantener,acorde,aprovechado,comparar,adaptándose,dejar,melodía,obtenerla,equivalente,ajustarse,acto,inadecuado,iguales,adapte,equiparar,compaginar,vago,tratada,retórica,adecuemos,eurocopa,adecuar,juego,decomisionadas,alcanzamos,coincida,función,dotar,sitúe,exijan,clásica,imitar,colmar,coinciden,pasar,concuerda,prevén,justicia,valen,sobrepujar,portería,derecho-bienestar,favorezcan,secundar,adecue,avala,orientación,contradicción,acompaña,necesarias,frente,adaptar,gordas,aprovechable,ajustan,concretos,correlación,complementarla,satisface,traducen,bskyb,adapten,coordinar,ambición,pliegues,juega,dirigiremos,ajustará,asumir,adecuación,reclame,constatando,esforzamos,concuerdan,traducir,apecto,ajustar,progreso,satisfacen,cofinanciación,collins,conjugar,certamen,transmitieron,copa,alcanzar,equipararse,exposición,anunciaba,vertiginoso,holgadamente,deportivamente,debajo,alcanza,hagáis,autoadhesivo,unas,aportar,gentío,florete,reversibles,boxeo,parecido,distan,satisfagan,suficientes,satisfaga,esfuercen,correspondiera,conjuguen,contenga,proporcionales,brasil-escocia,estímulo,acompañan,vivir,propio,fieles,acompañen,igualemos,coincidencia,producir,alcanzaremos,hollywood,garantizadas,urgentes,iguale,reconciliables,cerilla,corresponderse,competir,coincidente,equilibrar,compatibles,freeview,ocultar,tubira,telenovela,ocurriendo,ciñan,sobrepujarla,mancomunado,adecuaría,ajax,clausuradas,marzo,poca,gol,equiparable,ligar,palpando,ciñe,indecorosos,responden,cobrada,adecuada,hagan,oval,aprovecharían,alemania-italia,superará,provenzal,respondan,adecuarse,contraponer,vinculado,gusten}

@data
1,spite:increas:million:relat:initi:propos:person:deplor:fact:fund:alloc:ambit:express:concern:save:money:display:council:situat:rude:contrast:declar:favour:safeti:energi:suppli:job:creation:environment:protect:challeng:just:signific:face,altura
2,presid:relat:storm:occur:decemb:communiti:did:expect:initi:emerg:period:late:fulfil:promis:aid,altura
3,sure:involv:polit:specif:specif:venu:technic:statement:suitabl:footbal:stadium:euro,partido
4,reason:went:swede:dane:charg:think:thank:refere:linesmen:consider:effort,encuentro
5,real:embassi:sort:unit:state:embassi:especi:area:european:union:bear:respons,embajada
6,hope:communiti:budget:provid:programm:financi:resourc:polit:ambit:public:state:mediterranean:area,altura
7,unfortun:far:goalless:excit,partido
8,issu:discuss:select:simpli:need:respond:urgenc:situat:bring:legisl:declar:lisbon:summit,ajustando
9,slight:improv:certain:owe:author:socialist:amend:sakellariou:come:year:given:rise:situat:certain:longer:tragic:remain:disastr:case:real:issu:modern-day:vietnam,altura
10,commiss:take:view:draft:law:denmark:cover:subject:rais:above-ment:provis,citadas
11,accept:amend:recit:provis:text:highlight:histor:background:includ:previous:parliament:resolut:safeti:feed,consonancia
12,regard:public:opinion:press:disagre:provan:word:written:newspap:read,dicen
13,crucial:test:barcelona:european:parliament:circumst,altura
14,resolv:courag:enlarg:negoti:candid:countri:show:enact:wide-rang:new:law:prepar:join:european:union:member,altura
15,item:debat:report:deprez:behalf:committe:citizen:freedom:right:justic:home:affair:draft:council:decis:concern:secur:connect:footbal:intern:dimens:cns,futbol
16,secur:connect:footbal:match:intern:dimens:support:report:great:promot:organis:footbal:unmarri:member:european:parliament:marri:member:refere:cours:gérard:deprez,partido
17,think:china:right:path:better:wors:lucki:countri:lucki:nation:long:histori:cultur:civilis:heritag,afortunado
18,intent:inform:descript:provid:articl:schengen:agreement:differ:aim:say:actual:prevent:particip:event:instead:implement:specif:one-off:surveil:oper:case:recent,asimilar
19,cooper:financi:fao:specif:project:programm:continu:compet:valu:profession:excel:prioriti:object:communiti:develop:polici,corresponden
20,special:arrang:defin:sixth:direct:find:increas:difficult:current:need:sector,adaptarse
21,static:interpret:stabil:growth:pact:begin:look:unsustain:doe:respond:current:econom:situat:aim:european:union:set:lisbon:short:term:power:economi:world,ajusta
22,way:common:agricultur:polici:ambit:area:develop:aid,corresponda
