@relation mission-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {misión,carta,contaminados,enviada,yenín,mission,tarea,kdom,participase,celebrarían,aguarde,missions,viaje,contabilidades,celebran,inspección,vocación,representación,magrebí,majmur,especialista,fución,petersberg,comisión,kvm,función,marcha,fusionen,minurso,detectó,realizado,hans-georg,oficial,roberto,incógnito,reunir,petersburg,sucumba,prepare,estilo,schüssel,arteria,fact-finding,nubarrón,enviado,visita,diseminados,delegaciones,abarcar,ue-irán,forraje,cometidos,plenos,vejación,salvamento,consciencia,abul,proyecta,emisario,combate,definirían,auditoría,cometido,absolutista,avicena,confiarle,espionaje,mandato,fresca,electorales,cuestionario,osce,adoptemos,atiborrado,pagodas,espía,arriesgadas,delegación,limitar,empeño,obcecación,troica,desviarse,operante,elegir,fortalecimiento,troika,extraction,schori,prevean,trasladamos,presuponga,veterinario,otorgara,sudan,motivación,fragor,aceptarlas}

@data
1,judgement:report:send:check:thing,misión
2,question:concern:train:rapid:intervent:forc:men:said:like:deploy:perform:peace-keep:peace-build:capabl:maintain:long-term:basi:necessari,misión
3,commiss:reiter:messag:foreign:minist:ivanov:ministeri:troika:march:submit:number:concret:propos:includ:echo:assess:chechnya:ngo:access:basic:request:visit:diplomat:region:presidenti:elect:report:civil:condit:humanitarian:situat:alleg:human:right:abus:investig,misión
4,light:new:inform:commiss:undertak:case:arrang:zootechn:inspect:requir,misión
5,end:european:union:plan:send:second:troika:rangoon,misión
6,impun:enjoy:rebel:sierra:leon:weak:peace-keep:forc:leav:countri:polit:humanitarian:reason:effect:confront:arm:rebel:threat:futur:unit:nation:peac,misión
7,human:right:issu:frequent:discuss:speaker:note:polit:dialogu:council:conduct:tunisia:associ:council:head:member:state:tuni:regular:meet:relev:tunisian:govern:offici:area,misión
8,type:plan:end:month:specif:intend:hold:discuss:moroccan:intermediari,misión
9,defici:irregular:note:differ:independ:organis:peruvian:intern:right:withdraw:toledo:candid:presid:republ:deleg:european:parliament:decid:carri:circumst,misión
10,expect:express:find:clearest:term:come:unequivoc:result,misión
11,obvious:await:outcom,carta
12,stress:reput:schori:role:play:key:factor:judgment:success,misión
13,accord:report:head:scope:posit:develop:zimbabw:polit:econom:social:field,misión
14,let:end:say:high-profil:receiv:general:point:envi:member:state:includ:patten,misión
15,convinc:union:right:profound:right:send:long:advanc:order:bring:element:calm:campaign,misión
16,order:facilit:program:echo:carri:technic:assess:chechnya,misión
17,urgent:presid:european:parliament:took:februari:far:reach:final:conclus,misión
18,lebanes:govern:went:ahead:august:deploy:mix:forc:men:soldier:policemen:occupi:zone:maintain:public:order:lebanon:engag:kind:border:surveil:despit:respons,misión
19,case:view:fail,misión
20,circumst:justifi,misión
21,month:baker:twofold:sought:resolv:difficulti:inher:implement:settlement:plan:lead:referendum:self-determin:sahrawi:reach:polit:agreement,misión
