@relation post-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {puesto,postal,correo,plaza,post,igualitaria,plantearán,eslabón,situaría,prestando,subrepresentadas,partida,cargo,estación,asesoría,vacantes,publicarlo,posterior,bilderberg,función,hito,nombrara,publicar,infrarepresentadas,intermedias,grifos,responsabilidad,consolidando,defunción,actividad,oficina,mantenga,sopetón,nombramiento,nombró,organigrama,amigable,estafetas,enganchándolas,estructural,después,piskinsut,situ,automático,funcionario,sostener,atente,velan,fortalezcan,figura,envío,descalificado,conflictiva,recta,rafá,desbordaron,sombrero,xxiv,pesadez,adelantado,reservar,recrudecerse,ptt,turnando,implantadas,prometió,final,designar,escucha,posición,escasísima,diluyen,finesa,desmontaron,buzón,parada,etapa,nivel,carintia,extinguió,muleta,aduana,categoría,franqueo,comisionado,inconmensurable,aduanero,copec,cartera,correspondencia,aproximativa,vacante,distribuye,postmortem,publica,holdern,meca,dedicaba,presentarse,escala,entrevistas,aliev,proyectan,sillón,observada,acercarla,retroactivo,mechar,departamento,concurso,relevado,desaliento,comunicación,referidas,enviemos,burocráticas,azuce,posteriori,normalizado,materialicen,persona,demora,reinstale,reglamentación,sitúe,aparecieron,minsk,poste,ausburgo,grados,multiplique,desdén,misión,contratación,supervisado,comprometieran,destituido,meta,enfermero,reafirma,liberados,empleo,cátedra,reconstrucción,menosprecia,cliché,post-ag,coordinador,dotación,enviar,görlitz,afianza,post-niza,interinas,equiparable,remunerativo,electiva,suceso,aparcados,regla,poscomunistas,cheque,transfronterizo,penalización,posterioridad,desaprovechan,poplasen,funcionariado,socio,candidato,burocrática,reintegrarán,presentir,división,tras,denominándolo,ata,buttiglione,declive,proponía,despertando,adjudicada,sometiéndose,ajenos,concluirse}

@data
1,possibl:perman:necessarili:employ:temporari:basi,puesto
2,liberalis:potenti:threat:offic:servic,postal
3,modernis:public:financi:system:lead:electron:cash:movement:straight:bank:account:viabil:rural:offic:threaten,postal
4,instead:allow:offic:outlet:undermin:liberalis:modernis:system:govern:commiss:encourag:support:extens:network:offic:outlet:view:asset:built:provid:public:inform:servic:locat:conveni:resid,postal
5,postal:servic:offic:vital:featur:life:rural:communiti:europ:scotland,correo
6,lower:price:weight:threshold:reserv:public:postal:servic:liberalis:mailshot:cross-bord:second:direct:offer:profit:sector:competit:sector,correo
7,finland:spars:popul:countri:visit:offic:social,correo
8,consequ:offic:equival:countri:europ:monopoli:servic,postal
9,state:quot:deplor:strong:residu:impress:left:case:appear:favourit:play:signific:role:grant:appoint:high-grad:administr:parliament,puesto
10,make:promot:highest:facilit:purpos:sustain:merit:balanc:summaris:oper:inform:hous,puesto
11,turn:women,puesto
12,believ:sullivan:strong:commit:direct:set:white:paper:notabl:successor:extrem:talent:commit:predecessor:trojan:new:end:month,puesto
13,want:parliament:rethink:languag,puesto
14,member:state:establish:network:systemat:monitor:observ:intens:continu:monitor:forest:ecosystem,puesto
15,council:awar:professor:pelinka:resign:vice-presid:european:monitor:centr:racism:xenophobia:year,puesto
16,addit:awar:follow:commiss:recent:review:staf:need:request:addit:forward:budgetari:author:includ:signific:increas:health:consum:protect,puesto
17,basi:direct:amend:improv:protect:anim:transport:provid:addit:measur:protect:hors:mandatori:unload:fix:rest:period:commerci:consign:hors:pass:border:inspect:union,puesto
18,case:decid:speak:term:avail:ant:control:transit:period,plaza
