@relation rest-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {descansa,queda,conjurar,resto,caroline,intocable,demás,mundo,invalida,acumulemos,pds,dormirse,aval,disipar,conflicto,extendiera,descanso,buscado,corresponde,asienta,bilateralismo,descansar,dominical,dormirnos,paradas,abatir,duerman,probemos,jugosas,odioso,basa,tranquilos,felicito,contó,denktash,tranquilizar,reposo,reside,basan,recayendo,cosa,cmsi,hondo,siesta,exhortárseles,extraerse,sacarme,someteré,bienvenida,recaiga,parada,radica,haciéndonos,indicarnos,lujo,pasar,certeza,gestionan,resta,sentaré,encuentra,tranquilizo,añadidas,atrevo,corresponden,restantes,pirotécnicos,recae,toda,tranquilicen,eludiendo,comprendamos,ambicionamos,continuación,reembolsar,actitud,avalan,juzgado,consciencias,crean,conjunto,gost,residencia,ocurrido,séquito,insertadas,jean-marie,western,albergamos,basarse,ruegos,apreciada,entierre,descanse,quedarse,tener,corresponder,asentada,bombardearemos,escribamos,depende,descansen,descansará,obesidad,aseo,concluye,fundamentar,dejo,converger,refutan,identificarlos,organización,luto,adelantado,aserción,prevalencia,replegada,aprobado,resuelta,asumida,discrepa,nombre,serbio,reposa,transformando,schmidhuber,estrella,apoya,reúnan,acercamiento,tranquilidad,promulgada,incumbe,sepan,pertenezcan,nocturno,atrasadas,lección,reposar,firmes,enzima,trastorno,prevalece,mano,culpo,recaer,toussas,exhibe,queden,reposan,cogerá,tranquilizado,anticiparse,pararemos,bocanada,eventuales,igual,corresponderle,restablecemos,bagemann,floricultura,infeccioso,deposito,izquierda-derecha,reñir,extenderlo,encargue,pretexto,motivado,totalidad,trapicheado,cae,apoyarse,automovilismo,dígalo,aludido,texto,posterior,apaciguaron,satisfará,ciudadano,daña,angus,realizaré,valor,fin,ustedes,rumor,definitivamente,atraso,vacunar,mejoramiento,acomodar,testarudez,anclado,descansaremos,desclasificar,descansarán,veda,durmamos,recaerá,prácticos,corresponderá,compete,avergonzados,legislador,disiparía,ironiza,lado,merezcan,seno,restante,coordinadas,presionara,vitalicia,lis,calmar,competencia,debamos,tranquiliza,tranquilizarnos,insistiesen,país,legendario,almacén,descansan,contentarle,gire,impuestas,proyectar,fram,intranquilicen,acallar,confiarnos,germinal,entero,añado,aliviada,ahorra,aplacarse,recaen,culpar,titford,drásticamente,tumbe,abonar,terminara,bendiga,descansaran,mantiene,sigan,defienden,coparticipación,semana,incumbencia,conexas,concepto,injiriéndose,etcétera,seguros,continuará,cardiaco,acabemos,planeta,diablo,extraterrestres,depositado,apoyar,aislada,dedicar,procesa,comparar,prosiguió,actúa,tranquilizaría,desorganización,humanidad,dirimir,tranquilizarles,asueto,betancour,sacudido,desengañan,colapso,dude,aísle,recelo,consolidar,zanjada,facultadas,rana,estilo,contribuyó,srp,inspirada,demos,excesivas,sobrecapitalizado,quede,plein,helmsburton,pierna,colegio,momento,derramando,sientan,profundizar,orgulloso,expirara,respetuoso,eternizarse,visiten,magnitud,determinan,tranquilizan,banca,colegial,separado,competentes,darnos,enalteció,continuo,recayó,refiero,desoír,ocupará,quicios,deseosos,rescatamos,quedar,estribando,siempre,anchas,prepararlos,prejuicio,incrementará,finalizasen,volverla,friedman,basándose,entrelazamiento,solapa,aseguro,augustiano,repercutiría,cambiantes,quepa,catálogo,circundante,meseta,confía,multimodal,tranquilizarle,alegato,campanario,cargo,acabar,circunscriben,continental,funda,ubicarse,dennos,austria,cabalgarían,sumándose,mediados,semanal,comportarse,ama,mitigue,multianuales,hipocresías,colonizadas,secuaces,nuremberg,dejaré,tranquilo,llevan,autodestrucción,dure,demostremos,hutu,cimenta,marie,trabajando,renunciemos,atrapado,prohibido,literatura,zwart,ponernos,bebida,peluquero,usar,aplicable,employed}

@data
1,fate:commiss:european:union:deliveri:reform,descansa
2,work:hard:recent:month:week:continu:year:portugues:presid:clear:carri:excel:work:french:presid:undoubt:continu:work:speed:skill:demonstr:occas,queda
3,lay:concern:said:present:unit:transatlant:posit,conjurar
4,ladi:gentlemen:ask:matter:take:account:fact:commiss:support:amend:sterckx:refer:amend:later:accept:initi:draft,resto
5,madam:presid:grate:lay:mrs:carolin:jackson:resolut:committe:environ:care:minut,caroline
6,acqui:communautair:longer:untouch,intocable
7,european:union:fundament:principl:freedom:democraci:respect:human:right,descansa
8,temptat:power:arbitrarili:paragraph:encourag:clear:illustr:posit:taken:report:terribl:omen,demás
9,just:jacqu:delor:valeri:giscard:esta:helmut:schmidt:recent:propos:core:countri:europ:road:integr:union:develop:confeder:independ:state:differenti,resto
10,situat:better:unit:kingdom,resto
11,victim:work:prostitut:label:prostitut:live:say:goe:prostitut:prostitut,mundo
12,obvious:follow:huge:repercuss:econom:employ:european:union,demás
13,want:parliament:fulli:inform:plan:absolut:have:extrem:import:breakthrough:import:technic:help:possibl:ensur:result:china:region:world:hope,resto
14,fortun:text:doe:invalid:content:regard:posit,invalida
15,oil:food:programm:constitut:alibi:crime:commit:valu:iraq:allow:export:return:food:medicin:retain:compens:remain:frozen:western:bank:iraq:unabl,resto
16,opportun:just:say:sensibl:futur:exampl:manag:vote:tuesday:even:squeez:extra:round:vote:incur:delay:week,acumulemos
17,look:middl:east:world:confront:array:weapon:mass:destruct:suppli:develop:world:includ:european:union,resto
18,issu:fiji:import:right:set:preced:semi-clandestin:coups-in-wait:similar:line:light:day:europ:develop:world:prepar:tackl:issu:indigen:right:world:variant:racism:threaten,resto
19,parti:pds:clear:determin:learn:new:live,pds
20,union:certain:laurel,dormirse
21,concept:stand:gain:ground:french:societi:hope:export:europ,resto
22,bank:obtain:form:secur:cover:risk,aval
23,budgetari:author:success:trigger:reform:address:public:financi:manag:concern:continu:reinforc:effort:ensur:reform:succeed,disipar
24,isra:agre:opinion:poll:vote:intent:absolut:major:accept:idea:global:peac:agreement:palestinian:includ:dismantl:settlement,demás
25,institut:contribut:signific:continu:concentr:effort:common:object:cross-bord:task:left:member:state,resto
26,guarante:serv:ensur:will:entrepreneur:automat:jeopardis:livelihood:face:risk:financi:ruin:life,resto
27,rapporteur:highlight:imbal:european:countri:world:regard:recognis:natur:cultur:site:countri:support:encourag:wide-rang:approach:add:list:natur:cultur:heritag:afford:protect,resto
28,word:forward:propos:countri:mediterranean:digniti:opportun:develop:new:multi-facet:relationship:increas:complex:europ:relationship:fight:intern:credibl:tough:competit:industrialis:world,demás
29,parti:direct:involv:reach:agreement:tri:econom:social:polit:condit:agreement:reach,demás
30,shortag:document:vari:sourc:attest:tragedi:affect:columbia:real:risk:conflict:worsen:danger:spread:region,conflicto
31,miss:begin:amend:word:plan:colombia:dialogu:social:partner:remain,resto
32,presid:commission:green:final:clover:doe:sens:choos:easier:path:complic:premium:structur:climate-rel:grassland:premium:forget,demás
33,problem:contamin:africa:disastr:consequ,extendiera
34,fact:scenario:treat:inferior:societi,resto
35,yes:agre:lot:need:propos:today:oie:wto:standard:countri:agre:classif:europ:consid:trade:barrier:world:trade:meat:product:live:anim,resto
36,clear:highlight:evid:fact:greek:situat:wors:countri:european:union,resto
37,attempt:driver:central:eastern:europ:compli:drive:period:gain:competit:advantag:mean:wage:dump:stop:driver:earn:driver:employ:usual:term:simpli:order,descanso
38,clear:prove:possibl:instead:seek:impos:plan:issu:sought:consensus:import:aspect:awar:ultim:respons:state,buscado
39,mrs:hulthén:said:assum:earth:live:sustain:earth:suffer:poverti:environment:destruct,resto
40,success:globalis:requir:isol:area:link:world:real:invest:educ:health:inhabit,resto
