@relation scene-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {paisaje,lucha,malhechor,desempeñaer,escenario,escena,bastidor,quejando,guardan,encontraban,secreta,panorama,imagen,paraíso,carlshamre,lamentables,glorificación,antidroga,disturbio,terreno,situación,enfadados,involucrado,sette,hospitalarios,arresto,emergido,directos,gestarse,accidente,llegada,medirnos,ruso,aduce,instalarnos,trabajen,carecer,abstienen,encaramadas,molestas,base,oscuros,kuchma,buscó,nublada,cúpula,gremio,concluirlos,adentro,fallecidos,celebración,rúbricas,gratitud,noroeste,adquiriendo,opinión,hecho,tce,montado,pasillos,biopersistentes,sobreviene,actor,escandaloso,bélico,devuelven,aproximasen,legitiman,estadio,alentando,ámbito,mutis,volando,subrepticiamente,crisol,macroeconómico,bambalinas,rave,francés,eliminatoria,aproximación,aliviarla,presionando,sobrecargadas,inspección,scene,allanar,desastre,homicidio,actuación,regularmente,berisha,contrario,wallenstein,subscrita,galvanizante,bíblica,fuga,desplazaron,situ,regateo,ouattara,discretas,Ámbitos,remodelar,contemplemos,participante,generará,estallido,evocar,teatro,constituya,recomendarse,manipuladoras,global,aparece,confitura,funeral}

@data
1,major:issu:appear:confer:launch,paisaje
2,cours:difficult:determin:long:serbian:popul:need:continu:fight:milosev:actual:disappear,lucha
3,explan:culprit:drawn:crime,malhechor
4,final:type:polici:relat:intervent:european:union:collabor:member:state:polit:network:women:indic:european:level:refer:finnish:presid:indic:applic:creat:nation:undertak:nation:target:benchmark:train:final:support:women:nation:state:european:polit:import:intern:role:creat:standard:power:standard,desempeñaer
5,period:turkish:prison:riot:suppress:particular:bloodi:mean:follow:hunger:strike:turn:death:fast,escenario
6,report:line:prioriti:share:major:parliament:improv:european:union:presenc:intern,escena
7,mrs:jackson:awar:satisfi:entir:hand:doe:mean:just:sing:lament:sidelin,bastidor
8,president-in-council:state:moment:sang:lament:avail,quejando
9,crime:indic:possibl:victim:say,guardan
10,detect:sergeant:say:suspect:crime:weapon:precis:rifl:bomb,encontraban
11,curious:discuss:undoubt:take,secreta
12,dublin:reminisc:countri:greater:extrem:climat,escena
13,necessari:continu:negoti:continu:talk:continu:move:polit:centr:graviti:polit,panorama
14,equatori:guinea:present:unaccept:violat:basic:human:right,escenario
15,urg:apocalypt:realiti:wors:televis:footag,escena
16,presid:involv:work:hard:guidanc:rapporteur:order:complet:dossier:end:mandat,bastidor
17,incid:repercuss:right:europ:media:cours,imagen
18,presid:commission:ladi:gentlemen:inconceiv:discuss:maldiv:evok:holiday:paradis,paraíso
19,februari:year:belarus:protest:relat:econom:issu,escenario
20,mrs:carlshamr:said:minut:genit:mutil:honour:kill:forc:marriag,carlshamre
21,believ:regrett:istanbul:recent:day:condemn,lamentables
22,fact:forens:clean-up:murder:intimid:wit:offer:ira:murder:murder:refus:cooper:polic:servic:northern:ireland:polit:motiv:separ:murder,escena
23,appear:world:trade:new:aggress:global:player:china:india:make:necessari:review:tradit:object:communiti:trade:polici:characteris:maximum:open:market:assist:promot:european:industri:worldwid,escenario
24,long:argu:europ:ethic:polit:respons:decis:contribut:develop:africa:recent:time:clear:everybodi:develop:absolut:essenti:order:maintain:stabil:intern:stabil:prosper:europ,escenario
25,outward:look:given:credit:past:year:seen:intern:preoccup:claim:headlin:achiev:extern,bastidor
26,numer:occas:face:situat:assist:avail:mean:move:emerg,escenario
27,geograph:area:european:union:seen:construct:cathedr:french:revolut:declar:right:man:citizen:birthplac:rule:law:welfar,escenario
28,consid:propos:direct:learn:council:get:old:idea:europ:realiti:old:lie,bastidor
29,presid:occas:examin:second:read:televis:frontier:direct:good:reason:concern:fate:european:audiovisu:chang:commiss:propos,paisaje
30,simpli:say:welcom:report:set:lang:mamèr:report:regard,escenario
31,relev:point:just:passiv:spectat,escena
32,question:have:reliabl:partner:intern:forgotten:saw:recent:iraq:crisi:situat:kosovo,escena
33,especi:danger:glamor:media:internet:quit:liter:advertis:new:drug,glorificación
34,countri:antidrug:disco:call,antidroga
35,sudden:death:presid:opposit:leader:abiola:occur:eve:releas:dealt:great:blow:possibl:democrat:meant:disappear:key:figur:enjoy:tremend:popular:favour:support:launch:democrat:transit,escena
36,unaccept:peopl:europ:day:televis:atroc:massacr:problem:refuge:destabilis:region:europ:refuge:albania:pressur:fyrom:region:explod:european:union:council:minist:simpli:prepar,escena
37,presid:feel:disgust:indign:lynch:moroccan:day:labour:took:ejido,escena
38,overlook:fact:major:obstacl:indispens:involv:vulner:communiti:forest:area:question:unrest:conflict:suffer:advers:impact:tourism:held:miracl:cure:local:law:forest:hard:enforc:actual:exist,disturbio
39,want:central:bank:play:intern:activ:contribut:defin:new:rule:enabl:intern:financi:oper:crise,escena
40,on-go:exercis:monitor:commiss:fifth:report:set:conclus:recommend:communic:review:issu:european:parliament:work:right,terreno
41,think:import:maintain:constant:contact:opposit:attempt:bring:chang:polit,situación
42,set:liberalis:medium:term:step:take:step,escenario
43,daili:airport:passage-way:overcrowd:bore:irrit:aggress:passeng,enfadados
44,depress:intern:year:practic:abil:deliv:humanitarian:relief:rapid:unpromis:circumst:increas:great:deal:abil:prevent:humanitarian:assist:necessari,escena
45,europ:want:mere:globalis:battl:want:complet:communiti:move:unit:compon:express:new:progress:new:civilis:allow:citizen:equal:foot,terreno
46,bit:happier:attitud:council:today:juli:occas:situat:crisi:european:union:author:arriv:intern:voic:heard,escena
