@relation soil-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {azotada,suelo,tierra,abonado,territorio,babilónicas,terruño,parecería,estériles,riega,pastoreo,edáficas,terrestres,ancestrales,encrudecerlo,terreno,fertilidad,relocalización,base,cama,excedente,originariamente,hídricos,fértil,atmósfera,habilidad,libanés,yace,yacer,raptado,sin-papeles,clandestinidad,gobierne,conformación,podridos,cultivarse,liberándolo}

@data
1,fertil:growth:democraci:war-ravag:europ:best:provid:trade:econom:integr,azotada
2,main:object:limit:emiss:acidifi:eutrophi:pollut:ozon:precursor:order:improv:protect:environ:human:health:advers:effect:acidif:eutroph:tropospher:ozon,suelo
3,pressur:import:difficult:climat:condit:demand:support:communiti:nut:product,suelo
4,let:paduan:reclaim:trojan:antenor:trojan,suelo
5,confirm:given:unep:carri:mission:collect:exampl:water:veget:sampl:autumn:year,suelo
6,fact:old:combust:plant:allow:pollut:hour:annual:unaccept:fact:permit:exceed:emiss:limit:valu:fuel:high:pollut:brown:coal:extract:countri,tierra
7,polici:bear:fruit:futur:unless:point:support:family-run:farm:protect:landscap:environment:benefici:cultiv:especi:ecolog:sensit:area:instead:pour:consider:percentag:financi:resourc:farm:busi,suelo
8,know:step:unit:state:saturday:left:cruis:ship:ocean:embark:crew:member,suelo
9,data:did:commiss:base:conclus:financi:cost:involv:protein:crop:programm:outweigh:need:combat:impoverish:degre:food:depend:increas:gmos:europ,tierra
10,need:food:eat:grown:trust:fertilis:known:safe,suelo
11,assur:parliament:recommend:fall:good:commiss:cooper:institut:interest:europ:fisheri:benefit:carri,abonado
12,direct:attack:aspect:primari:product:word:product:stockfarm:hunt:fisheri:seek:impos:restrict:traceabl,tierra
13,reason:improb:tough:provoc:fact:intern:crimin:court:base:european,suelo
14,imagin:commiss:council:accept:children:use:manufactur:product:world:cup:european,territorio
15,serious:tell:world:today:tomorrow:captur:mullah:omar:osama:bin:laden:babylonian,babilónicas
16,definit:gmo:contamin:inappropri:general:definit:doe:list:sourc:contamin,suelo
17,agre:tragedi:whilst:clear:british:british:water:equal:european:intern:issu:work:counter:intern:people-smuggl:gang:exploit:poor:paid:pound:day:work,suelo
18,order:materi:deeper:surfac:good:earth:overburden:remov:transport:away:later:tip:excav:site:guarante:return:fertil:field:meadow:word:earth:good,suelo
19,rosia:montana:risk:gold:extract:project:ahead:chemic:substanc:capabl:serious:pollut:river:water:long:term,suelo
20,exampl:avoid:emphasis:recent:revel:itali:nato:base:italian:nuclear:weapon:belong:stockpil:unknown:resid:vicin,territorio
21,child:liber:militari:invas:liber:european:allow:parent:child:child:liberti,suelo
22,freedom:religion:licenc:undermin:european:societi:european,suelo
23,mutual:recognit:geograph:indic:say:design:wine:produc:contribut:preserv:respect:cultur:ident:boost:trade:unit:state:encourag:european:wine:grower:year:constant:improv:product:order:satisfi:demand:serv:enjoy:consum,terruño
24,live:souther:patch:european:heart:euro-afro-asian:basin:awar:need:establish:border:boundari:spirit:peac:coexist,territorio
25,wish:hand:flag:presid:request:send:turkish:premier:tell:patienc:run:delay:excus:occup:troop:cypriot:european:union,suelo
26,know:certainti:usa:european:countri:run:use:run:secret:detent:centr:usa:remov:european:citizen:european:order:transfer:interrog:possibl:tortur:european:govern:author:toler:particip:illeg:activ,territorio
27,kind:rehabilit:requir:strict:complianc:legal:provis:preclud:water:pollut,suelo
28,mercuri:classifi:prioriti:hazard:substanc:water:framework:direct:retard:microbiolog,suelo
29,foremost:need:widen:legal:entri:channel:turn:matter:communiti:amend:dublin:agreement:last:close:administr:detent:centr:locat:european,territorio
30,consum:produc:countri:case:finland:enjoy:price:advantag:link:fact:waterfal:har:product:energi:fish:industri:transport:spent:nuclear:fuel:buri:etern,suelo
31,general:accept:union:principl:member:need:deliveri:spent:fuel:countri:dispos,territorio
32,clandestin:flight:abduct:european:citizen:right:wrong:suspicion:illeg:transfer:prison:use:aircraft:land:european:learn:friend:power:allianc:root:bank:account,suelo
33,propos:tantamount:across-the-board:institutionalis:bias:non-european:discrimin:european:accompani:financi:speak:kind:marshal:plan:call:union:polit:speak:unilater:grant:right:ought:nation,suelo
34,let:support:european:develop:fund:phare:taci:let:support:meda:programm:repres:varieti:form:econom:aid:support:democraci:enabl:live:happili:nativ,tierra
35,product:great:singl:market:bring:new,parecería
36,content:propos:defin:basic:criteria:organ:product:link:specif:rule:main:paramet:condit:rear:origin:anim:arrang:convert:product:centr:organ:farm:foodstuff:diseas:prevent:veterinari:care:hous:mainten:condit:anim,suelo
37,term:proport:possibl:obstacl:freedom:movement:intimid:compar:thousand:appal:mutil:bodi:litter:algeria,tierra
38,elimin:quarter:farm:forestri:practic:took:carbon:air:plant,suelo
39,toni:blair:chair:second:asia-europ:meet:london:april:summit:asia:european:import:mileston:relat:asia,territorio
40,commiss:tri:compromis:solut:time:fallen:good,tierra
41,approach:research:biotechnolog:seed:plant:abil:surviv:produc:arid:infertil:area:normal:temperatur:shallow,estériles
42,lebanon:suffer:presenc:hundr:thousand:palestinian:thrown:israel:quick:evolv:welcom:refuge:revolutionari:conqueror:host:countri,suelo
43,foster:cultur:ingenu:solidar:whilst:nurtur:manner:shadi:deal:susten,riega
44,say:word:german:conscious:seek:provok:european:democrat,suelo
45,recent:exampl:union:give:subsidi:sheep:farmer:crete:lead:overgraz:eros:terribl:consequ:biodivers,pastoreo
46,point:rotat:crop:mean:wheat:wheat:rotat:avoid,suelo
47,believ:import:parliament:today:hold:mirror:american:tell:tri:forc:valu:acknowledg:section:popul:countri:nativ:american:ideal:respect:differ:bond:countri:nativ:american:arriv:later,tierra
48,regard:second:issu:introduct:katerini:varieti:itali:affect:oper:market:term:price:stock:negat:impact:balanc:suppli:demand:term:varieti:tobacco:climat:condit:new:produc:region:total:differ:region:grown:year,edáficas
49,parliament:approv:report:concern:futur:strategi:deal:acidif:water,tierra
50,stop:mess:gastronom:tradit:product,tierra
51,known:inciner:wast:caus:emiss:substanc:serious:pollut:air:water:danger:health,suelo
52,clear:miss:opportun:support:substanti:arid:area:southern:europ:crop:altern,tierra
53,case:almond:cost:differ:result:fact:european:union:produc:difficult:climat:condit,suelo
54,commiss:determin:implement:plan:liabl:result:radioact:contamin:water:airspac:member,suelo
55,draw:commission:attent:environment:signific:decontamin:project,suelo
56,atmospher:deposit:concentr:nitrat:soil:increas:risk:drink:water:pollut:threaten:role:play:forest:filtrat:water:resourc,suelo
57,furthermor:pollut:marin:terrestri:origin:increas:contamin:drink:water:resourc,terrestres
58,proper:pre-treat:high:toxic:compon:contamin:ground:water:pollut:air,suelo
59,invit:lebanes:govern:ensur:respect:right:refuge:migrant:asylum:seeker:present:lebanes:ceas:kind:discriminatori:measur:palestinian:refuge,territorio
60,agreement:state:principl:base:sustain:develop:mapuch:territori:experienc:blind:exploit:natur:resourc:deforest:construct:dam:flood:ancestr:result:nation:hydrolog:plan,ancestrales
61,weaken:sooner:later:usual:tradit:storm:expect:mediterranean:coast:septemb:octob:arriv:take:advantag:weaken:erod:area,suelo
62,reveal:lofti:ambit:aim:embrac:field:pollut:climat:chang:biodivers:natur:resourc,suelo
63,immedi:remov:nuclear:weapon:european,suelo
64,instead:contain:terror:stronger:danger:spread:hatr:west:islam:world:danger:embroil:world:clash:civilis:fertil:fundament,encrudecerlo
65,call:econom:polit:measur:taken:immedi:includ:immedi:suspens:associ:cooper:agreement:israel:order:forc:isra:govern:stop:slaughter:palestinian:withdraw:isra:occupi:forc:palestinian:demolish:wall:shame:creat:independ:palestinian:capit:eastern:jerusalem,suelo
66,reforest:carri:fire:lost:good:lack:humid,suelo
67,said:meet:room:european:union:farmer:old:member:left:bank:river:farm:ident:climat:condit:receiv:direct:payment:level:euro:compar:euro:receiv:farmer:new:member:opposit:bank:river,suelo
68,talk:respect:human:right:instanc:guantanamo:affair:isol:case:demonstr:exampl:abu:ghraib:situat:absolut:mention:kidnap:free:citizen:document:major:european:newspap:carri:secret:servic:european:union,territorio
69,wine:goe:hand-in-hand:cuisin:mark:region:produc:carri:flavour:cultiv:symbol:festiv:live,terruño
70,summer:warmer:winter:raini:river:flow:dwindl:humid:diminish:record:flood:extrem:drought:hurrican,suelo
