id,phrase,classes
1,talk:introduct:cultur:mainstream:polici:area:consolid:improv:european:dimens:train:syllabus:network:train:polici:europ:especi:lifelong:learn,educativas
2,regard:problem:afflict:macedonia:higher:albanian-speak:citizen:deserv:special:attent,enseñanza
3,affin:type:higher:import:develop:constitut:apt:term:mainstream:societi:need:strengthen:countri,enseñanza
4,basi:creat:train:research,formación
5,exampl:state:respect:basic:right:languag,educación
6,nation:non-eu:state:live:union:treat:equal:foot:citizen:member:state:regard:access:health:social:protect,educación
7,democrat:deficit:greater:admit:import:combat:divis:access:internet:new:technolog:benefit:inform:societi:depriv:econom:reason:insuffici:technolog:inform,formación
8,just:yesterday:presid:prodi:present:commiss:programm:area:council:council:format:crucial:bear:mind:divers:platform:strategi:laid:lisbon:develop:implic:field:scientif:research:singl:market:industri:forth,educación
9,right:model:success:meet:challeng:globalis:competit:success:econom:employ:research:social:polici:european:dumb,educativa
10,cairo:summit:follow:forum:dakar:basic,enseñanza
11,julius:nyrer:africa:famous:teacher:post-independ:optimist:day:said:way:escap:poverti:way:fight,educación
12,fact:earli:morn:tribut:rapporteur:work:programm:commission:portugues:presid:shown:commit:youth:voluntari:servic:broadest:sens,educación
13,presid:year:involv:campaign:promot:world,enseñanza
14,refer:way:solv:problem:discrimin:age:rang:particip:programm:except:inadequ:given:averag:age:complet:higher:close:upper:limit:rais:year,superior
15,rapid:improv:live:standard:particular:health:employ:stabil:remain,educación
16,consequ:fund:immigr:programm:activ:polici:decis:logic:depend:social:polici:spanish:govern:accept:decid,educación
17,furthermor:ask:soon:possibl:flat:rate:establish:access:internet:network:network:argu:free:offer:health:essenti:public:servic:citizen,educación
18,issu:creat:problem:women:right:sex:free:abort:safe:sex:order:protect:hiv:aid,enseñanza
19,second:committe:develop:cooper:extrem:keen:radic:expand:budget:compar:year:million:children:africa:primari:increas:number:poor:world:whilst:contin:increas:rich,educación
20,matter:turn:inform:end:day:need:acquir:total:new:way:look:price:make:calcul:judg:valu,formación
21,case:money:cultur,formación
22,presid:congratul:mrs:hyeronymi:excel:work:committe:cultur:youth:media:stress:extrem:high:level:agreement:synergi:committe:extent:proof:main:report:express:opinion:differ:committe:approv:unanim,cultura
23,forget:all-round:develop:human:essenti:goal,educación
24,cours:wonder:exampl:europ:doe:hold:forth:intern:take:step:extern:european:member:state:favour:eighteen:year:swift:conclus:signatur:effect:coordin:differ:countri:matter:re-integr:child:soldier:concern,educación
25,polici:factor:progress:base:polici:state:aim:earmark:greater:resourc:public:access,enseñanza
26,subject:item:human:right:receiv:ident:request:technic:independ:member:european:parti:replac:sub-item:entitl:turkish:bomb:northern:iraq:new:sub-item:entitl:higher:univers:macedonia,enseñanza
27,question:president-in-offic:thought:prospect:plan:extend:scope:direct:mutual:recognit:tertiari:diploma:appli:candid:countri,enseñanza
28,contrari:programm:instead:use:student:parent:high:level:correspond:level:incom,formación
29,ask:minist:countri:necessari:step:grant:supplement:advantag:erasmus:student:order:offer:fortun:benevol:father:generous:grandmoth:chanc:travel,educación
30,congress:seminar:event:construct:discuss:area:societi:necess:opportun:rethink:direct:lifelong:learn,educación
31,true:elit:continu:creat:pass:acquir:new:knowledg:idea:great:major:leav:school:meant:end:formal,aprendizaje
32,report:mrs:cristina:gutiérrez-cortin:mention:today:show:imbal:exist:field:level:european:union:nation:level:hand:want:european:union:level:member:state:want:compet:establish:true:cooper:educ:level,educativo
33,help:reflect:implement:adult:compon:grundvik:form:socrat,grundvik
34,speedili:implement:programm:specif:measur:context:lifelong:train:strategi,educación
35,opinion:effort:abolish:discrimin:roma:communiti:base:raft:posit:measur:launch:hungarian:govern:medium-term:plan:support:phare:programm:particular:field:specif:programm:improv:employ:hous,educación
36,franc:exampl:men:allow:teach:primari:case:blatant:discrimin,enseñanza
37,haarbyr:behalf:european:liber:democrat:reform:parti:macedonia:law:higher:univers,enseñanza
38,far:concern:prove:neighbour:countri:doe:spread:hatr:case:day:serv:cradl:peac:multi-ethn:societi,enseñanza
39,committe:cultur:youth:media:sport:tri:remain:framework:propos:appropri:set:prioriti:befit:special:committe,cultura
40,mean:member:state:invest:train:multilingu:mobil:communic,formación
41,need:activ:context,formación
42,obvious:come:subsidiar:framework:treati:freedom:movement:worker:ban:discrimin:appli:come:high:federalist:support:principl:subsidiar:principl:order:deal:european:union:power:divid:quick:possibl:level:europ:accord:principl:subsidiar,educación
43,issu:tabl:set:work:exampl:polic:train:militari:personnel:certain:increas:understand:fact:rape:realli:atroc:accept:just:accept:tortur,formación
