id,phrase,classes
1,confirm:principl:equal:opportun:equal:treatment:men:women:certain:includ:right:guarante:futur:european:charter:fundament:right:principl:right:guarante:treati:secondari:legisl:undoubt:constitut:common:constitut:tradit:member:state,figura
2,second:explod:myth:take:start:point:appar:paradox:clear:highlight:eurostat:main:intern:tourist:countri:tradit:regard:tourist:destin:contrari:advanc:nation:life:main:attract:heavili:promot:featur,estadística
3,know:finland:presid:just:lead:public:polit:leader:commander-in-chief:arm:forc:quit:interest:histor:occas,comandante
4,stage:talk:specif:input:stage:fact:discuss:output,cifra
5,presid:presid:commiss:ladi:gentlemen:coin:read:econom:growth:employ:e-europ:plan:pipelin:unemploy:begin:drop:slight:econom:employ:forecast:good,cifra
6,question:demand:greater:rigour:question:demand:account:reflect:true:pictur:countri:account,refleje
7,rapporteur:stress:report:object:propos:arriv:regardless:statist:sourc:use:realiti:object,cifra
8,exact:member:staff:actual,cifra
9,let:discuss:budget:cours:quot:actual,numéricos
10,space:year:employ:risen:near:realli:evid:last:declin:work:condit:unless:look:context:happen:nation:nation:airlin:sens:transform:modern:servic:industri:cours:accompani:chang:work:condit:modernis,cifra
11,accur:april,cifra
12,commiss:concern:provid:budgetari:debat:difficulti:month:report:sent:budgetari:author:guarante:cover:general:budget:annual:report:manag:guarante:fund,cifra
13,euro-dollar:rate:impact:favour:budget:concern,cifra
14,sum:preliminari:draft:provis:overal:rate:increas:commit:appropri:payment,anteproyecto
15,sad:familiar:high:road:accid:europ,índice
16,extrem:import:member:state:actual:meet:object:mean:nine-year:object,cifra
17,govern:defenc:budget:risen:year:day:answer:alleg:involv:assassin:lead:tamil:human:right:abus,figura
18,think:fair:typic,dato
19,speak:terrifi,cifra
20,doe:direct:experi:mep:hear:complaint:visit:smes:compani:alik:commiss:far:late:honour:payment:commit:enter:research:promot:area,incurre
21,presid:forthcom:summit:santa:maria:feira:preced:unpreced:number:pronounc:key:government,freira
22,bear:mind:just:mention:doe:sens:discuss:financ:new:prioriti:actual:question:prioriti:establish:return:consider:unutilis:sum:member:state,dato
23,presid:commission:ladi:gentlemen:european:transport:situat:sum:use:pertin,cifra
24,unfortun:draft:direct:make:mention:polici:area:spite:fact:commiss:origin:draft:spite:fact:research:area:actual:grant:polici:area:includ:strateg:environment:assess,incluyó
25,long:council:decid:incorpor:word:signific:sens:includ:percentag,porcentaje
26,think:total:unaccept:debat:use:collat:european:union:month:month:categori:categori:column:refer:greec,dato
27,differ:commiss:propos:agricultur:committe:fact:pass:unanim:basic:centr:aid:level:process:threshold,cuantitativas
28,technic:statist:point:view:specif:das:countri:major:polit:field:requir:enorm:personnel:diminish:popul:increas:need:sampl:sampl:requir:enorm:work:think:feasibl,cifra
29,given:differ:idea:make:wonder:stabil:growth:pact:run:cours:have:achiev:quantit:object:final:worth:introduc:aspect:relat:public:financ:futur:programm,cifra
30,enorm,cantidad
31,accord:eurostat:popul:live:averag:nation:incom:take:low-incom:threshold:measur:relat:poverti,cifra
32,feel:addit:express:sympathi:lead:import:italian:polit:leader:member:hous:parliament:firm:condemn:incid:solidar:victim,dirigente
33,fall:far:short:number:inspector:need:implement:measur:propos:port,cifra
34,continu:work:text:night:just:continu:work:night:relat:divis:vote:council:seat:parliament,cifra
35,situat:countri:respect,índice
36,report:want:stress:commission:fish:industri:european:union:start:shake:domest:margin:imag:current:fact:confin:peripher:region:cold:communiti:gdp:contribut:mention,cifra
37,key:bear:mind:respect:forthcom:enlarg:popul:european:union:increas:surfac:area:union:increas:union:gross:domest:product:increas,cifra
38,propos:research:carri:year:privat:fund:use:supplement,cifra
39,initi:communiti:particip:nation:particip:haug:report:adopt:major,contenida
40,council:contribut:point:view:come:surpris:meagr:result:arriv:result:close:gothenburg:protocol,cifra
41,extrapol:consist:implement:programm:creat:million:job:european:union,extrapola
42,sort:report:necessarili:refer:averag:round:conceal:econom:diverg:economi,redondean
43,sad:report:year:develop:countri:receiv:oversea:develop:aid:administ:commiss,cifra
44,discharg:postpon:thank:mrs:rühle:insist:latest:use:dac:methodolog:brought:forward,cifra
45,repeat:growth:inflat:extent:monetari:polici:contribut:growth:converg:economi:role:play:euro:protect:factor:face:extern:crise,cifra
46,appreci:allow:dwell:greec:espous:cultur:price:stabil:budgetari:stabil:jewel:crown:polici:europ,dato
47,latest:current:member:state:anticip:public:account:balanc:surplus,cifra
48,basi:forecast:consid:year:entir:realist,cifra
49,low:perspect:quit:high,insignificante
50,time:high:undoubt:higher:today,cifra
51,increas:year,cifra
52,set:allow:spanish:review:money:receiv:disburs,aportación
53,hope:commiss:initi:european:extra-judici:network:help:build:consum:e-confid:forc:european,porcentaje
54,minimum:amount:insur:date:realist:sum,cifra
55,overcapac:communiti:fish:fleet:marin:scientist:estim:adopt:march:green:paper:futur:common:fisheri:polici:main:caus:excess:pressur:fish:exert:fish:stock,cifra
56,presid:opinion:fiscal:burden:europ:high:fallen:somewhat:true:fiscal:burden:europ:signific:higher:earli:nineti:exampl,cifra
57,final:council:feel:detail:immigr:statist:concern:number:naturalis:trakatelli:use:refer:repli:given:juli:commiss:respons:question:concern:year:prior:mention:ask:commiss:provid:soon:avail,dato
58,accord:undp:recent:global:spend:health:research:address:global:diseas:burden,cifra
59,solv:problem:poverti:especi:extrem:poverti:miseri:hundr:million:million:human:use:cautious:live:continu:expos:situat:experienc,cifra
60,parliament:reinstat,suma
61,preparatori:work:carri:key:intern:stage:shall:mention:notr:europ:work:led:jacqu:delor,actor
