id,phrase,classes
1,say:structur:polici:union:success:manag:creat:suffici:number:signific:reduct:unemploy:rate,trabajo
2,wish:save:appar:sin:market:save:capit:doe:present:problem:advoc:free:market,puesto
3,know:difficult:achiev:achiev:fair:employ:law:worker:secur:equit:subsidi:countri:difficult:preserv:europ:outsid,empleo
4,econom:social:damag:spoken:today:term:loss:fish:tourist:resourc:great:fulli:justifi:decis:thorough:communiti:institut,empleo
5,spite:increas:million:relat:initi:propos:person:deplor:fact:fund:alloc:match:ambit:express:concern:save:money:display:council:situat:rude:contrast:declar:favour:safeti:energi:suppli:creation:environment:protect:challeng:just:signific:face,trabajo
6,madam:presid:ladi:gentlemen:confer:rural:develop:held:cork:novemb:set:rural:develop:european:union:prioriti:essenti:order:maintain:exist:continu:develop:agricultur:provid:farmer:environ:contain:necessari:infrastructur:servic:ensur:greater:respect:environ:better:life:diversif:creation,trabajo
7,transnat:strategi:intend:possibl:disadvantag:group:access,empleo
8,said:summari:commission:prodi:liberalis:competit:keep:inflat:low:innov:scienc:technolog:central:futur:success:european:economi:creat,puesto
9,favour:social:protect:favour:origin:commiss:document:want:price:social:protect:cost:unrealist:high,puesto
10,worker:like:lose,trabajo
11,aim:work:strategi:vital:read:fact:harmoni:strict:possibl:truli:tourism:capabl:creat,empleo
12,said:debat:million:potenti:new:year:worth,empleo
13,unquestion:use:creat:adequ:number:reduc:unemploy:europ,empleo
14,contradict:iron:hypocrit:insult:worker:propos:strengthen:competit:undertak:reduc:labour:cost:promot:total:liberalis:increas:flexibl:market:support:atyp:form:work:measur:combat:unemploy,trabajo
15,madam:presid:export:ban:product:ban:communiti:investig:calcul:lost:europ:result,puesto
16,particular:pleas:emphasi:place:europ:creat:prosper:employ:strengthen:market:economi:increas:competit:part:greater:flexibl:labour:market:reduc:social:charg:connect:low-paid,trabajador
17,lisbon:portugues:presid:gave:key:unlock:decad:sustain:innov:competit:creation:contin,empleo
18,promis:creat:million:year:come:just:deceit:ridicul,puesto
19,report:hous:previous:van:buitenen:short:end:period:suspens:inform:right:seek:employ:european:union:institut:qualifi,cargo
20,council:presid:commiss:whilst:defend:moral:valu:condemn:war:endeavour:ensur:support:forc:poor:repres:russia:wish:pursu:european:path:path:european:partnership:partnership:european:union,tarea
21,call:decent:salari:offset:risk:involv,reivindican
22,rapporteur:way:quit:excel:express:concern,trabajo
23,hous:know:intern:multin:institut:commiss:essenti:honour:member:said:alloc:broad:reflect:divers:union:serv:use:abil:effect,puesto
24,final:address:issu:risk:happen:staff:resourc,tarea
25,futur:railway:stake:million:employ:industri,puesto
26,belong:differ:seen:unwant:competitor:hous:market,trabajo
27,final:regard:merger:acquisit:general:creat:problem:huge:loss:written:verbal:contact:monti:commission:respons:directorate-gener:respons:commiss:monitor:applic:legisl:worker:committe:maximum:check:provis:law:compli:merger:major:decis:taken,trabajo
28,equal:concern:help:inconceiv:social:restructur:inevit:follow:wake:repeat:million:rural:farmer,trabajo
29,thousand:constitu:risk:result:decis:taken:yesterday,puesto
30,employ:e-europ:plan:serv:prepar:citizen:internet:shopper:certain:creat,puesto
31,offer:person:congratul:honour:member:difficult:extrem,trabajo
32,far:principl:concern:violat:right:freedom:movement:human:point:view:creat:devast:situat:student:sought:better:qualif:relev:end,ocupación
33,presid:point:order:chairman:environ:committe:just:point:rapporteur:present:report:committe,misión
34,way:exampl:tell:countri:minimum:period:recuper:allow:mother:expert:say:day:normal:birth:woman:work:normal,trabajo
35,societi:care:work:women:ensur:remain,trabajo
36,incorpor:women:workplac:realiti:revers:women:situat:have:chose:have:children:keep:complic:pregnanc:entail,trabajo
37,programm:commiss:look:consequ:possibl:end:programm:implic:continu:action:undertaken:situat:affect:partner:busi,empleo
38,wish:rapid:proper:need:bit,trabajo
39,echo:doe:necessari:human:resourc:plan:headquart,tarea
40,point:view:tri:challeng:short:notic:explan:applic:criteria:appli:harm:good,trabajo
41,respons:safeti:site:oblig:carri:risk:assess:ensur:check:safeti:equip:use:access:site:regardless:employ:status:length:servic:carri,función
42,heavili:agricultur:region:ground:precis:compani:cope:type:regul:sens:given:attent,empleo
43,presid:request:floor:just:say:mrs:ludford:good:rapporteur:report:discuss:committe:citizen:freedom:right:justic:home:affair:meet,trabajo
44,presid:risk:capit:essenti:creation:fund:rais:ventur:capit:goe:hire,empleo
45,european:union:wish:establish:econom:dynam:region:world:decid:lisbon:summit:ensur:invest:particular:smes:creat:support:growth:sector:given:necessari:fund,puesto
46,clarifi:valuat:econom:impact:smes:just:work:civil:servant,trabajo
47,import:institut:employ:intern:auditor:intern:audit:serious,trabajo
48,thing:equal:think:parent:prevent:children:see:sort:home,tarea
49,commiss:monitor:practic:applic:legal:framework:remit:set:treati,papel
50,forget:e-europ:initi:mean:new:new:technolog:inform:societi:think:women:import:role:play,puesto
51,direct:indirect:european:union:depend:agreement:area:possibl:convers,empleo
52,tenet:judgment:unequivoc:right:person:affect:free:movement:labour:right:discrimin:ground:nation:violat:itali:did:offer:lettori:term:employ:secur:italian:nation:lectur:similar:level:univers,trabajo
53,happi:new:member:have:come:direct:second:read:easi,tarea
54,best:way:achiev:object:leav:privat:sector,función
55,provid:histor:opportun:renew:energi:sourc:constant:regener:wind:hydro:solar:biomass:proper:futur:energi:suppli:varieti:reason:environment:reason:social:reason:creat:peac:polici:reason:energi:sourc:spark:war:centuri:last:repres:great:econom:opportun:industrialis:nation,puesto
56,presid:usual:begin:speech:say:thank,excelentes
57,ask:amend:nos:taken:addit:paragraph:utter:folli:delet:involv:draw:goal:personnel:develop:role:apprais,trabajo
58,direct:adopt,puesto
59,loss:gallah:affect:worker:year:old:averag,empleo
60,meet:parliament:half:way:come:amiss:save:work:object:work:want:futur:effici:european:court:justic:import:clear:backlog:translat:work,trabajo
61,safeguard:regener:environ:european:communiti:level,tarea
62,money:doe:arriv:lose,empleo
63,close:eye:realiti:takeov:staff:restructur:redund:short:measur:affect,puesto
64,hard:persuad:countri:firm:convinc:harmonis:right:resal:basi:propos:bring:benefit:concern,trabajo
65,new:provid:creat:number:matter:indiffer:number:natur:preserv:tradit:provid:postal:servic,puesto
66,lead:healthier:cigarett:smoke:simpli:export:europ,puesto
67,vote:freedom,puesto
68,sanction:loss:offic:closur:carri:gradual:control:way,empleo
69,stake:unit:kingdom:pois:bear:brunt:cut,puesto
70,believ:countri:spain:germani:itali:greec:portug:council:despit:final:decis:ask:aid:continu:feel:aid:continu:way:wish:lose:thousand:shipbuild,puesto
71,shortag:employe:grow:economi:put:pressur:older:stay:longer,activo
72,ladi:gentlemen:minist:educ:make:propos:analysi:enabl:opportun:young:receiv:high:educ:like:societi,trabajo
73,control:refer:error:detect:previous:half-don,trabajo
74,fund:commit:excess:million:trigger:invest:billion:creat:project:right:border:countri:northern:ireland,puesto
75,support:amend:effect:bank:guarante:ventur:capit:far:strict:far:conserv:actual:prevent:entrepreneur:creat:european:countri,puesto
76,assess:present:effect:programm:actual:creation:particular:interest,empleo
77,said:enjoy,tarea
78,addit:aforement:clear:programm:smes:busi:keen:offload:smes:forc:abolish:increas:exploit:work:class:help:technolog:progress,puesto
79,report:show:tendenc:protect:intern:competit:ground:fisheri:provid:great:coastal:area,empleo
80,despit:end:day:money:suppos:assist:local:better:employ:money:given:major:employ:shed,despido
81,presid:monday:afternoon:parliament:propos:committe:employ:social:affair:look:situat:worker:european:corpor:danon:threaten:loss:biscuit:sector:franc,puesto
82,doubt:simpli:demand:quota:percentag:right:way:achiev:greater:represent:sure:parliament:represent:polit:field:nation:intern:level,tarea
83,legisl:consult:parliament:council:result:satisfactori:packag:meant:develop:rail:transport:tackl:vigour,vigoroso
84,labour:govern:forefront:provid:young:measur:protect:work,puesto
85,equal:opportun:mean:servic:avail:open:equal,puesto
86,equal:educ:mean:skill:requir:avail,puesto
87,need:look:give:skill:train:young:middle-ag:elder:live:urban:rural:area:guarante:equal:access:train:new,trabajo
88,fundament:element:educ:train:busi:incent:public:invest:essenti,empleo
89,europ:need:polici:creat:citizen:choos:futur,empleo
90,difficulti:match:regard:creation:research:develop:popul:growth,trabajo
91,union:polici:respond:aim:help:improv:competit:backward:region:help:creat:skill,puesto
92,say:requir:highest:qualif:whilst:believ:function:requir:lowest:qualif,cualificadas
93,million:new:year:high:qualifi:ict:sign:good,puesto
94,final:truli:fair:treatment:entail:equal:access:public:sector:equal:wage:social:right:european:citizenship:base:resid:nation:consequ:right:vote:elig:immigr:third-countri:nation,cargo
95,new:month:parliament:report:commiss:opinion:way:remind:member:state:nation:overrid:global:humanitarian:oblig,trabajo
96,continu:industri:restructur:vital:healthi:economi:replac:yesterday:unwant:fresh:need:futur,trabajo
97,produc:reduc:requir:work:input:necessari:reason:gain:modernis:appropri:employ:million:lose,acaparados
98,difficult:complex:task:rapporteur:certain:good:circumst,labor
99,korean:violat:continu:condemn:situat:intern:bodi:wto:oecd:imf:ask:council:commiss:extend:implement:aid:link:contract:urgent:establish:adequ:mechan:order:slow:continu:loss:legitim:defenc:shipbuild:industri,puesto
100,believ:occas:parliament,trabajo
101,commiss:demonstr,trabajo
102,amend:common:posit:threaten:futur:station:miner:suppli:coal,puesto
103,extrapol:figur:consist:implement:programm:creat:million:european:union,puesto
104,talk:have:bottleneck:specialist:market:unabl:implement:specif:integr:polici:help:unemploy:million:european:union:contribut:work:popul,trabajo
105,sacconi:appoint:rapporteur:knew:excel:right,trabajo
106,believ:import:social:dimens:impact:integr:reflect:alongsid:ecolog:econom:aspect,puesto
107,close:thank:fellow:member:help:draft:report:think:fine:hope:use:exampl:level,labor
108,claim:cut:work:hour:result:new:doe:appli:low-paid:clear:link:reduc:work:hour,puesto
109,bottleneck:fight:diseas:eur:million:money:devot,cargo
110,capac:build:need:everybodi:undp:world:bank:think,tarea
111,mrs:maij-weggen:role:commiss:coordin:member:state:general:assembl,cosa
112,remind:broad:econom:guidelin:adopt:april:import:polit:instrument:budgetari:matter:specif:consider:given:e-learn:initi:import:stage:achiev:strateg:object:establish:lisbon:european:council:object:creat:knowledge-bas:economi:capabl:sustain:econom:growth:better:greater:social:cohes,puesto
113,accept:staff:told:structur:chang:loss:earli:possibl:intent:evolv:direct:mark:spencer:case:essenti:slow:convers:compani,planta
114,present:parliament:report:econom:guidelin,deber
115,basic:parliament:council:shall:perform:mediat:duti,corresponde
116,commiss:share:overal:view:mrs:gebhardt:present:regard:eurojust:report:congratul:excel,labor
117,thousand:french:worn:weight:taxat:endless:bureaucraci:countri:did:wait:eur:simpli:left:countri:order:final:better:standard:live:hope:unit:kingdom,exasperados
118,lose:thousand:kilometr:away:insecur:pay:wors:previous,trabajo
119,just:consum:confid:lost:success:crise:occur:watch:consum:restructur:consum:habit:watch:numer:compani:imagin:exclud:market:fold:watch:thousand:way:blame:lost,puesto
120,presid:begin:thank:davi:splendid:expert:report,trabajo
121,singl:market:essenti:north:west:britain,puesto
122,preliminari:work:belgian:presid:initi:convent:laeken,impulso
123,tri:quantifi:potenti:retali:european:industri:injur:parti:mean:term:lost:europ,puesto
124,particular:case:occup:pension:scheme:employe:advantag:freedom:movement:person:european:ideal:realiti:switch:member:state:lose:differ:taxat:includ:doubl:taxat,trabajo
125,presid:think:excel:set:report:committe:foreign:affair:good,labor
126,measur:requir:promot:women:access:train:employ:improv:situat:women:market:help:achiev:better:balanc:life:work,laboral
127,luckili:duti:carri:experienc:söderman:usual:degre:enthusiasm,trabajo
128,let:say:yes:hill:mountain:farm:hill:mountain:european:farm:industri:reduc:wto:negoti:seri:theme:park:peasant:dress:mike:moor:look:walt:disney:charact:entertain:anglo-saxon:tourist:conserv:landscap,disney
129,help:wonder:contradict:say:want:prioriti:employ:refer:lisbon:european:council:declar:pay:attent:micro-enterpris:sme:project:know:prime:creator,empleo
130,member:european:union:somebodi:suffer:discrimin:present:case:win:work:public:sector:greatest:problem:confront:dirti:look:colleagu:work:privat:sector:sooner:later:lead:leav,trabajo
131,main:held:women:societi:accept:paid,profesión
132,consid:harass:older:harass:sole:reason:grown:old:point:unfortun:mention:document,trabajo
133,airlin:european:tourism:industri:europ:biggest:industri:world:travel:tourism:council:estim:present:million:lost:europ,puesto
134,call:question:work:permit:attach:compani,actividad
135,need:lay:strategi:sustain:immigr:polici:nation:local:institut:play:major:use:object:criteria:identifi:occup:need:avail:accommod:social:servic:train:ask:come:live:work:member:state,puesto
136,presid:principl:agre:report:titley:excel:committe:foreign:affair:human:right:common:secur:defenc:polici,labor
137,piti:repres:commiss:parliament:observ:president-in-offic:did:good,trabajo
138,galileo:programm:import:guarante:high:technolog:industri:maintain:futur:creat,empleo
139,presid:express:thank:rapporteur:colleagu:messr:harbour:beysen:respons:committe:excel:includ:take:account:view:express:committe:industri:extern:trade:research:energi:matter,meritoria
140,degre:commit:solv:social:problem:creation:combat:social:exclus:poverti:requir:longer:attach:prioriti:maintain:monetari:stabil:cost:know:consequ:unemploy:wage:cap:poverti,empleo
141,pillar:employ:strategi:entrepreneuri:spirit:call:prioriti:given:creation:growth:smes:enorm:potenti:creation:recent:data:eurostat:show:micro-enterpris:worker:greatest:increas:term:creation:european:union,empleo
142,general:rapporteur:tough:demand:costa:neve:manag:support:polici:commiss:budget,trabajo
143,think:excel,trabajo
144,new:direct:certain:respond:chang:situat:taken:twenty-f:year:regard:women:employ:vocat:train:replac:outdat:legisl:framework:combat:discrimin:women:infring:principl:equal:higher:unemploy:rate:exclus:women:numer:profess:general:divis:market:gender:line,laboral
145,lisbon:way:right:reli:doe:growth:support:invest:creat:mutual:support:econom:employ:social:polici,empleo
146,prospect:new:limit:redund:older:unqualifi:worker,empleo
147,accord:china:onlin:estim:agricultur:labour:forc:surplus:requir:mean:million:farmer:look:citi,empleo
148,fisheri:agreement:exceed:import:region:europ:addit:sector:rang:addit:busi:depend:fisheri,empleo
149,make:econom:sens:trade:meat:trade:live:anim:creat,puesto
150,mean:rigor:manag:risk:damag:unnecessarili:small-:medium-s:firm:chemic:industri:risk:bring:benefit:safeti:citizen,puesto
151,subject:age:discrimin:doe:council:propos:chang:current:polici:discrimin:applic:age:light:european:ombudsman:current:investig:age:discrimin:amount:maladministr,trabajo
152,true:say:attack:usa:septemb:aviat:industri:suffer:catastroph:consequ:passeng:confid:addit:ten:thousand:lost:worldwid:europ,puesto
153,belgium:small-:medium-s:enterpris:expect:redund:lost:sabena,trabajo
154,restor:public:confid:mean:get:secur:screen:right:improv:staff:train:procedur:pay:condit,trabajo
155,presid:intern:transport:agenc:anticip:total:lose:airlin:industri:worldwid:wake:attack,empleo
156,convict:secur:favour:work:condit:appropri:worker:right:diminish:product:econom:growth:creation:contrari:promot,empleo
157,directly-rel:lost:worldwid:just:tip:iceberg,puesto
158,just:year:say:doe:suggest:happen:new:commiss:suggest,cargo
159,presid:join:congratul:express:colleagu:fiori:tremend:led:matur:sound:outcom,trabajo
160,action:general:salari:employe:worker:bin:laden:threaten:privatis:organis:defend:condit:work:tool:work,empleo
161,sure:good:good:growth:good:equal:access,empleo
162,presid:apart:fact:partial:present:hous:believ:acknowledg:belgian:presid:disappoint:deal:clear:difficult:circumst,altura
163,regard:document:say:sailor:seafar:chief:complaint:stabl:arriv:port:know:day:ashor:wait:board:wait:month:month:year,trabajo
164,thousand:british:risk:result:affair:includ:area:east:england,puesto
165,medium-s:enterpris:present:account:cent,puesto
166,discrimin:affect:main:attract:guest:worker:turkey:morocco:come:unpleas:worst:paid,trabajo
167,know:sort:destruct:infrastructur:health:educ:servic:livelihood:destroy:hope:prospect:polit:stabil:secur,puesto
168,natur:market:reform:train:proactiv:employ:polici:structur:mechan:creat:cours:second:communiti:support:framework,laboral
169,year:lost:manufactur:sector:region,puesto
170,wonder:meantim:predefin:model:predefin:framework:exist:respons:laid:agenda:parti:involv:exercis:evid:embryon:good:work:characterist:placement:system:system:provid:inform:opportun:success:fulfil:role:school:train:cours:start:rationalis,colocación
171,recent:demonstr:primari:school:teacher:parent:nant:region:closur:class:creation:limit:class:size:illustr,puesto
172,goe:say:american:oper:paramilitari:team:ship:bomb:spread:death:destruct:order:finish,matanza
173,turn:lead:basic:condit:creat:new:compani:new:increas:prosper,trabajo
174,collaps:fish:stock:diminish:fleet:lost:decommiss:tie-up:lay-off:initi:come:soon:great:welcom,puesto
175,signific:posit:regard:ownership:power:station:unclear:meant:privatis:enorm:import:term:safeguard,puesto
176,final:remain:said:light:huge:social:problem:colleagu:refer:unemploy:young:necessari:creat:new:region,puesto
177,crucial:member:state:european:union:undertak:speedi:reform:pension:scheme:requir:chang:organis:labour:creation:better:specif:older:redraft:demograph:birth:immigr:polici,puesto
178,post:liaison:offic:senior:citizen:creat:rapporteur:colleagu:carlo:fatuzzo:like:candid,función
179,agre:rapporteur:need:step:effort:compil:gender-bas:statist:reflect:real:situat:women:market:sector:appli:effici:polici,laboral
180,effort:best:product:labour:process:match:endeavour:improv,trabajo
181,presid:salut:rapporteur:good:skill:knowledg:thought,trabajo
182,tradit:polit:parti:continu:follow:agenda:question:share,reparten
183,said:reform:year:lost:year,puesto
184,commiss:propos:far:seek:balanc:conserv:stock:effici:fleet:maintain:econom:fish:region,empleo
185,affect:guest:far:industri:concern:affect:great:great:medium-s:busi:just:countri:car:produc:europ,puesto
186,calcul:distributor:disappear:associ:loss,trabajo
187,effect:regul:need:evalu:air:transport:market:high:sensit:area:great:import:economi:make:rush:inappropri,precipitadas
188,obvious:import:parent:father:mother:return:work:patern:matern:parent:leav:actual:given:equival:did:enjoy:benefit:away:work,laborales
189,europ:economi:inevit:depend:secur:suppli:fiscal:support:right:way:ahead:expect:product:fuel:biomass:complet:replac:import:fuel:oil:soon:decad,empleo
190,know:know:usual:ritual:practic:think:podestà:deserv:thank:take:task:erstwhil:colleagu:general:rapporteur:carlo:costa:neve:take:start:observ:implement:budget:cours:year,trabajo
191,level:red:tape:medium-s:enterpris:europ:barrier:creation,empleo
192,foremost:need:genuin:coordin:econom:polici:euro:foster:growth:creat,empleo
193,initi:propos:develop:local:labour:market:order:achiev:high:level:effici:regard:creation:deal:aspect:gender:equal:social:dimens:econom:develop:innov:inform:societi:state:opinion:committe:women:right:equal:opportun,trabajo
194,committe:identifi:develop:invest:invest:offset:invest:develop:countri,labor
195,talk:staff:attach:so-cal:privileg:unabl:accept:chang:air-control:involv:constant:develop:chang,trabajo
196,despit:creation:million:new:lisbon:summit:object:number:unemploy:persist:million:european:citizen,puesto
197,report:welcom:greater:transpar:legal:certainti:area:aid:tax:relief:benefit:grant:employ:pretext:encourag:creat:doe:question:employ:right:want:busi,puesto
198,basic:principl:complement:undertak:provid:citizen:real:real:hous:adequ:healthcar:prospect:social:growth:addit:econom:growth,trabajo
199,train:need:shift:longer:requir:agricultur:worker:lumberjack:fishermen:exampl:expand:servic:sector,empleo
200,creation:citizen:constant:member:state:search:privileg:lead:conflict:environ:misfortun,empleo
201,unaccept:context:unemploy:insecur,laboral
202,presid:commission:basi:inform:concern:implement:employ:guidelin:report:committe:employ:social:affair:propos:improv:emphasis:creation:train,empleo
203,million:new:creat,empleo
204,presid:commission:ladi:gentlemen:balance-sheet:year:european:employ:strategi:demonstr:major:shortcom:remain:creation:right,trabajo
205,trumpet:import:keep:clean:creat:green:space:odd:allus:social:polici:good:measur:mobilis:local:forc:creat,puesto
206,know:respons:unemploy:lie:princip:compani:fail:creat:extra:elimin:pure:benefit:sharehold,puesto
207,outstand:establish:role:function:ombudsman:hold:import:post,labor
208,commiss:pass:decis:revis:eur:effici:support:mobil:european:manpow:object:eur:provid:servic:inform:seeker:compani:look:recruit:european:level,empleo
209,need:focus:creation:mean:liber:enterpris,empleo
210,said:increas:prosper:condit:unemploy:obtain,trabajo
211,last:commiss:appear:think:term:assist:creation:follow-up:post-job:creation:assist:guarante,trabajo
212,unfortun:effort:improv:appreci:muscl,trabajo
213,assur:inform:confirm:offici:notif:commiss:statist:agre:amsterdam:declar:commiss:appli:measur:laid:treati:pact:discharg:duti,trabajo
214,mean:research:incent:envisag:make:industri:competit:safeguard:europ:promot:develop:new:medicin:product,puesto
215,research-intens:area:creat:develop:wealth:possibl:assum:global:respons,puesto
216,presid:begin:congratul:irish:danish:presid:tremend:good:commiss:work:issu:long,labor
217,servic:sector:vital:european:growth:sector:privat:public:servic:industri:account:gdp,puesto
218,maintain:fish:stock:fishermen,empleo
219,finish,trabajo
220,consid:project:posit:impact:economi:innovation-productivity-growth-employ:chain:danger:establish:direct:link:number:creat:choic:project,puesto
221,report:discuss:year:european:parliament:did:provid:safeguard:sign:temporari:work:agenc:ensur:fair:place:agenc,colocación
222,furthermor:destruct:greater:resourc:happen:state:european:union:despit:except:protect:measur:discrimin:relat:access,empleo
223,remov:aid:modernis:boat:posit:contribut:maintain:on-board:boat,empleo
224,presid:commission:talk:report:present:parliament:congratul:rapporteur:excel:chose:refer:disast:destroy:galicia,trabajo
225,presid:commission:thank:rapporteur:great:work,trabajo
226,delor:commiss:conclud:point:uncoordin:polici:cost:growth:automat:mean:cost:european:union,empleo
227,given:opportun:start:new:life:access:suitabl:hous:medic:psycholog:care:access:market:educ:train,trabajo
228,madam:presid:thank:great,labor
229,actual:state:clear:open:rail:freight:transport:market:lead:increas:competit:like:entail:loss,trabajo
230,need:said:staff:excel:said:commission:european:union:high:profil,trabajo
231,professor:come:oner:respons:extraordinari:credenti:friend:commission:diamontopoulou:reason:recognis:qualiti:experi:knowledg:requir:demand,puesto
232,sce:use:mandat:start:call:russian:govern:possibl:effort:ensur:follow-on:assist:broad:mandat,labor
233,certain:ebrd:import:tri:countri:industri:develop:greater:need:support:revitalis,función
234,seven:thousand:reliant:aquacultur:scotland:highland:island:aquacultur:provid:lifelin:remot:communiti,puesto
235,presid:unit:nation:inspector:iraq:good,trabajo
236,hand:want:say:countri:nation:come:low-level:manual:nasti:don:want,trabajo
237,presid:poor:vitorino:difficult:commiss:doe:extrem,tarea
238,better:babi,trabajo
239,afraid:fatuzzo:link:number:new:number:birth:shall:unpleas:surpris,puesto
240,pleas:commiss:eeurop:plan:increas:invest:aim:creat:opportun:particip:inform:societi,puesto
241,attempt:maximis:potenti:benefit:intern:market:overlook:high:level:poverti:exclus:inequ:lack:creat:precari:promis:given:delor:famous:white:paper:predict:creation:million:target:postpon,puesto
242,want:point:direct:contain:array:provis:touch:worker:benefit:social:protect:social:secur:matter:qualif,trabajo
243,involv:concili:stick:resolut:parliament:amend:ensur:safeti:dock:dockwork,empleo
244,today:difficult:context:context:wave:compani:restructur:mass:redund:increas:instabl:market:european:parliament:send:strong:clear:signal,laboral
245,talk:european:employ:strategi:tri:increas:number:europ:talk:european:pension:strategi:unfortun:talk:reduc:cut:pension,empleo
246,report:insist:greater:flexibl:pay:labour:market:contribut:pay:disput:instabl,laboral
247,face:rise:unemploy:altern:simpli:abandon:stabil:pact:polici:focus:creation:major:chang:way:profit:distribut,empleo
248,advantag:countri:crisi:present:sporad:conflict:possibl:good:task:hand,trabajo
