id,phrase,classes
1,find:basi:european:programm:protect:barent:sea:ask:examin:draft:set:import:fact:parliament:posit:express:resolut:adopt:clear:far:russia:concern,carta
2,mrs:banotti:appar:promis:write:explain:permiss:withdrawn:far:receiv,carta
3,final:allow:remind:edd:belong:stand:differ,letra
4,naiv:grant:freelanc:enterpris:right:oper:select:circumv:weight:limit:easili:content:cours:check,carta
5,commiss:confirm:posit:express:chef:cabinet:commission:agricultur:fisheri:januari:respons:galland:behalf:coordin:committe:sahrawi:support:organis,carta
6,exampl:minist:goe:knee:cut:wrist:write:pledg:blood:deliv:habitat:direct:agre:timet:prepar:assist:region:provid:structur:fund:circumst,letra
7,nonsens:inform:written:incomprehens:languag:packag,letra
8,yesterday:receiv:chairperson:faith:reflect:happen:legal:affair:committe:follow:discuss:decid:recommend:parliament:note:leav:issu:tabl:discuss,carta
9,june:sent:regard:proceed:monday:june:whit:monday,carta
10,promis:allow:van:hulten:come:year:claim:lost:allow,escrito
11,foremost:presid:receiv:gem:day:ask:partnership:turkey:european:union:draw:board:mention:helsinki:articl:relat:greek-turkish:relat:word:border:differ:question:progress:cyprus:issu,carta
12,enquir:told:matter:sent:resid,carta
13,gollnisch:assur:procedur:respect:absolut:spirit:articl:septemb,letra
14,court:auditor:report:fair:programm:rapporteur:report:aris:publish:march:year:sector:regard:audit:sent:commiss:decemb:februari,carta
15,evid:rais:issu:includ:problem:mrs:langenhagen:refer:introduct:elaps:sector:sent:report:debat:parliament:length:attribut:work:relat:commiss:court:auditor,carta
16,council:did:receiv:copi:presid:cours:repli:cem:member:state:inform:content:repli:given,carta
17,accept:substanc:amend:budgetari:consult:procedur:thursday:council:prove:arm:budgetari:author:did:fact:wish:support:reform:commiss,nota
18,amend:budget:commiss:give:detail:opinion:question:technical-assist:offic:tao:pleas:idea:commiss:parliament:futur:treatment:question:run:line,carta
19,second:import:aspect:council:second:read:concern:amend:enabl:commiss:new:provis:field:agricultur:implement,carta
20,delight:institut:reach:agreement:adopt:read:aspect:amend:concern:agricultur:expenditur:fisheri:agreement:inclus:estim:balanc:financi:year:preliminari:draft:budget,carta
21,presid:number:member:state:receiv:comité:européen:des:fabric:sucr:european:committe:sugar:manufactur:regard:commiss:propos:account:deliber,correspondencia
22,privat:oper:deliv:letter:time:price:normal,carta
23,countri:highest:number:deliv:day:post,carta
24,vote:ban:advertis:tobacco:product:vote:misconstru:editor:luxembourg:newspap:vote:prevent:cancer,carta
25,far:aspect:case:pertain:provis:public:contract:concern:servic:commiss:posit:clear:plaintiff:sent:coupl:day,carta
26,reform:announc:presid:ben:ali:novemb:precis:spirit:resolut:adopt:parliament:need:realiti,letra
27,answer:verbal:write:awar:decis:govern:took:continu:rout:undertaken:actual:receiv,carta
28,feel:human:right:prioriti:opportun:ask:presid:parliament:send:colombian:author:call:respect:human:right:urg:govern:endeavour:ensur:say:negoti:liber:armi:forc:agreement:reach:fail:includ:immedi:liber:european:colombian:citizen:european:non-european:depriv,carta
29,obvious:thought:wrote,carta
30,entitl:view:right:wrong:substanti:understand:action:taken:relat:name:televis:documentari:relat:legal:question:emphasis:mrs:gradin:earlier:repli:wider:judgment:matter:entir:andersson:view:conscienc,carta
31,exampl:know:pierr:sané:secretari:amnesti:intern:commiss:council:end:year:threat:day:akin:birdal:turkish:human:right:associ:persist:declar:turkish:author:situat:kurdish:cyprus:conflict:matter,carta
32,pleasant:sign:swedish:presid:belgian:presid:prodi:commiss:presid:behalf:european:parliament,carta
33,describ:way:negoti:turkish:govern:concern:democratis:run-up:applic:enlarg,carta
34,compani:profit:dive:dot:wrong,letra
