id,phrase,classes
1,von:wogau:behalf:committe:econom:monetari:affair:commiss:white:modernis:rule:implement:articl:treati:com:cos,blanco
2,cours:competit:report:aid:report:share:common:ground:white,blanco
3,agreement:report:commission:broad:outlin:white,blanco
4,white:intend:resolv:problem:support:propos,blanco
5,great:major:propos:close:akin:van:hulten:includ:say:stae:explicit:timet:action:undertaken:pursuit:reform,documento
6,await:white:govern:european:union:deal:issu:balanc:member:state:govern:european:union:institut:publish:summer,blanco
7,presid:known:week:promin:cambodian:opposit:threaten:closur:report:insult:king:prime:minist,camboyana
8,glad:presid:prodi:colleagu:michel:schreyer:present:white:adopt:commiss:morn:reform:commiss,blanco
9,absolut:assur:provis:white,blanco
10,unless:accompani:clear:polit:solut:respect:border:autonomi:democrat:guarante:plan:lead:new:blood-let:balkan,torrente
11,last:recommend:incorpor:updat:version:propos:presid:delor:white:promot:european:project:develop:common:network:infrastructur:servic,blanco
12,want:set:clear:exampl:european:govern:administr:communic:e-mail:instead,electrónica
13,awar:plan:set:white:food:safeti:contain:provis:relat:introduct:legisl:respect:general:food:law:legal:provis:contain:white:design:protect:food:safeti:infer:consum,blanco
14,mind:fact:support:renew:energi:import:way:achiev:effect:result:particular:regard:control:carbon:dioxid:emiss:attain:object:propos:white:reach:level:renew:energi,blanco
15,awar:tricki:busi:prevent:half-bak:stori:get,prensa
16,fact:matter:includ:white:help:commiss:initi:promis:white:regard:food:safeti,blanco
17,approach:inform:white:reform:commiss:tabl:kinnock,blanco
18,commiss:spent:year:prepar:radic:reform:outlin:white:present:march:appreci:month:turn:massiv:tanker,blanco
19,genuin:new:origin:lisbon:summit:conclus:diagnos:state:white:growth:competit:employ,blanco
20,cheap,papel
21,copi:provid:secretariat-gener:parliament:inform:natur:general:avail:honour:member,documento
22,believ:sullivan:strong:commit:direct:set:white:notabl:successor:extrem:talent:commit:predecessor:trojan:new:post:end:month,blanco
23,measur:action:announc:white:provid:radic:reform:commiss:involv:consider,anunciadas
24,public:privat:invest:reach:gdp:reach:bring:close:object:mention:commiss:white:growth:employ:competit,blanco
25,think:just:piec:say:wonder,papel
26,realist:view:current:develop:europ:show:declar:malo:cologn:helsinki:far:accompani:real:secur:guarante,teóricas
27,commiss:pave:way:drastic:extens:opportun:implement:bind:legisl,documento
28,cover:definit:extern:programm:area:justic:intern:affair:white:food:safeti:european:charter:enterpris:import:resolut:econom:financi:affair:entri:greec:euro:want:happi:resolut:problem:incom:tax,blanco
29,area-wid:model:use:ecb:model:aggreg:behaviour:euro:area:economi:publish:work:seri:ecb:staff:probabl:end:year:earli:year,documento
30,precautionari:principl:sensibl:describ:recent:commiss,documento
31,year:consult:ngos:commiss:come:discuss:intern:work:group:hard:met,documento
32,commiss:clear:horizont:cooper:agreement:general:order:work:interest:consum:grate:commission:respons:area,documento
33,countri:strategi:steer:right:direct:achiev:optimum:divis:labour:commiss:member:state,documento
34,present:propos:seri:initi:base:white:food:safeti,blanco
35,regard:action:propos:page:polici:set:new:way:think:work:greater:decentralis:associ:nation:structur,nota
36,council:consid:draft:suitabl:order:includ:communiti:custom:code:point:green:current:convert:rule:specif:combat:fraud,verde
37,good:particular:tobacco:enter:non-commun:countri:european:econom:area:zone:communiti:zone:mysteri:leav:communiti:zone:actual:leav,papel
38,presid:let:begin:warm:congratul:rapporteur:bowi:let:inform:commission:david:byrn:appreci:propos:white:relat:establish:parliament:view:prepar:best:possibl:legisl:field:food:safeti:futur,blanco
39,said:previous:speaker:whitehead:mrs:gebhardt:white:just:set:rule:regul,blanco
40,white:polit:posit:respons:food:product,documento
41,white:food:safeti:propos:aspir:restor:consum:confid:entir:food:chain,blanco
42,deni:white:publish:spoke:agenc,blanco
43,white:enforc:strict:rule:member:state,blanco
44,let:say:glad:parliament:final:deliv:opinion:import:subject:regret:month:european:commiss:present:white:januari:year,blanco
45,commiss:white:grace:admit:closer:perus:regulatori:power:keen:protect:commiss:state,blanco
46,despit:merit:initi:technic:green:congratul:commiss:coverag:point:limit,verde
47,green:set:quantifi:target:greenhous:gas:reduct:attain:emiss:trade:word:green:said:percentag:greenhous:gas:reduct:alloc:emiss:trade,verde
48,green:greenhous:gas:emiss:trade:europ:excel:initi,verde
49,asean:sens:word:tiger:failur:deal:event:burma,tigre
50,closer:examin:offici:read:reveal:protest:main:target:persecut,papel
51,text:vote:call:european:commiss:draw:green:specif:question,verde
52,commiss:submit:excel:green:concern:fair:price:road:import:principl:green:cross-subsidis:road:haulier:money:collect:road:use:solv:problem:road,verde
53,presid:green:european:free:allianc:support:reform:commiss:set:white:urg:speedi:implement,blanco
54,commission:kinnock:presid:prodi:receiv:support:socialist:mean:ever-watch:eye:result:criteria:outlin:eloqu:white,blanco
55,reform:propos:malcolm:harbour:mep:white:common:sens:reform,malcolm
