id,phrase,classes
1,restor:water:suit:planet:ecosystem:experi:advers:event:threaten:develop:region:live:condit:inhabit:region:fundament:global:balanc,serie
2,joint:motion:resolut:propos:effect:mechan:ensur:coher:shall:short:allot:just:mention:mechan:oblig:commiss:carri:evalu:new:relev:legisl:aspect,común
3,clear:extend:propos:discuss:option:invest:undertak:collect:invest:undertak:remain:outsid:rule:oblig:invest:high-risk:fund,abanico
4,tourism:thought:good:servic:requir:individu:move:habitu:resid:confer:mobil:characterist:featur:contemporari:societi,conjunto
5,fact:updat:send:data:pure:option:involv:wide:data:sector:distort:final:object:commiss:propos,versen
6,patent:offic:award:patent:human:genet:make-up:breach:regul:european:patent:agreement,número
7,general:believ:report:infring:differ:right:begin:right:medium-s:state:form:integr:institut:high:respect:earli:day:treati:rome,serie
8,order:achiev:believ:scope:igc:restrict:tidi:outstand:point:amsterdam:plus:issu,número
9,refer:way:solv:problem:discrimin:age:particip:programm:except:inadequ:given:averag:age:complet:higher:educ:close:upper:limit:rais:year,edad
10,present:regul:respons:request:council:involv:transfer:fund:joint:action:decid:framework:cfsp:previous:fund:common:foreign:secur:polici:budget:pillar:vast:communiti:polici:manag:commiss,ámbito
11,parliament:certain:devot:consider:behalf:citizen:address:import:agenda:food:safeti:ensur:farmer:oper:product:framework:traceabl:way:fulli:restor:consum:confid:wide:food:product:produc:european:farmer,gama
12,note:term:bilater:relat:foreign:minist:greec:turkey:nato:summit:florenc:present:propos:includ:good-neighbour:measur:agenda:negoti:greec:turkey:aim:measur:consolid:climat:secur:harmonis:countri,conjunto
13,note:inexplic:danger:fall:number:on-the-spot:check:carri:regul:compar:previous:year:brought:light:shortcom:insuffici:number:monitor:scheme:programm:co-financ:non-admiss:expenditur,serie
14,balanc:piec:work:cover:quit:wide:view,abanico
15,intent:enlarg:european:nation:stronger:voic:world:stage:improv:coordin:effect:polici:issu,serie
16,object:four-fold:possibl:activ:justici:european:court:justic:open:possibl:obtain:agreement:arm:export:countri:outsid:intern:code:conduct:difficult:unattract:legal:bind:legal:sanction:involv:danger:involv:arm:trade:open:activ:reluct:countri:arm:order:european:state,serie
17,result:public:opinion:parliament:includ:begin:deeper:polit:thought:issu:involv:resolv:crise:mean:arm:forc:compon,abanico
18,order:exploit:strong:european:posit:mobil:telephoni:digit:key:new:servic:emerg,serie
19,extrem:import:except:limit,alcance
20,deal:differ:point:view:promot:pvc:industri:right:ban:pvc,abarcan
21,turn:communiti:measur,serie
22,goe:say:wide:aquat:environ:requir:wide:differ:set:rule,diversas
23,just:work:build:site:fall:build:scaffold:differ:industri,serie
24,certain:sound:reason:have:explain:mean,deba
25,north-south:transport:obtain:wider:possibl:transit:rout,ramificaciones
26,think:real:challeng:think:want:technolog:inform:advertis:opportun:futur,oferta
27,world-wid:anti-terror:allianc:certain:address:militari:issu:ensur:safeti:address:possibl:form:terror:exist:financi:bank:terror:econom:food:contamin:environment:terror:electron:terror:terror:hack,van
28,new:commiss:white:paper:common:polici:offer:current:estim:cost:road:transport:treat:prioriti:resolut:transport:problem:alpin:region:mean:wide:measur:refer:earlier,gama
29,third:quota:european:work:clear:exceed:portug:fall,oscila
30,wide:product:avail:result:risk:consum:safeti:health:new:legisl:approach:requir,variedad
31,commission:lami:speech:yesterday:lead:conclud:strive:present:wide:object:futur:negoti:liberalis:regul:involv:develop:countri:take:account:sustain:develop:liberalis:primari:object,abanico
32,fisheri:agreement:exceed:import:region:europ:addit:job:sector:addit:busi:depend:fisheri,serie
33,banal:sentenc:reduc:foundat:document:european:transpar:initi:call:wide:parliamentarian:public:life:europ:begin:effect:basi:regul:adjust:parliament:make,diversos
34,pleas:white:paper:follow:legisl:propos:commiss:look:forward:great:see,serie
35,follow:export:subsidi:saga:close,culebrón
36,key:focus:commiss:effort:lie:ensur:specif:featur:european:union:context:includ:wider:institut:regim:appli:fulli:reflect:new:regim,variedad
37,kara:mrs:villier:refer:number:fundament:problem:especi:regard:financ:structur:europ:problem:resolv,serie
38,moment:balanc:whilst:european:ideolog:polit:sensit:european:parliament:repres:acp:countri:vote:countri:vote:obvious:repres:author:opinion:balanc:term:equal:sex,ideología
39,elect:observ:come:conclus:elect:did:reflect:zimbabw:list:shortcom:elect,serie
40,consider:request:relat:unilater:decis:unit:state:suspend:import:spanish:clementin,serie
41,conclud:action:commiss:ask:undertak:rapid:forward:propos:compens:affect:second:seek:resolv:disput:unit:state:quick:possibl:start:season:problem:unsolv:extrem:consequ:third:solut:unit:state:call:account:wto,serie
42,structur:fund:leonardo:programm:extern:programm:cover:budgetari:need:payment,abanico
43,commiss:basic:prioriti:compar:guidelin:adopt:parliament:seen:agre:point,numerosos
44,agre:tackl:issu:secur:safeti:broad:sens:word:part:have:discuss:manag:secur:europ:follow:terrorist:attack:septemb:part:adopt:broader:perspect:safeti:issu:food:safeti:transport:safeti:initi:need:taken:later:year:budget,observados
45,report:refer:contain:specif:chapter:dedic:case:discretionari:budgetari:polici:use:read:report:opinion:use:specif:case:affect:just:countri:limit:circumst,limitadas
46,spite:summit:confer:disput:today:long:way:achiev:object:sustain:develop,numerosas
47,poverti:reduct:overal:object:communiti:develop:polici:food:secur:object:tackl:broad:polici:instrument,serie
48,expert:mission:met:wide:central:local:govern:repres:ngos:oper:area,representación
49,precombin:synthet:blood:clot:factor:bring:boundless:low-pric:compound:pharmaceut:industri:origin:assert:quit:simpli:date:demonstr:true,cantidad
50,reform:modul:upper:moot:differ,pensó
51,group:risk:sever:social:exclus:technic:barrier:face:use:internet,serie
52,chang:lead:label:food:present:label,serie
53,import:reduc:elimin:ceil:propos:commiss:label:requir:bear:mind:propos:threshold:leav:consider:product:process:produc:gmos:label,conjunto
54,look:basi:just:paragraph:refer:citizenship:read:relat:right:attach:particip:local:elect:parliament:diplomat:represent:right:petit,van
55,servic:provid:inform:matter:concern:european:union:contribut:know:right:opportun:citizen:union:know:advantag,gama
56,industri:servic:sector:cut:accept:farmer:expect:vagari:world:market:price:current:rock:commod,número
57,wide:instrument:dispos:tackl:root:caus:terror:term:poverti:econom:develop:institut:build:rule:law,diversidad
58,demand:highlight:essenti:aspect:implement:commiss:respons:mention:field:extern:polici:intern:level,serie
59,basic:point:view:concentr:media:communic:broader:right:journalist:work,gama
60,european:consum:continu:choos:broad:product:submit:manufactur:accord:legal:provis:care:scrutinis:authoris:author,gama
61,thing:mind:temporari:committe:foot:mouth:diseas:engag:intens:problem:associ:epidem:includ:effect:public:economi,intensivamente
62,presid:white:paper:european:transport:polici:present:measur:taken:order:improv:road:safeti:plan:road:safeti:aim:determin:measur:allow:achiev:global:object:reduc:half:number:fatal:result:road:accid:european:union,conjunto
63,case:china:comprehens:ban:export:european:union:product:increas:test:product,serie
64,think:legisl:bring:livestock:rear:shepherd:hut:standard:difficult:implement:mountain,montañosas
65,mountain:pastor:risk:reintroduct:predatori:speci:poor:manag:popul,montañosas
66,member:state:oblig:defin:common:sanction:appli:case:infring:regul:harmonis:sanction,serie
67,commiss:task:prevent:unfair:competit:state:busi:social:actor:program:period:structur:fund:provid:prevent:measur:rehears:briefli,serie
68,digit:literaci:new:essenti:skill:knowledge-bas:societi,serie
69,know:hous:exact:job:paid:huge:differ:salari,dispares
70,european:histori:christian:crusad:crime:coloni:era:mention:horror:fascism,paleta
71,plan:incorpor:initi:includ:technic:barrier:trade:procur:mutual:recognit:intellectu:properti:competit,serie
72,commit:wide:secur:conflict:prevent:key:prioriti,diversidad
73,cooper:ukrain:base:partnership:cooper:agreement:introduc:legal:framework:cooper:broad:sector:especi:mention:thing:energi:trade:invest:justic:intern:affair:legisl:rapproch:environ:transport:region:cross-bord:cooper,abanico
74,cours:pan-european,extensión
75,amend:nos:insist:propos:element:broader:measur:need:guarante:high:level:protect:pedestrian:includ:activ:safeti:measur:chang:infrastructur,conjunto
76,hoc:approach:cultur:offer,oferta
77,final:propos:creat:crèches:cultur:centr:public:transport:insignific:cynic:hypocrit,van
78,sentenc:receiv:year:prison:presid:wash:hand,oscilan
79,way:impass:unless:unit:nation:take:lead:role:polit:activ,serie
80,justifi:base:decis:sole:ice:argument:favour:replenish:stock:result:have:prohibit:fish:cod:fish:cours:thousand:fishermen:face:oblivion,basemos
81,propos:rememb:basic:option:current:discuss:intergovernment:confer,serie
82,wider:choic:user:client:capabl:pay,diversificada
83,congratul:european:commiss:launch:proceed:member:state:transpos:new:regulatori:packag:nation:law:call:proceed:complet:quick:possibl:commiss:urg:broader:instrument:dispos:emphasis:punit:natur:regul,numerosos
84,awar:wide:view,abanico
85,addit:manag:bring:improv:better-fram:provis:anonym:reinforc:parliament:right:direct:amend:seri:clarif:thing:import:cell:tissu,serie
86,pursu:polit:dialogu:countri:includ:asia-europ:meet:foreign:minist:level:april,asia-europa
87,communic:propos:measur:assist:sector:effort:defin:strategi:view:new:market:challeng:view:end:import:quota:januari,serie
88,wish:commend:ambit:report:propos:contain:concern:parliament:relat:fund:programm:agenc:unit:nation,cantidad
89,presid:dundrennan:constitu:south-west:scotland:fire:deplet:uranium:shell:use:practic,tiro
90,heard:dread:account:children:young:grandmoth:age:women:age:mother:victim:systemat:rape:kind:weapon:war,edad
91,judg:court:enlarg:option:enforc:tool,serie
92,whilst:interest:account:contribut:reflect:european:polici:fullest:extent,espectro
93,consult:confirm:outstand:institut:non-institut:issu:vari:complex:sensit:rais,conjunto
94,similar:strive:ensur:better:access:women:age:entir:resourc:servic:health:educ:train:infrastructur,edad
