id,phrase,classes
1,agreement:outsid:specif:scope:impos:industri:legal:basi,interlocutor
2,labour:market:social:protect:fact:coin:requir:harmonis:polici:rule,cara
3,new:agreement:entail:firm:commit:good:govern:fundament:posit:element:partnership:subject:regular:dialogu:area:enjoy:activ:communiti:support,parte
4,right:condemn:behaviour:unita:threaten:peac:angola:use:author:invit:stop:war:embrac:peac:right:weight:author:condemn:persecut:threat:journalist:govern:angola:ensur:condit:freedom:essenti:vital:work:journalist:democrat:countri:societi,parte
5,shop:home:town:reim:wish:purchas:bar:chocol:produc:accord:gastronom:tradit:countri:have:inspect:product:glass:order:check,cara
6,put:cultur:multi-cultur:context:favour:develop:sound:realist:awar:cultur:take:posit:negat:aspect:account:lead:improv:relat:accept:cultur:differ,parte
7,negoti:result:balanc:ambiti:offer:window:opportun,parte
8,associ:agreement:design:serv:interest:transnat:firm:atlant:shown:word:titl:refer:capit:movement:relat:payment,dos
9,coin:disast:reach:news:intent:purpos:exist,reverso
10,polit:tale:war:suffer:think:seek:strong:understand:caus:conflict:russia:chechnya:help:stem:flow:human:blood:quick,cara
11,deva:ask:question:patten:satisfactori:answer:socialist:hous:support:deva:take:differ:stanc:report:altogeth,cuestión
12,third:believ:principl:partnership:local:region:author:industri:head:right:direct:strengthen,interlocutor
13,heard:compani:lorri:driver:paid:cash:ferri,pagó
14,commiss:continu:legal:proceed:legal:procedur:set:commiss:think:effect:case:open:debat:european:parliament,establecido
15,hous:certain:believ:ombudsman:power:need:discharg:respons,necesita
16,realli:highlight:sens:respons:demonstr,parte
17,endeavour:preserv:religi:cultur:univers:charact:holi:citi:certain:subject:haggl:properti,universal
18,regard:modernis:european:social:model:industri:associ:work:new:committe:social:protect:just:associ:work:old:committe:employ:labour:market:successor:committe:employ,interlocutor
19,believ:high:look:content:thing:unfortun:europ:lag:respect,atención
20,import:hope:mean:fee:leav:attend:oblig:moment:ship:coax:deliv:wast,implantación
21,compani:employ:heard:today:present:monti:boost:econom:growth:europ:realli:understand:fear:express:chamber:merger:fulli:benefici:societi:detriment:effect:employ:europ,consencuecias
22,effort:match:consider:polit:generos:express:differ:way,gran
23,help:defus:battl:word:somewhat:certain:serv,parte
24,countri:mean:nation:law:agreement:conclud:industri:envisag,parte
25,believ:quit:possibl:determin:includ:applic:countri:european:parliamentari:elect:determin,parte
26,look:copenhagen:maastricht:criteria:feel:contain:bulk:need:ensur:access:candid:countri:progress:favour:condit:respect:interest:candid:countri:current:member:european:union,recíproco
27,fight:differ:europ:europ:inhuman:defend:destini:live:peac:freedom:comradeship:mutual:benefici:cooper,benéfica
28,common:rapporteur:wuermel:believ:interest:parti:treati:transit:period:deleg:border:region:mrs:schierhub:own:farm:vicin:czech:border:matter:concern:format:close:common:econom:area:manag:major:problem:lead:posit:outcom,parte
29,remind:neglect:cooper:countri:mediterranean:commit,perímetro
30,difficult:sensit:histori:contradict:live:enlarg:adher:concept:peac:creation:communiti:transcend:ancient:geograph:ideolog:border:guid:common:valu:rule,debe
31,prepar:urg:occas:pure:order:appear:fair:refrain:call:event:day:proper:make:demand:provoc:forc:divid:equal,parte
32,industri:point:need:common:definit,interlocutor
33,serbia:know:face:futur:staunch:support:european:union:entir:famili:european:democraci,pueblo
34,recognit:need:sacrific:accept:histor:respons:atlant:largest:emitt:greenhous:gase,lado
35,plenti:room:cooper:field:fisheri:willing:achiev,parte
36,question:intend:start:perform:duti:way:reflect:spirit:robert:schuman:content:expert:report:situat:austria:leav:person:prejudic,schumann
37,account:fact:situat:occur:parent:come:union:travel:thousand:kilometr:pointless:visit:limit:hour,progenitor
38,remind:union:implement:measur:basi:common:posit:januari:follow:complet:ban:arm:suppli:pressur:exert:support:attempt:intern:communiti:individu:afghanistan:provid:mediat:fight:drug:aid:civil:popul,parte
39,one-sid:apportion:blame:hear:hous:condemn:conflict:discrep:vote:pattern:member:state:unit:nation:octob:year:rapporteur:quit:right:criticis:way:reduc:union:chanc:assum:product:respons:role:middl:east,nación
40,money:energi:need:cooper:especi:part:northern:russia:urg:russia:turn,parte
41,task:help:govern:wire:chasm,ayudar
42,thing:wrong:organis:asap:polici,cosa
43,took:great:pain:ensur:understood:main:aspect:futur:fisheri:relat:especi:regard:fish:possibl:term:agreement:technic:fish:condit:import:financi:compens,parte
44,mediterranean:intent:purpos:european:sea:long:plan:polici:look:mediterranean:high:shall,miramos
45,hope:solana:council:impress:intern:agreement:intern:law:abid,parte
46,tabl:chamber:hope:request:scope:direct:extend:includ:accept:section:parliament:profess:sensit:problem:elder:disabl:left:mrs:jensen:central:section:vote:amend,actividad
47,let:clear:want:resolut:today:understood:hand:urgent:appeal:russian:govern:stop:violat:human:right:chechnya:play:initi:long-overdu:measur:de-escal:hand:let:emphasis:quit:clear:encourag:russian:chechen:tri:bring:peac:end:conflict:long,lado
48,blueprint:donor:hope:member:support:report:commiss,tendencia
49,futur:follow:frequent:request:ukrainian:attent:paid:eastern:border:ukrain:control:better:influx:illeg:migrant:seek:enter:union:illeg,atención
50,taken:away:specif:line:thought:report:mere:portray:argument:fault:sacconi:entir:commiss,despropósito
51,doe:dri:secret:parliament:arm:budgetari:author:budget:right:say:codecis:just:expenditur:revenu,árido
52,court:gave:commiss:posit:statement:assur:revenu:commit:appropri:administr:expenditur:payment:transact:case:previous:year,gasto
53,presid:begin:point:posit:stockholm:european:council:emphasis:strategi:drawn:lisbon:strengthen:concret:matter,diseñada
54,madam:presid:notic:italian:member:european:parliament:hous:avoid:interven:issu:relat:berlusconi:dell:utri:parliamentari:immun,ahora
55,add:congratul:foreign:minist:ensur:presid:month:start:look:grey:seem:end:light:blue,oscuro
56,think:flexibl:work:time:employ:haulier:employe:feel:day:notic:sensibl:solut,parte
57,cours:moroccan:maintain:record:deploy:fund,acreditar
58,way:oblig:industri:nation:govern:ensur:good:work:environ,interlocutor
59,despit:pessim:reign:role:intern:communiti:essenti,parte
60,madam:presid:european:mediat:neutral:necessari:respect:need:expect:parti:conflict,parte
61,say:look:hungari:legisl:run:risk:creat:privileg:hungarian:hungarian:border:neighbour:countri:slovakia:romania,ciertos
62,quit:specif:individu:countri:industri:incorpor:principl:equal:pay:nation:collect:agreement,interlocutor
63,lang:think:care:amend:deal:hous:accept,ala
64,commission:presid:final:declar:programm:adopt:durban:possibl:construct:essenti:role:play:european:union:belgian:foreign:affair:minist:loui:michel:diplomaci:abil:draw:point:view:mention:natur:gift:reconcil:view,dialéctica
65,regard:particip:summit:said:earlier:take:dialogu:busi:consum:environ:employ:turn:urg:come:present:recommend:leader:word:american:presid:hand:presid:council:commiss,parte
66,lack:trust:confid:present,parte
67,presid:lightheart:note:first:say:extrem:pleas:wit:discoveri:feminin:person:reveal:morn,primer
68,intern:communiti:matter:urgenc:adopt:new:initi:lead:end:violenc:re-establish:trust:reopen:negoti:accord:intern:law:relev:unit:nation:resolut,parte
69,want:encourag:pursu:discuss:construct:fashion:window:opportun:come:sustain:durabl:peac:settlement:good:access:negoti:complet,parte
70,posit:thing:overshadow:promin:accord:disput,excesiva
71,involv:combat:terror,lado
72,possibl:palestinian:isra:live:peac,israelí
73,ask:presid:inform:isra:govern:palestinian:author:pain:current:felt:million:european:citizen:christian:religion:sight:holi:place:jesus:christ:born:bethlehem:desecr:bomb:fight:occup:arm:soldier:transform:bivouac:soldier:target,facción
74,new:flexibl:meantim:manifest:acut:need:appar,parte
75,relat:term:trade:atlant:decreas:increas:american:contin,orilla
76,breakdown:communic:atlant:error:judgment,atlántico
77,doe:commission:crazi:order:combat:illeg:immigr:undertak:develop:programm:mediterranean,contrasentido
78,specif:remind:general:affair:council:held:monday:minist:agre:convey:new:messag:council:declar:press:communiqué:presid:general:affair:council:piqué:inform:media:order:encourag:see:sign:relax:fact:india:open:air:space:civilian:pakistani:flight,parte
79,warn:import:today:especi:follow:war:afghanistan,unilateral
80,accord:report:india:committe:netherland:tell:entitl:dark:footbal:pakistan:biggest:produc:footbal:world:follow:india,pakistán
81,excess:close:cooper:particular:purchas:chain:jeopardis:free:competit:consum:freedom:choic,libertad
82,air-traff:control:essenti:equival:policeman:road:ship:captain:steer:vessel:port:deal:expens,capitán
83,satisfi:repli:unfortun:say:russian:attitud:divid:impera:european:author,actitud
84,look:overal:strategi:number:thing:jump:colleagu:hous:disagre:interpret:opinion,cámara
85,european:parliament:will:state:foster:dialogu:algerian:parliament:vital:exchang:inform:common:posit:interest,parte
86,hope:activ:pharmacovigil:oper:territori:allow:introduc:continu:monitor:carri:high:qualifi:expert:europ:teem:clinic:pharmacologist:ensur:toxic:effect:known:soon:occur,farmacólogos
87,pleas:taken:report:know:commit:need:hous,parte
88,know-how:transmit:countri:advantag:reduct:emiss:enter:account:mean:benefit:trade,parte
89,unreserv:confirm:two-stat:solut:seek:end:forc:provoc,parte
90,let:conclud:say:final:amend:doe:justic:ask:vote:tomorrow:accept:report,parte
91,annan:plan:contain:number:interest:point:place:quantit:restrict:right:establish:properti:right:right:elect:elect:citizen:appli:just:transit:period,lado
92,countri:join:european:union:shall:welcom:worker:work:class:express:hope:futur:struggl:chang:lot:shall:fight,juntos
93,true:repeat:point:european:union:cash:dispens,parte
94,apart:understand:secur:concern:involv:appar:collus:member:local:polic:british:nation:parti:concern:hope:perpetr:dealt:justic:blind:polit,bando
95,final:consensus:thank:danish:presid:will:hold:discuss:doe:hide:fact:thorn:parliament,clavadas
96,politician:explain:fantast:european:cooper,cara
97,commission:let:assum:cyprus:agre:solut:base:annan:plan:februari,bando
98,know:agreement:requir:respect:human:right:fundament:freedom:basic:element:domest:foreign:polici,lado
99,high:consumpt:wealthi:goe:rage:poverti:intensifi:extrem:high:cost:live:widespread:low:incom,vida
100,yes:appreci:russian:cooper:fight:terror:reason:turn:blind:eye:humanitarian:atroc:chechnya,bando
101,simpli:oppos:option:consid:warmong:provid:respons:proportion:threat:shape:past:shown:complet:contempt:intern:law:fail:provid:guarante:respect:law:futur,parte
102,tri:oust:saddam:war:convinc:evid:resolut:public:opinion:undermin:intern:rule:law,internacional
103,second:urgent:request:address:austria:increas:number:train:ensur:cleaner,limpio
104,commit:continu:discuss:order:legal:secur:solut,parte
105,know:american:impos:penalti:includ:transatlant:traffic:risk,saben
106,shall:certain:pursu:talk:airlin:view:instal:filter:separ:flight:rest:possibl:filter:separ:sensit:data:data:say:need,proseguiremos
107,cours:european:union:turn:new:technolog:dramat:reduc:relianc:pesticid:friend:alli:atlant,supuesto
108,account:entri:asset:liabil:soon:commit:enter:exampl:wait:payment:actual,pasivos
109,commiss:member:state:delay:solut:accept,parte
110,level:reform:cooper:structur:procedur:born:fruit:specif:propos:russian,parte
111,greater:understand:effort:numer,nivel
112,have:said:congratul:rapporteur:spirit:approach:complic:subject:way:embrac:amend:certain:includ,parte
113,word:readi:help:encourag:nation:reconcili:sign:reconcili:desir:pursu,parte
114,aim:meet:consid:continu:promot:open:follow:meet:sharm:sheik:aqaba:led:approv:roadmap,parte
115,no-on:underestim:signific:initi:despit:terribl:violenc:rare:opportun:move:forward:final:present,parte
116,roadmap:specif:number:point:immedi:cessat:violenc:initi:freez:settlement:eventu:dismantl:willing:palestinian:author:face:histor:respons:rein:men:violenc,parte
117,right:actor:cours:pressur:unit:state:israel,bando
118,insist:order:avoid:misunderstand:iran:uphold:valu:human:right:democraci:act:despair:longer,malentendidos
119,obvious:linguist:barrier:take:work:border:differ:way:tax:social:secur:system:set:great:import,aceptar
120,ask:sort:possibl:bring:compani:organis:collabor:construct:advantag,parte
121,mep:communist:parti:greec:unreserv:fight:palestinian:condemn:effort:maintain:current:situat:perpetu:problem:contain:quartet:road:map:obvious:collaps,problema
122,situat:atyp:job:satisfactori:especi:come:supplementari:pension:industri:agre,interlocutor
123,solut:need:matter:urgenc:respect:law:atlant,lado
124,unless:intern:militari:peacekeep:forc:use:believ:solut:possibl,bando
125,stray:roadmap:path:peac:reconcili:coax,parte
126,far:simpl:attribut:respons:paus:thought:abraham:burg:member:isra:knesset:welcom:hous:tell:israel:today:choic:jewish:radic:democraci:settlement:hope:peopl:decept:vision:barb:wire:street:blockad:suicid:attack:intern:border:state:jerusalem:share:capit,demasiado
127,intern:communiti:persuad:coax:pressur:honour:commit,parte
128,outlook:balanc:pragmat:object:seen:involv:consequ:resolv:israeli-palestinian:conflict,parte
129,challeng:politician:europ:particular:rail:industri,parte
130,need:mediat:outsid:emin:capabl:perform:role:european:enjoy:high:degre:accept:south-east:asia,parte
131,educ:accept:spirit:amend:amend:seek:amend:make:amend:budgetari:total:fund:maximum:minimum:percentag:fund:reserv:programm,educación
132,intergovernment:confer:napl:troubl:whatsoev:agre:militaris:european:union:no-on:rais:slightest:object:global:policeman:usa,intergubernamental
133,situat:similar:american:bob:zoellick:come:geostrateg:situat:straightforward:look:way:thing:shape:india:look:china:brazil,similar
134,breach:stabil:growth:pact:franc:germani:ecofin:permit:novemb:veto:prevent:european:constitut:adopt:just:blatant:exampl:kind:euro-selfish:firm:stamp:straight:away:difficult:europ,parte
135,astonish:conserv:christian:democrat:hous:refus:talk:term:social:market:economi:tell:member:hous:correct:embarrass:mistak:committe:econom:monetari:affair:tomorrow:plenari:vote:vote:favour:amend,puedo
136,recognis:insecur:burgeon:opium:poppi:product:coin,cara
137,settlement:built:sign:oslo:peac:accord:brought:closer,parte
138,compromis:let:doubt:compromis:agreement:believ:possibl:thing:forward:rapid,parte
139,bulgaria:access:far:characteris:commit:good:faith:share:determin:meet:deadlin:involv,parte
140,recognis:histor:step:enlarg:rais:legitim:question:fear:view:challeng:reunit:world:unfortun:recent:decad:reach:differ:stage:develop,parte
141,job:coordin:advis:promot:project:regard:fund:assess:promot:synchronis:develop:border:case:trans-european:project:carri:differ:administr:procedur:accompani:type:project,evaluación
142,interest:tremend:preoccup:colleagu:hous,cámara
143,invest:bank:smaller:bank:save:bank:cooper:bank,ahorro
144,central:america:andean:communiti:latin:america:suffer:lack,interés
145,polit:dialogu:maintain:europ:opposit:militari:solut:repres:plan:colombia:condemn:human:right:abus:colombian:tragedi:insist:colombia:abid:commit:london:declar:advoc:grassroot:project:eu-fund:peac:laboratori:truli:point:way:just:last:peac:colombia,parte
146,franc:resolut:moder:palestinian:isra,campo
147,nonetheless:believ:recognis:problem:aris:type:reunif:overal:benefit:far:outweigh:cost,lado
148,singl:refuge:return:home:villag:singl:turkish:soldier:leav:occupi:zone,zona
149,view:concern:exist:signal:peac:secur:sent:clear:concern:mind:clear:unilater:advantag,mente
150,well-organis:map,parte
151,european:contin:complex:decis:rule:prevail,complejo
152,cooper:terrorist:attack:taught:intern:extern:secur:separ:coin,cara
153,think:european:council:adopt:differ:stanc:resolv:situat:european:citizen:head:govern:sit:repres:bloodthirsti:countri:violent:repress:regim,jefe
154,delight:pursu:dialogu:ecb:spirit:frank:cooper,cooperación
155,analysi:show:clear:enlarg:brought:favour:econom:result:new:member:state:old:benefit:integr:grow:region,lado
156,welcom:agreement:explor:possibl:option:peac:negoti:settlement:jammu:kashmir:issu:wider:composit:dialogu:countri,parte
157,import:cooper:nato:work:aftermath:berlin:plus:negoti:particular:special:european:union:secur:strategi:civilian:militari:crisi:manag:oper:work,coordinan
158,statement:effect:agre:exampl:european:parti:christian:democrat:european:democrat:exil:miami:castro:exact:kind:thing:heard:white:hous:say:question:posit:iraq:automat:alli:saddam:hussein,exactamente
159,presid:approach:author:pre-deliveri:inspect:european:level:clear:good:direct:transport:delay,despachar
160,assembl:propos:broad:humanitarian:agreement:involv:exampl:exchang:prison:respect:intern:humanitarian:law,parte
161,differ:coin,cara
162,condit:set:turkish:member:state:commiss:council:parliament,solo
163,rememb:euro:came:forc:expert:economist:professor:particular:atlant:say:europ:strong:currenc:lack:solidar:polit:cohes,euro
164,context:want:err:caution,queríamos
165,brought:end:long-run:saga:withdraw:revis:retent:bolkestein:direct:explain:question:withdraw:text:despit:fact:reject,parte
166,institut:convey:messag:understand:govern:congress:situat:regret:atlant:doe:occur:octob,orilla
167,today:opportun:thank:report:way:redress:balanc:year:repress:face:justic:home:affair:fulli:develop:polici:respect:develop,faceta
168,humanitarian:point:view:feel:concern:regard:dramat:condit:thousand:sahrawi:refuge:ongo:detent:polisario:moroccan:prison:war:difficulti:famili:divid:refuge:camp:western:sahara:fate:unaccount,lado
169,elig:rate:project:satisfi:follow:criteria:requir:construct:work:border:member:state,lado
170,forefath:met:ground:soldier:oppos,bando
171,lack:trust:enlarg:european:union:exacerb:revers,parte
172,govern:administr:legisl:provid:constitut,incluso
173,broad:sweep:histori:european:union,europea
174,trade:oil:natur:gas:resum:help:secur:energi:suppli:consider:degre:import:legisl:approxim:energi:sector:adequ:condit:invest:establish,parte
175,strengthen:human:right:need:acknowledg:truth:accept:right:protect:tortur:ill-treat:consid:right:protect:death:destruct:caus:indiscrimin:terror:caus:instig:foment:nation:countri:outsid:european:union,recibir
176,word:need:address:concern:peopl:mediterranean,lado
