id,phrase,classes
1,reliev:pressur:brenner:motorway:great:caus:problem:socio-polit:natur:free:privat:vehicl:local:heavi:good:traffic,despejarla
2,hope:convey:french:presid:tell:have:meet:strasbourg:intoler:constant,carga
3,peac:trade:establish:closer:associ:consolid:mean:currenc:union,necesitado
4,mention:number:econom:criteria:high:rate:inflat:high:nation:debt:result:nation:budget:militari:expenditur:militari:conflict:pkk:high:real:rate:continu:predomin:public:sector:huge:region:differ:turkey:prosper:differenti:turkey:european:union:bring:control:differ:educ,sobrecarga
5,experi:provid:opportun:develop:polici:way:despit:van:orden:fear:unnecessarili:antagonis:alli:stress:nato,enemistemos
6,vaccin:anim:european:union:suscept:foot-and-mouth:diseas:result:vaccin:administ:million:anim:month:seven:differ,variedad
7,typic:work:caus:stress:reflect:kind:support:rapporteur:communic:commiss:year:programm:commiss:end:year,tensión
8,new:irish:presid:european:parliament:patrick:cox:recent:state:person:intend:conduct:yes:campaign:place:code:ethic:relat:posit:signific,deontológicas
9,doe:commiss:propos:present:member:state:excess:financi,financieramente
10,equal:relat:repetit:injuri:hope:revisit:display:screen:direct:direct:doe:mention:mous:direct:manual:handl,tensión
11,ask:possibl:long:term:diplomat:solut:issu:certain:place:countri:threaten:exist:doe:profound:psycholog:consequ,tensión
12,doe:sens:contrari:advoc:report:carrying-out:emerg:vaccin:epidem:cours:presuppos:possibl:ascertain:rapid:actual:diseas:involv,cepa
13,age:popul:creat:economi:provid:pension:social:safeti:net,presión
14,clear:budget:avail:new:instrument:way:budget:exist:programm:remain:case:budget:initi:provid:commiss:eur:million:council:eur:million:far:niggard:scope:new:instrument:exchang:cooper:field:higher:educ,parco
15,european:commiss:ban:chicken:import:countri:affect:new:bird:flu:immedi:effect,cepa
16,obvious:mountain:area:valley:effect:kettl:environment:pollut:massiv:intensifi:citi:subject:vulner:possibl:increas:effect:traffic,presión
17,moment:talk:vaccin:readi:form:vaccin:diseas:mutat,cepa
18,place:farmer:reform:effect:reform:stabilis,presión
19,communiti:channel:effort:research:make:fund:avail:develop:obtain:oral:vaccin:effect:relev:bird:speci:combat,cepa
20,duti:head:austrian:govern:care:austrian:industri:excess:balanc:open:protect:number:speaker:refer:maintain:case,tensión
21,anxious:begin:unfortun:stress:requir:presid,intensos
22,alleg:brain:salmon:similar:caus:tragedi:bse,enfermedad
23,women:world:particular:poorest:countri:bear:burden:life:endur:stress:circumst,soportan
24,affect:limit:number:concern:new:flu,gripe
25,equal:obvious:unfold:situat:chechnya:put:relat:russia:consider,tensión
26,cent:gdp:annum:countri,pesada
27,european:greater,recaerá
28,futur:commiss:agenc:case:come:want:resourc:head,saltar
29,presid:president-in-offic:commission:ladi:gentlemen:recent:year:transatlant:trade:relat:come,prueba
30,point:prophylact:vaccin:virus:imposs:know:advanc:actual:fmd:virus:brought,cepa
31,provid:passeng:better:servic:increas:legisl:put:airlin:today:work:excel:countri:appli,presionando
32,essenti:safeguard:collegi:natur:commiss:parliament:approv:commission:individu:basi,presionada
33,know:mean:term:place:infrastructur:term:servic:offer,presión
34,late:document:case:human-to-human:transmiss,cepa
35,thank:mutat:human:behav:differ:way:differ:bird:differ:region,cepa
36,cyclic:condit:public:financ:european:union,influyen
37,period:result:great:budget:union,carga
38,suffer:affect:problem:involv:rise:number:orphan:health:care:fact:impact:aid:felt:particular:sexual:activ:generat:econom:activ,desbordado
39,hand:enorm:uniti:countri,intento
40,replenish:programm:budget:certain:merit:support:principl:extra:fund:mean:intern:realloc:avoid:addit:communiti:purs:prevent:increas:nation:membership:contribut,elevaciones
41,appear:immun,variante
42,exampl:famous:intern:rice:bank:research:cross-breed:local:rice:led:develop:new:varieti:show:seven-fold:yield:improv,variedad
43,consider:given:concern:felt:repres:health-rel:profess:consum:relat:develop:resist:bacteria,bacterianas
44,humanitarian:crisi:huge:albania:countri:struggl:cope:grave:econom:social:problem:think:awar,carga
45,carri:role:regard:commiss:parliamentari:calendar:person:diari:consider,presión
46,crucial:commiss:earmark:suffici:fund:support:develop:effect:vaccin:european:isa,variante
47,argument:allow:new:servic:develop:doe:stand:given:servic:develop:telecommun:organis:equal:have:huge:profit:certain:cheapli,carga
48,compar:road:toll:railway:high:concomit:oper:cost,gravada
49,need:imparti:studi:undertaken:advers:effect:pvc:order:prevent:ecosystem:deterior:health,sobrecarga
50,diseas:endem:select:appropri:vaccin:pure:lotteri,cepa
51,want:kind:situat:clear:take,aguantaba
52,problem:influenza:vaccin:work:vaccin:deriv:larg:diseas,cepa
53,presid:destin:live:constant:threat:outbreak:foot:mouth:diseas:new:constant:come:fore,cepa
54,hundr:billion:pay:goodwil:put:busi:hamper:recoveri,merman
55,hope:agre:spend:propos:ten:defenc:compat:member:state:commit:stabil:pact:great,tambaleándose
56,know:long:hour:cultur:reason:bring:stress:potenti:breakdown,presión
57,carri:new:influenza:sar:hour:unwit:live:million:risk,cepa
58,pledg:great:cultur:european:law:enforc:communiti:time:somewhat:cavali:data:protect,dificultad
59,dozen:virus:mutat:moment:pose:threat:europ:circul:year,cepa
60,point:mistak:concern:antibiot:growth:stimul:food:problem:food:mean:antibiotic-resist:bacteria:problem:human:health,resistentes
61,believ:help:particular:dealt:sensit:polit:controversi:recent:month:confer:presid:hold:stress:point:emphasi:group:wish:bring:debat:coher:parliamentari:view,presión
62,second:number:project:implement:anti-drug:programm:place:addit:limit:human:resourc:dispos,carga
63,concentr:coordin:polici:defin:context:appli:member:state:commit:lower:technic:administr:barrier:needless:busi:progress:approach:consumm:express,magistral
64,want:clear:expenditur:commiss:reform:put:financi:framework,presión
65,addit:measur:propos:demand:institut:fund:requir:balanc:categori:concern,gravado
66,given:sensit:subject:adopt:report:provok:negat:respons:candid:countri:enlarg:unnecessari,dificultará
67,emerg:period:transatlant:relationship:disput,tensión
68,recent:weekend:world:econom:forum:secretary-gener:note:conduct:intern:polit:favour:mainten:stabl:equit:rule-bas:intern:order:role:collect:secur,presión
69,context:die:european:union:effect:drug-resist:affect:avian:flu,cepa
70,high-pathogen:report:year:precautionari:measur:affect:area:world:non-exist:fatal:worldwid:death:year,cepa
71,think:exampl:vitro:fertil:place:enorm:physic:psycholog:women,anímico
