@relation coach-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {bus,autocar,autocariste,car,minibus,entraîneur,monopol,formateur,préparer,autobus,ramènent,opérateur,carrosse,ruiner,molsheim,wagon,écrie,étalement,professeur,infligée,remet,voyage,cent,brèche}

@data
1,protest:member:assist:late:work,bus
2,albanian:minor:town:tetovo:see:load:worker:ethnic:macedonian:worker:arriv:skopj:possibl:conclus:treat:differ,autocar
3,oper:glasgow:view:hugh:propos:fulli:implement:mainland:european:oper:regard:scotland:destin:far,autocariste
4,shown:visitor:galleri:bus:travel:increas:journey:safer,autocar
5,welcom:committe:propos:bus:servic:provid:differenti:leisur:industri:express-coach:industri,autocar
6,wish:mandatori:seat:belt:instal:seat:oblig:ban:sidefac:seat:type:belt:current:avail:seat:offer:passeng:optim:protect,autocar
7,view:recent:tragic:event:meath:ireland:young:lost:live:school:bus:crash:urgent:need:measur:quick:progress:fit:safeti:belt:child:restraint:includ:school:buse:direct:approv:implement:quick:possibl,car
8,opportun:ask:commiss:expect:measur:announc:improv:transport:safeti:extrem:urgent:matter:event:yesterday:sad:demonstr,autocar
9,obvious:propos:design:facilit:bus:transport:nation:intern:fulli:consist:approach:set:green:paper,autocar
10,conclus:socialist:pleas:support:measur:creat:new:fast-track:bus:servic:oper:good:bus:compani:passeng:economi:environ,autocar
11,proceed:legisl:provid:greater:secur:injuri:caus:cours:roll-ov,autocar
12,constant:review:issu:hope:gain:faster:widespread:implement:chang:improv:secur:buse:civil:parliament:commiss:want,autocar
13,coupl:hour:spare:come:birmingham:busiest:rout:buse:europ:join:low:floor:double-deck:buse:actual:oper:europ:meet:standard,autocar
14,buse:import:product:automot:industri:need:accept:standard:freeli:singl:market,autocar
15,certain:congratul:commission:endors:say:relationship:disabl:organis:exampl:work:offici:involv:bus:direct,autocar
16,amend:nos:offer:altern:posit:combust:heater:passeng:compart:minibus,minibus
17,footbal:good:team:bad:reach:leagu,entraîneur
18,presid:problem:aros:morn:assist:sudden:prevent:board:bring:hotel:monopol:despit:fact:practic:appli:hitch:past:year,monopol
19,address:phenomena:help:creat:environ:conduc:phenomenon:drug:educ:background:sport:role:medic:field:pressur:success:come:sponsor,formateur
20,extens:primarili:concern,autocar
21,agre:fulli:hatzidaki:stabilis:associ:agreement:help:countri:european:standard:regard:elector:reform,préparer
22,sens:pragmat:alongsid:vision:awar:work:good:footbal:judg:basi:care:thought-out:theoret:irreproach:game:plan:pure:simpli:result,entraîneur
23,regul:drive:rest:period:import:number:lorri:accid:caus:driver:fatigu,autocar
24,allow:scholar:sport:austrian:nation:observ:european:sport:quit:specif:perspect,entraîneur
25,madam:presid:parliament:entir:satisfi:way:council:chosen:field:intern:carriag:passeng:bus,autocar
26,know:titley:paid:tribut:endeavour:commission:kinnock:ensur:safe:possibl,autocar
27,tell:titley:achiev:legisl:necessari:ensur:univers:instal:seatbelt:new:manufactur:end:decad:european:union,autocar
28,includ:ought:start:studi:class:iii:vehicl:class:vehicl:minibus,autocar
29,tonight:face:test:address:buse:direct:address:issu:campaign:europ:million:disabl:right:access:public:transport,autocar
30,support:simon:murphi:amend:extend:provis:class:class:buse:double-deck:buse:tourist:enabl:disabl:access,autocar
31,say:far:tourist:concern:competit:extrem:strong:categori:buse:market:current:open:tradit:nation:base:know,autobus
32,equal:true:say:countri:fit:speed:limit:obvious:reason,autocar
33,lunnon:use:day:fast:stage:folk:did:use:newfangl:thing:horseless:carriag:motorway:thing:bring:foreign:neck:wood,ramènent
34,intern:ferri:journey:intern:journey,autocar
35,buse:green:fond:environment:friend:way:travel:safer:date,autocar
36,contrari:strike:utter:illog:commiss:propos:direct:seek:simpli:ban:side-fac:seat:kind:comfort:individu:seat:form:comfort:group:seat:type:familiar,autocar
37,team:consult:manag:knowledg:member:manag:allow:design:player,entraîneur
38,agre:play:count:turn:team:twenty-four:cohes:team:ensur:end:higher:divis:season,entraîneur
39,countri:spite:embargo:achiev:highest:econom:growth:past:year:countri:set:presid:non-align:movement:host:summit:countri:send:thousand:doctor:teacher:sport:countri:armi:occupi:exploit:oppress,entraîneur
40,amend:detract:goal:promot:bus:transport,autocar
41,state:read:welcom:commiss:propos:believ:bring:liber:sector:simplifi:rule:appli:intern:passeng:bus:servic,autocar
42,taken:measur:mention:abolit:frontier:control:mean:cabotag:system:extend:transport:servic:bus:oper:includ:regular:servic,autocar
43,intern:oper:benefit:addit:cost:fill:seat:exist:servic,opérateur
44,accept:radic:challeng:commiss:dealt:believ:commiss:will:new:approach:board:closer:complet:singl:market:respect:nation:region:variat:buse:concern:sort:stori:start:even:young:mother:vehicl:home:town:happen,autocar
45,unit:kingdom:fatal:road:accid:involv:buse,autocar
46,imagin:era:tow:barg:carrier:pigeon:caus:quit:bit:delay,carrosse
47,access:provis:buse:regard:board:person:reduc:mobil:ensur:larger:proport:citizen:public:transport,car
48,know:pension:elder:enjoy:spot:sightse:visit:beauti:citi:europ:good:health:travel,autobus
49,encourag:enter:honest:durabl:relationship:encourag:enter:marriag:conveni:drive:hors:direct:intent,ruiner
50,sum:strong:common:damag:buse:imag:basic:safe:mean:transport:buse:account:death:thousand:million:passenger-kilometr:compar:privat:car:railway,autocar
51,spanish:voluntari:worker:ana:isabel:sánchez:torralba:die:equatori:guinea:consequ:gunshot:fire:member:arm:forc:travel:aconib:order:work:misionera:escolapia,autocar
52,seat:vehicl:servic:communiti:juli:test:accord:direct,autocar
53,travel:london:lisbon:permit:pick:passeng:franc:spain,autocar
54,note:rapporteur:creation:uniform:simplifi:control:document:communiti:licenc:avoid:present:confus:situat:old:document:amend:hand,autocar
55,commission:awar:colleagu:titley:monday:rais:issu:tragic:loss:life:involv:crash:french:alp:young:constitu:kill:hire:local:franc:seatbelt,autocar
56,yesterday:even:visitor:attack:get:molsheim,molsheim
57,extra:cost:propos:busi:compani:lead:reduct:invest:safer:newer:vehicl:hit:industri:undermin:passeng:safeti,autocar
58,opinion:constitut:infring:freedom:manufactur:decid:consult:custom:axl:requir:meet:safeti:standard:demand:term:weight:mean:buse:carri:load:think:vip:exampl,autocar
59,doubt:recal:propos:direct:construct:buse:gave:rise:lengthi:involv:debat:read,autocar
60,bus:direct:secur:minimum:safeti:standard:design:buse:oper:europ:basic:requir:ensur:access:reduc:mobil:continu:manufactur:exist:low-floor:buse:better:facil:passeng:mobil:difficulti:especi:wheelchair:user:parent:pushchair,autocar
61,longer:locomot:train,wagon
62,presid:hatzidaki:report:dimens:road:vehicl:includ:motor,autobus
63,programm:doe:includ:specif:measur:construct:commiss:care:studi:recommend:ecbo:research:project:produc:final:report,autocar
64,commiss:support:rapporteur:propos:allow:despit:instal:side-fac:seat,autocar
65,bulk:wear:seatbelt:so-cal:cosi:corner:wear:simpli:doe:sens,autocar
66,agre:adopt:measur:propos:appli:minibus:buse:light:medium:heavy-duti:vehicl,autocar
67,furthermor:data:m-categori:belong:class:iii:suggest:specif:risk:justifi:total:ban,autocar
68,athlet:understand:know:risk,entraîneur
69,final:striker:box:pass:goalkeep:just:ball:goal:sudden:shout:stop:turn:round:bring:ball,écrie
70,robert:mugab:metamorphos:zimbabwean:bobsleigh:team:allow:travel:turin,entraîneur
71,far:detail:place:particular:option:travel:spread:day:restrict,étalement
72,welcom:inclus:seat-belt:necessari:safeti:measur:buse:european:union,autocar
73,good:news:travel:compani,autocar
74,parliament:deal:buse:direct:lift:direct:issu:concern:inform:societi:fight:fight:commiss:consid:disabl:consult:disabl:outset:legisl,car
75,condit:good:train:teacher:sport,professeur
76,pse:liber:green:propos:make:great:deal:sens:kind:heartach:caus:trip:day,infligée
77,madam:presid:foremost:quot:great:dutch:philosoph:michel:famous:footbal:said:footbal:war,entraîneur
78,sportsman:woman:taken:club:associ:feder:doctor:subject:penalti:exact:equal:given:sportsman:woman:forget:shortest:work:life:sportsman:woman,entraîneur
79,institut:parti:involv:bus:manufactur:public:transport:oper:user:group:includ:repres:passeng:reduc:mobil:arriv:consensus,autocar
80,propos:direct:protect:children:car:help:reduc:number:death:injuri:result:accid:minibus:lorri:make:safeti:belt:compulsori:driver:passeng:safeti:belt:suppli,autocar
81,said:just:great:pension:travel:bus:necess:sightse,autobus
82,chang:rest:requir:drive:time:sever:reduc:abil:school:compani:offer:trip:abroad:econom:viabl:rate,autocar
