@relation execution-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {exécution,uvre,servant,réalisation,exécuter,exercice,application,lapidation,mort,gestion,action,exécutoires,indignons,sursis,univoque,huntsville,porte-monnaies,aboli,exécutés,mise,présidentielle,verbale,critiquera,mtf,exécuté,posait,inaction,wots,abandonnée,accomplissement,agira,liquidation,afférents,constations,réponse}

@data
1,urg:presid:clinton:grant:clemenc:case:moratorium:feder,exécution
2,thank:commission:answer:share:view:parliament:involv:evalu:problem:relat:fifth:framework:programm:previous:programm,uvre
3,day:septemb:feel:import:madam:presid:well-known:sensit:write:governor:virginia:behalf:hous:request:stay,exécution
4,need:simpler:administr:strateg:approach:rapid:programm:actual:benefit:medium-s:enterpris:consult:firm:financi:broker,servant
5,result:individu:crime:commit:hong:kong:capit:punish:ban,exécution
6,march:mrs:adelaid:aglietta:present:major:report:european:parliament:call:moratorium:decid,exécution
7,bush:carri:succeed:remov:issu:death:penalti:elector:campaign:discreet:hypocrit:postpon:elect,exécution
8,addit:palestinian:author:respect:human:right:higher:degre:term:exampl:treatment:prison,exécution
9,equal:critic:tone:public:so-cal:collabor:palestinian:author:miss:document,exécution
10,divers:institut:role:institut:consequ:apart:messag:common:exist:specif:divers:viewpoint:suggest:limit:respect:mandat,exécution
11,order:guarante:futur:programm:determin:guidelin:scope:shall:soon:begin:draft:new:decis:programm:onward:wijkman:opinion:given:report:discuss:obvious:taken:consider,exécution
12,need:look:report:amnesti:intern:extrajudici:systemat:tortur:murder:civilian:destruct:villag:suffer:cabinda,exécution
13,condemn:illeg:incurs:isra:armi:extrajudici:complet:blockad:occupi:territori:extens:settlement,exécution
14,come:clear:distinct:intellectu:servic:execut:servic:design,réalisation
15,commiss:oppos:impos:separ:design:work,exécution
16,current:mobilis:countri:appear:brought:forward:saturday,exécution
17,final:effort:prevent:author:brought:forward:saturday:attempt:avoid:intern:pressur:carri:consid:murder,exécution
18,view:spiral:unparallel:ruthless:violenc:recent:week:certain:specif:languag:point:finger:blame:act:palestinian:suicid:terrorist:condemn:provoc:destruct:act:extra:judici:excess:forc:isolationist:measur:use:sharon:govern:relat:palestinian,exécution
19,european:commiss:continu:play:central:concept:polici,exécution
20,rio:polit:framework:sound:poor,exécution
21,certain:moratorium:stone:know:cours:autumn:seri:large-scal:demonstr:iran:favour:human:right:democraci:stone,exécution
22,regard:china:strike:hard:campaign:continu:extrem:worri:have:dramat:increas:number:china:carri:relianc:insuffici:evid:summari:trial,exécution
23,texa:author:press:ahead:schedul:despit:fact:number:key:legal:appeal:heard:texa:crimin:court:appeal,exécution
