@relation figure-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {donnée,chiffre,million,enveloppe,célébrer,prochainement,montant,figurent,chiffrée,chiffré,quantitative,militaire,figure,proportion,trouvées,estimation,oratoires,pourcentage,combinatoire,bouleversantes,correspondant,personnalité,nombre,solitaire,dix-neuf,varie,chiffrent,correspondre,paramètre,représente,institution,suisse,somme,indiquent,taux,personnage,valeur,là-dedans,inférieures,personne,chiffrés,exportait,contemporain,féminins,glissement,hasard,bilan,seuil,en-deçà,chômage,quantification,mensuel,chiffrer,escomptons,reliées,tabac,réunissent,contentée,personnes,figurant,partie,recevraient,statistique,milliard,risible,recourrait,loties,crient,prouvées,cofinancement,cent,vivaient,dénonçaient,augmentation,brut,suivie,élèvent,nordique,représenté,chiffrées,minimale,suprême,détail,pulsion,objectif,généralisation,thuriféraire,arrivées,quatorze,intégrisme,indicateur,plafond,influents,audimat,collaborateur,adolescent,morgantini,élevait,yaourt,dignitaire,inférieurs,moyenne,disposer,élément,alinéa,désolé,calcul,tricherie,témoignent,constatée,commissionnaire,intéressant,préoccupant,recensés,chez,point,fasciné,pulmonaires,endettement,comptabilité,astronomiques,commandée,dépassées,apothicaire,établira,sophistiquées,date,climatologiques,là-haut,beaucoup,atteignait,quantitatives,convainc,concurrence,discussion,pankisi,content,deçà,pour-cent,doublement,chômeur,marge,farine,déplaisantes,nigéria,ouganda,formalisée,croît,théorie,indication,abordions,vais,aveu,institutionnels,arrivé,édition,naturalisation,étendant,annuelles,commémorer,saoudien,ailleurs,politologue,figurer,atteindra,malhonnête,lamentable,inscrire,parlé,cour,figureront,admission,nuts,administrées,dépende,expatriées,inamovible,démographique,occurrence,gâché,couverture,khaldun,ventilées,quatre-vingt,fixé,gérées,total,descendue,quittent,méritent-ils,ténébreuse,supérieur,sous-exécution,alarmant,connaisse,lit,ipc,attirant,figurera,expression,placées,marocain,parlaient,extrapolés,énormité,reconnaissable,agriculteur,démenties,suffirait,prévision,inférieure,livrées,mathématique,pib,pilier,inestimable,acteur,multiplication,détérioreront,rassemblement,implantation,cœur,alourdit,effort,élevaient,différerait,décideur,darkazanli,issue,précises,devez-vous,détourné,incompressibles,cumulés,irrémédiablement,effacerait,serrée,rattrapé,modélisation,présentons,fraudeur,dixième,désigner,chiffrage,proeuropéennes,instituée,respectivement,imaginé,maxima,crayon,vinaigre,résume,effectuons,décompte,coller,ventilée,tonnes-kilomètre,ratification,pneumatique,ka-shing,évaluons,dépourvu,ryad,triplent,approximative,exercice,actuel,gromyko,vicomte,classait,tripler,spectaculaires,poussent,précieuse,en-dessous,protagoniste,assimilées,écu,lâche,induiront,rafle,extrapolant,potentiel,spd,visegrad,préexistants,quasi-équilibre,tirage,préoccupants,surréservation,commissioner,notable,financement,sous-représenté,règle,géant,assumerait,monteront,épingle,donnant-donnant,falsifiait,caractéristique,poste,antérieurement,accident,détenaient,capital-risque,participation,produit,fait,uns,introduisez,moindres,quo,curative,absolues,résultat,repasser,réduit,patronat,scowcroft,flotte,dates-clés,arrondis,symbolique,image,avoisiner,restant,stature,culturiste,élevé,réclamaient,périnataux,record,gelmini,atteindrait,payement,doping,vérifierai,arrêtaient,incorruptible,surmontées,horaire,suivront,compensatrice,personnage-clé,figurerait,andorran,transiter,ajouter,tombé,vérifiées,écarteraient,allégorique,conseil,mine,fabriqué,congrue,dirigeant,occupera,illustration,exécutés,fictive,indicatif,calculée,atteindront,correspond,repris,haut,discrètes,annoncés,course-poursuite,reconnaissante,demi-million,républicaines,diminution,texas,évaluation,turkmenbashi,agissait,réintroduction,récolté,pion,incarcérés,trèfle,abordée,dérapent,affectera,formées,burlando,occupée,permanence,différence,al-inest,extrapolée,contredits,concédé,quantifions,insuffisante,qmg,maintenue,comparons,fraudé,subalterne,entourage,télévisés,exhaustif,maria,ese,tablé,présent,parle,réaliste,admirablement,interprété,disparition,indice,terrain,juteux,part,sommité,quota,teneur,refuserait,atteignent,andreotti,cerveau,farouche,karamé,gouliev,résidant,nominales,bouddha,passent,publication,approcher,restons,spla,budiman,suspensives,gel,unipartite,first,jauge,obidkhon,ascendante,proposerais,espèce,délaissement,objectives,considérez,éclairent,élevant,schneider,centaine,gabodé,dispose}

@data
1,report:comment:greec:plan:medium:long-term:measur:aim:reduc:employ:tax:insur:charg:satisfactori:european:social:fund:resourc:support:employ:polici:addit:exact:employ,donnée
2,let:just:look:day:agreement:sign,chiffre
3,second:round:concili:achiev:increas:eur:million:order:reach:compromis:million,million
4,eur:million:assum:actual:agre:believ:practic:term:allow:type:project:carri,enveloppe
5,ought:throw:parti:reach:near:futur:new:convent:aim,célébrer
6,reliabl:compar:think:concern:member:rais:complianc:stabil:pact:better:address,chiffre
7,astonish:risen:unit:kingdom:mid-:european:union:remain:relat:stabl,chiffre
8,subsequ:aid:need:correl:absolut:number,chiffre
9,shall:set:actual:disburs:food:aid:ethiopia:eritrea,chiffre
10,rapporteur:stress:report:object:propos:arriv:regardless:statist:sourc:use:realiti:object,chiffre
11,real:calcul:reliabl:situat,chiffre
12,let:forget:moment:focus:function,chiffre
13,committe:budget:number:question:regard,chiffre
14,europ:said:posit:research:look:worri:look,chiffre
15,sincer:agre:extent:council:critic:particular:found,chiffre
16,million:probabl:discuss,prochainement
17,sub-categori:financi:perspect:cover:cap:market:expenditur:council:decid:eur:million:lower:total:propos:commiss:preliminari:draft,montant
18,word:council:recognis:problem:reflect:budget:concret,chiffre
19,impress,chiffre
20,spain:greec,chiffre
21,hand:signific:point:opinion:final:version:resolut,figurent
22,given:approv:budget:linger:moment:worri,chiffre
23,draft:envisag:devot:social:assist:precis:given:minimum:guarante:salari:retir:age:worker:affect:futur:redund,chiffrée
24,accord:releas:unit:nation:billion:dollar:recycl:year:money:launder:oper,chiffre
25,presid:ladi:gentlemen:text:commiss:parliament:eur:billion:war:damag:caus:nato:bomb:serbia:exclud:kosovo:indirect:admit:blame:materi:war:crime,chiffré
26,know:publish,chiffre
27,repeat:report:valu:recognit:commiss:get:move:said:council:import:lie:spend,quantitative
28,somewhat:mislead:concept:coverag:differ:signific:countri:countri,chiffre
29,poverti:europ:report:base:mention:today:poverti:line:evid:situat:excit,chiffre
30,accord:eurostat:popul:live:averag:nation:incom:take:low-incom:threshold:measur:relat:poverti,chiffre
31,sad:inherit:coloni:neo-coloni:oblig:european:union:firm:brave:decis:stanc:order:aid:re-establish:democraci:part:world:latin:america:current:face:problem:guatemala:fight:impun:militari:africa:case:burma,militaire
32,mention:forward:potenti:job:loss:issu:origin:direct:recast:propos:year,chiffre
33,will:support:eur:support:eur:propos:amend,chiffre
34,view:european:institut:paid:suffici:tribut:great:european:polit,figure
35,situat:countri:respect,chiffre
36,commiss:women:govern:member:state:nation:parliament,proportion
37,consist:demonstr:make:slow:progress,chiffre
38,strategi:set:strategi:target:quota,trouvées
39,case:talk:compar:indic:difficulti:suffici:homogen:indic:realiti:compar:reveal,chiffre
40,risen,chiffre
41,current:proof:resound:failur:worldwid:popul:billion:billion:dollar:day:live,chiffre
42,extrapol:consist:implement:programm:creat:million:job:european:union,estimation
43,sad:report:year:develop:countri:receiv:oversea:develop:aid:administ:commiss,chiffre
44,familiar:agricultur:consider:better:posit:section:budget,chiffre
45,commiss:tabl:council,chiffre
46,tabl:quick,chiffre
47,respect:speech,oratoires
48,fact:high:compet:consult:argu:instanc:extern:cost:includ:traffic:congest:shoot:account:gross:domest:product:europ:debat:astound,chiffre
49,mere:way:gordon:brown:succeed:fiddl,chiffre
50,said:draw:conclus:april:end:year:far:riski,chiffre
51,commission:sector:affect:cast:doubt:suppli:commiss:true:fish:possibl,chiffre
52,increas:year,chiffre
53,actual:higher:account:farm:outsid:network:obvious:hold:mean:far:communiti:hold:receiv:mere:total:direct:aid,pourcentage
54,first:impress:given:inflow:note:differ:central:bank:second:countri:sign:oblig:money:launder:convent:criteria:mention:appli:exchang:european:currenc:dollar,chiffre
55,overcapac:communiti:fish:fleet:marin:scientist:estim:adopt:march:green:paper:futur:common:fisheri:polici:main:caus:excess:pressur:fish:exert:fish:stock,chiffre
56,thought:differ:method:option:taken:account:combin:calcul:differ:reach,combinatoire
57,discuss:staff:repres:conclud:commiss:wish:emphasis:examin:relev:relev:document:circul:today:document:adopt:commiss:juli:increas:year:expenditur:head:generat:commiss:reform:modest:temporari,chiffre
58,subject:humanitarian:aid:children:seminar:march:norrköp:commission:nielson:present:shock:arm:conflict:impact:children,bouleversantes
59,lowest:age:know:new:currenc:say:adequ:inform,pourcentage
60,correspond:countri:euro:zone,correspondant
61,presid:member:quot:ampli:demonstr:mountain:minor:minor:hous,chiffre
62,council:common:posit:emiss:ceil:long:way:commiss:relat:speak:better:gothenburg:valu:member:state:sworn,chiffre
63,respect:dialogu:budgetari:author:releas:eur:million:element:packag:come:quit:soon,chiffre
64,area:rang:measur:relat:work:environ:skill:develop:need:increas,chiffre
65,relat:slow:rate:payment:avail:indic:payment:increas:eur:billion:eur:billion,chiffre
66,want:specif:provid:vital:essenti:food:aid:civilian:popul:risk:respond:appeal:numer:key:ngos:suspend:bomb,personnalité
67,acquaint:indic:precis:opposit,chiffre
68,member:state:way:collat:data:unclear:exampl:plastic:wast:export:includ,chiffre
69,quot:honour:member:refer:place:cross:border:croatia:slovenia:physic:possibl:legal:prohibit:instanc:footpath:road:bridg,chiffre
70,exampl:countri:follow:reach:septemb:countri:need:ratifi:protocol:account:greenhous:gas:emiss,nombre
71,hope:applic:direct:road:safeti:improv:intent:death:year:complet:unaccept,nombre
72,fulfil:oblig:mandat:consist:compli:need:earli:warn:show:necessari,chiffre
73,did:refer:commiss:publish:subject:exampl:million:live:poverti:line:member:state:social:transfer,chiffre
