@relation job-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {emploi,qualité,travail,défendant,postes,régler,licencier,fonction,capacité,mission,tâche,précarité,échafaudage,embauche,remarquable,contrecarrer,collaborateur,remarquablement,dévoilez,candidat,requis,coûté,compétence,profession,méritoire,métier,devoir,richesse,massacre,licenciement,inconditionnellement,travailleur,optimalisé,appartient,poste,dépendante,dois-je,délocaliser,candidature,rengorgent,revient,conciergerie,vocation,place,boulot,partiel,rôle,contribuera,agi,chargé,précaires,industrialisé,activité,professionnel,incombe,quatre-vingts,brio,censurées,préparer,licencié,personnes,replâtrage,œuvre,acquittent,carrière,comblant,ressort,indirects,coup,monétariste,établissez,culminèrent,attellerons,euphorie,représentées,suremploi,partiales,consiste,base,chance,occupent,inachevé,précarisation,annonce,croient,faire,suffolk,ardue,créateur,travailler,prédestinées,transpiré,corrigé,description,dévolu,serait-ce,mcintosh,engagement,hauteur,christiansfeld,slip,souriante,soignée,veiller,hieronymi,qualifiées,patience,estropient,marinho,instaurons,précèdent,payées,award,reléguaient,pétrin,terrain,lombardie,expulsent,contrôleur,départ,annoncé,brillant,abouties,long,effectif,supportés,aggraver,suivant,travaillais,chômage,admirablement,réussissant,réalisé,sauter,suive,affaire,efforcer,gamme,musulman,compétentes,récompenser,schiedermeieir,embauchent,chargeront,incombent,exécute,remarquables,dégraissage,occupation,formation,secteur,inspiration,délocalisation,infranchissable,saisisse,novice,job,lançons-nous,kouchner,distribuer,agira,travaillé,faillite,prédécesseur,watson,destructeur,lequel,mortification,jutta,ufs,emilia,darlington,fortune,fin,esclopé,réassortiment,diapason,basés,occupées,confiant,rse,ségrégation,parle,rémunérées,pilotage,chargée,satisfaisant,magistralement,rémunérés,forgeron,taylor,révoquer,prophétique,reviendra,convenablement,semble-il,bricole,mal,profitons,sans-emploi,employé,testent,œuvrons,entrepris,occupés,salaire,meilleures,recruterait,voudra,approfondie,menaceraient,compression,vieillissants,concilier,scrupule,hémorragie,armons,opératives,courageusement,attribution,supprimés,berthelisme,action,celui-ci,inconséquentes,partent,repartis,fatigantes,échelle,jeter,substituer,constante,placement,envoyant,expliqué,classer,acquittant,assedic,part,durait,conduire,travaillions,lobbyiste,gradés,efficace,décentralisez,présupposé,inadapté,carreau,sérieusement,recycler,coordination,commande,embauché,fier,brillamment,politique,gagne-pain,marteaux-piqueurs,extraordinaire,occuper,arrachement,dispose,dur,renault-vilvorde,vendons,atteler,valider,débouché,subventionnerions,réparation,charge,contrat,accéder,penchons,dote,valable,correspondre,auquel,banquier,appartiendra,atypique,route,faut,supprimer,création,purvis,davies,médecin,cité,précariser,kleenex,sortant,vite,pâture,quisthoudt-rowohl,réussissent,targuant,dirigé,réimplanter,valorisants,rudimentaires,remettre,mieux,déployé,forêt-noire,kusstatscher,threads,suffira,analyste,résultat,gasòliba,schiedermeier,veillent,placeur,total,emploient,allé,chômeur,bricolage,bravoure,adapte,sindal,nomme,prématuré,décommander,reconversion,pharmacien,rendus,choisissent,bases-là,relève,situé,diversification,stafford,pollueur,répercutant,situation,acquitté,uvres,licencie,tiré,espèrent-ils,besogne,adéquate,touche,olsson,finance,désagréables,dirige,bon,professionnalisme,dotés,volatilité,ouvrage,débusquer,acquitter,dirigiste,souhaiterait,assertion,coordonnent,concluante,chargerait,pme,trouvent,avançaient,récidiver,rémunérée,bananière,baisse,priées,scellée,but,délégué,qualifiez,workfare,chargées,éloignées,mince,pourvoir,dit-on,coûteuse,restructurer,actif,roussel,tourmente,substitue,dupées,électrique,discriminée,correct,jouer,machination,répugnant,gouverner,reconnaîtrons,failli,métiers-là,euro-répression,contribuerons,destitution,Ìusotto,protection,surcroît,mutation,proposer,heurteraient,mégarde,déménager,redynamisée,restreints,aberration,remettra,atteindre,retrouvée,menée,répondons,chicaner,raréfie,progressé,adamou,déroulées,chaîne,boulimique,confiées,sans-travail,gisement,rayon,surveillé,permettre,dévouer,meciar,mc-jobs,dérouler,magnifiquement,hiérarchisées,perturbantes,mesure,envie,barge,débrouillent,fidjiens,réinsertion,agit,pirée,disney,demandeur,manuvrer,sesimbra,patron,tenable,qua,chauffeur,caféine,exceptionnel,labeur,rafistolage,sorti,millier,migraine,percevront-ils,recentrage,fructueuse,attelez-vous,démontrions,participer,postulé,accompli,aesm,ue-chine,maat,antiphrase,tas,réfuter,risquées,lyrisme,mobilité,accèdent,serviraient,appartenait,inexploitée,qualitative,opportun,décide,démissionner}

@data
1,presid:commission:committe:employ:social:affair:upheld:unanim:criterion:strateg:import:matter:prioriti:support:intervent:structur:cohes:fund:work:better:opportun:unemploy:equal:men:women,emploi
2,exampl:european:union:right:support:grönitz:steelwork:brandenburg:remain,emploi
3,spite:increas:million:relat:initi:propos:person:deplor:fact:fund:alloc:match:ambit:express:concern:save:money:display:council:situat:rude:contrast:declar:favour:safeti:energi:suppli:creation:environment:protect:challeng:just:signific:face,emploi
4,particular:welcom:recognit:virtuous:circl:have:sustain:growth:inform:societi:expand:european:market:addit:fulli:function:singl:currenc:opportun:genuin:promot:prosper:innov:enterpris:entrepreneuri:spirit:yes:import:extra-high:valu:sustain:european:citizen,emploi
5,european:commiss:council:assum:necessari:respons:regard:adopt:common:posit:inform:consult:worker:regard:communiti:nation:aid:grant:compani:undertak:establish:long-term:agreement:protect,emploi
6,closur:mean:direct:indirect:loss:thousand:hundr:famili:abandon:insecur:sudden:poverti,emploi
7,end:congratul:vicecont:come:crete:tourist:area:ask:view:tourism:term:pleasant:holiday:primari:job:creator:europ:need,emploi
8,potenti:clear:european:union:today:member:state:attain:best:practic:achiev:exist:state:competitor:million:twice:current:unemploy,emploi
9,mean:first:greater:eas:monetari:polici:budgetari:polici:design:strengthen:invest:expans:futur:wage:polici:gear:product:stimul:intern:european:demand:generat,emploi
10,believ:observatori:creat:hand:offici:creat:medium-s:enterpris,emploi
11,establish:addit:rigid:rule:exampl:introduc:rigid:-hour:week:franc:admit:creat:short:term:convinc:long:term:damag:competit:destroy,emploi
12,reason:feel:new:technolog:constitut:tremend:vector:socially-inclus:growth:taught:earli:age:cent:sector:direct:link:inform:technolog,emploi
13,year:strateg:object:forward:feel:extrem:import:transform:union:econom:area:base:innov:knowledg:order:boost:econom:growth:achiev:employ:proper:bring:social:cohes,qualité
14,help:great:deal:educ:work:happen:recent:liter:immur:separ:roma:sinti:rest:inhabit:communiti:repeat,emploi
15,mention:especi:communic:strategi:inform:societi,emploi
16,madam:presid:export:ban:product:ban:communiti:investig:calcul:lost:europ:result,emploi
17,vital:new:creat:depend:initi:creativ:entrepreneur,emploi
18,constant:intens:effort:field:competit:lack:competit:mean:new:creat,emploi
19,question:servic:proper:leav:high:dri,travail
20,council:presid:commiss:whilst:defend:moral:valu:condemn:war:endeavour:ensur:support:forc:poor:repres:russia:wish:pursu:european:path:path:european:partnership:partnership:european:union,défendant
21,just:tire:accus:want:take,travail
22,increas:number:short:term,emploi
23,rapporteur:way:quit:excel:express:concern,travail
24,start:let:polici:give:sum:money:produc:agricultur:product:want:support:endeavour:instead:reduc:burden:product:cost:burden:main:result:nation:polici:push:cost:labour:tie:hand:wish:work:produc:increas:number:sector,travail
25,futur:railway:stake:million:employ:industri,postes
26,regul:undertak:member:state:better:undertak:task,travail
27,intent:tri:balanc:issu:coher:european:level:coher:interpret:european:level:play:field:interfer:issu:nation:regul:coher:manner,régler
28,fail:understand:employe:worker:offic:worker:lose:matter:member:parliament:lose:parliamentari:immun,licencier
29,sort:ban:impos:unreason:demand:european:tobacco:industri:committe:environ:cobbl:regard:loss:especi:women:citizen:european:union:smoke:current:drastic:measur:relat:advertis:label:proven,emploi
30,bargain:honour:member:leav:commission:record:close:gap:commit:payment:hell:lot:better:year:contribut:favourit:chariti,fonction
31,achiev:desir:effect:cost-fre:think:parliament:clear:outsid:world:secur:huge:servic,emploi
32,schmitt:report:omit:mention:refuge:suffer:discrimin:market,travail
33,direct:care:calcul:ensur:huge:sudden:job:loss:approxim:lost:sector:come:second:allow:member:state:invest:heavili:exampl:nuclear:energi:strateg:plan:leav:way:strand:cost,emploi
34,futur:lie:larg:hand:opportun:achiev:aim,capacité
35,realli:serv:unlock:potenti:audiovisu:industri:creat:cours:produc:critic:mass:cultur:content,emploi
36,opinion:report:embrac:right:return:work:equival:matern:leav,fonction
37,know:lose:pregnant,emploi
38,incorpor:women:workplac:realiti:revers:women:situat:have:chose:have:children:keep:complic:pregnanc:entail,emploi
39,staff:key:principl:under:commiss:effort:reform:extern:assist:servic,travail
40,presid:rapporteur:imbeni:excel,travail
41,echo:doe:necessari:human:resourc:plan:headquart,mission
42,understand:great:councillor,travail
43,set:broad:legisl:framework:public,tâche
44,know:parti:extrem:right:build:exploit:social:problem:insecur:unemploy,précarité
45,scaffold:erect:carri:decid:light:nation:condit,échafaudage
46,report:indic:communiti:smes:fund:secur:ventur:capit:use:hire:staff,emploi
47,presid:welcom:report:risk:capit:agre:repres:opportun:obtain:essenti:fund:research:develop:product:market:penetr:new:product:turn:cours:creat,emploi
48,stage:permiss:thank:head:deleg:méndez:vigo:person:commit,travail
49,employ:clear:transpar:aspect:employ:polici:practic:justifi:choic:basi:real:requir,embauche
50,commiss:face:new:director:fait:accompli:simpli:transfer:entir:team:uclaf:task:forc:olaf:clear:offici:total:unqualifi,mission
51,regard:disabl:principl:equal:treatment:entail:identif:remov:barrier:way:person:disabl:reason:accommod:perform:essenti:function,travail
52,women:flexibl:temporari:contract:low:salari:typic:sector:women:employe:major,postes
53,word:present:case:right:inspect:carri:right:certif:issu:ship:life-jacket:right:place:crew,travail
54,forget:e-europ:initi:mean:new:new:technolog:inform:societi:think:women:import:role:play,postes
55,think:endeavour:achiev:employ:strategi:strengthen:enrich:progress:entir:social:agenda:dynam:chang:support:competit:entrepreneurship:european:union:flexibl:market:alongsid:secur:mobil:new:work:model:support:analys:new:social:partnership:model:impact:competit:major:restructur:employ:social,travail
56,case:today:fact:duhamel:report:doe:excel:bring,remarquable
57,maintain:block:merger:halt:globalis:doe:pure:polem:reason,contrecarrer
58,better:support:activ:generat:invest:vast:amount:later:creat:new:industri,emploi
59,need:entrepreneur:europ:turn:creat,collaborateur
60,respons:altern,emploi
61,excel,travail
62,adopt:effect:innov:solut:reduc:greenhous:gas:emiss:protect:societi,emploi
63,friend:colleagu:jové:pere:produc:excel:report:deal:subject:extrem:extrem:symbol:number:involv:million:famili:heard:affect:failur:reform:women:men:rural:region:fischler:european:commiss:deliber:condemn,emploi
64,integr:coastal:zone:manag:discuss:short:structur:weak:coastal:region:need:new:kind:self-imag:modern,emploi
65,agre:new:cooper:establish:account:interest:parti:took:note:fact:morocco:consid:potenti:spin-off:new:partnership:term:import:element:cooper,emploi
66,direct:indirect:depend:agreement:term:european:union:concentr:fish:communiti:main:spanish:portugues:coast:tradit:potenti:econom:convers:loss:spell:disast,emploi
67,spain:magnific:turn:round:difficult:neighbour:relat:europ:north:africa:spain:morocco:suffer:cours:histori,remarquablement
68,spanish:andalusian:mep:assert:right:thousand:andalusian:spanish:famili:maintain:defend:endang:year:defend:parliament,postes
69,work:court:auditor:suffici:help,tâche
70,court:name:shame,dévoilez
71,conclus:just:want:thank:commission:byrn:think:good:issu,travail
72,true:mental:difficulti:group:good:knowledg:languag:order,emploi
73,presid:congratul:mrs:roth:excel:report:spirit:consensus:demonstr,travail
74,unemploy:main:factor:poverti:exclus:insecur:low:pay:nonetheless:obstacl:integr:societi,emploi
75,hope:express:european:bodi:institut:follow:commiss:exampl:grant:applic:access:correct:test:paper,candidat
76,result:loss:smes,emploi
77,madam:presid:say:commiss,travail
78,bear:mind:communiti:administr:base:principl:establish:continent:administr:principl:life:stabl:employ,emploi
79,studi:care:commission:said:colleagu:hume:massiv:loss:sector,emploi
80,loss:gallah:affect:worker:year:old:averag,emploi
81,mention:figur:forward:potenti:loss:issu:origin:direct:recast:propos:year,emploi
82,presid:commission:ladi:gentlemen:begin:congratul:mrs:maij-weggen:excel,travail
83,effect:direct:public:consequ:obvious:loss:poorer:work:condit:public:servic:vari:europ:especi:rural:area:work:class:district,emploi
84,conclud:congratul:rapporteur:dari:excel,travail
85,amend:zimmerl:tabl:deal:death:blow:vital:european:art:market:loss:fear:live:artist:benefit:resal:right,emploi
86,desir:monitor:educ:open:door:european:communiti:market:european:communiti:monitor:increas:common:area:concern,emploi
87,ladi:gentlemen:minist:educ:make:propos:analysi:enabl:opportun:young:receiv:high:educ:like:societi,travail
88,fund:commit:excess:million:trigger:invest:billion:creat:project:right:border:countri:northern:ireland,emploi
89,support:amend:effect:bank:guarante:ventur:capit:far:strict:far:conserv:actual:prevent:entrepreneur:creat:european:countri,emploi
90,addit:aforement:clear:programm:smes:busi:keen:offload:smes:forc:abolish:increas:exploit:work:class:help:technolog:progress,emploi
91,activ:sector:usual:generat:great:downstream:make:region:depend:fisheri:easi:altern:turn:time:crisi,emploi
92,presid:socio-econom:import:fish:industri:known:creat:direct:indirect:econom:develop:fish:region:communiti:includ:coastal:fish:sector:ensur:european:union:suppli:fresh:fish:preserv:tradit:cultur,emploi
93,second:prioriti:concern,emploi
94,final:absurd:demand:women:train:lead:role:decis:men:role:great:benefit:train,postes
95,rapporteur:excel:parliamentari:committe:propos:number:amend:parliament:line:european:commiss:initi:idea:highlight:need:includ:prevent:pollut:ship:shipboard:live:condit:cours:close:bound:safeti:sea,travail
96,accord:current:estim:thousand:lost:european:union:owe:copi:cds,emploi
97,bow:magnific:brought:complic:procedur:close,travail
98,countri:itali:thank:reform:extrem:minor:reform:oppos:trade:union:liberalis:labour:market:creat:hundr:thousand:new:year:main:disadvantag:area:south:women:young:did:structur:measur:need:regret:say:thank:new:enorm:expens:studi,emploi
99,nation:statist:offic:simpli:resourc:manpow,requis
100,need:protect:industri:creat:boost:economi:just:local:european:domain,emploi
101,reason:prevail:econom:growth:automat:creat:need:treat:separ:issu:let:consid:sustain,emploi
102,difficulti:match:regard:creation:research:develop:popul:growth,emploi
103,million:new:year:high:qualifi:ict:sign:good,emploi
104,continu:industri:restructur:vital:healthi:economi:replac:yesterday:unwant:fresh:need:futur,emploi
105,countri:battl:unemploy:ireland:exemplari:progress:regard:creation:new,emploi
106,institut:uniqu:model:institut:european:union:play:fundament:role:amaz:thing:greatest:impress:brussel:extent:work:institut:view:job:complet:differ:unmistak:atmospher:histor:project:european:integr,travail
107,recent:femal:immigr:import:maintain:bolster:activ:popul:given:age:popul:member:state:futur:prospect,postes
108,amend:common:posit:threaten:futur:station:miner:suppli:coal,emploi
109,extrapol:figur:consist:implement:programm:creat:million:european:union,emploi
110,hand:talk:new:opportun:offer:inform:communic:technolog:million:creat,emploi
111,think:committe:wise:men:chair:baron:lamfalussi:except:thorough,travail
112,view:work:just:ensur:polit:issu:aris:larg:set:technic:amend,tâche
113,new:industri:appear:commonplac:provid:better:life:higher:standard:live:new:better:better:work:condit,emploi
114,foremost:prioriti,emploi
115,aim:establish:business-l:skill:taskforc:databas:overcom:skill:shortag,emploi
116,know:tiresom:read:critic:comment:critic:articl:press:given:tremend:fundament:hous:precis:tri:report:help:increas:transpar:acknowledg:understand:happen:chamber:democraci,travail
117,let:forget:quest:achiev:employ:union:doe:mean:concentr:sole:job:creation:involv:provid:better:includ:disabl,emploi
118,welcom:fact:commiss:emphasis:import:sector:enorm:potenti:creation:reduc:cost,emploi
119,absolut:crucial:balanc:creation:competit:social:cohes,emploi
120,council:clear:creat:econom:reform:implement:consist,emploi
121,success:year:record:growth:healthi:financ:lowest:inflat:rate:million:new:underestim,emploi
122,summit:right:took:account:import:research:innov:new:technolog:creat:prosper,emploi
123,issu:concern:work:just:creat:creat:health:safeti:good:employe:substanti:influenc:opportun:skill:develop:profession:develop,emploi
124,expect:great:deal:council:commiss:provid:indic:thank:open:coordin:secur:just:better,emploi
125,manpow:avail:just:need:introduc:effect:train:ensur:discrimin:alloc,emploi
