@relation paper-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {blanc,papier,document,journaux,sans-papiers,vert,corrigées,livre,note,préparation,jour,rapport,corrigent,mort,travail,bulletin,barcelone,étude,traduira,transmis,communication,journal,satisferons,calicot,osent-ils,schäuble-lamers,fitoussi,théorie,comportant,dossier,publication,jeu-là,documentation,écrit,presse,écrites,nuls,atout,diluée,haronot,trombone,blueprint,votes,milliyet,diffusés,tigre,pvc,abondante,action,aboutiraient,rusé,radical,projet,représenteront,devenais,tuyakbai,burg,paperasse,laborieux,poubelle,bureaucratie,sans-papier,sujet,paperasserie,intimidation,confuses,dire,passeport,qualificatif,crédit,encre,creux,efje,claire,consistant,présomptueux,quotidien,bénéficie,apothicaire,prime,trumpf-pires,scripturale,complémentaire,écrite,suivies,terrasse,brillant,imprimerie,card,posée,roumain,langage,rassemblez,lis,bloeddorst,texte,présenté,révélées,niveau,fendue,allemand,écrivait,oubliette,page,peco,interpellation,révélateurs,paper,symbolique,théoriques,couvert,nomme,élaborerait,mouchoir,répertoriera,multifonctionnel,annoncées,insu,cca,socialisme,partie,terme,fioriture,rédigé,retardateur,ambitieux,jaune,émettons,sébaste,démontre,formalité,réflexion,présentait,boisseau,papeterie,manuelle,chapeau,concrétise,mémoire,polychromes,réactivation,engageait,feuille,papetière,en-tête,importunes,liste,officielle,belles,inonder,vive,papers,inventaire,visite,migrant,sanspapiers,irrégulière,cechini,test,coûte,archives,inintéressante,disserter,autrichien,sorti,emballer,glissé,celui-là,industri,redevance,exécutive,christian,amoncellent,régularisables,septiques,maltais,valeur,remboursement,satirique,liasse,exigibles,théorique,confetti,marianne,catalogue,consultatif,facile,lancé,antisubversion,irrégulier,irréguliers,osent,retranscrire,néo-fasciste,søndergaard,jouissent,provoquant,registre,jersey,corrigée,livré,capturer,recoin,affirme,wuori,zimbabwéen,détaillés,rédiger,avoue,reflétée,émettant,née,recommençant,dsp,analyse,révélant,ressortent,virement,reding,concernait,fraga}

@data
1,cours:competit:report:aid:report:share:common:ground:white,blanc
2,white:envisag:commiss:retain:supervis:central:direct:new,papier
3,work:rapid:achiev:target:stipul:white:renew:energi:sourc:bring:massiv:reduct:greenhous:gase,blanc
4,measur:subsequ:taken:obvious:compli:general:principl:applic:risk:manag:guidelin:appli:precautionari:principl:key:element,document
5,ladi:gentlemen:formal:commit:just:word,papier
6,especi:attract:creativ:possibl:signal:regard:prospect:white:spring:address:issu:govern,blanc
7,presid:known:week:promin:cambodian:opposit:threaten:closur:report:insult:king:prime:minist,journaux
8,absolut:assur:provis:white,blanc
9,want:set:clear:exampl:european:govern:administr:communic:e-mail:instead,papier
10,white:govern:hand:difficulti:balanc:budget:pillar:base:joint:polit:short:term,blanc
11,fair:substanti:proport:immigr:worker:regard:have:proper:depriv:legal:exist,sans-papiers
12,welcom:fact:commiss:initi:submit:green:issu:consid:sensibl:start:evalu:experi:present:direct:start:lay:new:rule,vert
13,evalu:opinion:submit:green:commiss:free:rein:assess:need:reform:product:liabil:direct,vert
14,fact:matter:includ:white:help:commiss:initi:promis:white:regard:food:safeti,blanc
15,share:view:prais:mrs:wallström:promis:hear:european:parliament:present:white:environment:liabil,blanc
16,accept:amend:nos:principl:far:refer:commiss:white,blanc
17,know:issu:white:environment:liabil,blanc
18,order:detail:answer:question:whilst:save:hous:sent:honour:member:list:number:appoint:senior:offici:commiss:take:offic:give:name:nation:previous:function:concern,document
19,clear:ambiti:reform:contain:formid:task:manag:appoint,document
20,final:white:quit:right:note:taken:manag:perform:expect:standard,blanc
21,way:reason:seed:green:limit:doubt:cooper:compet:author:pool:experi:possibl:obtain:satisfactori:result:optimum:limit:fall:skew:way:think,vert
22,import:prior:forthcom:debat:project:entail:white:announc,blanc
23,come:month:look:care:white:food:safeti,blanc
24,ombudsman:inform:way:inform:europol:need:compli:recommend:commit:presid:prodi:decemb:make:avail:juli:implement,corrigées
25,use:issu:includ:white:environment:liabil,blanc
26,futur:green:suppli:contribut,vert
27,item:report:bowi:behalf:committe:environ:public:health:consum:protect:commiss:white:food:safeti:com:cos,blanc
28,presid:let:begin:warm:congratul:rapporteur:bowi:let:inform:commission:david:byrn:appreci:propos:white:relat:establish:parliament:view:prepar:best:possibl:legisl:field:food:safeti:futur,blanc
29,hope:come:month:year:close:monitor:commiss:implement:white,blanc
30,white:mean:answer:crise,blanc
31,exampl:white:ensur:condit:creat:safe:food:possibl,blanc
32,impetus:necessari:consid:great:expect:arous:white:opinion:truli:reflect:report:tabl:bowi:despit:consider:work,blanc
33,final:note:presid:prodi:creat:huge:expect:run-up:presid:commission:byrn:rapporteur:bowi:ask:flesh:white,blanc
34,let:say:glad:parliament:final:deliv:opinion:import:subject:regret:month:european:commiss:present:white:januari:year,blanc
35,view:white:call:agenc:develop:close:work:link:commiss:servic:explain:aplomb:allow:author:agenc:respons:need:commiss:servic:page,blanc
36,hand:author:given:power:requir:member:state:provid:report:statist,document
37,principl:observ:green:white:programm,livre
38,introductori:comment:commiss:white:good:govern:set:think,blanc
39,new:applic:practic:opportun:outlin:guidelin:communiti:research:develop:framework:programm:committe:industri:extern:trade:research:energi:examin:sent:polici:parliamentari:committe:octob:draw:report,note
40,conclus:drawn:introduc:general:rule:member:state:order:improv:supplementari:health:insur:ensur:adequ:meet:need:weaker:section:popul,vert
41,phase:need:prepar:green:situat:supplementari:health:insur:soon:possibl,vert
42,basi:amend:nos:pass:accept:suggest:green:dictat:precis:shall:certain:call:colleagu:vote:favour:shall:propos:abstent:amend,vert
43,glad:rapporteur:will:categor:demand:direct:in-depth:analysi:green,vert
44,annex:commiss:propos:includ:indic:target:regard:nation:level:consumpt:green:electr:necessari:achiev:total:quota:european:union:accord:object:laid:white,blanc
45,text:vote:call:european:commiss:draw:green:specif:question,vert
46,hope:express:european:bodi:institut:follow:commiss:exampl:grant:job:applic:access:correct:test,corrigées
47,presid:commission:ladi:gentlemen:despit:scope:content:white:present:kinnock:direct:rais:institut:topic,blanc
48,consequ:support:commiss:propos:white:promot:commission:kinnock,blanc
