@relation post-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {post,poste,uniformité,postes,posteriori,fonction,procureur,postal,après-guerre,suspendue,organigramme,antenne,postaux,service,bilderberg,mentionner,arrêt,clé,chaire,coureur,renvoyées,apprendrez,médiateur,emploi,acquerront,délictueuses,déterminées,ressentions,cultivaient,accèdent,mesure-là,personnel,après,intérimaires,position,académique,rétrospective,exclus,après-saddam,qualifié,chairman,enserre,postée,postulé,relais,écarter,échelon,courrier,rights,envoyer,poste-frontière,demanderiez,postales,recrutement,activité,post-adjudication,radical,poster,féminins,envoyons,bureaucratique,slave,bureau,instaurait,adoptées,intercepter,lettre,concours,pourvoir,étape,postale,figurer,gagnant,bousculé,reconstruction,douanier,ressassé,tâche,copec,remplissait,licencié,ex-post,prépondérante,effectif,symbolisme,responsables,post-vaccinal,après-nice,responsabilité,secrétaire,marqué,toponymiques,augsbourg,lui-aussi,siegbert,positionnent,postesfrontière,adaptant,brusquement,regretterez,égalitaire,image,surcharge,auprès,sollicitent,répartition,disposition,bloquée,accessible,évitent,exerçant,envoi,siège,envoie,signalisation,agréé,invisible,rétribution,vacance,interviewer,représentées,doigté,görlitz,indicatif,modifie,atteignions,éventuel,supérieur,repère,mortem,élective,caïphe,correspondant,garde-côte,respectivement,éteinte,vérone,alijew,vingtaine,attribution,blâme,tri,entrés,emboîtent,vacants,embaucher,minuk,créant,post-mortem,prime,borrell,post-communistes,portefeuille,interview,demi-infirmière,philosophale,entrepreneuriales,fauteuil,republika,cumulard,ont-elle,réservaient,brigand,implantés,commission,prononcez-vous,piskinsut,postérieur,mettant,abreuvés,gagne,déserté,résumée,chapeau,convoitées,mission,dédaigne,étonnera,promotion,désignation}

@data
1,lack:respons:ant:result:far:way:cultur:real:effect:spend,post
2,european:democraci:austrian:democraci:receiv:lesson:anybodi:certain:belgian:govern:embrac:corrupt:parti:financ:arm:dealer:appoint:leader:corrupt:parti:condemn:court:european:commission,poste
3,regard:specif:question:highlight:fact:make:sens:new:statut:repres:progress:comparison:current:situat:ensur:holder:ident:far:possibl:treat:way,uniformité
4,provid:exampl:sort:vigil:case:deutsch:follow:complaint:court:commiss:initi:formal:aid:procedur:juli,post
5,order:ensur:proper:postal:servic:european:union:level:essenti:end:polici:close:local:offic:reduc:number:deliveri:overwork:postal:staff,poste
6,panel:make:object:assess:profession:manageri:qualiti:capabl:relev:recommend:shortlist,poste
7,impress:hous:appear:frustrat:enlarg:place:unnecessari:obstacl:way:use:spurious:argument:limit:prepar:enlarg:exampl:reject:propos:vacant:languag:reserv,postes
8,ascertain:scope:realloc:staff:depart:view:improv:avail:resourc:key:area:polit:prioriti:order:ascertain:need:creat:new,postes
9,across-the-board:cut:increas:mean:newli:creat:fill,postes
10,council:awar:professor:pelinka:resign:vice-presid:european:monitor:centr:racism:xenophobia:year,poste
11,understand:peer:report:award:extra,postes
12,lead:question:gave:go-ahead:expenditur:ant:realli:posit:conduct:accur:control:necessari:object,posteriori
13,segni:return:day:offici:work:visit:hatzidaki:larger:island:europ:crete:assess:sensit:associ:dual:handicap:underdevelop:remot:handicap:person:know:better:previous:handicap:mountain:region:goe:hand:hand:remot,fonction
14,instanc:financi:respons:deconcentr:deleg:deleg:facil:upgrad:addit:offici:alloc:extern:servic,postes
15,state:support:reform:commiss:agre:new:combin:new:earli:retir:scheme:subject:condit,postes
16,reason:vote:motion:regard:request:establish:european:public:prosecutor:includ:refer:juge:des:liberté:ensur:guarante:prosecutor:guarante:step:democraci:inquisition-lik:like:danger:propos:adopt:nice,procureur
17,ensur:econom:viabil:rural:offic:network:countri:rural:peripher:part:european:union,poste
18,gradual:introduct:competit:welcom:acknowledg:social:function,postal
19,analys:data:avail:probabl:discov:great:deal:hundr:mayb:thousand:offic:close:mountain:area,poste
20,cherry-pick:ensu:jeopardis:abil:deliv:daili:univers:reason:cost,post
21,posit:nation:prosecut:power:affect:creation:european:public:prosecutor,procureur
22,recal:european:parliament:mission:argentina:presid:alfonsín:said:democraci:rememb:democraci:mortem:longer:democraci,post
23,realli:quit:unnecessari:thought:cold-war:environ,après-guerre
24,scandinavian:countri:women:manag:particular:highest:level,postes
25,commiss:consid:candid:chosen:profil:particular:relat:task:question,poste
26,commiss:prepar:tear:decis:compet:candid:appeal:european:court:justic:case,fonction
27,spite:public:apolog:offer:editor:newspap:frontier:guarante:taken,post
28,final:suspens:stage:maximum:transport:maintain,suspendue
29,women:especi:younger:women:high:level:profession:qualif:reflect:work:live:general:lower-qualifi:enabl:fulli:achiev:profession:expect,postes
30,deleg:overwork:awar:object:criteria:have:use:decid:staff:distribut,postes
31,remain:unfil:long:period:suitabl:local:staff:consid:temporarili,postes
32,explain:commiss:posit:use:deploy:offici:obvious:longer:product,postes
33,assess:show:rationalis:effort:carri:shortfal:relat:commiss:staff:member:assign:prioriti:activ,postes
34,parliament:strong:insist:demand:separ:plan:show:structur:involv:administr:polici:forward,organigramme
35,problem:countri:manag:echelon:unit:kingdom:member:european:union:member:state:germani:territori:avail:site:antenna:listen:equip,antenne
36,member:state:european:union:includ:suppli:public:servic:field:energi:water:wast:dispos:transport:telecommun:media:financ:insur:basic:social:educ:train:social:servic:extern:intern:secur:judiciari:registr,postaux
37,interinstitut:commiss:commiss:appoint:decision-mak,service
38,attach:great:import:desir:involv:develop,postaux
39,mean:data:sensit:natur:fall:scope:european:supervisor:mandat:give:legitimaci:critic:say:pay:packag:probabl:excess:limit:duti,fonction
40,furthermor:repertoir:posit:measur:chechen:polic:present:control:republ:transport:rout,postes
