@relation range-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {série,panoplie,divergents,offre,éventail,vaste,différence,ensemble,palette,multiplicité,nombre,spectre,couche,pasa,variété,diversité,intervalle,portée,convenable,transiter,gamme,multitude,conscient,horizon,diverses,exhaustif,envisagés,coagulation,atteints,massif,échelle,diversifiées,vont,plusieurs,liées,thonière,totalité,divers,prendre,prédominance,parlent,champ,arsenal,découlaient,attentivement,officieuses,adolescent,étendent,prospective,problématiser,large,tas,mesure,codécisions,possibilité,différentes,causant,dommageables,articulées,horizontales,variés,également,liste,impliquent,rapportant,crispation,loupe,fluctuation,nombreuses,choix,agissent,ligoter,agir,grille,délits,ampleur,énumérés,augmenteront,sorte,varie,errants,rayon,tir,explicites,punitif,éducationnel,mozambicaines,atténuer,micromesures,varieraient,délai,variées,nombreux,domaine,oscille,meilleures,choisit-il,vannes,cadre,arás,littéraires,bouleau,rucher,regardante,birdal,diversifiés,fourchette,initiative,florin,bêtise,élevage,variation,synthèse,segment,émaner,vastes,clientèle,paisley,atteinte,élargir,diffusées,offrent,multiple,prénégocié,diktat,allant,cercle,montagneux,commandées,étendue,éliraient,fréquence,soulignaient,quantité,épargne,eaton,marge,jointe,vingt-neuf,aller,régressif,dispersées,pvc,staines,oligopole,aille,alexandros,démunis,étudiera,repoussées,débattues,limitées,basses,trouble,amplitude,âge,pré-élémentaire,certaine,différents,graisser,offraient,remorqués,commenceront,précisent,couvert,aire,dépassement,âgés,provisoires,conjonction,continuum,ample,envergure,aboutir,sous-comité,entière,axées,ouvrirons,coproduction,ingérer,évolué,jean-louis,diversification,montagne,sauvegardés,brok,inonder,interpréter,chiffré,façon,divergence,harmonisée,problématique,pastoralisme,imprévisible,tissu,conjuguent,militaro-politique,kyrielle,grands-mères,prérogative,surprenants,globalisée,largeur,islamiques,râtisser,varient,divergent,méditerranées,étendu,foisonne,tech,assumée,menace,survivent,relions,viceconte,produites,greco-turques,écart,charriés,must-carry,quantitativement,précarité,requerra,absentéisme,assortir,train,terrestre,chemicals,bande,cible,exportation,croisade,pâturage,insignifiance,parc,combinaison,changement,exemption,cdh,variait,rhumatismales,dressera,mix,mobilisation,avoisine,entente,préemballage,élaborer,clercq,documentation,serbe,limitée,prolifique,dégage,latitude,névralgique,aile,exporter,offrant,immunodéficitaires,diversifiée,lit,injection,loge,accompagner,idéologie,clavier,exigeront,animateur,porteront,portait,étendant,aussi,interprétation,inflation,insistent,hétérogénéité,citons,sociétale,turin,sévice,dynamique,fachkraft,retrouve,étendront,emballage,rsas,cultivés,attelé,oléoduc,attendions,sydney,entreprenante,spamming,varier,évoluent,représenteront,catégorie,étendus,emmenées,législature,photosensibilisantes,imaginé,assortiment,pluralité,task,oeufs,client,municipale,documentées,basant,renferme,origine,endroit,mecklenburg-vorpommern,produit,incitant,tarira,situera,bénéficions,déversement}

@data
1,restor:water:suit:planet:ecosystem:experi:advers:event:threaten:develop:region:live:condit:inhabit:region:fundament:global:balanc,série
2,second:instrument:develop:allow:flexibl:respons:forc:situat:need:choos:kill:cure:remedi:complet:stab:dark,panoplie
3,region:huge:problem:play,divergents
4,europ:main:destin:tourist:countri:face:increas:stiff:competit:increas:diversifi:attract:product,offre
5,amend:nos:design:cover:broader:milk:product:scheme,éventail
6,accept:amend:problem:under:messag:worth:convey:current:product:need:review:ensur:issu:continu:dealt:discuss:manag:committe:milk:milk:product,éventail
7,far:harder:accept:fact:draft:direct:racial:discrimin:appli:broader:social:term:content:compris:stronger:legal:guarante:control:mechan:second:draft:direct:pipelin:design:fight:type:discrimin,vaste
8,regard:health:warn:presid:given:wish:regard:warn:size:decid:favour:maintain:percentag:quot:european:commiss:consid:compromis,différence
9,similar:commiss:agre:idea:common:essenti:principl:data:protect:need:establish:implement:uniform:possibl:pillar,ensemble
10,right:suggest:resolut:support:approach:propos:european:commiss:shall:continu:entir:communiti:instrument:avail:social:dialogu:legisl:coordin:converg:inform:exchang:financ:communiti:fund:programm,palette
11,think:say:essenti:problem:tremend:increas:legisl:work:european:union:exponenti:growth:legisl:codecis:huge:legisl:decis:taken:parallel,multiplicité
12,economi:outermost:region:class:articl:treati:depend:singl:product:limit:product:provid:incent:potenti:diversif:creat:better:condit:produc:actual:mean:abil:produc,nombre
13,occur:overnight:result:vote:declar:rule:provis:issu:reopen:given:alarm:frequenc:machin:work:creat:difficulti,série
14,agricultur:multi-output:industri:public:expenditur:necessari:achiev:public:good:industri:produc,spectre
15,culinari:delight:cod:provid:extens:book:written,éventail
16,presid:ladi:gentlemen:report:today:result:initi:portugues:presid:measur:design:promot:creation:area:freedom:secur:justic:order:provid:use:respons:everyday:concern:european:public,ensemble
17,freedom:reintroduct:capit:brought:russia:freedom:narrow:bureaucrat:left:previous:regim:pillag:natur:resourc:transfer:proceed:western:bank,couche
18,product:take:special:communiti:region:outermost:region:suffer:difficulti:compet:market:product:precis:banana,série
19,report:summit:broad:biotech:issu,éventail
20,talk:general:term:sme:support:individu:compon:asap:cite:differ:context,pasa
21,concept:sme:continu:appli:catch-al:categori:embrac:wide:compani:structur:situat,variété
22,essenti:plant:divers:speci,diversité
23,regul:bring:singl:substant:legal:text:wide:measur:current:base:safeguard:provis:communiti:veterinari:legisl,éventail
24,turn:communiti:measur,ensemble
25,view:commiss:propos:ceil:financi:liabil:classif:societi:european:parliament:attempt:compromis:council:posit:provid:option:instead:fix:limit:member:choos:fit:appropri:ceil,intervalle
26,hard:surpris:no-dong:no-dong:weapon:kilometr:sold:iran:syria:pakistan:north:korean:give:militari:aid:congo:iran:ethiopia:syria,portée
27,committe:citizen:freedom:drew:ambiti:report:year:cover:wide:fundament:right,nombre
