@relation ring-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {familier,anneau,cyberespace,creux,appelé,cercle,caricature,résonnent,sonne,pédophile,adn,dentition,appeler,prostitution,résonne,ring,paternaliste,alarmées,sonnent,poème,perçoit,pourvoit,procuré,tonalité,filière,perdrait,trimbaler,entoure,commençons,rouage,augure,vilvorde,rond,périphérique,irrespectueux,sonner,circuit,bout,sonneront,concentriques,prisonnier,canonnière,alarmer,pourtour,inscrivent,bactériose,financièrement,trousseau,décrochent,emerson,rime,flétrissement,retenti,arène,téléphoner,balance,retentisse,inopérants,périmètre,réseau,politico-judiciaires,raisonnement,ronflants,sonnette,réjouissons,réduire,traitiez,impopulaire,étoilés,lumineux,couronne,porte-clé,lucre,frappe,espagnol,chilien,paraîtra,cartel,infiltrés,schiffsbesatzung,présageait,gagné,crapuleux,garde,molle}

@data
1,note:procedur:propos:commiss:financ:decommiss:wast:manag:work:research:reactor:familiar,familier
2,experi:anim:shown:toxic:carcinogen:natur:phthalat:liver:kidney:testicular:ailment:children:suck:chew:dummi:rattl:teeth,anneau
3,presid:draft:regul:discuss:provid:implement:top-level:domain:rais:profil:european:union:cyberspac:allow:confid:creat:singl:market:shine:internet,cyberespace
4,social:resolut:best:hollow:limit:lifelong:learn:europ:worker:assur:lifelong:job:say:employ:work:life,creux
5,madam:presid:posselt:right:chancellor:schröder:elect:british:prime:minist,appelé
6,agre:presid:prodi:said:develop:friend:stretch:russia:morocco:exclud:possibl:acced:union:condit:countri,cercle
7,presid:mrs:izquierdo:rojo:tell:said:parodi:certain:true,caricature
8,presid:fine:word:saddam:hussein:have:disarm:iraqi:entitl:freedom:remark:hollow:situat:know:saddam:hussein:slightest:intent:disarm:exil:let:give:oppress:iraqi:freedom,résonnent
9,listen:say:prosper:solidar:secur:nice,sonne
10,said:word:sustain:english:actual:nice,sonne
11,question:ask:europ:provid:effect:respons:need:protect:children:violenc:abduct:paedophil:internet:abus:exploit,cercle
12,terribl:tragic:event:belgium:focus:mind:need:protect:children:intern:paedophil:crimin:involv:sex:trade,pédophile
13,oper:impun:protect:friend:high:place,cercle
14,tell:respons:scienc:joint:research:centr:follow:progress:work:develop:analysi:method:use:union:test:genet:modif:dna:extent:joint:research:centr:involv:work:given:develop:analysi:method:string:food:product:use:test:ensur:uniform:union:leav:thing:chanc,adn
15,recent:commiss:came:vagu:pronounc:subject:phthalat:babi:teeth,dentition
16,need:pay:night,appeler
17,avoid:european:liber:democrat:express:hope:intergovernment:confer:consid:model:differenti:integr:creat:concentr:union:feder:core:integr:outer,cercle
18,need:coordin:maximum:cooper:europol:order:end:traffick:prostitut:deal:women:children:action:crimin:gang:involv:traffick:human:exploit:illicit:employ:prostitut,prostitution
19,today:tool:help:exercis:civil:polit:right:internet:term:strang:european:institut:start:exploit,résonne
20,imag:box:gomolka:use:east:german:shipyard:addit:climb:wear:handcuff,ring
21,surpris:comment:wound:tone:misunderstood:unfair:answer:subject:paternalist,paternaliste
22,ghent:triumvir:affront:itali:europ:prodi:said:europ:depriv:strength:featherweight:intern:weaken:bit:europ:exist,ring
23,extraordinari:possibl:scientif:medic:progress:seen:light:inher:potenti:sudden:alarm:bell,alarmées
24,background:statement:respect:rule:law:freedom:democraci:extrem:hollow,sonnent
25,famous:swedish:poem:includ:word:chao:god:neighbour:true:today,poème
26,object:combin:sort:polici:continu:deepen:enlarg:creat:friend:european:union,cercle
27,union:absorb:enlarg:quick:smooth:possibl:issu:face:union:goal:achiev:includ:intergovernment:confer:smooth:function:institut:enlarg:union:lisbon:strategi:new:financi:perspect:complet:enlarg:friend:polici:wider:europ:polici,cercle
28,figur:risen:well-organis:crimin:slave:trade:shrink:traffick:children,cercle
29,step:road:central:object:secur:strategi:promot:well-govern:countri:border:mediterranean:enjoy:close:cooper:relat,cercle
30,threaten:statement:limit:right:grant:parliament:treati:minist:european:affair:fail:candid:commission,perçoit
31,european:neighbourhood:polici:mean:emphasis:common:bond:geographi:histori:trade:migrat:cultur:bring:countri:friend:closer:european:union,cercle
32,thank:tannock:excel:report:deal:relat:european:union:neighbour:creation:friend:european:union,cercle
33,member:parliament:probabl:awar:europol:carri:major:investig:week:smash:paedophil:oper:insid:european:union,pédophile
34,middl:east:great:lake:area:latin:america:union:allow:run:pay,pourvoit
35,commission:point:part:fact:mafia-styl:discov:traffick:human:life:high:profit:enterpris:situat:did:face:past,procuré
36,novemb:european:liber:democrat:reform:parti:adopt:posit:intern:differenti:union:propos:concentr:europ:onion:skin:model,cercle
37,debat:today,tonalité
38,tragic:event:dover:june:cruel:remind:need:fight:effect:illeg:immigr,filière
39,talk:unit:divers:hollow:especi:non-align:member:state:part:content:report:practic,perdrait
40,initi:specifi:includ:traffick:human:wish:insist:includ:smuggl:illeg:immigr:prostitut:sexual:exploit:children,prostitution
41,foot-and-mouth:polici:inadequ:exampl:vaccin:vaccin:council:member:council:treat:threat:great:britain:extrem:light,anneau
42,ladi:gentlemen:negoti:near:year:continu:longer:situat:council:lead:parliament:danc:bear:nose:circus:arena,trimbaler
43,organ:strategi:increas:number:member:union:enlarg:creat:stronger:closer:proxim:polici:friend,anneau
44,presid:prodi:describ:object:friend:surround:extend:russia:morocco,entoure
45,commiss:explain:countri:western:balkan:romania:bulgaria:turkey:includ,cercle
46,von:wogau:refer:friend,cercle
47,clear-cut:strategi:hope:conclud:negoti:bulgaria:romania:croatia:start:fast-track:union:regard:turkey:set:timet:point:morn:octob:commiss:report:decemb:decis:frame:refer:copenhagen:right:countri:start:straight:away:suggest:term:friend:say:share,commençons
48,aim:creat:friend:border:new:enlarg:european:union,cercle
49,congratul:fruteau:daul:excel:work:tabl:resolut:excel,rouage
50,optimist:refer:common:destini:preambl:fals:ear:countri:suppos:fat:stuf:gullet:refus:poor:countri,sonnent
