@relation side-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {côté,inculpé,conviction,aile,rue,partie,député,bord,démocratique,sfi,parti,part,partenaire,comme,préexiste,autre,imposer,route,volontariat,ligne,parlement,face,doter,asphalte,personne,acceptent,nécessaire,réjouissent,milan,différentes,nombreux,justice,structure,principal,concert,camp,racontera,aspect,continue,intergouvernemental,effet,individuel,rive,sein,passion,agit,président,parfois,permettez-moi,placer,recherchent,unanimement,acteur,belligérant,États-unis,pénal,balkans,année,ceux,réciproque,mal,protagoniste,seul,patchwork,donnant,collaboration,affrontement,piratage,accord,isolé,petits-enfants,rejetés,indésirable,claire,virgule,poos,apportées,enverrai,afin,soi-disant,bien,davantage,concernant,sien,plus,arabe,mutuelle,interlocuteur,facette,avoir,redoutent,choisi,diplomatique,veiller,vraiment,maginot,enlever,recours,gouvernement,action,tous,faisons,projet,base,État,pourquoi,argyros,horizon,branche,circonstancielles,suppose,mutuel,madame,répugnance,écrivain,uns,niche,assemblée,envisager,dire,observer,décelé,abord,divergence,égarer,faible,règlement,léonins,coopération,qualité,veulent,ainsi,union,ressortissant,faut,effort,juin,dan,ôté,biais,inacceptables,succinct,désunion,préoccupe,sociaux,efficacité,mois,élargi,lorsque,secteur,océan,exacerbés,partisan,chacun,droit,visage,mener,raison,pourtour,deux,contradictoires,application,côte,préoccuper,essayons,frontière,modèle,sacconi,partagent-ils,pension,voulons,pâté,cependant,nom,rougirait,vont,basé,tribunal,agence,unilatérale,timorés,conseil,exercent,contre,joue,soulevée,secondaires,innovation,danger,insouciante,grec,pourrons,trame,proportion,conclusion,cela,total,via,devront,médaille,impartialité,apaiser,semble,dérouler,citoyen,dernier,institution,représentant,investissement,composante,quoi,groupe,travailleur,euro-apathie,diverses,manque,recherche,supprimer,populaire,vers,vital,ranger,chose,extrême,prononcées,considéré,réjouis,reconstruction,déléguées,point,énergétique,accompli,administration,chou,malheureusement,tant,souligner,laquelle,satisfaits,finlande,cesse,situation,événement,peut,israël,avantageuse,devrions,appropriée,commission,engagement,semblent,histoire,position,auprès,titre,bloc,contradictoire,patronales,morosité,attaquant,équipent,recette,conclus,adverses,échangés,volet,répond,pense,strabisme,janvier,bas,quand,mpla,débit,considérer,veux,américain,optimaliser,aplanir,piment,en-deçà,prétexte,mettant,hallam,condition,développe,technique,renforcée,avancer,national,double,asphyxier,permettent,parlons,faire,virtualité,gendarme,référence,pool,membre,raréfie,obtenir,délicatesse,osons,demande,réelle,chaussant,gagnée,liée,espérons-le,empreinte,euro,chaussette,développer,tension,lequel,pesc,circulation,aider,associe,comprendre,aussi,exiger,brièvement,image,gréviste,consenti,profondeur,usez,trop,vienne,pouvoir,funambule,souffre,province,pencher,quantifié,obligation,capables,barça,masque,décision,agissez,consiste,choisir,tel,fois,transmission,armement,acceptera,arrogants,mis,assistons,européen,espère,négocier,distribuant,climat,soutient,noir,apparaît,sociale,opposées,parallèle,partagés,organisation,très,mettre,séparées,indéniable,aiderons,carnage,négation,paix,confirmée,rendront,ajouter,unanime,sauvent,bsc,six,également,côté-ci,europe,massés,laisser,unilatérales,forces,culture,horizontal,téléenseignement,être,appliquer,esprit,atlantique,acceptable,améliorées,vote,hui,prévu,mineur,preuve,comble,notamment,reconnues,maximum,outre,voudrais,appuyons,sides,kosovo,celle-ci,principe,jubilaire,politique,rivage,incitant,peu,soldat,géométrie,bloqueront,début,chaque,hautaine,crois,expliqué,entreprise,direction,reçoit,unique,organise,coalition,contre-arguments,limitée,tout,plan,morgantini,conjoint,auparavant,confirmer,rentrés,différents,recensement,iran,générale,oui,souffre-douleur,capital,confrontation,passif,réforme,exploité,écoulés,réservé,turque,promesse,possible,elles,flanc,motif,voie,clan,volonté,doit,opposés,programme,chef,réellement,écoutiez,traitée,étranger,processus,peine,iraniens,large,négociera,libanais,oublié,rocheux,producteur,souci,transeuropéens,présidence,familier,intercontinental,élément,décidément,insiste,pery,frappé,non,somme,niveau,responsabilité,juridique,car,microéconomique,zone,monsieur,disposerons,maillet,camper,portugal,trouver,temps,banc,souligné,reste,frais,inchangée,belligérantes,busquin,funeste,encore,protection,rolf,suivra,chypriote,partenariat,ill,économique,porter,accaparés,exercées,concernés,procédure,après,mesure,exemple,pattern,énième,bon,plafond,semaine,disposant,produit,amendement,dialectique,ailleurs,relation,fume,provienne,latin,dépassées,holding,bilatérale,information,paraître,campe,savoir-faire,offre,unies,utilisez,repentir,roulerons,visibles,aisé,zoellick,latérale,dénoncé,population,ans,quelques,pâques,continuerons,épousé,demi,adopter,plusieurs,plutôt,autorité,responsable,euro-arabe,brisions,tradition,aelvoet,adverse,médiateur,avance,montrent,avril,journaux,défaillantes,neretva,sens,poggiolini,solution,sécurité,tabou,devraient,rendre,palangrière,travail,dater,versant,moyen,voilent,espoir,mauvais,institutionnel,semestre,poursuivent,entraîner,représaille,évaluation,kurde,turc,huitaine,vert,automatisme,considérant,organisé,augmentent,juge,patten,doute,rappeler,fermés,peser,peuple,sensibilité,maintenant,marché,compris,maastricht,charte,psychoactives,violence,vue,aita,négatif,continué,vivent,diversité,industrie,psychose,boiteux,faction,sang,signaler,faucon,domaine,soucient,forte,grecque,computer,trafic,cicatriser,éviter,adéquat,aide,compte,contrepartie,parlementaire,autres,essentiel,collègue,conséquence,démocratie,explose,formant,existantes,préoccupation,propos,maintenir,jour,austérité,main,conduire,monde,affaire,trente,décrivent,protestaient,demander,abandonner,devon,perdant,sortir,montée,perspective,privée,institut,réussite,délai,occupant,peur,sérieux,figure,activement,russie,épine,division,stabilité,mi-chou,voté,envergure,diligentant,turquie,western,moment,imbroglio,progrès,forestier,enquête,consulter,retenir,dorés,écarté,presté,ouvertement,tourisme,minimales,conjugué,village,envers,commissaire,coût,beaucoup,intransigeantes,conservateur,satisfaction,modification,mouvement,alimentaire,prise,constituent,concerne,répondre,fléchir,intègre,entre,social,augmentation,estimées,chaleureusement,pratiquent,notion,chance,planétaire,aisée,corporation,capri,voir,positif,différent,poule,prévue,milliard,région,forme,présent,serbe,participation,exclus,cloîtré,demandé,origine,favorables,régularité,acp,palestinien,lors,centre,saurai,malhonnête,allié,cas,continu,problème,informé,votes,majorité,terrorisme,spectre,revenir,Øresund,première,soucions,peut-être,égard,bénéficiant,inconvénient,directrices,éloignés,adversaire,népalais,communiquez,assistance,espérance,changé,roumain,touts,souviens,créeront,partialité,feu,empruntant,rapporteur,politico-structurelles,conforme,continuellement,peutêtre,dsm,emploi,vrai,témoignaient,intolérable,basque,tva,samedi,trouve,monnaie,larkin,vouloir,encourageant,technologique,important,débattre,conflit,épreuve,recommande,communauté,tort,budgétaires,élogieux,dont,désire,eu-acp,octroyée,lituanien,veillé,entrepreneur,personam,croyons,cessé,rageant,opprimés,établi,bordage,surmonter,contacter,sérieusement,angle,économie,gebhardt,marseille,défendent,conséquent,fin,relativement,démonstration,ralentit,risque,vraie,rejoint,règne,âpre,matière,faiblesse,civile,quasiment,juste,secondaire,analyse,piétiné,modifiées,fait,schröder,poursuivre,pôle,galice,vais,aggravation,lepante,répondons,séparent,international,synergie,tendance,comprends,bilan,fonction,déstabilisatrice,personnes,critère,détriment,donnent,entende,préalable,modifier,répression,prendre,sait,longue,exposent,ampleur,nombre,intermédiaire,explore,fermement,proposition,pénalisés,symbole,empêchés,revendique,clairement,corruption,débarrasser,médias,range,iranienne,cohabitent,antilibéraux,ue-chine,ressentons-nous,conflictuelle,exotiques,créer,ministère,mandat,chômage,met,comité,parce,waddington,desama,oraux,creuses,macabre,rapport,lancement,ilsa,exprimer,bce,déséquilibre,importance,entrepris,alliance,gîte,font,blâmer,gens,faudra,menace,simple,soutenions,retardée,messieurs,précaution,efforcée,essentielle}

@data
1,understand:point:atlant:ocean,côté
2,repetit:case:parallel:project:border,côté
3,isol:passag:commiss:propos:err:caution:case:maintain:detaine:accus:given:choic:accept:refus:temporari:transfer:member:union:purpos:preliminari:enquiri,inculpé
4,certain:hous:believ,conviction
5,possibl:allow:concept:taken:hous:use:conduct:polit:fight:insist:matter:sort:dealt:way:meet:approv:case,aile
6,natur:condemn:infring:confus:perpetr:genocid:victim:mean:good:care:provid:humanitarian:aid:high:ensur:polit:solut:conflict,côté
7,netherland:street:germani:rob:bank:german:escap:dutch:lucki:german:polic:allow:follow,rue
8,certain,partie
9,think:import:honour:member:bring:pressur:bear:futur:contact:turkish:especi:turkish:parliament:order:ensur:relev:reform:propos:accept,député
10,good:faith:tri:mean:amend:way:european:union:function:effect,bord
11,south:africa:democrat:govern:sound:develop:taken:region:need:posit,démocratique
12,instead:coland:nation:scheme:afraid:lose:water:instead:water:hard-earn:money:work:citizen:drain:away,côté
13,ask:commission:nielson:thought:import:hous:ifc:world:bank:abil:help:privat:sector:fund,sfi
14,europ:intend:support:hope:region:banker,parti
15,total:agreement:posit:state:pierr:moscovici:say:today:shall:help:bring:peac:take:debat:difficult:negoti:way,parti
16,endeavour:preserv:religi:cultur:univers:charact:holi:citi:certain:subject:haggl:properti,part
17,believ:debat:commiss:industri,partenaire
18,social:partner:associ:work:committe:employ:consult:industri:context:inform,partenaire
19,contribut:consult:french:presid:natur:industri:expect:close:associ:draw:social:polici:agenda,partenaire
20,practic:polici:promot:faith:serv:busi:usa:submit:order:promot:new:order:interest,côté
21,compani:employ:heard:today:present:monti:boost:econom:growth:europ:realli:understand:fear:express:chamber:merger:fulli:benefici:societi:detriment:effect:employ:europ,comme
22,presid:propos:amend:amend:mention:extrem:mention,aile
23,problem:doe:exist:sole:czech:exist:problem:resolv:joint,côté
24,british:irish:serb:croat:isra:palestinian:peopl:exist:precondit:human:exist,préexiste
25,recognit:need:sacrific:accept:histor:respons:atlant:largest:emitt:greenhous:gase,autre
26,propos:mrs:peij:seek:bring:bank:tabl:lay:law:simpli:increas:pressur:polit,imposer
27,want:downplay:situat:despit:doe:appear:control:concern:outsid:interfer:harm:chanc:reach:negoti:settlement,partie
28,frontier:worker:flexibl:cope:confus:law:border,côté
29,believ:european:union:activ:role:support:replac:american:peac:support:confid:fair:just:imparti:broker,partie
30,second:point:quit:import:mention:gradual:arriv:internalis:extern:cost:consid:road:rail,route
31,solidar:member:state:regard:recept:reflect:principl:voluntari,volontariat
32,idea:ensur:voluntari:came:german:presid:gain:ground,volontariat
33,coordin:european:plan:back:hous:evid:fell:fertil:ground:council:minist:commiss,partie
34,given:permiss:emerg:vaccin:hope:commiss:begun:appreci:ethic:agricultur,ligne
35,madam:presid:notic:italian:member:european:parliament:hous:avoid:interven:issu:relat:berlusconi:dell:utri:parliamentari:immun,parlement
36,euro:coin:new:step,face
37,hesit:say:consid:give:arab:forc:includ:nuclear:forc:persuad:israel:simpli:want,doter
38,european:parliament:deleg:just:announc:sens:chanc:success:need:will:compromis:stop,partie
39,hope:new:propos:european:commiss:consid:noise-reduc:tyre:look:noise-reduc:asphalt:nois:traffic:thorn:increas:number,asphalte
40,presid:minist:commission:ladi:gentlemen:issu:welfar:mention:europ:think:cat:cage:airport:think:hors:transport:olymp:game:world:think:bird:cage:fifth-floor:window:sill,personne
41,major:challeng:face:restat:explain:need:involv:conflict:accept:unhind:access:countri:humanitarian:organis,acceptent
42,cours:moroccan:maintain:record:deploy:fund,nécessaire
43,way:oblig:industri:nation:govern:ensur:good:work:environ,partenaire
44,think:cours:quit:import:welcom:restructur:revenu:common:vocabulari:soon:possibl,réjouissent
45,presid:congratul:rapporteur:constanc:sens:respons:coordin:addit:attempt:obtain:consensus:enabl:present:report:need:industri:deal:merger:reloc:restructur:painless:possibl:emphasis,partie
46,first,partie
47,draw:line:map:europ:london:milan:copenhagen:barcelona:kilometr:corridor:line:europ:popul:europ:manufactur:site:includ:danger:restrict:area,milan
48,report:number:demand:council:first:ask:codecis:procedur:appli:second:request:budgetis:annual:interest:fund:prealloc:revenu:creation:specif:budget:line:revenu:expenditur:budget:follow:principl:budgetari:specif:neutral:line:provis:interinstitut:agreement:financi:regul:third:request:relat:administr:cost:estim:eur:million,différentes
49,urg:industri:employ:contract:flexibl:modernis:organis:work,partenaire
50,final:comment:madam:presid:absolut:essenti:point:rais:euro-mediterranean:forum:follow:forum:held:council:speak:colleagu:parliamentarian:mediterranean,côté
51,presid:warm:welcom:final:outcom:concili:procedur:point:congratul:mrs:figueiredo:thank:meticul:work:work:manag:end:tool:quick:anticip,partie
52,current:event:just:necessari:irrespect:consider:forward:member:left:hous:effect:shift:attent:away:numer:danger:present:way:terrorist:group:work:interconnect,nombreux
53,madam:presid:just:fight:surviv:mean:dispos:fight:qualifi:terror:defin:recent:minist:justic:european:union:definit:fear:adopt:laeken:summit,justice
54,dialogu:arrang:sevill:share:cost,côté
55,eu-us:summit:undertook:support:dialogu:fact:year:european:parliament:creat:specif:budget:head:support,autre
56,irrespect:independ:bank:european:invest:bank:forum:dedic:develop:european:southern:mediterranean:oper:work,structure
57,oper:know:conserv:fish:stock:best:way:preserv:job,principal
58,stress:fact:genuin:integr:requir:effort,partie
59,believ:utmost:urgenc:way:support:dialogu:peac:prospect:breakthrough:vital:need,autre
60,isra:palestinian:resum:search:peac:tandem,concert
61,mitchel:report:contain:step:follow:accept,camp
62,palestinian:hospit:talk:paediatrician:tell:boy:kill,racontera
63,right:unabl:woman:presid:man:feminin:person:bad,aspect
64,commiss:submit:propos:parliament:acid:test:receiv:receiv:sever:critic:differ:side:think:omiss:commiss,continue
65,thank:say:opportun:speak:length:yesterday:diplomat:effort:behalf:channel:communic:open,partie
66,involv:combat:terror,camp
67,sole:exclus:intergovernment:function:combin:see:weak:intergovernment:think:convent:improv:come:final:decis:notwithstand:need:allow:issu:nation:sovereignti:play:role:issu,intergouvernemental
68,addit:fatal:effect:term:open:coordin:institut:european:union:democrat:legitimaci:parliament:complet:sidelin,effet
69,altern:process:requir:busi:angel:group:investor:privat:investor:bring:idea:money,individuel
70,decid:extend:tempus:programm:mediterranean:partner:allow:develop:cooper:univers:mediterranean:import:incorpor:univers:world:mediterranean:player:creation:euro-mediterranean:partnership,rive
71,furthermor:welcom:statement:need:hold:open:in-depth:debat:organis:migratori:flow:manag:mediterranean,côté
72,new:flexibl:meantim:manifest:acut:need:appar,côté
73,violenc:erupt:gujarat:murder:massacr:burn:aliv:claim:victim:februari:year,côté
74,attempt:boost:bipartit:model:marginalis:especi:polit:thorn:parliament,sein
75,assur:hope:need:assur:passion:convict:share:hous:sure:right:hous,passion
76,thank:rapporteur:behalf:socialist:way:skil:pilot:erika:packag:parliament:keep,partie
77,encourag:necessari:compromis:reach:settlement,camp
78,necessarili:fair:competit:know:prosper:gap:wide:neighbour:region:border,agit
79,presid:commission:ladi:gentlemen:speak:involv:set:budget:posit:feel:start:say:clear:involv:financi:enlarg:complet:support:enlarg,président
80,work:live,parfois
81,want:deal:agricultur:want:proper:reform:common:agricultur:polici:enlarg:take,permettez-moi
82,think:great:strait:follow:debat:today,côté
83,polit:forc:decid:support:shall:lost:imposs:forward,placer
84,respond:initi:taken:atlant:worst:way:delight:know:europ:realli:independ:nation:crise:particular:current:crisi:iraq:poor:old:europ:disarray:stark:differ:london:berlin:pari:extent:patent,rive
85,european:parliament:will:state:foster:dialogu:algerian:parliament:vital:exchang:inform:common:posit:interest,partie
86,think:combat:stress:harass:matter:industri,partenaire
87,spoke:argument:seek:legal:certainti:lawyer:say:unreason,recherchent
88,point:cyprus:specif:secretary-gener:propos:subject:welcom,unanimement
