@relation soil-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {terre,sol,territoire,arable,pédologiques,acceptées,irrigue,surpâturage,sous-sol,ravagée,fertile,stockées,assolement,engrais,fertilité,terrain,localement,géologiques,sablonneux,relief,épandre,inventaire,terroir,champignon,ferme,tsiacourmas,meuble,lointaines,géothermie,construisent,insatisfaites,édaphiques,végétal,pétarade,colloïde,préservent,écologiquement,extrémisme,patrie}

@data
1,confirm:given:unep:carri:mission:collect:exampl:water:veget:sampl:autumn:year,terre
2,proper:pre-treat:high:toxic:compon:contamin:groundwat:pollut:air,sol
3,rate:mean:million:foreign:live:perman:illeg,territoire
4,contamin:water:underground:harm:health:popul:capabl:dealt:ukrainian:budget:situat:reason:understand:aid:run,sol
5,need:food:eat:grown:trust:fertilis:known:safe,sol
6,conclus:vigil:regard:respect:free:movement:person:equal:econom:social:polit:right:algerian:nation:european,sol
7,kara:obiol:germà:way:ask:question:possibl:seek:global:scale:domest:capitalist:govern:europ:cultiv:year,sol
8,agreement:state:principl:base:sustain:develop:mapuch:territori:experienc:blind:exploit:natur:resourc:deforest:construct:dam:flood:ancestr:result:nation:hydrolog:plan,terre
9,presid:tabl:question:subject:protect:dri:wall:low:stone:wall:built:greek:island:stop:eros,sol
10,enter:countri:adopt:law,sol
11,reject:establish:communiti:standard:replac:nation:threshold:standard:introduc:static:element:incompat:divers:water:european:region,sol
12,cours:talk:qualit:norm:differ:natur:characterist:bodi:water:taken:consider,sol
13,child:liber:militari:invas:liber:european:allow:parent:child:child:liberti,sol
14,let:forget:import:factor:futur:impact:assess:weight:need:given:fact:exampl:oliv:grove:almond:tree:key:factor:prevent:desertif:preserv:scarc:rain,sol
15,final:report:fail:address:issu:radic:islam:take:root:consequ:entail:women:right:secur:democraci,sol
16,american:invas:turn:countri:train:camp:terrorist:corner:world:wait:opportun:newly-acquir:skill:practic,sol
17,freedom:religion:licenc:undermin:european:societi:european,sol
18,summer:warmer:winter:raini:river:flow:dwindl:humid:diminish:record:flood:extrem:drought:hurrican,sol
19,fact:slowli:sure:turn:back:gulf:stream:natur:sourc:heat:day:ocean:current:alter:global:warm:rob:million:tonn:arabl:human:born:desertif:proceed:headlong:ever-fast:rate,arable
20,exist:wide:network:agricultur:smes:agricultur:polici:promot:sustain:product:method:notabl:regard:water:vital:precondit:fight:effect:drought:forest:fire,sol
21,believ:respect:competit:rule:duti:commiss:european:union:impos:common:minimum:rule:busi:oper:say:perfect:solut:specif:think:compani:tax:harmonis,territoire
22,furthermor:control:air:space:airport:facil:need:step:democrat:control:activ:secret:servic:strengthen:frattini:said:activ:foreign:secret:servic:european:need:close:monitor,sol
23,essenti:list:substanc:permit:organ:agricultur:plant:protect:substanc:fertilis:substanc:use:improv:enhanc:substanc:use:process,sol
24,unaccept:movement:allow:wage:act:aggress:lebanes,territoire
