id,phrase,classes
1,interreg:serv:princip:fund:communiti:scheme:develop:smes:train:cultur:exchang:combat:health:problem:protect:improv:environ:energi:transport:telecommun:network,formation
2,need:programm:match:best:practic:europ,éducation
3,instil:passion:peac:citizen,éducation
4,basqu:countri:despit:problem:face:choos:languag:children:spanish:suprem:court:declar:illeg:local:author:join:promot:develop:languag:clear:exampl:legal:interpret:forc:result:polit:intent:right:respect:european:union,enseignement
5,nation:non-eu:state:live:union:treat:equal:foot:citizen:member:state:regard:access:health:social:protect,enseignement
6,propos:report:accord:resourc:learn:avail:import,éducation
7,cost:internet:access:sidelin:entir:sector:societi:young:unemploy:housew:elder:shortcom:vocat:train:obstacl:inform:societi:meant:benefit,éducatifs
8,word:haarder:direct:propos:replac:item:world:forum:item:iraq:tabl:case:propos:adopt,éducation
9,make:sens:unifi:polici:european:level:countless:problem:arrang:recognis:diploma,éducative
10,import:issu:aid:environ:address:theme:develop:understand:essenti:element:challeng:sustain:develop:africa:erad:poverti,enseignement
11,urg:commiss:council:link:poverti:erad:basic,éducation
12,presid:conclus:bold:aim:improv:employ:inform:societi:drag:chain:serv:rational:tool:support:part-tim:work:tele-employ:piecework:employ,éducation
13,unsubdu:uncompromis:unyield:fight:demand:steadi:employ:social:polici:includ:insur:health:pension:protect:unemploy:real:equal:opportun:substant:profession:train,éducation
14,proceed:sector:creat:huge:impetus:boost:portugues:programm:accord:exampl:proceed:licenc:sold:auction:avail:research:develop:train:infrastructur,formation
15,main:problem:provid:countri:catastroph:effect:aid:have:live:just:children:orphan:lost:parent,éducation
16,presid:incred:sad:fact:humili:year:children:receiv:basic:school:adult:billion:read:write:prevent:particip:polit:democrat:life:societi,formation
17,rapid:improv:live:standard:particular:health:employ:stabil:remain,éducation
18,countri:concern:war:particip:war:agre:proport:budget:realli:spent:social:scheme:poorest:citizen:invest:health:care:social:secur,enseignement
19,doe:cours:mean:underestim:progress:achiev:european:union:contribut:dynam:presenc:women:profession:scientif:circl:perform:women:level:success:equal:opportun:polici:principl:meritocraci:appli,enseignement
20,doe:commiss:consid:connect:object:activ:suffici:incorpor:new:cultur:programm,éducation
21,commiss:propos:sensibl:insofar:centr:attent:field:health,éducation
22,belong:committe:cultur:youth:media:sport:ask:speak:issu:involv:legal:question:subject:consensus:respect,culture
23,think:import:rapporteur:quit:right:drawn:attent:school:teacher:place:prepar:euro,enseignement
24,case:money:cultur,éducation
25,amend:result:clever:work:mrs:hyeronymi:chairman:compliment:reiter:won:unanim:support:committe:cultur:youth:media:sport:committe:express:opinion,culture
26,want:thank:member:parliament:work:intens:draft:member:committe:cultur:youth:media:sport:cours:committe:report:refer:opinion:want:mention:draftsmen:mrs:echer:fiori:rocard:wynn,culture
27,import:sure:get:attent:deserv,éducation
28,school:prepar:young:singl:market:europ:sure:school:europ:work:prepar:singl:market:young:work,école
29,forget:all-round:develop:human:essenti:goal,éducation
30,cours:wonder:exampl:europ:doe:hold:forth:intern:take:step:extern:european:member:state:favour:eighteen:year:swift:conclus:signatur:effect:coordin:differ:countri:matter:re-integr:child:soldier:concern,éducation
31,polici:factor:progress:base:polici:state:aim:earmark:greater:resourc:public:access,enseignement
32,stress:modernis:organis:work:lifelong:learn:rais:employ:rate:especi:women,éducation
33,presid:chairman:committe:cultur:youth:media:sport:person:acknowledg:extrem:valuabl:work:carri:veltroni,éducation
34,contrari:programm:instead:use:student:parent:high:level:correspond:level:incom,formation
35,ask:minist:countri:necessari:step:grant:supplement:advantag:erasmus:student:order:offer:fortun:benevol:father:generous:grandmoth:chanc:travel,Éducation
36,veltroni:report:behalf:committe:cultur:youth:media:sport:certain:improv:commiss:communic:principl:guidelin:communiti:audiovisu:polici:digit:age,culture
37,short:sport:essenti:factor:promot:integr:social:class,éducation
38,need:establish:vast:programm:reinstat:true:valu:sport:school:life:exampl:youngest:generat,éducation
39,think:agre:role:import:sport:competit:amateur:level:excel:tool:social:integr:player:spectat,éducation
40,item:report:gutiérrez-cortin:behalf:committe:cultur:youth:media:sport:commiss:report:council:european:parliament:econom:social:committe:committe:region:implement:result:overal:assess:european:year:lifelong:learn:submit:pursuant:articl:european:parliament:council:decis:com,éducation
41,given:ident:curriculum:vita:ident:ident:career:young:french:sound:time:chanc:recruit:young:north:african:sound:twice:young:portugues:spanish:sound,formation
42,saturday:pari:council:minist:exclus:issu:mobil,éducation
43,novemb:minist:decis:recommend:step:right:direct:plan:implement:order:facilit:mobil:turn:realiti,éducation
44,know:employ:provid:right:fundament:factor:guarante:equal:men:women:guarante:women:kind:independ:men:crucial:studi:caus:situat:adopt:necessari:measur:overcom:specif:polici:employ:train:infrastructur:support:famili:children:give:prioriti:issu:practic:level:just:make:declar:intent,éducation
45,commission:ladi:gentlemen:think:resolut:import:refer:posit:decis:macedonian:govern:unfortun:polit:forc:macedonia:law:higher:allow:young:minor:albanian:minor:studi:mother:tongu,enseignement
46,commiss:repeat:urg:macedonian:govern:resolv:outstand:problem:higher:albanian:languag,formation
47,import:committe:budget:took:posit:attitud:request:committe:cultur:youth:media:sport:commiss:account:financ:organis:hitherto:establish:fairer:open:rule,culture
48,countri:spend:debt:repay:health:combin:suffer:divers:resourc:certain:benefit:origin:loan:given,éducation
49,continu:invest:young:old:alik,éducation
50,stress:import:focus:brought:fore:inform:inform:campaign:emphasis:entrepreneurship:entrepreneuri:climat:key:signific:reason:attent:paid:train:young:provid:perman:train:staff:smes,formation
51,think:public:servic:especi:area:water:health:public:transport:hous,éducation
52,tell:support:addit:object:object:list:card:programm:support:train:south-east:europ,éducation
53,commiss:recognis:prioriti:regard:emerg:close:relat:issu:health:especi:rural:area:fundament:carri:open:democrat:manner,éducation
54,citizen:involv:content:relat:art:sport:tourism:just:import,éducatifs
55,import:area:cours:train,formation
56,agre:right:matter:individu:member:state:region,enseignement
57,opinion:school:develop:way:children:start:compulsori:achiev:success,scolaire
58,desir:monitor:open:door:european:communiti:job:market:european:communiti:monitor:increas:common:area:concern,qualitative
59,school:associ:organis:learn:exchang:inform:experi:exemplari:solut:provid:good,éducation
60,second:sound:knowledg:base:impart:import:materi:leav:unimport:form:basi:twenty-first:centuri,éducation
61,intern:studi:thrown:difficulti:come:make:straight:comparison:differ:curriculum:approach:under:assumpt:constitut:good,enseignement
62,addit:self-evalu:shift:govern:respons:teacher:pupil:parent,éducation
63,presid:welcom:document:fulli:support:european:parliament:council:decis:promot:cooper:evalu:school,éducation
64,ladi:gentlemen:minist:make:propos:analysi:enabl:opportun:young:receiv:high:like:societi:job,enseignement
65,final:matter:situat:children,éducation
66,addit:rapporteur:doe:justic:principl:subsidiar:ask:communiti:field:technolog:resourc:commiss,enseignement
67,hand:believ:awar:face:nation:conflict:hand:histori:impregn:system:countri:promot:hate:younger:generat:mean:clear:expect:magic:solut:confront:problem:persever,éducatifs
68,export:valu:democraci:respect:human:right:toler,éducation
69,e-learn:initi:launch:year:relat:infrastructur:futur:field:depend:sound:educ:infrastructur,éducatif
70,utmost:import:socialist:commiss:actual:step:work:programm:year:order:instruct:deleg:region:counterpart:joint:busi:servic:want:commiss:addit:staff:avail:acquir:expertis:health:care:actual:rapid:progress:respect,enseignement
71,question:liberalis:favour:busi:climat:better,formation
72,first:paragraph:question:servic:call:gatt:agreement:restrict:scope:member:state:approv:rule:recognis:specif:natur:provis:public:servic:particular:area:health:cultur,éducation
73,presid:ladi:gentlemen:thank:chairman:committe:cultur:youth:media:sport:gargani:clear:illustr:question:subject:commiss:attach:utmost:import,culture
74,member:state:need:reform:train:plan:gear:challeng:new:technolog:increas:need:mobil,éducation
75,shock:complet:neglect:nation:health:care:niyazov:regim,enseignement
76,report:stress:need:sens:respons:regard:equal:treatment:labour:market:vocat:train,éducation
