id,phrase,classes
1,appropri:madam:presid:write:sri:lankan:presid:express:parliament:regret:violent:death:sri:lanka:urg:possibl:seek:peac:reconcili:difficult:situat,lettre
2,current:notif:instrument:ladi:gentlemen:longer:allow:reach:object:doe:guarante:commiss:proper:inform:restrict:remind:year:case:commiss:decid:prohibit:follow:notif:absenc:complaint:doe:guarante:transpar:provid:real:legal:certainti:busi:major:case:receiv:simpl:comfort,lettre
3,spain:say:king,lettre
4,simpli:wish:remind:european:parliament:sent:king:report,lettre
5,thank:seixa:costa:write:king,lettre
6,listen:resound:voic:solzhenitsyn:american:say:main:weak:western:societi:excess:pander:legal:individu:individu:far:allow:flourish:pave:way:futur:dictatorship:fact:worst:kind:dictatorship:enslav:awar:terribl:servitud,lettre
7,agreement:reach:exchang:lord:plumb:delor,lettre
8,take:crimin:law:crimin:law:interpret,stricte
9,discreet:entri:packag:indic:new:composit,caractère
10,express:doubt:supplementari:question:president-in-offic:undertook:write:question:februari:give:detail:inform:readili:avail:public,lettre
11,utmost:attent,lettre
12,particular:underlin:point:motion:parliament:fulli:endors:commiss:statement:spirit:addit:law:repres:key:consider:vital:ensur:programm:maximum:impact:ground,lettre
13,madam:presid:asid:report:want:draw:attent:number:contain,lettre
14,think:right:statement:want:append:tunisian:author,lettre
15,commiss:confirm:investig:aid:nuclear:industri:request:green:efa:commission:monti:march,lettre
16,new:vote:took:repeat:view:express:just:read:reflect:mrs:palacio:person:posit:posit:legal:affair:committe,lettre
17,issu:receiv:year,courrier
18,sure:say:regul:impractic:cumbersom:cost:far:complex,lettre
19,subject:gavin:howard:programm:développ:région:nord:pdrn:eec:viii:date:februari:commission:nielson:ask:commiss:resolv:compens:problem:nation:gavin:howard:previous:work:technic:advis:eu-sponsor:project:central:african:republ,lettre
20,actual:seen:pelinka:resign,lettre
21,juli:appear:hous:put:member:health:carpet,lettre
22,want:specifi:council:cours:prepar:re-examin:agricultur:expenditur:autumn:light:content:amend:commiss:present:reconsid:develop:market:rural:develop:expenditur,lettre
23,subject:council:repli:turkish:foreign:minist:cem:supplementari:question:question:septemb:question:opportun:ask:president-in-offic:council:council:respons:sent:turkish:foreign:minist:cem:foreign:minist:european:union:sought:promot:interpret:helsinki:summit:conclus,lettre
24,committe:pleas:conclus:bourlang:report:externalis:taken:amend,lettre
25,accept:substanc:amend:budgetari:consult:procedur:thursday:council:prove:arm:budgetari:author:did:fact:wish:support:reform:commiss,lettre
26,price:post:sweden:higher:unit:kingdom,lettre
27,far:aspect:case:pertain:provis:public:contract:concern:servic:commiss:posit:clear:plaintiff:sent:coupl:day,courrier
28,receiv,lettre
29,let:frank:affect:confirm:receiv:repres:green:european:free:allianc:know:spoke:convey:messag:avail:head:govern:minist:union,lettre
30,refer:organis:repres:motor:club:europ:includ:exampl:rac:broad:sympathet:support:work:know:unless:europ:take:lead:issu:unless:begin:pull:best:idea:european:union:citi:town:rural:area:continu:suffer:unaccept:level:congest:pollut,lettre
31,feel:human:right:prioriti:opportun:ask:presid:parliament:send:colombian:author:call:respect:human:right:urg:govern:endeavour:ensur:say:negoti:liber:armi:forc:agreement:reach:fail:includ:immedi:liber:european:colombian:citizen:european:non-european:depriv,lettre
32,undertak:confirm:yesterday:commiss:member:parliamentari:deleg:import:polit:term:doe:entir:delay:prepar:clear:well-defin:propos,lettre
33,clear:januari:mrs:gradin:whilst:liberti:speech:precious:upheld:express:opinion:instanc:consid:defam:legal:consequ:democrat:societi:specif:implic:commiss:employ:european:institut,lettre
34,question:follow:legal:basi,lettre
35,matter:ask:given:detail:explan:sent:commission:byrn:commission:wallström:member:committe:environ:public:health:consum:polici:state:desir:provid:citizen:better:inform:gmos,lettre
36,presid:connect:parliament:debat:propos:direct:approxim:law:relat:food:supplement:receiv:hundr:approach:approxim:signatur:way:protest:long:list:detail:e-mail:ordinari:concern:dane:profession:nervous:access:food:supplement:limit,lettre
37,regard:articl:set:maximum:quantiti:vitamin:miner:food:supplement:accord:paragraph:think:necessari:section:approach:europ:strict:maintain:control:maximum:level:vitamin:miner:base:maximum:safe:intak:level,minérales
38,turkey:member:fulfil:access:condit,remplies
39,ask:clarif:told:just:arriv:repli,lettre
40,prodi:just:learnt:launch:initi:chief:staff:provid:famous:just:mention,lettre
41,member:parliament:spain:join:european:union:januari:parliament:establish:preced:petit:suprem:court:deliv:compet:committe:repli:head:presid:privat:offic:spanish:ambassador:address:head:presid:privat:offic:second:presid,lettre
42,framework:lisbon:object:singl:integr:capit:market:want:need:remain:dead,lettre
43,sent:swedish:presid:request:permiss:attend:ecofin:meet:discharg:adopt,lettre
44,immedi:assur:shall:announc:parliament:mrs:vayssad:specifi:shall:refer:matter:committe:legal:affair,lettre
45,amend:possibl:consid:present:document,lettre
46,challeng:way:carri:role:presid:inform:colleagu:send:open:matter:shall:ensur:wide:public:french:press,lettre
