id,phrase,classes
1,judgement:report:send:check:thing,mission
2,impress:european:parliament:final:push:convinc:cuban:friend:come:forward:mechan:cooper:european:union,mission
3,cooper:member:state:cover:inform:share:citizen:threaten:death:penalti,mission
4,consult:took:commiss:member:state:conclud:situat:doe:justifi:organis:deploy:observ,mission
5,context:activ:jrcs:intend:conform:increas:protect:nuclear:safeti:provid:scientif:technic:assist:compet:directorates-gener,mission
6,vote:ferber:report:budget:let:opportun:pass:protest:strongest:term:describ:blackmail:practis:categori:offici:junior:voluntarili:compel:transfer:luxembourg:brussel:pretext:brussel:strasbourg:busi:work:day:year,mission
7,defici:irregular:note:differ:independ:organis:peruvian:intern:right:withdraw:toledo:candid:presid:republ:deleg:european:parliament:decid:carri:circumst,mission
8,expect:express:find:clearest:term:come:unequivoc:result,mission
9,wish:point:pay:tribut:schori:led:remark:work:accomplish:team,mission
10,let:end:say:high-profil:receiv:general:point:envi:member:state:includ:patten,mission
11,benefit:regard:undeni,mission
12,end:propos:mechan:thing:envisag:possibl:join:member:state:agre:current:commiss:deleg:appropri,mission
13,transpar:impli:member:state:defin:clear:public:servic:financi:transpar:guarante:public:servic:oper:carri:pure:commerci:activ:separ:account:kept,mission
14,brief:european:union:head:departur:montenegro:meet:yesterday:even:presid:djukanov:prime:minist:vujanov,mission
15,equal:intent:doe:wish:requir:pay:financi:contribut:divid:state:particip:war,mission
16,access:civil:victim:team:ground:work:complet:safeti:resourc:need:carri,mission
17,recal:european:parliament:argentina:presid:alfonsín:said:democraci:rememb:democraci:post:mortem:longer:democraci,mission
18,world:germani:carri:programm,mission
19,confirm:given:unep:carri:collect:exampl:soil:water:veget:sampl:autumn:year,mission
20,ought:read:report:human:right:decemb:new:year:eve,mission
21,presid:commission:honour:ask:commission:patten:lead:elector:observ:sri:lanka,mission
22,time:independ:seen,mission
23,determin:natur:observ,mission
24,core:experienc:appropri:technic:expertis,mission
25,involv:member:hous:elector:observ:plain:make:consider:sens,mission
26,commiss:want:cooper:fulli:parliament:respect:integr:parliamentari:deleg:wish:european:union:elect:observ,mission
27,report:recognis:aim:parliamentari:realli:ensur:best:possibl:visibl:aeu,mission
28,final:parliamentari:plough:way:world:illumin:light:europ:exampl:stop:franc:investig:rumour:hidden:fund:parti,mission
