id,phrase,classes
1,doubtless:lot:protest:voter:want:chang:austrian:polici:long,protestataire
2,cours:difficult:determin:long:serbian:popul:need:continu:fight:milosev:actual:disappear,disparaisse
3,final:type:polici:relat:intervent:european:union:collabor:member:state:polit:network:women:indic:european:level:refer:finnish:presid:indic:applic:creat:nation:undertak:nation:target:benchmark:train:final:support:women:nation:state:european:polit:import:intern:role:creat:standard:power:standard,scène
4,presid:member:elect:hous:elect:europ:speak:europ:determin:role:europ:play:intern,scène
5,parliament:support:effort:swedish:ngos:promot:peac:parti:involv:start:costa:rica,coulisse
6,mrs:jackson:awar:satisfi:entir:hand:doe:mean:just:sing:lament:sidelin,coulisse
7,privat:italian:network:sett:broadcast:dress:black:block:calm:chat:anti-riot:polic:away,habillées
8,case:member:posit:member:hous:legisl:european:prejud:conduct:member:way:bring:hous:sole:appropri:author:member:sought:immun:waiv:clear:unsatisfactori:affair,scène
9,equatori:guinea:present:unaccept:violat:basic:human:right,théâtre
10,configur:develop:european:satellit:communic:step:forward:new:technolog:signific:chang:current:break:monopoli:consid:irrevers,paysage
11,look:contin:promis:instabl:venezuela:extrem:delic:situat:colombia:spectacular:fall:public:support:presid:toledo:peru:visit:hous:decemb:general:uneas:region,tableau
12,act:intern:encourag:countri:outsid:sign,scène
13,need:influenc:econom:attract:recycl:set:materi:re-ent:economi,réinsertion
14,fact:forens:clean-up:murder:intimid:wit:offer:ira:murder:murder:refus:cooper:polic:servic:northern:ireland:polit:motiv:separ:murder,scène
15,current:way:like:develop:dictat:prudent:approach:aim:protect:european:industri:face:unbalanc:destruct:competit,contexte
16,deport:preacher:hatr:terrorist:admit:frighten:presenc:contemporari:face:tortur:death:penalti:countri:origin,contemporain
17,know:commission:activ:come:reason:pragmat:solut,coulisse
18,liber:process:insid:singl:market:encompass:effort:elimin:monopoli:demarc:diseconomi:damag:european:competit:hold:capac:compet:world:reneg:civil:principl:univers:access:categori:essenti:servic,scène
19,unfortun:appar:report:doe:far:deal:problem:european:parliament:present:concern:influenc:lobbi:organis:polit:decis,lobbies
20,brief:european:union:player:massiv:russian:social:limit:influenc,joueur
21,presid:occas:examin:second:read:televis:frontier:direct:good:reason:concern:fate:european:audiovisu:chang:commiss:propos,paysage
22,consist:mean:human:right:element:intern,action
23,state:committe:inquiri:manag:bring:question:transit:recess:administr:polit:entir:agre:underlin:import:relat:reform:activ:expect,scène
