id,phrase,classes
1,reliev:pressur:brenner:motorway:great:caus:problem:socio-polit:natur:free:privat:vehicl:local:heavi:good:traffic,surchargée
2,opinion:attent:paid:ensur:livelihood:risk:cours:enorm:worker:busi:entrepreneur:want:ceas:trade,charge
3,aid:grant:scale:shortsight:reason:long:purs:european:taxpay:slow:reorganis:econom:structur:member:state,ralentissent
4,conflict:place:partnership:relat:north:africa:conflict:western:sahara,pèse
5,new:irish:presid:european:parliament:patrick:cox:recent:state:person:intend:conduct:yes:campaign:place:code:ethic:relat:posit:signific,charge
6,cover:aspect:involv:organis:aspect:repercuss:later:date:repetit:injuri:stress:numer:form:non-well-b,attribuables
7,point:prophylact:vaccin:virus:imposs:know:advanc:actual:fmd:virus:brought,souche
8,diseas:put:great:suffer:famili:financi,malade
9,impact:enlarg:creat:new:imbal:unexpect:chang:employ:pattern:social:cohes,peser
10,essenti:safeguard:collegi:natur:commiss:parliament:approv:commission:individu:basi,épreuve
11,key:clear:vaccin:new:vaccin:need:know,souche
12,late:document:case:human-to-human:transmiss,souche
13,dozen:virus:mutat:moment:pose:threat:europ:circul:year,souche
14,cyclic:condit:public:financ:european:union,conjoncturelles
15,think:exampl:vitro:fertil:place:enorm:physic:psycholog:women,fécondation
16,alleg:brain:salmon:similar:caus:tragedi:bse,souche
17,monitor:begin:day:look:extent:increas:econom:use:anim:agricultur:bacteri:resist:medicin:part:use:veterinari:medicin:famili:antibiot:approv:human:medicin,bactériennes
18,reason:principl:touch:speaker:excess:antibiot:result:develop:resist:bacteri,souche
19,cent:gdp:annum:countri,effort
20,presid:president-in-offic:commission:realli:wish:heart:given:polit:view:portugues:easier:presid:presid:caus:bilater:sanction:impos:feder:austrian:govern:countri,contrainte
21,specif:technic:regul:control:gillnet:hake:fish:specif:aim:limit:fish:type:equip:caus:limit:number:net:length:net:allow:left:water,effort
22,want:clear:expenditur:commiss:reform:put:financi:framework,pression
23,given:sensit:subject:adopt:report:provok:negat:respons:candid:countri:enlarg:unnecessari,compliquera
24,hope:agre:spend:propos:ten:defenc:compat:member:state:commit:stabil:pact:great,pression
25,clear:budget:avail:new:instrument:way:budget:exist:programm:remain:case:budget:initi:provid:commiss:eur:million:council:eur:million:far:niggard:scope:new:instrument:exchang:cooper:field:higher:educ,grever
26,hope:said:today:part:except:emot:hour:job:appoint,tension
27,know:long:hour:cultur:reason:bring:stress:potenti:breakdown,effort
28,obvious:mountain:area:valley:effect:kettl:environment:pollut:massiv:intensifi:citi:subject:vulner:possibl:increas:effect:traffic,chaudron
29,pledg:great:cultur:european:law:enforc:communiti:time:somewhat:cavali:data:protect,cavalières
30,cover:low:pathogen:version:pathogen:introduc:effect:erad:measur:includ:vaccin:take:account:scientif:evid:experi:europ:recent:year:mention:netherland:case:year:world:cours:need:avoid:large-scal:slaughter:destruct:anim,souche
31,communiti:channel:effort:research:make:fund:avail:develop:obtain:oral:vaccin:effect:relev:bird:speci:combat,souche
32,think:need:regul:submit:regul:ensur:intern:roam:fee:base:true:cost:fantasi:price:household:budget,grèvent
33,part:countri:south:suffer:great:shortag:food:oblig:help:popul,pression
34,echo:enorm:contract,pression
35,accept:cut:greater:implement:difficult:countri,mettraient
36,council:realli:want:achiev,user
37,concern:express:great:wealth:varieti:exist:countri:european:union:reduc:result:offici:communiti:polici:standard:seed:europ,commercialisation
38,second:subject:communiti:programm:major:point:asbesto:mental:mention,charge
39,believ:help:particular:dealt:sensit:polit:controversi:recent:month:confer:presid:hold:stress:point:emphasi:group:wish:bring:debat:coher:parliamentari:view,accent
40,subject:environment:threat:face:europ:recent:leak:cyanogen:river:danub:reveal:exist:hidden:environment:threat:imperil:europ:report:european:environ:agenc:predict:decad:centuri:product:paper:glass:plastic:wast:increas:emiss:cadmium:mercuri:rise:wast:manag:environ:heavi:metal:gase:toxic:substanc:combin,accusera
41,aggrav:long-term:pension:system,pression
42,diseas:endem:select:appropri:vaccin:pure:lotteri,souche
43,want:kind:situat:clear:take,face
44,presid:ladi:gentlemen:arbitrari:arrest:member:european:parliament:number:fellow:campaign:vientian:sever:relat:european:union:lao,vientiane
45,doe:sens:contrari:advoc:report:carrying-out:emerg:vaccin:epidem:cours:presuppos:possibl:ascertain:rapid:actual:diseas:involv,souche
46,revers:commit:sever,placeront
47,age:popul:creat:economi:provid:pension:social:safeti:net,vieillissement
48,hundr:billion:pay:goodwil:put:busi:hamper:recoveri,grèvent
49,previous:reason:kyoto:intern:crimin:court:question:iraq:relat:great:deal,irakien
50,quot:europ:suffer:month:orthomyxovirus:caus:repeat:current:caus:word:happen:right:president-in-offic:council:extrem:danger:centr:avian:influenza,orthomyxovirus
51,know:mean:term:place:infrastructur:term:servic:offer,pression
52,moment:talk:vaccin:readi:form:vaccin:diseas:mutat,souche
53,record:avian:flu:undergon:multipl:reassort:mutat:evolv:high:speed:point:januari:virus:emerg,souche
54,issu:greater:competit:greater:stress:individu:cours:known:detriment:health:major:popul,pression
55,anxious:begin:unfortun:stress:requir:presid,contrainte
56,hear:press:commiss:approv:controversi:genet:modifi:maiz:develop:ciba:geigi:appar:defus:potenti:transatlant:trade:war,geigy
57,sensit:psychologist:cope:stress:wonder:organ:financi:specialist:short:courag:manag:day:day:life:bundl:energi,organisatrices
58,firm:peripher:region:particular:tempt:abroad:thing:cheaper:increas:job:market:communiti,tendue
59,exampl:famous:intern:rice:bank:research:cross-breed:local:rice:led:develop:new:varieti:show:seven-fold:yield:improv,délaissées
60,discuss:parliament:manufactur:said:thing:possibl:factor:reason,surcoût
61,exampl:work:offic:contract:repetit:injuri:day:long,souris
62,carri:death:penalti:inevit:relat:european:union:turkey:huge,assombrirait
63,want:clear:stretch:imagin:let:stretch:treati:determin:activ:absolut:clear:role:play:commiss:parliament,imagination
64,fact:alcohol:polici:base:entir:high:price:consum:say:high:tax:alcohol,dorsal
65,mention:number:econom:criteria:high:rate:inflat:high:nation:debt:result:nation:budget:militari:expenditur:militari:conflict:pkk:high:real:rate:continu:predomin:public:sector:huge:region:differ:turkey:prosper:differenti:turkey:european:union:bring:control:differ:educ,pkk
66,addit:measur:propos:demand:institut:fund:requir:balanc:categori:concern,grevé
67,presid:president-in-offic:commission:ladi:gentlemen:recent:year:transatlant:trade:relat:come,revers
68,negat:scenario:european:union:relationship:russia:great:side:have:fail:import:test:abil:cooper:prevent:crise:accord:partnership:agreement,deviendraient
69,environ:disappear:public:eye:polit:eye:environ:increas,pression
70,wonder:let:union:great,demanderont
71,technic:term:human:resourc:countri:ill-equip:play:effect:role:negoti:greater:timet:recognis:tight,alourdir
72,given:incompet:way:textil:quota:dealt:far:good:reason:draw:clear:plan:transit:free:trade:textil:cloth:product:eas:employ:southern:europ:textil:cloth:industri,pression
73,question:romanian:bulgarian:economi:current:access:clear:fund:requir:year:potenti:run:eur:billion:arrang,pression
74,last:constitut:sourc:fiscal:social:fraud:place:member:state:account,pèse
75,eas:road:shift:transport:flow:railway,diminuer
76,appear:immun,souche
77,point:mistak:concern:antibiot:growth:stimul:food:problem:food:mean:antibiotic-resist:bacteria:problem:human:health,résistant
78,third:pre-access:packag:contain:attract:offer:state:wish:join:doe:excess:current:member:state,pré-adhésion
79,crucial:commiss:earmark:suffici:fund:support:develop:effect:vaccin:european:isa,souche
80,new:member:parliament:feel:lengthi:discuss:topic:shake:impress:chocol:generat:pleasur:experi:parliament,ôter
81,hope:convey:french:presid:tell:have:meet:strasbourg:intoler:constant,pèse
82,longer:wait:tackl:root:problem:effect:greater:resili:peopl:plant:anim,épreuve
83,vaccin:anim:european:union:suscept:foot-and-mouth:diseas:result:vaccin:administ:million:anim:month:seven:differ,souche
84,indonesia:wish:retain:respect:import:posit:present:govern:realli:halt:violenc:european:union:clear:indonesia:polit:murder:violenc:accept:relationship:european:union:indonesia:view,orage
85,draft:procur:direct:possibl:local:author:counti:council:author:procur:good:servic:way:minim:environ,nocifs
86,presid:destin:live:constant:threat:outbreak:foot:mouth:diseas:new:constant:come:fore,souche
87,given:grow:america:countri:recent:time:look:prioriti:forward:high:prioriti,tension
88,european:commiss:ban:chicken:import:countri:affect:new:bird:flu:immedi:effect,souche
89,know:vigil:prevent:utmost:import:case:low:pathogen:virus:mutat:high:pathogen:circul:short:period:poultri:popul,souche
90,second:greater:communiti:support:need:develop:research:oral:vaccin:combat:promot:thereof:need:aris:total:cost:vaccin:born:communiti,souche
91,context:die:european:union:effect:drug-resist:affect:avian:flu,souche
92,duti:head:austrian:govern:care:austrian:industri:excess:balanc:open:protect:number:speaker:refer:maintain:case,excessive
93,point:overshadow:bind:profound:resist:share:communiti:valu:work:world:issu:import,pression
94,clear:reli:egg-bas:vaccin:know:flu:month:come:stream,souche
95,reduc:specif:item:measur:combat:racism:xenophobia:anti-semit:allow:use:effect,allégé
96,period:result:great:budget:union,pèse
97,replenish:programm:budget:certain:merit:support:principl:extra:fund:mean:intern:realloc:avoid:addit:communiti:purs:prevent:increas:nation:membership:contribut,majoration
98,women:world:particular:poorest:countri:bear:burden:life:endur:stress:circumst,supportent
99,affect:limit:number:concern:new:flu,souche
100,presid:want:toler,épreuve
101,humanitarian:crisi:huge:albania:countri:struggl:cope:grave:econom:social:problem:think:awar,épreuve
102,ensur:substanti:progress:bueno:air:difficult:area,maillot
103,sever:blow:sector:account:fragil:market:situat:salmon,tension
104,bse:crisi:case:swine:fever:resist:salmonella:indic:alarm:basi:union:agricultur:polici:break,souche
