@relation coach-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {allenatore,pullman,viaggio,granturismo,carrozza,autobus,scuolabus,viaggiatore,beneficieranno,ribassato,corriere,vagone,divampato,categoria,viaggiato,corriera,autocorriere,longitudinale,munite,pulmino,viaggiano,salottino,finiranno,turismo,interessa,gita,buttare,coinvolgono,tappeto,noleggiato,mica,lateralmente,molsheim,concettuale,lascerebbero,montati,assiste,turistici,avvicinare,fisica}

@data
1,mention:said:bbc:footbal:refere:england:team,allenatore
2,opinion:constitut:infring:freedom:manufactur:decid:consult:custom:axl:requir:meet:safeti:standard:demand:term:weight:mean:buse:carri:load:think:vip:exampl,pullman
3,presid:vote:report:just:hatzidaki:remark:abil:committe:chairman:expert:european:union:transport:regul:repres:pension:parti:itali:pleas:note:allow:-metre-long:buse:hold:instead:passeng:travel:european:road:cost:travel:reduc:elder:travel:just:come:strasbourg:travel,viaggio
4,institut:parti:involv:bus:manufactur:public:transport:oper:user:group:includ:repres:passeng:reduc:mobil:arriv:consensus,granturismo
5,imagin:era:tow:barg:carrier:pigeon:caus:quit:bit:delay,carrozza
6,access:provis:buse:regard:board:person:reduc:mobil:ensur:larger:proport:citizen:public:transport,autobus
7,live:needless:lost:rule:appli:passeng,autobus
8,buse:green:fond:environment:friend:way:travel:safer:date,pullman
9,furthermor:data:m-categori:belong:class:iii:suggest:specif:risk:justifi:total:ban,pullman
10,road:mortal:rate:remain:high:safeti:measur:vehicl:step:light:vehicl:categori:minibus:categori:light:heavi:truck:categori,pullman
11,view:recent:tragic:event:meath:ireland:young:lost:live:school:bus:crash:urgent:need:measur:quick:progress:fit:safeti:belt:child:restraint:includ:school:buse:direct:approv:implement:quick:possibl,scuolabus
12,parliament:deal:buse:direct:lift:direct:issu:concern:inform:societi:fight:fight:commiss:consid:disabl:consult:disabl:outset:legisl,autobus
13,state:read:welcom:commiss:propos:believ:bring:liber:sector:simplifi:rule:appli:intern:passeng:bus:servic,viaggiatore
