@relation education-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {istruzione,formazione,educazione,insegnamento,sostenete,hyeronymi,cultura,studiare,educativo,studio,educativi,frequentarla,scuola,gioventù,religiosi,concepiti,istruite,scolastici,apprendimento,prescolastica,scolastico,didattica,specializzazione,insegnare,educatione,aggiornamento,formato,didattico,istruzione-gioventù,best,teoria,università,valutazione,socrates,educare,provenga,scolarizzazione,scolastica,universitario,universitarie,appresteremo,superiore,scolarità,studente,corso,universitaria,ricevuti,educativa,destinatario,intimorito,femmina,posticipato,conoscenza,informazione,formativo,risiederà,professionale,scolastiche,pedagogiche,didattiche,ripristinato,pedagogia,ponga,istruirsi,socratici,qualificazione,votante,culturale,educa,educative,diviene,limitate,grundvik,confezionare,sensibilizzazione,educatore,informative,sopracitati,diploma,esenzione,farmacista,politecnico,audience,erogati,nudo,seminario,istruiti,focali,formazione-gioventùistruzione,accento,turismo,ovvio,opponesse,pedagogica,frequentare,formativi,formative,didattici,gratuite,entusiasta,pianificata,mentalità,virak,esame,scolarizzato,aggiornarsi,opportunità,coordinerà,cofinanziati,leonardo,schierate,poliedrico,filosofico,ammiraglia,radicata,riduttivi,propugnato,assegnata,distrutto,immatricolarsi,erasmus,etnologici,conducano,equiparati,istruttivo,formativo-didattiche,promuovono}

@data
1,express:especi:thank:committe:cultur:youth:media:sport:particular:rapporteur:graça:moura:chairman:gargani:european:parliament:deleg:leader:polit:group:concili:committe:chairman:imbeni,istruzione
2,exampl:field:deserv:need:special:support:acp:state:futur,istruzione
3,import:countri:better:invest:accord:vocat:train:invest:human:capit,formazione
4,possibl:invest:greater:extent:guterr:yesterday:call:human:capit:basic:plus:import:lifelong:train,istruzione
5,need:programm:match:best:practic:europ,istruzione
6,instil:passion:peac:citizen,educazione
7,exampl:state:respect:basic:right:languag,istruzione
8,propos:report:accord:resourc:learn:avail:import,istruzione
9,cost:internet:access:sidelin:entir:sector:societi:young:unemploy:housew:elder:shortcom:vocat:train:obstacl:inform:societi:meant:benefit,istruzione
10,reason:tradit:famili:entitl:protect:provid:servic:price:renew:generat:perpetu:societi:children:transmiss:valu,istruzione
11,word:haarder:direct:propos:replac:item:world:forum:item:iraq:tabl:case:propos:adopt,istruzione
12,make:sens:unifi:polici:european:level:countless:problem:arrang:recognis:diploma,formazione
13,need:basic:singl:import:global:poverti,istruzione
14,polit:univers:primari:year,istruzione
15,expect:happi:inform:parliament:portfolio:primari:activ:involv:africa,istruzione
16,presid:conclus:bold:aim:improv:employ:inform:societi:drag:chain:serv:rational:tool:support:part-tim:work:tele-employ:piecework:employ,istruzione
17,fact:earli:morn:tribut:rapporteur:work:programm:commission:portugues:presid:shown:commit:youth:voluntari:servic:broadest:sens,istruzione
18,world:forum,istruzione
19,presid:year:involv:campaign:promot:world,istruzione
20,line:intern:commit:communiti:invest:primarili:target:basic:primari:especi:context:cooper:acp:countri,insegnamento
21,agre:effect:approach:requir:close:coordin:communiti:member:state:backer,istruzione
22,clear:accid:workplac:talk:problem:mutual:respons:businessmen:public:administr:cours:trade:union,istruzione
23,commission:first:activ:polici:econom:sector:intend:bring:play:order:achiev:better:area:sens:respons:develop,educazione
24,consequ:fund:immigr:programm:activ:polici:decis:logic:depend:social:polici:spanish:govern:accept:decid,istruzione
25,second:propos:direct:prohibit:discrimin:ground:racial:ethnic:origin:area:employ:access:good:servic:area:social:protect,istruzione
26,say:help,sostenete
27,issu:creat:problem:women:right:sex:free:abort:safe:sex:order:protect:hiv:aid,educazione
