@relation execution-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {esecuzione,jospin,vigilare,rispedisce,lapidazione,omicidio,realizzazione,eseguono,attuazione,utilizzo,applicazione,sentimentale,risultato,rimandata,definitivo,perirono,presi,concretizzare,giustiziato,incontestata,pena,esternalizzati,inappropriata,esecutivo,confluiscano,sentenza,ignorò,alleviarlo,wots,patibolo,bennasar,esercizio,morte,impiegarli,tabella,avvengano,indulto,metterlo,proroga,stesso,pene,aboujamal,succeduta,implementarlo,irrogate,svolgimento,criticherà,santuario,inazioni,condanna,magistrato,ordinare,scongiurarne,strož,interamwé,esigete,perpetra,chiesta,evidenziarlo,parrebbe,ottemperanza,eseguire,comminata,dirimere,adempimento,esecutive,lume,eseguiti,indigniamo,sgorgarono,attuarsi,rushdie}

@data
1,wit:met:told:murder:civilian:summari:trial:rape:tortur:kidnap,esecuzione
2,need:simpler:administr:strateg:approach:rapid:programm:actual:benefit:medium-s:enterpris:consult:firm:financi:broker,esecuzione
3,order:guarante:futur:programm:determin:guidelin:scope:shall:soon:begin:draft:new:decis:programm:onward:wijkman:opinion:given:report:discuss:obvious:taken:consider,esecuzione
4,framework:regul:execut:agenc:defin:new:communiti:institut:oper:servic:commiss:task:manag:implement:communiti:programm:independ:commiss:behalf:includ:associ:budget:resourc,esecuzione
5,given:preparatori:accord:rule:budget:commiss:realli:doe:requir:legal:basi:preliminari:expens:awar:develop:sis:call:experi:member:state:relat:current:sis:oper,esecuzione
6,french:repres:jacqu:chirac:lionel:jospin:call:stay:presidenti:elect:troubl,jospin
7,equal:european:union:leader:right:israel:withdraw:militari:forc:stop:extra-judici:lift:closur:restrict:palestinian:free:settlement:end:oper:direct:palestinian:infrastructur,esecuzione
8,commiss:oppos:impos:separ:design:work,esecuzione
9,understand:basi:propos:set:minimum:threshold:eur:principl:implement:case:unless:minimum:charg:eur:cost:transfer:implement:justifi:judgment,esecuzione
10,current:mobilis:countri:appear:brought:forward:saturday,esecuzione
