@relation figure-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {cifra,massimale,personalità,registrano,importo,diligente,dato,rappresentati,numero,percentuale,influirà,stanziamento,megachilowattora,dotazione,inflessione,stabilirne,approssimativamente,sollevati,proporzione,enormità,quantità,patologia,sommesse,stanzierà,risultato,farina,calcolo,decurtazione,cresciuti,quantificabile,contingente,surrealistica,teoricamente,geometrica,giudicatrice,quota,audience,figura,soglia,arrivati,popolazione,immaginare,nominare,tasso,personaggio,disoccupato,statua,hood,figurare,vedono,cifre-obiettivo,ultraliberistico,statistica,controllati,superiore,oppositore,aggirarsi,raggiunto,dimostrano,compensatorio,occupi,conformandoli,riduzione,trascurandone,raggiungevano,documentavano,cogeneratori,funzionario,percento,austero,stabilirà,stima,disoccupazione,quantitativo,potente,tamil,rientra,cresciuta,decibel,propongono,infortunio,aspettavano,quantitativa,valore,federati,ciascuna,ambiamo,limite,figurano,uno,cento,incensatori,conclusivamente,comparo,compilata,confermano,propostoci,viaggia,gromyko,rappresentante,scowcroft,doppio,naturalizzazione,percossi,gravidanza,esiguo,cstep,dedicavo,indebitamento,recluso,somma,fissare,tossicologici,rapportando,sfiora,occupano,ammonteranno,soggetto,durata,pdi,reinserite,disonesta,asserito,controllata,acute,accertata,volume,quantificarne,attore,dimensione,milione,sistela,precisione,invitata,compensativi,schneider,potenziare,manto,dipendeva,rientrare,occupati,e-europa,esatto,quantificati,misurazione,militante,quantitative,avidità,miliardo,lento,inferiore,riportati,emettano,raggiungono,apparsi,avere,quadrare,mister,metterlo,alzare,distruggeranno,abituale,esponente,saudita,compare,scende,annunciati,ricuperare,compresa,giustiziate,rnl,bisessuali,esportavamo,accade,record,decrescenti,invasati,bilancio,quantificata,bevessero,endemico,disoccupata,percentualmente,mensili,evidenziasse,aggiornati,biossido,part-time,pressapoco,ignorare,assumersene,contabilità,diventeranno,gridano,jean,grosse,illustra,sottorappresentato,misurarli,settentrionale,senato,grandezza,allarmante,ferocemente,rifletta,voce,riaprirà,ammontare,raggiungeva,arsenale,detenuta,ferroviere,illustrazione,potuti,risponderei,riportata,ineguale,aspettativi,eseguiti,implorano,congolese,maronita,graduatoria,aumento,vergogno,nota,novembre,protagonista,maschile,vale,burlando,storno,metterceli,situa,differenza,estrapolati,vincola,strumentali,incarnano,tre,apposta,quantificheremo,programmati,figurante,monopartitico,obidkhon,quantificarlo,assestarsi,penoso,contenuta,peggiora,fissata,compenso,inattendibili,registra,annata,foca,lordo,astrusi,spinosi,intorno,sanata,disgrazia,elemento,ipc,parla,aggira,indice,bancaria,fittizia,sparizione,calcolata,progredite,dimezzamento,investimento,drammatici,arbitraria,valutazione,edizione,decisamente,parametro,acquacoltura,linea,rasul,saliti,etiope,darkazanli,riducendolo,precise,raggiungeranno,riqualificate,oscillano,dipenda,ammontino,grazia,resto,oscure,pil,finanziamento,supremo,portatore,dirigente,rivestirà,demain,numericamente,quattordici,prefiggo,raddoppiare,combutta,raggiungendo,penosi,azzardasse,turkmenbashi,esaurisse,misurando,rispetterà,affermato,modificherebbe,scendere,spiegarsi,inventarla,spd,aggiungano,smentiti,valutabile,inconsapevolmente,arriva,orientativamente,continuavano,exjugoslavia,abitante,gerarchia,neoplasia,arcipelago,rubrica,trascurando,valida,dettagliati,confronto,tiepidi,ipotizzata,esattezza,sceso,herman,pittella,applicarla,indicatore,festeggiare,elevata,decimo,vas,quantificato,barocca,scrivervi,riflettono,combinatorio,giustizialismo,status,spento,indicazione,quantificazione,uniformarli,flotta,raffronto,dispiegate,posizione,totalizzerà,individuare,rendersi,interdetto,distaccate,supera,sfondamento,allarmiste,politologo,indichino,espiatori,concorreranno,ppb,contenute,correzione,alinvest,compaiono,trasmessi,budiman,conti,capacitarmi,gordio,arbitrario,zero,presentazione,sommare,distacco,far,allegoria,valori-obiettivo,conteggio,imbarazzo,sposo,fonda,sommerso,rammenta,entrerò,sottopongo,possedeva,individuate,inventata,espressione,roba,sprovvista,ryad,eccedentaria,fatturato,vanificati,piramidale,matematico,portata,dovendo,arrotondamento,modesto,voterà,incalzante,pedina,mieteranno,obiettività,spesa,stradali,fattuale,assembramento,forestale,pubblicazione,resesi,avvicinarsi,impegnavano,iscriversi,esplosivo,emergano,emergente,dimezzate,favoriti,demografico,stretto,inferiori,qmg,sovraprenotazioni,khaldun,obiettive,inesatta,informative,sembrare,economico-finanziari,peseranno,differenziate,gioventÙ}

@data
1,exampl:year:total:valu:merger:european:area:eur:trillion:seven:time:level:merger:peak:european:merger:boom,cifra
2,set:usd:million:unit:state:talk:usd:billion:maximum:ceil:cover:claim:payment,massimale
3,contact:senior:polit:kosovo:albanian:stress:portugues:prime:minist:did:recent:persecut:serb:popul:romani:popul:ethnic:group:total:unaccept,personalità
4,discuss:general:begin:coupl:view:use,cifra
5,final:emphasis:concern:intern:respons,cifra
6,certain:number:countri:better:boast:sound:growth:sign:prosper:visibl:countri:situat:dramat:chang:wors,registrano
7,shall:set:actual:disburs:food:aid:ethiopia:eritrea,cifra
8,extern:aid:area:hand:financi:perspect:result:reduct:expenditur:year:comparison:year:think:agre:doe:realli:reflect:actual:situat:actual:requir,importo
9,let:forget:moment:focus:function,cifra
10,thank:correspond:depart:parliament:administr:prompt:conscienti:preliminari:work:set:drawn,diligente
11,overal:budget,cifra
12,think:clear:illustr:preliminari:draft:budget:keep:overal:polici:budgetari:rigour:rate:increas:payment:agricultur:expenditur,dato
13,presid:today:debat:report:goe:alleg:fraud:error:communiti:account:demand:member:parliament:respons,cifra
14,basic:complet:differ:type,cifra
15,want:word:sure:particip:hipc:global:accord:hipc,importo
16,manag:valu:poorest:countri:water:share:poor:middle-incom:countri,importo
17,presid:forthcom:summit:santa:maria:feira:preced:unpreced:number:pronounc:key:government,rappresentati
18,presid:share:rapporteur:concern:regard:fact:debat:report:type:late:hour:friday:especi:given:import:attach:applic:communiti:law:given:rapporteur:compound:concern:clear:reflect:member:state:failur:appli:communiti:law:report:actual:incorpor:propos:forc,cifra
19,figur:decept:addit:addit:comment,cifra
20,think:right:say:nation:decid:establish:intern:crimin:court:statut:court:approv:state:problem:move:ratifi:requir:order:thing:forward,numero
21,long:council:decid:incorpor:word:signific:sens:includ:percentag,percentuale
22,madam:presid:decis:danish:septemb:particip:european:currenc:regim:undoubt:biarritz:european:council:meet,influirà
23,spain:greec,cifra
24,propos:discuss:contain:target:million:euro:eib:loan:croatia:period,stanziamento
25,presid:submit:budget:come:year:commiss:chosen:new:method:present,cifra
26,solv:problem:affect:million:countri:victim:mutil:year:vital:children:describ:countri:salvador:broken:children:children:maim:miss:hand:arm:leg,cifra
27,multiannu:total:establish:period:hope:stage:match:ambit:european:union:mediterranean:polici,cifra
28,somewhat:mislead:concept:coverag:differ:signific:countri:countri,cifra
29,half:million:unemploy:accord:eurostat:latest:work:year,dato
30,offici:suggest:doubl:passeng:number:just:year:look:mean:term:order:meet:scale:demand:need:extra:new:heathrow:airport:extra:new:gatwick:airport,dato
31,just:thousand:applianc:reach:kilowatt:hour:million:megawatt:hour:point:talk:larger:volum:energi:consumpt,megachilowattora
32,propos:research:carri:year:privat:fund:use:supplement,dotazione
33,believ:hunt:new:indic:employ:simpli:delay:necessari:renew:liberalis:european:market,dato
34,vari:depend:methodolog,dato
35,eur:million:broken:follow:eur:million:use:cover:purchas:destruct:scheme:cattl:month:eur:million:buying-in:beef:public:stock:extra:eur:million:use:financ:addit:bse:test:conduct:cattl:month:intend:human:consumpt,importo
36,support:bösch:suggest:appoint:committe:chair:independ,personalità
37,consensus:propos:present:commiss:satisfi:concern:budgetari:author:first:doe:rais:overal:appropri:end:program:period:council:want:bound:budgetari:limit:member:state:second:transfer:commit:appropri:end:period:favour:complianc:berlin:agreement:parliament:demand,importo
38,appreci:allow:dwell:greec:espous:cultur:price:stabil:budgetari:stabil:jewel:crown:polici:europ,dato
39,play:delight:trust:shall:misunderstood:growth:discuss:revis:debat:stabil:growth:pact:converg:criteria:chamber:moment:show:public:includ:politician:chang:growth:mean:chang:stabil:converg:criteria,inflessione
40,wrong,dato
41,fact:suppli:recent:respect:european:commiss,cifra
42,oppos:put:percentag:possibl:moment,stabilirne
43,think:provid:amnesti:intern:accur,dato
44,up-dat:offic:coordin:humanitarian:affair:indic:affect:home:damag:destroy,cifra
45,consumpt:employ:foreign:invest:achiev:healthi,cifra
46,presid:member:quot:ampli:demonstr:mountain:minor:minor:hous,cifra
47,up-to-d:object:debat,cifra
48,interim:report:month:januari:contain:updat:analys:cohes:report:devot:situat:region:present:result:differ:studi:commiss:lesson:learn:great:debat:seminar:organis,dato
49,far:hand:weapon:concern:nato:emerg:harvest:oper:involv:men:recoup:weapon:gun:nato:soldier:nato:sourc:quot:ten:thousand:weapon,cifra
50,world:tourism:organis:anticip:doubl:number:tourist:arriv:approxim:million:year:year,approssimativamente
51,parliament:reinstat,importo
52,relat:slow:rate:payment:avail:indic:payment:increas:eur:billion:eur:billion,dato
53,today:europol:intergovernment:control:nation:parliament:foremost:govern:council:minist:justic:home:affair:repres:europol:manag:board:last:supervisori:lead:independ,personalità
54,acquaint:indic:precis:opposit,dato
55,question:rais:especi:role:european:parliament:field:justic:home:affair:protect:citizen:fundament:right:european:judici:area:larg:agenda:debat,sollevati
56,extrapol:stand:gain:order:eur:billion,proporzione
57,right:guarante:practic:measur:scourg:illiteraci:present:enlighten:remind,dato
58,commiss:clearer:sounder:area:detail:report:forthcom,cifra
59,cours:piret:talk:franc:bolkestein:european:union:huge:differ:lead:believ:misunderstand:kept:dark,enormità
60,huge:advantag:enabl:parti:involv:disput:negoti:basi:set:parti,importo
61,thing:column:need:discuss,numero
62,correspond:quantiti:produc:financi:year,quantità
63,hope:year:analys:aid:accord:oecd:develop:aid:committe:allow:measur:impact:communiti:fund:promot:social:develop:accur,dato
64,follow:debat:member:state:cargo:aircraft:indic:object:view:provid:actual:implement:equip:inadequ:slow:play:role:taken:serious:realli:deliv:thing:implement,cifra
65,essenti:report:lead:sensibl:prevent:curat:approach:asbesto:poison:potenti:result:lower:worker:affect,patologia
66,surpris:voic:prestigi:independ:intellectu:religi:polit:discreet,sommesse
67,debt:hipc:increas:usd:billion:usd:billion:present:world:poorest:countri:situat:bankruptci:hipc:citizen:surviv:dollar:day,cifra
68,real:necess:believ:preval:polit:type:economi:characteris:lobbi:certain:yield:desir:result:far:shown:econom:slowdown,dato
69,mention:follow:ali:programm:develop:inform:societi:four-year:programm:receiv:eur:million:commiss:provid:million:latin:american:countri:provid:rest:reach,stanzierà
70,presid:ever-increas:threat:terrorist:organis:greater:concentr:terror:murder:public:recent:hideous:murder:netherland:lead:politician:matter:vital:import:today:parliament,personalità
71,doubt:enlarg:automat:produc:qualit:quantit:increas:road:link:specif:apart:general:forecast:year,dato
72,want:know:satisfi:longer:satisfi,cifra
73,council:presid:spanish:chairmanship:unabl:agre:final:direct:agricultur:aid:impend:elect:ala:germani:month:spent:tri:catch:opinion:loser,risultato
74,reflect:natur:distribut:payment:constant:effort:need:commiss:reduc:burden:past,dato
75,accord:intern:associ:fish:meal:fish:oil:manufactur:fish:meal:fish:oil:use:aquacultur,farina
76,proport:higher:depend:calcul,calcolo
77,moment:possibl:grate:send,dato
78,presid:commission:speaker:state:latest:budget:monitor:implement:structur:fund:programm:payment:regard:programm:progress:far:slowli,cifra
79,pdb:actual:cut:budget:olaf:substanti:answer:money:cut,decurtazione
80,ask:member:proport:women:employ:organis:repli:data,cifra
81,wait:long:happen,dato
82,recal:tri:provid:commiss:project:month,dato
83,commiss:announc:slogan:zero:toler:fraud:irregular:prevent:officially-acknowledg:fraud:higher:eur:billion:averag:previous:year,cresciuti
84,includ:process:deadlin:regul:competit:meaningless,cifra
85,worth:repeat:case:cat:dog:fallen:near:just,cifra
86,call:fair:distribut:quota:base:popul:consum:demand:product:potenti,dato
87,presid:believ:summari:question:generos:vision:futur:import:ideal,numero
88,data:commiss:present:propos:regul:establish:emerg:measur:scrap:fish:vessel:just:rough,cifra
89,wish:particular:issu:simpl:reason:seen:countri:belgium:manag:year:flander:collect:kilo:increas:extrem:fast:rate,cifra
90,accord:cirefi:statist:return:member:state:ireland:netherland:did:provid:total:return,dato
91,member:said:speak:industri:employ:grow:industri:respond:rise:demand:industri:eas:difficulti:coastal:area:altern:industri:help:fight:battl:ahead:declin:wild:fish:stock,numero
92,past:austria:use:ecopoint:soon:abandon:laeken:european:council:remain:strang:undecid:end:year:solut:describ:committe:virtual:solut:mean:actual:fact:theoret,numero
93,call:imposit:perman:limit:growth:compar,dato
94,presid:follow:given:copenhagen:actual:lower:provid:subsequ,cifra
95,re-emphasis:fact:judici:issu:crucial:import:regard:signific:approv:access:treati:negoti:inter-institut:agreement,cifra
96,member:public:busi:benefit:treasur:trove:inform:commerci:valu:difficult,quantificabile
97,death:indirect:relat:drug:aid:traffic:accid:violenc:suicid:bring:approxim:year,cifra
98,children,dato
99,difficult:task:arriv:quota:sustain:scientif:credibl:remain,contingente
100,context:endless:call:social:dialogu:surreal:speech,surrealistica
101,summer:best-cas:scenario:theoret:earliest:achiev:eurozon:member,teoricamente
102,spread:habit:particular:young:mirror:increas:truli:appal:repres:geometr:increas:case:lung:cancer:call:greater:determin:europ:implement:measur:plan,geometrica
103,increas:usd:billion:year:combat:diseas:effect,importo
104,encourag:new:effort:member:state:appropri:eur:million:research:addit:million:stipul:fifth:framework:programm,cifra
105,drawn:air:give:impress:pesticid:inher:bad,cifra
106,select:procedur:carri:high-level:select:board:compris:lead:academ:world,giudicatrice
107,plain:sail:rapporteur:propos:reduc:commiss:brainstorm,quantità
108,new:order:repres:european:union:add:fall:price,dato
109,key:preliminari:draft:budget,cifra
110,europ:share:eur:billion:year:mention:earlier:avail,quota
111,success:film:festiv:sought-aft:jangl:money:box-offic:till:good:viewer:thing:direct:depend:perform:actor:popular:public,audience
112,probabl:want:exceed:believ:need:econom:develop:prerequisit:co-exist:develop:communiti:ultim:solut:problem:refuge,cifra
113,israel:agreement:today:end:track-and-kil:oper:senior:polit:islamist:group:welcom,figura
114,awar:believ:worth:repeat:demonstr:sector:import,dato
