@relation job-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {impoverite,posto,occupazione,lavoro,arricchiremo,dimostrato,tramandati,mansione,carica,mandato,compito,dirige,lavorato,funzione,missione,lavorative,impalcatura,occupazionali,persuaderà,retribuiti,riesce,riqualificazione,benissimo,mestiere,impiego,bene,fastidioso,lavorare,impedirvi,egregiamente,professione,attività,assunzione,applicarci,musotto,deriva,licenziamento,opinabile,operando,dovere,candidatura,pregheremo,cinquantamila,spetterà,migliorarne,ottimo,incarico,prerequisito,infarcito,opera,auguravo,gratificazione,occupazionale,consultati,equilibrare,perdita,incolpando,sposta,efficacemente,mantenerlo,completeremo,sapremmo,spetta,galoppante,psicotica,eccellente,puniremo,affronto,obiettiva,addetto,carrellata,sintetizza,pochissima,occupati,talaltri,licenzia,opportunitàà,soppiantando,orgogliosissimo,job,competenza,professionale,lavoratore,autonome,disoccupazione,difficile,rimasta,disoccupato,editore,agguerritissima,dimitris,inserzione,sbocco,nominare,orribile,lavorativa,disoccupata,mc-jobs,qualificata,adulto,minorenne,farlo,professionali,sottorappresentato,debilitanti,spettanza,altezza,dipeso,roseo,figueira,suvi-anne,assegnatigli,stafford,esaurita,faticose,precariato,decima,incentivo,collocamento,anatema,verificatisi,concreto,svergognando,casa,guerreggiamo,tipo,ingrossano,continuino,licenziano,impegno,spettare,giureconsulto,esauriente,vedersene,ausiliario,dedica,trovarne,precarietà,destituzione,votata,confort,esita,sai,maglia,obietteranno,metaleurop,disonesto,risolverlo,ricrearli,qualifica,sguardo,atipico,quisthoudt-rowohl,accorgermi,impiegano,radicato,sua,tentasse,mobilitarvi,saltando,frequentano,basterà,risalto,analista,complicando,insediate,peschereccie,scomunica,migliori,fucina,indirizza,ricade,coprendo,difficili,sovraoccupazione,jobcreation,competitivo,bilancio,incompiuta,reclutate,inerme,razionalizzazione,nordeuropei,incontrovertibili,puzzle,utile,proliferare,acutizzato,lavorativi,mediocre,manodopera,assegnazione,esaustività,brillantemente,uat,suo,correre,decentramento,ricucitura,richieda,reinventa,licenziate,delatore,impiegando,revisore,magistralmente,titolo,seguano,tampone,precarizzazione,facile,assiduo,pireo,esclopé,operato,disney,euro-repressione,soppressione,riconvertirli,lasciavamo,politico-economico,viso,reintegrate,sovrannazionale,crepano,regalare,almeida,vantano,contributo,lavoravo,perduti,ottimamente,ritirando,contribuire,divaricazione,ufficio,lavora,pacificamente,orgogliosi,lavoraccio,avvantaggiarsi,distinguo,suárez,revisionate,fornirlo,tenuti,accadrà,tutelarla,euforia,giornata,crearne,riversare,panegirico,colf,responsabilità,scioglilingua,costruttiva,compia,affrettata,incaricato,suolo,ken,professionalità,laureata,soccorso,hobsoniana,risolto,creano,ruolo,supremi,male,precario,recepire,tormentarla,soggiornante,attua,regolatore,ministro,marinho,capitato,riverberarsi,promozione,competivi,cedefop,occupare,ricollocamento,buon,sede,documentarie,gravosi,continuata,comparazione,svolgerli,demandata,studiate,lavorano,józsef,convincermi,addestrare,disastrosa,memorizzati,attaccare,pugnalata,evitandole,impegnatevi,qualificato,specializzato,lavoretto,collaborativo,restauratore,jakob,licenziato,direttivi,bando,irrobustire,frettolosamente,puntarvi,agognati,nascostamente,papakyriazis,determinati,moltiplicati,portare,dedicarle,predestinate,femminile,incontaminata,eliminarli,spetti,validamente,esordio,operativa,imporrà,kouchner,comuncazione,mortificazione,southampton,conferma,darlington,attuarle,relazione,poltrona,persuadere,concederlo,pastrocchio,meritino,riservatezza,pagheranno,occupando,taglio,extracomunitarie,affidandola,ricopriva,lavorativo,compete,frantumi,felixstowe,riflettevo,unire,sbarca,avversarla,innescato,rivale,inidonei,occupate,prestazione,pasticcio,kusstatscher,abborracciature,impiegarsi,dimostrassimo,qualificati,diportista,appaltatore,sottovalutati,contribuisocno,create,capofamiglia,migliorare,selezionano,destabilizzazione,progettata,sorvegliato,incaricata,efficace,esprimere,anti-meciar,meclemburgo,scegliessero,determinante,cardiaco,tranquillamente,poca,inadempienza,reclamati,predisponiamo,vasta,profilo,capacità,quattro-cinque,gestante,perduto,intraprendono,leso,magistrale,polemico,distruttrice,generalizza,crearle,macchinazione,sopravviveremmo,approfittano,gettato,possiamo,stentorea,funge,mini-lavori,succinti,uscente,propria,erratica,promotore,lobbista,lavorino,ignori,pregio,specificano,piombati,rattoppi,dismissione,coinvolgano,riscontrate,persuada,anonimato,banana,occuparsene,spezzati,denigratorio,antifrasi,diventeremo,agisco,rovescia,sopprimerla,posizione,grado,cogliere,adattino,dipendono,suffolk,coronate,spettava,proferiscono,comandante,dispersa,distruggano,prole,egregia,angus,miglioria,sisifo,trionfali,uscio,principiante,preme,difenderlo,presentasse,proporzionati,innate,hieronymi,riuscito,costringe,imprimerà,cassa,inadeguatamente,rilocalizza,rappresentanza,trasferendosi,tema,compensabili,fortuna,ricchezza,lombardia,crocetta,sto,incarcerandoli,ries,profondere,sorveglianza,huissier,peggiorerà,licenziare,positivamente,tratteggia,marí,walter,sottoqualificate,chiesi,esattamene,sfiorare,milano,scriverà,giustificazione,competono,impiantino,confutare,avviso,minaccerebbero,cabina,accapigliarsi,viarie,guadagnarmi,duty,progressione,pronunciamento,social-democratico,occupino,rappresentasse,comportarvi,funzionario,ripercussione,giobbe,specializzati,governare,congiuntura,insicurezza,irti,conoscano,assurdità,carneficina,permesso,surf,padrone,affrettato,citata,sgradevoli,pesantissimi,stento,valutate,invidiabile,preposte,equilibrismo,adattandosi,recede,immigrato,rivendicate,ecosoc,tentativo,svolgerebbe,chiamiamo,battilocchio,becchino,risponderebbero,seconda,retribuita,monopolizzare,reclutarne,reinseriscono,crearvi,caratterizzato,qualificazione,dotazione,mansionario,logico,tratterebbe,riqualificare,fatalista,imposta}

@data
1,rich:area:industri:today:area:burden:poor:mean:invest:new:sector:industri:electron:product:product:servic:industri:futur,impoverite
2,amend:state:import:necessari:synergi:produc:structur:fund:cohes:fund:communiti:initi:applic:reflect:best:profit:way:gradual:elimin:dispar:region:creation:said:central:purpos:fund:discuss,posto
3,say:structur:polici:union:success:manag:creat:suffici:number:signific:reduct:unemploy:rate,posto
4,ignor:challeng:civilis:pose:lack:near:billion:need:unpreced:effort:term:develop:access:inform,posto
5,computer-control:sell:programm:turn:random:blip:avalanch:buri:live:industri:globe,posto
6,maintain:situat:invest:creation:lucrat:short-term:sale:foreign:currenc:share,posto
7,distort:competit:environment:protect:simpli:affect:invest:potenti:build:car:europ,posto
8,cours:defend:nation:industri:lobbi:build:europ:competit:world:market:safeguard:econom:sector:actual:competit,posto
9,equal:remain:import:precis:relat:prosper:region:lower-skil:shed:import:destin:discrimin:labour:market,posto
10,exampl:mention:public:author:notabl:commiss:taken:measur:guidelin:nation:region:aid:came:forc:januari:year:ensur:public:fund:remain:associ:recipi:region:aid:consequ:attach:invest,posto
11,creat:new:young:enter:labour:market:second:lose,occupazione
12,worker:like:lose,lavoro
13,second:growth:rate:consid:emin:feasibl:suffici:reduc:unemploy:improv:content:growth,arricchiremo
14,reli:main:deregul:intern:market:internet:revolut:e-commerc:e-busi:machin,posto
15,growth:media:mobil:radio:communic:softwar:compens:loss:telecommun:sector:electron:industri:rationalis:result:introduct:inform:technolog:sector:economi,posto
16,believ:observatori:creat:hand:offici:creat:medium-s:enterpris,occupazione
17,establish:addit:rigid:rule:exampl:introduc:rigid:-hour:week:franc:admit:creat:short:term:convinc:long:term:damag:competit:destroy,posto
18,simpli:unaccept:sharehold:director:plcs:decid:economi:share:price,posto
19,lead:need:defin:role:europ:world:economi:europ:competit:platform:stress:competit:open:way:new:better:higher:point:view:cours:guarante:social:cohes,lavoro
20,year:strateg:object:forward:feel:extrem:import:transform:union:econom:area:base:innov:knowledg:order:boost:econom:growth:achiev:employ:proper:bring:social:cohes,occupazione
21,first:wish:protect:flora:fauna:second:number:coastlin:hand:tourist:enjoy:creat,posto
22,member:parliament:awar:implic:industri:agricultur:competit:yes:constitu:commiss:propos:win,occupazione
23,prosper:preserv:busi:bow:rever:make:immun:throw:market:kilter:increas:product:competit:attack:social:right:won:violent:promot:percept:modern:anti:social:need:throw:crumb:chariti,lavoro
24,presid:ladi:gentlemen:dealt:problem:organis:crime:european:union:specif:reason:today:urgent:debat:murder:brindisi:februari:offici:guardia:finanza:sudden:brought:light:danger:face:colleagu:secur:bodi:member:state:protect:extern:border:european:union:work:region,dimostrato
25,final:presid:highlight:contribut:amend:propos:new:articl:defin:follow:criteria:met:programm:measur:elig:fund:programm:foster:sustain:multifunct:farm:serv:maintain:creat:promot:social:region:cohes:promin:role:women:young:protect:environ:safeguard:water:suppli:air:soil:treat:agricultur,occupazione
26,say:point:letter:draw:commiss:attent:fact:compani:fold:destroy:follow:commiss:measur:illeg:attempt:intervent:irrespect:letter:origin:parliament:member:regardless:come:franc:ireland:bavaria,posto
27,want:commiss:opportun:improv:way:doe:thing:inherit:previous:commiss,tramandati
28,europ:doe:learn:electron:lesson:fast:unfil:multipli:economi:slump,posto
29,demonstr:alsthom:european:worker:brussel:remind:real:economi:busi:continu:cut:thousand:job:unemploy:wors:govern:firm:cut:support:allow:unemploy:order:forc:accept:old:price:condit,lavoro
30,report:hous:previous:van:buitenen:short:end:period:suspens:inform:right:seek:employ:european:union:institut:qualifi,mansione
31,know:number:honour:member:hous:countri,carica
32,helsinki:cologn:summit:specif:gave:portugues:presid:strengthen:new:protect:polici,mandato
33,presid:commission:europ:grow:attract:capit:creat:singl:market:financi:servic:turn:realiti,posto
34,seen:debat:school:milk:scheme:sensit:issu:differ:shade:opinion:mean:certain:did:easi,compito
35,exampl:aviat:contribut:gbp:billion:year:gdp:generat:support:indirect:induc,posto
36,new:member:hous:committe:thank:marvel:doe:chairman:committe:courtesi:kind:firm:carri:busi,dirige
37,custom:control:intern:border:member:state:specif:context:repres:barrier:singl:market:quit:opposit:offer:protect:regard:health:safeti:european:union:resid,posto
38,proper:organis:work:entail:reiter:real:reduct:work:hour:accompani:move:creat:suffici:number,posto
39,problem:solv:appeal:strong:clear:secret:fact:budget:author:possibl:staff,lavoro
40,lure:fals:pretenc:advertis:exampl:hairdress:work:bar:dancer:entic:lone:heart:column,posto
41,scotland:propos:cut:cost:hundr:particular:fragil:rural:area,posto
42,absurd:insist:export:applic:countri:produc:cigarett:legal:import:person:consumpt:european:union,posto
43,final:regard:merger:acquisit:general:creat:problem:huge:loss:written:verbal:contact:monti:commission:respons:directorate-gener:respons:commiss:monitor:applic:legisl:worker:committe:maximum:check:provis:law:compli:merger:major:decis:taken,lavoro
44,subject:defenc:industri:given:import:defenc:industri:drive:forc:technolog:research:creation:particular:smus:commiss:indic:taken:follow:previous:communic:futur:european:defenc:industri:publish:new:communic,posto
45,madam:presid:commission:mrs:lull:great:report:opinion:sens:endeavour:adjust:restrict:approach:commiss,lavorato
46,reduct:unemploy:absolut:term:recent:month:total:number:far:high,lavoro
47,exampl:repatri:exampl:send:illeg:pole:germani:poland:need:realis:train:ticket:obtain:illeg:employ:return:germani:hour:arriv:work:earn:money,lavoro
48,accord:trade:union:etuc:lost:threaten,posto
49,presid:point:order:chairman:environ:committe:just:point:rapporteur:present:report:committe,compito
50,presid:know:commiss:set:great:store:european:parliament:opinion:especi:cultur:council:come:juli:let:minist:know:view:european:parliament,compito
51,opinion:report:embrac:right:return:work:equival:matern:leav,funzione
52,wealth:creation:generat:mean:compani:financ:communiti:fund:benefit:popul:need,posto
53,typic:problem:face:insuffici:resourc:wed:over:restrict:practic:procedur,lavoro
