@relation match-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {renderla,focolaio,altezza,rendere,vittorioso,buffone,partita,disegno,corrispondesse,adeguare,corrisponde,corrispondente,incontro,stadio,volente,corrispondano,affiancare,conformi,uguagliare,corrispondono,fiammifero,corrispondere,adeguarsi,dimostrare,innalzi,commisurate,corrispondenza,collimino,proporzionali,coppa,proporzionato,match,contraddizione,raggiungono,adeguate,adeguamento,margine,scrivono,inintelligibile,usciranno,schermaglia,coincidere,raggiungeremo,proporzionale,perimetro,sottrarrebbe,eguagliare,combaciano,commisurato,pari,sintonia,corrisponda,adatti,risponda,compiano,riuscirò,invitarla,rispondono,sofisticazione,statement,battaglia,zoologici,scozia-brasile,tenera,segua,origine,coincideranno,appoggiare,settentrionale,collimando,avvincente,reclamare,garantiti,affrontata,commisurare,presente,tradurre,adeguando,fornita,usare,concretizzando,ping-pong,predica,affronta,conseguire,meno,confrontare,combinazione,registreranno,passare,adeguati,competere,soddisfino,costruire,colf,occorrer,coincide,spogliare,sprigionano,indonesiane,riescono,visione,preparare,calcio,misurarsi,avvenga,intona,garantirne,coerente,coniugare,realizzare,riepilogative,finale,ambizione,seguite,compatibili,inferiori,discutevano,far,accoppiata,reali,sclerotizzante,armonizziamo,evidenziate,soddisfare,corrisponderebbe,coniugarla,verificatisi,controbilanciare,promotrice,collimano,dote,tendenzioso,proporzionati,tratto,conciliare,estratte,coniugate,ferro,brasile-scozia,marzo,combinare,equilibrare,scommesso,protrarre,tentando,pilotato,aggiungere,tonnellaggio,sborsato,abbineranno,princìpio,adeguato,coincidono,accompagneranno,intraprese,vedono,immagina,crescenti,insolute,suddetti,resosi,debitamente,diverge,potersi,terminerà,unire,adeguarli,albore,fatica,correggere,pugilato,spintone,soddisfa,agevolare,accompagnare,responso,collinosi,produttore,accresciute,proposito,sostituirla,lirismo,coincidano,coniata,atmosferica,favoriscono,concordanza,birmania-myanmar,guardalinee,hollywood,cooperazione,ricalcherà,fata,sperimentiamo,conciliabile,animeranno,equilibrio,varie,coniugato,genk,allinearsi,aggiungeranno,bilanciare,integrare,innalzamento,provenzale,contatto,ottimistici,atte,squadra,secondo,avvicinamento}

@data
1,context:committe:regret:paltri:fund:allot:rural:develop:support:amend:call:increas:budget:communiti:initi:previous:leader:leader:initi,renderla
2,macedonia:remain:potenti:minefield:histori,focolaio
3,need:programm:educ:best:practic:europ,altezza
4,awar:grow:problem:ozon:europ:prepar:standard:set:usa:great:commerci:rival:great:shame:sorri:reflect:commit:environment:improv,rendere
5,support:stipul:report:congratul:rapporteur:think:propos:measur:scale:problem,altezza
6,hope:match:finish:sportsmanlik:way:hope:belgian:just:win:number:euro,vittorioso
7,true:union:member:state:franc:privileg:develop:long-stand:link:tunisia:enabl:franc:understand:realiti:situat:doe:caricatur:fool:media:manag:spread:europ,buffone
8,travel:footbal:euro:subject:check:carri:extern:border:schengen:area,partita
9,unfortun:text:doe:idea:desir:portug:lead:european,disegno
10,multiannu:total:establish:period:hope:figur:stage:ambit:european:union:mediterranean:polici,altezza
11,council:proceed:second:read:budget:take:account:agreement:conclud:deleg:parliament:ever-pres:desir:vote:budget:enabl:fund:european:union:prioriti:budget:real:need:true:abil:appropri,corrispondesse
12,mean:letter:commiss:propos:amend:regul:determin:member:state:payment:vat-bas:resourc:doe:actual:practic,adeguare
13,commiss:take:view:draft:law:denmark:cover:subject:rais:above-ment:provis,corrisponde
14,word:doe:requir:develop:transatlant:partnership:futur,altezza
15,good:intent:coupl:polit:headway:europ:asia:joint:fact,corrispondente
16,crowd:regular:travel:intern:number:televis:viewer:quit:simpli:stagger,incontro
17,unfortun:especi:intern:stage:unaccept:aggress:riot:violenc:act:scant:regard:sport:principl:respect:person:properti,partita
18,urg:nation:inform:point:close:involv:sport:club:support:associ:uefa:activ:implement:effect:possibl:enhanc:secur:footbal:intern:dimens,partita
19,short:suggest:violenc:footbal:sell:bring:profit,stadio
20,second:want:serious:address:problem:surround,partita
21,deprez:report:suppos:intend:deal:problem:violenc:intern:footbal,incontro
22,attempt:deal:problem:use:polic:suppress:violenc:footbal:mere:excus:trampl:person:democrat:right:freedom:citizen:underfoot,stadio
23,think:china:right:path:better:wors:lucki:countri:lucki:nation:long:histori:cultur:civilis:heritag,volente
24,unless:happen:seek:size:fleet:exist:resourc:condemn:failur,adeguare
25,shadow:thousand:children:valuabl:day:make:ball:use:footbal,partita
26,presid:footbal:fan:europ:follow:south:korea:close,partita
27,think:ambit:fail:condemn:sad:spectacl:ping-pong:commiss:european:union:hand:member:state:hand:tri:beat:dramat:circumst:understand,partita
28,regard:paragraph:state:quot:annual:polici:strategi:adopt:commiss:seek:defin:commiss:polici:prioriti:ensur:right:polici:initi:correspond:resourc,corrispondano
29,clear:order:achiev:goal:necessari:bargain:nation:level:bargain:compani:level,affiancare
30,view:report:repres:out-of-d:agricultur:polici:doe:condit:need:modern:global:societi,corrisponde
31,agreement:unit:state:tri:condit:clear:aim:undermin:rome:statut:insofar:clear:provis:prevent:impun:understand:impun:appli:american:nation:countri:militari:strict:administr:reason,conformi
32,certain:exclus:gratifi:spanish:nation:gil-robl:doe:way:tsatso:wrote:treati:nice:steer:opposit:pole:effect:legitimaci:balanc:take:account:raison:être:union:peopl:state,corrisponde
33,come:necessari:avail:mean:state:ambit,altezza
34,come:exact:right:just:european:elect:mention:speaker:utmost:turnout:percentag:achiev:european:parliament:elect,uguagliare
35,financi:assist:propos:educ:train:bodi:prove:desir:contribut:develop:educ:system:elitist:vision:far:remov:problem:face:young:today:doe:need:member:educ:system,incontro
36,want:radic:reform:relat:directorates-gener:commission:scrutinis:propos:requir,corrispondono
37,friend:hous:burn:stop:argu:drop,fiammifero
38,presid:fear:import:debat:financi:perspect:breed:frustrat:council:propos:shoestr:budget:doe:europ:ambit,altezza
39,just:case:realiti:ground:doe:aim:legisl:framework:urgent:necessari:ensur:citizen:access:travel,corrisponde
40,given:problem:mis-sel:nice:french:express:come:light:countri:damag:investor:confid:point:complex:natur:invest:product:greater:protect:investor,corrispondere
41,racist:incid:taken:european:footbal:includ:follow:act:monkey-lik:chant:deris:sing:hang:banner:reflect:neo-fascist:belief:toss:banana:skin:footbal:pitch,partita
42,presid:vice-presid:hope:introduct:singl:train:quicker:punctual:way:thing:run:minut:sure:mind:pretti:soon:want:watch,partita
43,presid:denounc:european:parliament:today:unaccept:decis:fifa:suspend:hellen:footbal:feder:ban:stage:intern:greec:countri:organis:spectacular:olymp:game:sport:ideal:born,partita
44,consum:welfar:measur:sole:consid:posit:want:watch:specif:team,partita
45,younger:play:rugbi:recal,partita
46,patient:increas:seen:consum:better:inform:involv:decision-mak:attitud:mental:health:chang:trend,adeguarsi
47,india:resolv:bolster:promis:helsinki,dimostrare
48,import:ensur:polit:ambit:financi:status:largest:global:donor,innalzi
49,admit:somewhat:flummox:posit:european:parti:christian:democrat:european:democrat:today:doe:way:debat:conduct:committe:civil:liberti:justic:home:affair,corrisponde
50,fish:sector:emerg:current:crisi:unless:basi:realist:calcul:european:union:fleet:final:adjust:food:resourc:avail:water,commisurate
51,label:make:sens:strict:control:provid:consum:sure:content:label,corrispondenza
52,cut:budget:develop:work:protect:intern:forest:urban:environ:network:pilot:project:unclear:deed:rhetor,collimino
53,call:aid:provid:loss:incur:terribl:impoverish:area:way:ensur:life:reduc:region,proporzionali
54,item:statement:commiss:uefa:decis:allow:winner:coca-cola:cup:european:cup,coppa
55,behalf:committe:civil:liberti:express:pleasur:find:request:report:prioriti:point:speaker:enlarg:socrat:leonardo:youth:europ:programm:need:turkish:govern:cooper:fulli:activ:european:union:fight:organis:crime:drug:traffick,corrispondono
56,fact:hear:highest:level:grow:number:union:countri:includ:power:countri:contribut:union:budget:financi:benefit:gain:mean:general:applic:fair:return:principl:mrs:thatcher:famous:day,proporzionato
57,happi:studi:carri:result:vision,corrispondono
58,presid:hope:great:footbal:june:england:germani,partita
59,unfortun:resolut:led:belgium:england:ppe-d:later:chamber,match
60,parliament:discuss:safeti:euro:pressur:assum:portion:british:public:opinion,partita
61,true:tunisia:doe:idea:democraci:countri:world:europ:live:idea:democraci:accord:democrat,corrisponde
62,said:speech:did:deadlin:set:end:year:nice:european:council:evalu:polici:asylum:immigr,contraddizione
63,great:respons:misfortun:countri:doe:cynic:british:minist:high:dignitari,raggiungono
