@relation paper-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {bianco,documento,carta,libro,giorno,morta,giornale,industri,dépliant,inondati,nulle,scheda,neofascista,testo,iscritto,burocratiche,foglio,tratterà,regolarizzati,teoria,cartacei,papiers,vivida,pecuniarie,tigre,comunicazione,attestato,paper,scritta,cartacea,diluita,quotidiano,inchiostro,impacchettare,jersey,blueprint,mucchio,prosa,elaborato,copiosa,scartoffia,clandestino,sviluppatasi,riportano,frutto,documentazione,stampa,incompleto,marciamo,secondario,leggerli,vago,antici,studio,scrivendoli,sordidi,papier,cartaceo,trattazione,necessita,tengano,verticale,cartina,opuscolo,apparenza,stupiti,precipua,emersa,scandalistici,giallo,nota,esultanza,corrette,sorvola,segnalarlo,depositante,esecutiva,articolo,leggiamo,alimentino,irregolare,pedagogo,valutavo,delinquere,contrapponendogli,pagina,attimo,sopranazionali,identità,cartastraccia,amministrativo,parola,søndergaard,occupassimo,emersi,rivista,sottopostagli,incarcera,charlotte,dintorno,orientativa,corretto,leggerlo,macero,riconosce,preveda,tiritera,croato,soggiorno,trasforma,plico,nordland,sanciti,cartiera,prosseneta,inconsistente,ordinaria,astrusi,strage,teorico,cartaria,respingessimo,concepita,pubblicazione,harare,dettagliati,monologo,ripresentare,reinserite,congiunto,virtuale,dimostra,cestinate,burocratico,degenererà,accentuata,carteggio,adesso,finto,emergenza,fermaglio,elenco,leggo,audacia,rammenta,gravità,abbandonassimo,segreto,proposta,solana,ramón,legata,gialla,miri,presentati,fittizi,zharmakhan,ripartiamo,satirico,relazione,ambizione,corrispettive,arcaicità,farlo,attutita,iscritta,fascicolo,haronot,atto,susciti,espelle,severe,spania,conquistare,affrontando,modello,interrogazione,linguaggio,residenza,potesse,ingegnoso,modulo,maltrattamento,ricacciato,leggerne,rühl,loda,riclassificazione,magagna,cartacee,vivibili,semiaperti,rivendicabili,tornasole,libération,scialbi,reading,mero,fiduciaria,fraga,annunciate,echelon,preventive,ricordata,grazia,pervenuta,girotondo,abbellire,programmate,tavolo,tesina,milliyet}

@data
1,von:wogau:behalf:committe:econom:monetari:affair:commiss:white:modernis:rule:implement:articl:treati:com:cos,bianco
2,presid:commission:basic:posit:view:commiss:white:competit:particular:regard:abolit:notif:authoris:puzzl:thing,bianco
3,presid:begin:speech:regard:white:congratul:rapporteur:von:wogau,bianco
4,agreement:report:commission:broad:outlin:white,bianco
5,polici:agenda:commiss:set:key:principl:rural:develop:polici:base:recognit:multifunct:agricultur:need:integr:strategi:develop:rural:area,documento
6,await:white:govern:european:union:deal:issu:balanc:member:state:govern:european:union:institut:publish:summer,bianco
7,hope:white:action:commiss:practic,bianco
8,today:commit:fulli:discharg:reform:institut:white:just:adopt:commiss,bianco
9,hous:member:rememb:refer:white:syndrom:say:remark:initi:instig:jacqu:delor:torn:shred:account:ecofin,bianco
10,publish:white:food:safeti:order:reassur:consum,bianco
11,presid:origin:english:commiss:use:word:inform:societi:knowledg:societi,documento
12,mind:fact:support:renew:energi:import:way:achiev:effect:result:particular:regard:control:carbon:dioxid:emiss:attain:object:propos:white:reach:level:renew:energi,bianco
13,commiss:present:implement:prepar:legal:ground:implement:differ:action:set:white:reform:commiss,bianco
14,accept:amend:nos:principl:far:refer:commiss:white,bianco
15,know:issu:white:environment:liabil,bianco
16,open:comment:view:readi:discuss:want:ensur:environment:liabil:cover:gmos,documento
17,copi:provid:secretariat-gener:parliament:inform:natur:general:avail:honour:member,documento
18,clear:ambiti:reform:contain:formid:task:manag:appoint,documento
19,say:white:real:need:rais:manag:skill:creat:common:manag:cultur:commiss,bianco
20,think:just:piec:say:wonder,carta
21,realist:view:current:develop:europ:show:declar:malo:cologn:helsinki:far:accompani:real:secur:guarante,bianco
22,somewhat:confus:presid:european:parliament:express:regret:regard:parliament:democrat:decis:doe:parliament:offici:letter-head:refer:servic:parliament,carta
23,green:common:transport:polici:second:strateg:document:differ:energi:sourc:secur:energi:suppli,libro
24,recent:discuss:research:white:took:view:vital:forward:topic:import:good:research:europ:optimis:condit:industri:exploit,bianco
25,eighti:measur:white:indispens,bianco
26,white:mean:answer:crise,bianco
