@relation range-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {gamma,assumersi,diversi,serie,varietà,diversificata,facoltativi,diverse,spettro,insieme,numero,rilascio,fascia,dispositivo,molteplici,panoplia,prenderla,aprirebbero,molteplicità,ventaglio,oscillare,griglia,iniezione,vario,proteggersi,varo,raggiunga,operazione,offerta,svariati,colpiscano,cresceranno,precombinati,indeterminato,vanno,molte,categoria,alimento,montuose,respiro,fiscalità,collocazione,pascolo,pacchetto,margine,spaziano,costatare,ravvicinata,settore,migliorando,numerosissimi,mediorientali,numerose,ampiezza,installato,gittata,panorama,insospettate,tanti,infliggono,oscillano,rosa,socia,fachkraft,notate,diversità,articolate,sparse,rimasti,variabile,spietato,basti,assunzione,quantità,sottorappresentazione,scelta,appoggiandosi,mettere,indotto,moltitudine,ogni,indifesi,riparto,intermodale,yugoslavia,scalzando,pluralità,eversive,immunodeficienza,jubilee,basse,montuosa,elencate,rispettoso,radar,commissionati,parte,forcella,polline,perseguiremo,poligono,varie,formata,portata,identificare,contratte,precipitose,scegliere,numerosi,voltato,sfruttare,spingersi,trucco,betulla,precoce,scarto,estenderanno,epidemiologici,posizione,comprendono,ddobbiamo,sottocommissione,infimo,bruciapelo,realizzabilità,complesso,campo,conseguono,conduttura,grandiose,spazio,sopravvivono,abbraccia,elenco,scompaiano,commerciano,accumularsi,albero,plastica,disparati,totalità,preda,prenegoziata,peninsula,uniformità,ipotizzabili,incontrata,avvicinarci,schiera,sofferti,introducano,operando,diversificate,amplificare,comincerà,investe,ampie,partecipante,climatologo,cagionerebbe,molti,cardiache,novero,verificarsi,strumentazione,determini,disinquinamento,musulmani,radiofonia,ributtate,intreccio,marmellata,analizzano,seminario,assumono,occupazione,consista,relegare,gestito,moltissime,vasto,regolamento,euroturche,adattabile,testi,saga,banda,ideologia,e-learning,legato,trama,diffusi,taluni,offre,paneuropea,kony,rientrano,livello,completezza,quadro,pullulano,gravose,arco,arranchiamo,successione,modulazione,vicino,congratularsi,recipiente,dinamica,analizzati,ripercuotono,foro,graenitz,mettersi,ridotte,abbigliamento,contrastanti,articolano,catalogo,bardong,esauriamo,amplia,tipo,tante,aere,alavanos,raggio,ricordarmi,eterogeneità,onorarne,determinate,ras,interrogato,blanda,antiquata,farlo,aggiudicatrici,massimizzare,esaustivo,infinità,affezione,comminati,horowitz,rassicuranti,leone,forchetta,solleciterà,tollerabilità,piemontese,duratura,eis,conditional,incongruenza,infinito,ricoprendo,invitassimo,meclemburgo,riflettono,ingerire,collocherà,spaziavano,manifestano,inconscio,vaste,sydney,on-line,pnus,cautelarsi,varia,ampia,questione,eccetto,richiederà,inondare,abitui,tralasciati,safeguards,andare,esclusività,pagate,lavarcene,cerchia,oscillante,vastità,connesse,evoluzione,introducesse,eguali,taglieggiatore,filo,tantissimi,problematizzare,variano,ruspanti,ventinove,serbare,strumentario,conveniente,interattività,fiorino,cretinata,concretare,sorta,gabbia,saarc,sanzione,abilitato,uso,traiettoria,attinenti,stratificati,paisley,fermentazione,composito,tiro,intraprendenza,grandezza,attestandosi,poggia,spazia,rango,garantiti,dettagliatamente,metabolismo,usanza,differenza,politico-militare,compensare,disporre,nonna,attribuita,variegata,fotosensibili,emotiva,oscillata,dispone,assortimento,estensione,operatività,confidenziali,investigativo,possederne,copertura,differente,evacuazione,rilevanti,fornisce,stringente,offrono,irrigazione,aggregata,omogenei,montagnosi,iia,colta,affligge,raccoglie,tipologia,articolazione,arrivati,coacervo,rivoluzionarie,telespettatore,arás,incontrate,adirati,possibili,repertorio,decifrare,regressiva,hcfc,differenziati,pvc,informatizzati,storica,grossa,raggruppamento,terence}

@data
1,communic:commiss:take:account:need:adopt:approach:combin:econom:social:infrastructur:measur,gamma
2,union:new:task:basic:foundat:success:european:economi,assumersi
3,final:need:set:prepar:object:list:potenti:danger:substanc:use:increas:inform:avail:chemic:physic:biolog:properti:way:creat:integr:model:intervent:strateg:level:order:protect:water:heritag:fundament,diversi
4,joint:motion:resolut:propos:effect:mechan:ensur:coher:shall:short:allot:just:mention:mechan:oblig:commiss:carri:evalu:new:relev:legisl:aspect,serie
5,malta:vibrant:light:heavi:industri:grow:financi:servic:good:agricultur:magnific:tourism:amaz:employ:opportun:island:virtual:barren:natur:resourc,varietà
6,europ:main:destin:tourist:countri:face:increas:stiff:competit:increas:diversifi:attract:product,diversificata
7,fact:updat:send:data:pure:option:involv:wide:data:sector:distort:final:object:commiss:propos,facoltativi
8,commission:justic:wide:area:discrimin:manifest,diverse
9,note:inexplic:danger:fall:number:on-the-spot:check:carri:regul:compar:previous:year:brought:light:shortcom:insuffici:number:monitor:scheme:programm:co-financ:non-admiss:expenditur,serie
10,particular:concern:implic:wide:programm:fall:remit,gamma
11,balanc:piec:work:cover:quit:wide:view,spettro
12,difficult:achiev:compromis:council:minut:attempt:water:agreement:evid:ambiti:way:place:parliament:commiss:relationship:cooper:parliament:perform:monitor:function:line:prerog:commiss:task:add:primari:role:guardian:treati:propos:initi,serie
13,prioriti:french:presid:draw:list:public:debat:cover:wide:subject:adopt:perman:repres:committe:corep:juli,gamma
14,global:perform:estim:accord:conflict:criteria:well-known:tyre-manufactur,insieme
15,economi:outermost:region:class:articl:treati:depend:singl:product:limit:product:provid:incent:potenti:diversif:creat:better:condit:produc:actual:mean:abil:produc,numero
16,agricultur:multi-output:industri:public:expenditur:necessari:achiev:public:good:industri:produc,gamma
17,discharg:procedur:court:adopt:special:report:contain:result:audit:focus:wide:specif:area:communiti:financi:manag:improv,serie
18,industri:radioact:discharg:continu:sourc:practic:direct:dump:thought:futur:wide:regard:unaccept,rilascio
19,freedom:reintroduct:capit:brought:russia:freedom:narrow:bureaucrat:left:previous:regim:pillag:natur:resourc:transfer:proceed:western:bank,fascia
20,presid:start:give:thank:court:auditor:use:report:issu,serie
21,reform:train:exampl:drive:lesson:school:age:children:emerg:brake:drive:school:systematis:activ:passiv:safeti:compon:right:mean:tax:incent:car:manufactur:modif:infrastructur:complet:elimin:black:spot:real:issu:intellig:road:safeti:polici,dispositivo
22,state:council:tackl:issu:conflict:western:sahara:measur:taken:aim:rebuild:trust:parti,serie
23,presid:treati:nice:obvious:open:wide:interpret,molteplici
24,sustain:develop:method,panoplia
25,propos:direct:label:supplementari:pension:second:pillar:seen:realli:financi:servic:product:cover:second:pillar,prenderla
26,roman-domin:common:law:nordic:legal:tradit:incred:differ:crucial:point,serie
27,north-south:transport:obtain:wider:possibl:transit:rout,aprirebbero
28,hand:motion:resolut:use:pretext:address:question:bear:whatsoev:temporari:committe:real:task,molteplicità
29,need:mrs:smet:said:wider:initi:design:tackl:structur:disadvantag:suffer:women:labour:market,ventaglio
30,credibl:estim:suggest:cost:implement:eur:billion,oscillare
31,hope:possibl:solut:basi:propos:commiss:present:creat:penalti:sanction:individu:offenc:list:articl:commiss:propos:greater:flexibl:adapt:scale:penalti:forc:nation:legisl:member,griglia
32,need:direct:inject:diesel:engin:direct:inject:petrol:engin:wide:lean:burn,iniezione
33,pleas:measur:outlin,insieme
34,engag:number:busi:world:trade:union:non-government:organis:bodi:contribut:trade:polici:dialogu:trade,insieme
35,space:occupi:religion:social:polit:involv:broad:possibl,vario
36,dealt:separ:doe:mean:requir:rule:compli:side,serie
