@relation side-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {désir,quartiere,parti,impegno,immobile,sfruttano,renderli,ottenerle,non,vorremmo,visita,fronte,potrà,possiamo,duro,relazione,presidente,allinearci,propria,più,parte,constatato,tematica,quel,comune,atto,compresenti,muovo,ostinatamente,mediare,domandando,parlamento,altri,altro,fazione,vantaggiosa,lato,neiße,ingiusto,sponda,promemoria,far,riva,efficace,iraniano,vorrei,presentato,gruppo,versante,applicate,intensificano,considerano,potrebbe,trasporto,passività,trovati,reciproca,sforziamo,noi,speriamo,allettarle,chilowatt,obiettivo,interessato,cominci,sfaldano,stare,propizie,zona,lobbista,progetto,colombiana,preso,esistenti,essere,qua,sia,una,aspetto,necessario,popolare,affinché,presentata,avvantaggiano,contribuire,solo,decennio,cedono,partecipante,sua,primo,dal,commissione,sapeva,altra,principale,ciò,avviso,dobbiamo,soluzione,lavorare,coinvolgimento,stabilità,dio,accantonare,nuovo,farmaco,svezia,interlocutoria,effetto,schierate,liberalizzazione,interessarci,ottantaduenni,addossata,sede,mostra,creali,partito,bilaterali,fatto,giornale,coscienza,sud,fondalmentalmente,soraba,considerata,regolamentare,seguiremo,riprensibile,antiterrorismo,interlocutore,correttamente,passare,trovare,naturali,inferiore,possono,cunha,entrambe,duplice,dai,controparte,fucilazione,richiesta,certo,oceano,divisa,evitare,sempre,convertissero,marinucci,nonresta,disponibili,proseguire,posta,ala,consulenza,esponendo,stimolo,schierarsi,vengono,accantonarla,turcocipriota,americano,situazione,oggi,schieramento,entrambi,incoraggerà,sancito,giudice,dovremo,suscita,astenere,reciproco,popolo,immigrato,innovazione,uno,clima,fondatore,opererebbero,emiciclo,appoggiamoci,rafforzata,ripeto,permesso,democrazia,disponibilità,inizierei,continuiamo,pochissimi,sforzo,miriamo,quali,provengano,contendente,prendiamoci,offerta,verbale,cura,affare,econometrico,pakistano,condivido,ottenibile,rafforzare,liberaldemocratico,passassero,piuttosto,cooperazione,allo,esigenza,molto,sfaccettatura,avvio,appello,trasmette,confronto,oltre,offerente,attività,contendersi,incrociati,acute,modo,guardia,esterno,pensare,denktaş,assolti,occupazione,uomo,avere,isolamento,gogh,attacco,soprattutto,guardarsi,verso,anno,accennare,accantonarne,milione,interesse,teniamo,ricevere,errore,politica,raggiungendo,dividersi,abbrustoliti,sfida,giungendo,transatlantiche,guerra,schierando,equilibrio,passerà,perdere,rapido,penso,riguarda,beneficio,incentrato,merita,stato,fra,alternativa,inoltre,riteniamo,cito,tema,concordo,abkhasi,importante,geologica,già,mancanza,tale,mio,unilaterale,testimoniavano,rac,costa,economico,pery,stringano,consumatore,forza,dittatore,venga,debbano,esterne,canale,voglio,punto,fase,simpatia,espresso,bonino,desiderano,aiuto,ovviamente,dinamismo,principi,rimane,tutte,partner,propositiva,europea,naturalmente,prestazione,jugoslava,realizzare,ricordare,presenza,direbbero,propongono,confermato,infatti,versata,guardando,contraddittorio,stipulati,svolgerlo,difendere,negativo,delineano,indispensabili,numerose,traghetto,ambito,rendere,uccidono,libertà,bacino,concreto,contraddittore,oppositore,euromediterraneo,diversa,lodevolmente,coesistenza,paterni,almeno,bilancio,settore,dietro,risolutiva,pensionistico,nuove,argomento,commissario,dipendente,nettamente,questione,sviluppo,teoria,pace,domanda,grande,valore,fortunatamente,fianco,vita,sicure,fazioso,prezzo,usa,però,fare,stessa,appartenenza,dare,armamento,rifiuta,speculando,fornisse,grandissimo,democratica,casa,amico,ottenimento,istituzione,sembra,particolare,cattivi,scontrarono,serie,tanto,giacché,compresa,diritto,perorati,valenza,schierano,creative,può,invecchiando,unilateralismo,obbligo,giudizio,all,leale,salvarci,direzione,instaurare,frenetiche,disciplinati,giovanile,strategia,reagito,poggiare,nazionale,trattativa,minimo,chiarire,valutare,commettono,avvertiremmo,voi,pertanto,facciata,ritornato,deve,sinistra,fumose,filtro,colmare,soppesando,succede,risma,frantuma,nomina,integrazione,numerosi,merito,coloro,rubarci,ricordarli,tempo,rispettose,terzo,passo,spesa,desidero,belligerante,ancora,conciliabili,ale,centrale,poter,avviati,concreti,paese,schiera,sussiste,dire,dunque,utilizzare,sanitario,stanziate,vista,politico,lomé,constatazione,parlamentare,assestare,europeo,giudiziari,settentrionale,molta,omettere,problema,giuridica,battaglieri,uguale,aula,macedone,supposto,manchi,insistito,dialettica,voce,devo,componente,irrilevante,eurotunnel,battersi,internazionale,israeliano,imparziale,hoc,organizzazione,intendo,deputato,imporre,isola,meno,coinvolga,cambiato,conficcate,protagonista,considerato,multilaterale,intende,uniti,processo,appartengono,pilota,emendamento,guidare,condiviso,governo,ragione,dopo,rifugiato,maggioranza,affermato,contrapposti,categoria,ascolto,combinano,alcuni,possibile,accesso,medaglia,conosco,lettera,diffonderli,europa,opec,lukashenko,rapporto,studio,livello,ucraina,freniamo,saimaa,settimana,parlarsi,investimento,singolo,rieducazione,ingiustificato,cifra,agricole,piè,preoccupati,pienamente,giustificabile,state,seguirà,poche,raggiungere,leggerli,virgin,finché,spuntare,lei,funzione,altre,crediamo,accennato,arabo-israeliana,favore,alterati,giungere,chiaro,detto,conformi,descrittivo,amministrazione,luanda,annunciate,suo,costituiti,vivevano,pancasila,dimenticato,raccogliere,incontreranno,lavorando,acceso,esiste,dovere,aiuterebbe,agricoltura,consociativo,morte,autorità,dedicato,decidere,disaccordo,misconosciuto,alimentata,istanza,chiunque,vede,regione,abbreviare,via,dice,mondiale,sospettato,positivo,unilaterali,storno,ruolo,confermarci,risposta,presentare,finalmente,inaccettabile,vicinanza,sappiamo,pratica,trovata,maggiormente,commessa,stesso,rappresentante,ignoriamo,svedese,contrattacco,siedono,prevalere,certa,nonché,schierarmi,posizione,momento,campana,lavorerà,accadono,lundgren,böge,pendice,fortissimo,venuta,notare,garantire,capire,secondo,realizzarli,viceversa,sicurezza,considerazione,bell,osservarmi,colpo,rispettiva,così,orribile,esempio,ritegno,thomas,veritiera,fissandosi,parteggiamo,confine,potuto,esattezza,superiore,figuri,costo,credo,sociale,possa,comunque,eccesso,porterebbe,spaccato,rivista,aggiungermi,agiranno,frangia,rassicurerà,commerciale,dibattito,colloquio,lancio,sedere,neo,approvate,interistituzionale,ripiego,indipendenza,aspetta,mette,sides,vantare,molti,giudicarla,impongono,ogni,responsabile,esteso,fallimento,programmati,murate,bizonale,consenso,proposta,danneggiano,luogo,ambedue,storia,procedura,associa,psicologia,marocchina,odierna,piena,assieme,signore,estreme,combattere,prevedere,votazione,leva,eventualmente,manica,mondo,motivo,fornire,limitato,fiducia,affrontare,sui,capacità,muscolizzare,eletto,greche,riguardanti,considerare,prosciugamento,popolazione,strenuamente,attenzione,relegarla,opinione,indicare,pensava,concittadino,risvolto,dignitose,uguali,svolge,rispettare,fatta,difendesse,repressivo,immemorabile,tony,soffocheremo,esame,condivida,banco,salute,vicino,altresì,democratizzarsi,nath,elemento,bisogna,concludere,illusione,mettiamo,omosessuale,capisco,ricordiamo,stanzieremo,provengo,bastone,arricchirsi,congiungere,inferte,ramo,posso,profilo,verificato,ripugnanza,continuare,dinamico,vanno,onorevole,edificio,imponibilità,area,vale,travaglio,aspettativa,riferisco,cogliere,crisi,manifestazione,microscopico,identificarmi,cooperare,conservatrici,ottocentesimo,optare,situati,alcun,espletare,interessante,adempiere,nascondersi,rimborsare,dimenticanza,consiglio,esprimere,immediata,assumendo,permettendone,semestre,assente,informazione,vincolo,indipendentemente,impiegano,fortunato,volto,sequestro,parola,dieci,ciascuna,sistema,fondamentali,figurando,mirerei,paralizzeranno,finanziario,cioè,nato,materia,ricorda,interno,traducendo,dovremmo,considera,legislazione,parteggiare,evento,contenuto,autodefinisce,sbocciare,rientrare,ittica,avverrà,certamente,insufficienti,contrastare,presentò,generalmente,ognuno,rivolgo,dato,sgretolino,cortina,licenza,atte,informate,delinei,espressamente,ritenga,reazione,contraddistingue,contiene,animano,chiare,molteplicità,rivedo,accadrebbe,sincerità,vuole,azione,edotto,realizzarlo,tollerato,vittima,cornillet,portarli,congratularmi,violenza,potrei,poi,imperialisti,cominciato,ambo,bene,pacchetto,ertms,atkins,svolgeva,ammazzati,diversi,conquistate,troppo,inciampo,equità,concentra,accelerate,progrediscano,scortese,scambio,conferenza,debba,evocano,torto,scranno,aggiustamento,produttore,radicalismo,inserendolo,constatiamo,affermare,foresta,annullamento,unica,serenità,serbo,busquin,cultura,albanesi,tenendo,unire,maggio,ecceduto,assai,nozione,presente,promessa,convinti,percepibile,proclamo,sebbene,barricata,ripropongo,sviluppare,preesista,accordo,ora,marsiglia,riflettere,sinora,distanza,proporrò,staccati,allargamento,dovuta,cambiano,essendomi,ombra,esprimerli,milano,zoppichi,voto,tuttora,rivolto,entrata,morale,solitaria,mese,forse,fiscale,nave,idea,possano,osservazione,esprimermi,erogherete,passato,intento,generalizzato,pur,universalmente,numero,gratuito,unione,troviamo,accanto,occidentali,sopravvivenza,aviazione,leggermente,life,spettro,volontà,paritario,cosa,futuro,considerati,proprio,particolarmente,elezione,curiosa,socialista,israele,lavoro,venuti,concretizza,adottato,opportuno,assoggettare,passò,impostoci,riproporre,umane,sheehan,opposto,visto,calunniose,esprimersi,terrorismo,maestranza,generazione,capisca,tuttavia,temo,autocritici,ottimo,sorta,attengono,autoctone,attraversare,esse,accetterà,comincia,prudenza,spesso,lamentata,atlantico,individualità,future,sottrae,discutere,concederà,moneta,sofisma,stabilito,caparbietà,saggezza,confonda,bce,fossa,diverse,sottolineata,replicare,sussistono,avventuroso,inizio,devono,vogliamo,mostrare,spiegare,servizio,risolti,sociaal-economische,considerarne,mettere,pesa}

@data
1,désir:mention:grow,désir
2,urban:fund:invest:depriv:neighbourhood:moss,quartiere
3,deep:satisfact:just:knew:achiev:acp:countri,parti
4,hope:access:money:avail:assist:cyprus:use:part:promot:reconcili:rebuild:trust:divid:communiti:cyprus:accept:money:spirit:given,parti
5,right:condemn:behaviour:unita:threaten:peac:angola:use:author:invit:stop:war:embrac:peac:right:weight:author:condemn:persecut:threat:journalist:govern:angola:ensur:condit:freedom:essenti:vital:work:journalist:democrat:countri:societi,parti
6,commiss:leav:escap:claus:three-year:postpon:bargain,impegno
7,help:think:administr:expens:intent:estim:generous:order:extra:fund:build:reserv,immobile
8,instead:coland:nation:scheme:afraid:lose:water:instead:water:hard-earn:money:work:citizen:drain:away,parti
9,cours:doe:mean:ident:want:situat:exploit:want:situat:look:bring:european:railway,sfruttano
10,absenc:interlocutor:administr:apart:difficult:resolv:problem:make:easier,renderli
11,need:real:result:chang:condit:govern:member:travel:strasbourg:shall:fight:believ:order:obtain,ottenerle
12,endeavour:preserv:religi:cultur:univers:charact:holi:citi:certain:subject:haggl:properti,non
13,ask:tripartit:dialogu:take:industri:nation:govern:far:nation:govern:ignor:joint:agre:propos:social:partner,parti
14,river:european:want:know:issu:dealt:exemplari:decis:taken:event:repeat:futur,vorremmo
15,extrem:import:european:monitor:centr:industri:chang:set:aim:stimul:activ:respons:approach:industri:develop:particip:industri:view:help:avoid:irksom:consequ:industri:chang,parti
16,commiss:acknowledg:result:achiev:mrs:ogata:head:unhcr:instanc:visit:bhutan:nepal:commit:viabl:solut:soon,parti
17,european:perspect:recognis:right:isra:palestinian:state:exist:illustr:clear:week:remark:visit:presid:parliament,visita
18,emers:contract:asid:addit:initi:adopt:member:state:combat:undeclar:work:includ:nation:employ:plan:rapporteur:request:interest:alleg:joint:flexibl:initi:induc:industri:respons:practic:success:implement:date,parti
19,believ:clear:elect:new:taiwanes:presid:histor:opportun:overcom:differ:taiwan:strait,parti
20,believ:quit:possibl:determin:includ:applic:countri:european:parliamentari:elect:determin,parti
21,common:rapporteur:wuermel:believ:interest:parti:treati:transit:period:deleg:border:region:mrs:schierhub:own:farm:vicin:czech:border:matter:concern:format:close:common:econom:area:manag:major:problem:lead:posit:outcom,parti
22,unfortun:prove:imposs:sharm-el-sheikh:implement:agreement:work:tension:remain:consider:say:european:union:monitor:situat:greatest:vigil,fronte
23,right:barak:arafat:understand:dialogu:negoti:tabl:pain:concess:conflict:definit:resolv,parti
24,common:organis:market:claim:hand:want:money:inject:effect:hand:consid:product:possibl:level:control,potrà
25,propos:mrs:peij:seek:bring:bank:tabl:lay:law:simpli:increas:pressur:polit,possiamo
26,gave:honest:opinion:view:fall:inflex:oppos:posit,duro
27,report:use:contribut:debat:hope:agre:turn:contribut:committe:includ:hous:use,relazione
28,presid:import:environment:madeira:total:unabl:sustain:goos:lay:golden:egg:tourism,presidente
29,defend:polit:autonomi:stop:take:unit:state:uno:regard:iraq:arab:world:general:asia:balkan:action:patten:disastr:consequ:say,allinearci
30,tri:persuad:moroccan:reconsid:posit:agreement:card:basi:ask:resum:talk:quick:possibl:bid:reach:final:agreement,propria
31,unpleas:feud:unpleas:fact:enjoy:support:presid:russia,più
32,natur:serious:concern:loss:life,parti
33,believ:great:deal:gain:agreement,parti
34,solidar:member:state:regard:recept:reflect:principl:voluntari,parte
35,posit:propos:involv:user:produc:strive:bind:commit,parti
36,hear:includ:commiss:sympathet:favour:look:amend:unfortun:accept:trade-rel:issu:prevent,parte
37,qualit:european:parliament:administ:huge:budget,constatato
38,thing:easier,parti
39,talk:negoti:bring:thing:discuss:camp:david:differ:possibl:negoti:tabl:end:situat:spiral:violenc:extrem:faction:stand:benefit:given:chanc:develop,parti
40,europ:want:credibl:contribut:debat:choos:peac:democraci:human:right,tematica
41,last:let:say:isra:palestinian:need:propos:solut:know:peac:settlement:requir:sacrific,parti
42,major:challeng:face:restat:explain:need:involv:conflict:accept:unhind:access:countri:humanitarian:organis,fronte
43,fact:countri:libya:gain:power:esteem:contin:regrett:obvious:inevit:effect,quel
44,wonder:mean:govern:dos:santo:unita:actual:level:best:prolong:war,parti
45,think:cours:quit:import:welcom:restructur:revenu:common:vocabulari:soon:possibl,comune
46,slightest:sign:horizon:altern:possibl:negoti:palestinian,parte
47,despit:pessim:reign:role:intern:communiti:essenti,parti
48,justifi:subsequ:act:terror:current:high:charg:emot:situat:area:conflict:widespread:difficult:cease-fir:emerg,atto
49,favour:approv:report:amend:present:reflect:concern:polit:divis:island:support:respect:effort:unit:nation:reestablish:convers:urg:conflict:achiev:resolut:problem:soon:possibl:good:citizen:cyprus,parti
50,commiss:present:recommend:year:parliament:request:rememb:code:conduct:prepar:commiss:sought:rais:awar:member:state:industri:order:practic:field,parti
51,work:ensur:concili:reach:stage:inform:consult:embrac:busi:industri,parti
52,say:total:logic:approach:type:product:exist:region:area:hold,compresenti
53,current:event:just:necessari:irrespect:consider:forward:member:left:hous:effect:shift:attent:away:numer:danger:present:way:terrorist:group:work:interconnect,parte
54,know:ethic:awar:rate:express:way:modern,muovo
55,word:world:want:opportun:issu:urgent:remind:import:revenu:compil:budget:re-emphasis:revenu:key:prospect:fund:european:polici,ostinatamente
56,commiss:europ:honest:broker:bring:ensur:deliv:best:possibl:remedi:european:union,mediare
57,have:said:think:cohn-bendit:resolv:conflict:israel:palestin:simpli:ask:effort:ask:great:effort,domandando
58,area:cork:ireland:tickl:pink:think:discuss:feminin:pat:cox:parliament:morn,parlamento
59,start:right:develop:servic:product:market:futur:product:enabl:galileo:self-financ:hous:want:need:absolut:clear:support:commiss:propos:end,parti
60,intern:communiti:matter:urgenc:adopt:new:initi:lead:end:violenc:re-establish:trust:reopen:negoti:accord:intern:law:relev:unit:nation:resolut,parti
61,confid:reach:agreement:chapter:talk:reach:conclus:fair:balanc,parti
62,dealt:separ:doe:mean:rang:requir:rule:compli,parti
63,uniqu:opportun:step:pressur:commit:ensur:human:right:polici:remain:credibl,parti
64,resolv:trade:conflict:profession:way:satisfi:accept:bind:rule:free:fair:world:trade:framework:wto:wto:intern:organis:disput:resolut:provid:sanction,parti
65,reckless:militari:adventur:cynic:accept:terror:offer:bloodsh:miseri:deepen:mutual:hatr:delay:render:difficult:achiev:last:peac,altri
66,believ:isra:work:year:fair:peac:recognis:right:way:save:isra:end:isra:militari:occup,altro
67,ask:presid:inform:isra:govern:palestinian:author:pain:current:felt:million:european:citizen:christian:religion:sight:holi:place:jesus:christ:born:bethlehem:desecr:bomb:fight:occup:arm:soldier:transform:bivouac:soldier:target,fazione
68,furthermor:context:action:intern:communiti:role:especi:clear:consist:convinc:israel:issu:honest:renunci:increas:territori:basi:occup:palestinian:entir:arab:world:issu:honest:renunci:destruct:israel,parti
69,area:common:great:cooper:econom:partnership:russia:reason:way:forward:long:run:benefit:promot:secur:lessen:social:tension,vantaggiosa
70,regard:crisi:church:nativ:council:pleas:resolut:crisi:line:memorandum:understand:sign,parti
71,die:india-pakistan:border:million:soldier:watch:line:control:await:order:start:conflict:happen:final:outcom:mean:desol:death:popul:countri,lato
72,bilater:talk:need:soon:possibl,parti
73,hothead:faint:heart:seek:exploit:difficulti:meet:copenhagen:criteria,parti
74,ask:european:union:especi:council:particular:countri:drive:forc:european:union:germani:franc:remov:soon:possibl:obstacl:stand:way:union:countri:enabl:includ:conduct:european:elect:campaign:oder:neiss,neiße
75,indic:quit:clear:extrem:unfair:discuss:irish:referendum:allow:speaker:argument:issu,ingiusto
76,think:criteria:fail:adher:copenhagen:criteria:improv:econom:cultur:human:relat:human:right,parti
77,account:taken:terrorist:threat:atlant:constitut:greatest:threat:democraci:free:exercis:human:right:free:econom:social:develop:constitut:attack:fundament:human:right:right:life,sponda
78,use:remind:commiss:welcom:meaning,promemoria
79,union:polit:entiti:capabl:today:make:reason:help:isra:palestinian,far
80,support:challeng:forg:last:polit:relat:mediterranean:unstint:hope:algerian:crisi:emerg:close:door:tragic:play:long,riva
81,vote:favour:report:amend:effect:contribut:fight:pursu:tenaci:darker:globalis:promot:new:econom:crime:distort:cover-up:manipul,efficace
82,need:effort:achiev:object,parti
83,iran:leader:realis:west:european:union:open:work:develop:world:respect:human:right:valu:europ:wish:impos:ecumen:valu:includ:women:right:particular:prone:abus,iraniano
84,simpli:remind:public:opinion:member:state:taken:account:wrap:packag:final:negoti:bear:mind:fact:govern:parliament:candid:countri:convinc:public:opinion:join:european:union:good,vorrei
85,presid:council:council:commiss:critic:point:issu:today:matter:involv:parliament:deal:financi:consequ:current:financi:perspect:jame:ell:expert:futur:financi:perspect:way:institut:prepar:area,vorrei
86,content:view:want:involv:decis:want:know,possiamo
87,lead:perman:ceasefir:respect,parti
88,amend:doe:specifi:member:state:accord:normal:tradit:practic:consult:industri:lay:practic:guidelin:determin:work:kind,parti
89,have:said:mention:temporari:committe:set:eldr:submit:amend:budget,presentato
90,rare:experi:presid:receiv:wide:prais:hous,gruppo
91,true:commit:continu:negoti:view:reach:global:settlement:end:februari:true:opportun:bring:wall:europ,parti
92,commission:let:assum:cyprus:agre:solut:base:annan:plan:februari,parti
93,regard:oper:thing:think:safeti:bodi:exist:railway:compani:know-how:knowledg:experi,versante
94,step:council:implement:helsinki:decis:dissoci:access:republ:cyprus:polit:solut:problem:particular:evid:stall:tactic:pursu:turkish:cypriot:exhaust:margin:negoti:substanc:achiev:just:viabl:settlement:cyprus,applicate
95,usa:step:prepar:attack:iraq:transport:soldier:munit:region:prepar:way:civil:war:arm:insid:outsid:iraq,intensificano
