@relation strain-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {ceppo,sforzo,gravano,worst,esasperando,pressione,inciderebbe,tensione,sgraverebbe,psicologico,magro,capostipite,rottura,resistenza,frappone,irrevocabilmente,protratta,stressante,facile,gravati,ventiane,municipali,tormentato,pesante,patiscono,esercitata,allettante,dissapore,onere,duro,gravare,guadagniamo,indetta,ricade,fatica,peggiorando,liberi,sementi,batterica,batterio,sobbarcarci,incombe,pagliuzza,ripetitivi,plusvalenza,contraccolpo,difficoltà,eccessive,dura,batteriche,mouse,mutilanti,ignote,radice,gravosa,saltare,incarna,fantasiosi,ridistribuiti,ostici,tantomeno,assesterà,aggravamento,repentaglio,patrick,minacciandone,indebitamento,appesantire,subiscono,liquidità,violente,varietà,disaffezione,congestionata,peso,magistrale,pesato,penalizzato,manica,orthomyxovirus,montagnose,metterebbero,psicologa,tenaci,gravato,ecosistema,variante,paralizza,modesta}

@data
1,crucial:commiss:earmark:suffici:fund:support:develop:effect:vaccin:european:isa,ceppo
2,cent:gdp:annum:countri,sforzo
3,mention:number:econom:criteria:high:rate:inflat:high:nation:debt:result:nation:budget:militari:expenditur:militari:conflict:pkk:high:real:rate:continu:predomin:public:sector:huge:region:differ:turkey:prosper:differenti:turkey:european:union:bring:control:differ:educ,gravano
4,presid:commission:vaccin:special:worst:case:scenario:fact:occur,worst
5,believ:current:situat:put:untold:emot:psycholog:farmer,esasperando
6,european:greater,sforzo
7,point:prophylact:vaccin:virus:imposs:know:advanc:actual:fmd:virus:brought,ceppo
8,presid:destin:live:constant:threat:outbreak:foot:mouth:diseas:new:constant:come:fore,ceppo
9,hope:agre:spend:propos:ten:defenc:compat:member:state:commit:stabil:pact:great,pressione
10,deal:health:area:start:commission:said:communic:diseas:drug-resist:threaten:communiti,ceppo
11,know:mean:term:place:infrastructur:term:servic:offer,inciderebbe
12,cyclic:condit:public:financ:european:union,gravano
13,point:overshadow:bind:profound:resist:share:communiti:valu:work:world:issu:import,tensione
14,reduc:specif:item:measur:combat:racism:xenophobia:anti-semit:allow:use:effect,sgraverebbe
15,think:exampl:vitro:fertil:place:enorm:physic:psycholog:women,psicologico
16,exampl:peak:tourism:number:month:lead:increas:environment:damag:infrastructur:countri,tensione
17,budget:consider,magro
18,human:give:rise:human:differ:person:genet:materi,capostipite
