id,phrase,classes
1,sum:overal:balanc:sens:feel:compat:guid:action:parliament:govern:presid:enlarg:budget:govern,missione
2,kind:soon:believ:import:resolut:tabl:basi:liber:text:amend:includ:effect,recepito
3,troika:european:union:head:harar:person:convey:messag:zimbabwean:author,recatasi
4,commiss:repres:travel:friday:prepar:elect:observ:order:verifi:appropri:condit:met,arrivo
5,commiss:elector:assess:zimbabw:discuss:member:state:arrang:deal:logist:oper:aspect:exercis:fund:freedom:movement:secur:servic,inviato
6,presid:just:say:radic:member:abstain:vote:virrankoski:report:council:tri:secur:budget:cost:aris:conduct:militari:advis:framework:cfsp,missione
7,presid:sánchez:garcía:just:remind:resolut:come:scope:decis:taken:confer:presid:send:hoc:venezuela:assess:tragic:consequ:decemb:flood:countri,missione
8,point:have:offici:diplomat:commiss:member:state:twice:number:unit:state:realli:suffici:effici:coher:visibl,rappresentanza
9,multin:advisori:polic:element:albania:form:author:weu:council:deploy:albania:widen:develop:scope:follow:adopt:march:joint:european:union:contribut:re-establish:viabl:polic:forc:albania,missione
10,member:state:respons:day-to-day:enforc:communiti:legisl:food:veterinari:offic:directorate-gener:undertak:specif:control:inspect:check:member:state:appli:communiti:legisl:effect:uniform:manner,missione
11,item:commiss:communic:commission:patten:serbia,missione
12,document:circul:european:commiss:exampl:refus:public:report:concern:inter:alia:custom:assist:cam:establish:albania,mission
13,let:open:new:book:modern:european:public:servic:fulfil:constitut:role:proper:manner:readi:forthcom:enlarg:last:embrac:servic:provis:european:public:new:statement,mission
14,ought:read:report:human:right:decemb:new:year:eve,missione
15,european:invest:bank:non-profit-mak:member:state:govern:decid:obtain:econom:benefit:contribut:balanc:develop:european:communiti:grant:medium:long-term:credit:guarante:invest:project:poorest:region:foster:econom:social:cohes,primario
16,european:union:increas:number:monitor:presevo:valley:commiss:consid:way:increas:substanti:aid:devot:area,missione
17,legitimaci:function:polit:natur:presenc:union:observ:proper:polit:role:repres:valu:european:union,missione
18,hope:presid:report:fava:commiss:communic:elect:assist:observ:contribut:improv:european:union:extern:action:effect:visibl:coher:way,missione
19,determin:natur:observ,missione
20,core:experienc:appropri:technic:expertis,missione
21,chief:observ:spokesman:elect:observ,missione
22,commiss:believ:recommend:built:develop:strategi:polit:dialogu:countri:concern,missione
23,report:recognis:aim:parliamentari:realli:ensur:best:possibl:visibl:aeu,missione
24,final:parliamentari:plough:way:world:illumin:light:europ:exampl:stop:franc:investig:rumour:hidden:fund:parti,missione
25,sens:lead:tobacco:industri:reloc:manufactur:plant:countri:cigarett:intend:shall:achiev:loss:european:job,missionario
26,madam:presid:washington:week:great:shock:except:cruel:vile:murder:isra:schoolboy,missione
27,statement:observ:report:opposit:candid:list:instanc:irregular:fraud:said:mar:vote,osservatori
28,madam:presid:ask:support:support:hous:nassauer:organis:come:day,missione
29,unit:state:receiv:congress:met:hostil:administr,visita
30,watch:light:heart:member:popul:embark:peril,operazione
31,identifi:wide-rang:defici:oper:offici:control:product:standard:sector,individuato
32,feel:convinc:american:societi:american:politician:line:europ,missione
33,week:just:past:european:middl:east:shown:polit:influenc,missione
34,duff:point:speech:vision:complementari:atlant:allianc:doe:prevent:quit:opposit:have:progress:european:secur:defenc:polici:increas:integr:arm:polici:institut,missione
35,head:visit:region:octob,capimissione
36,diplomat:mission:member:state:commiss:deleg:new:delhi:sent:fact-find:gujarat:assess:situat:ground,missione
37,talk:differ:problemat:background:necessari:send:gujarat:assess:riot:implic:principl:cooper:base:includ:respect:human:right:democraci:rule:law,missione
38,believ:madrid:summit:conclus:relat:intern:crimin:court:fight:terror:organis:crime:particular:noteworthi:respect:remind:hous:just:return:elector:member:parliament:colombia:question:citizen:countri:offer:wonder:exampl:democrat:matur:civic:courag:ensur:peac:citizen:prevail:threat:violenc:extort:intimid,missione
39,food:veterinari:offic:short:assist,missione
40,obstinaci:unit:left:pursu:goal:regardless:advers:consequ:exampl:connect:second:referendum:ratif:nice:treati:ireland:referenda:access:countri:consid:fact:absolut:compet:field:thank:principl:subsidiar:point:mind:regrett:confus:sens,missione
41,presid:president-in-offic:commission:ladi:gentlemen:unit:state:decis:distanc:intern:crimin:court:announc:sunday:secur:council:henceforth:particip:militari:personnel:grant:immun:reinforc:impress:area:unit:state:adopt:critic:stanc:institutionalis:intern:polit:european:union,missione
42,rule:say:member:parliament:plenari:session,missione
43,took:juli:expert:member:state:commiss:opportun:visit:main:border:post:frontier:area:affect:illeg:immigr:particular:sub-saharan:countri,missione
44,altern:acknowledg:problem:regret:fact:inspect:did:ahead:convinc:did:suffici:reason,missione
45,council:express:appreci:role:turkey:assum:lead:nation:intern:peacekeep:forc:commend:germani:netherland:agre:command:saf:month:wish:success:difficult,missione
46,presid:pleasur:have:nephew:silvio:nardini:sister:son:doe:know:mention:european:parliament:proud:european:forc:involv:peac:afghanistan:gun:say:film:feet:firm:ground,topgun
47,draw:attent:statement:success:presid:european:union:april:octob:leader:decemb:high:repres:decemb,missione
48,osc:allow:stay:aid:just:russian:kosovo,missione
49,attempt:construct:wall:silenc:chechnya:end:osc:eject:intern:organis:major:contribut:end:previous:chechen:war:negoti:settlement,missione
50,hand:secur:council:given:inspector:green:light:want:continu:short:term:us-british:armada:gulf:increas:size:day:pressur:launch:militari:attack,missione
51,aim:resolv:problem:quick:possibl:yesterday:general:affair:council:discuss:recent:develop:north:korea:intern:effort:allevi:situat:solut:precondit:attach:send:high-level:union:pyongyang,delegazione
52,march:confer:tangibl:decis:send:peace-keep:forc:protect:civilian:popul:occupi:territori:refus:allow:israel:obstruct:humanitarian,missione
53,porto:alegr:movement:confirm:kind:outpost:attent:activ:world:public:opinion:quit:clear:member:parliament:present:agre:agenda:feel:worthi:mention,vocazione
54,right:european:union:plan:substanti:larger:oper:involv:take:nato:sfor:bosnia-herzegovina,operazione
55,final:import:real:clear:goal:presenc:forc:told:circumst:come:end:caus:conflict:gradual:albanianis:area:previous:larg:popul:slav,missione
56,preparatori:led:commiss:consist:expert:elect:repres:member:state:cambodia:januari:februari,missione
57,echo:restart:need:assess:monitor:soon:secur:condit:allow,missione
58,year:take:sfor:nato,missione
59,bond:prove:real:natur:famous:esdp,missione
60,heartili:support:effort:holland:capac:chairmanship-in-offic:osc:hold:discuss:russian:govern:connect:modus:operandi:new:osc:chechnya,missione
61,area:notic:polit:group:hous:differ:end:day:certain:exact,obiettivo
62,univers:servic:essenti:prerequisit:attempt:challeng:european:level:public:servic:defin:member:state,missione
63,european:union:elect:observ:saw:parliament:know:disappoint,missione
64,instead:verifi:address:shortcom:criticis:elect:observ,missione
65,point:immedi:respond:secretary-gener:european:union:prepar:carri:task:secur:council:approv:resolut:defin:limit:term:space:term,missione
66,meet:member:secur:council:ask:strive:solut:preserv:integr:rome:statut:smooth:oper:peac:factor:clear:incompat,operazione
67,select:work:develop:countri:bring:substanti:benefit:poorest:countri:low:sum:money,missione
68,point:call:fund:polic,missione
69,young:men:women:dedic:enthusiast:commit:assur:peac:reliev:suffer:popul:war-torn:region,missione
70,encourag:take:greater:step:committe:report:disappoint:far:concern,compito
71,best:demand:mediat:unit:nation:re-establish:work:haitian:polic,missione
72,peac:east:timor:sierra:leon:liberia:reconstruct:afghanistan:humanitarian:work:children:fight:hunger:diseas:indic:continu:play:essenti:role:establish:peac:secur,missione
73,welcom:agreement:parti:resum:negoti:comprehens:settlement:cyprus:problem:framework:secretary-gener:good:offic,missione
74,end:polit:leader:kosovo:work:close:unit:nation:kosovo:kfor:protect:right:section:popul:includ:member:minor:communiti,missione
75,commit:region:certain:step:said:special:repres:rule:law:georgia:emphasis,missione
76,report:head:publish:septemb:state:appear:inter-ethn:intoler:increas:incid:disquiet:general:scale:doe:clear:trend,missione
77,commit:respect:human:right:conspicu:associ:althea:concern:treatment:prison:detain,missione
78,good:major:joint:militari:extend:mandat:take:far:greater:respons:europ:aim:long:term:ensur:bosnia:herzegovina:stabl:peac:multi-ethn:capabl:cooper:region:intern:level,missione
79,date:ethiopia:refus:accept:award:villag:badm:eritrea:intern:border:commiss:-strong:peac:border:work:difficult:ethiopia:failur:permit:demarc:eritrea:restrict:action,missione
80,clear:osc:elector:observ:report:grave:realli:systemat:irregular:result:offici:announc:correspond:ukrainian:elector:want:follow:commiss:accept:result:elect,missione
81,understand:size:observ:attract:comment,missione
82,european:union:make:grave:error:year:promis:turkey:turn:round:sudden:say:turkey:take:serious,compito
83,play:key:role:support:au-l:ceasefir:monitor:activ:support:deploy:expand,missione
84,assur:deleg:kingdom:cambodia:collabor:member:state:countri:follow:close:progress:govern:inquiri:continu:report:develop,missione
85,given:urgenc:situat:parliament:send:confer:monitor:european:intervent:monitor:member:state:encourag:treati:line,missione
86,demonstr:unit:lebanon:wait:clear:answer:emerg:inquiri:held:fact-find:dispatch:kofi:annan:investig:undertaken:lebanes:author:identifi:precis:respons:appal,missione
87,commiss:conduct:libya:end:concern:illeg:immigr:issu:relat:human:right:asylum:given:import,missione
88,evalu:carri:march:particip:unit:nation:european:union:assess:need:enhanc:peace-support:effort:darfur:includ:explor:way:strengthen:ami,missione
89,given:tight:elector:timet:elect:day:presid:eyadema:death:european:union:send:elector:observ:met:usual:standard:observ,missione
