id,phrase,classes
1,european:democraci:austrian:democraci:receiv:lesson:anybodi:certain:belgian:govern:embrac:corrupt:parti:financ:arm:dealer:appoint:leader:corrupt:parti:condemn:court:european:commission,nominato
2,polici:encourag:recruit:women:administr:order:creat:reserv:suitabl:candid:futur:promot:manageri:posit,carica
3,cours:exist:rural:offic:strateg:advantag:dens:distribut:europ,postali
4,madam:president-in-offic:council:commission:right-w:member:parliament:battl:colleagu:support:assist:fellow:citizen:countri:gain:power:access:decision-mak:feasibl:polit:arena:clear:sector:societi,ganglio
5,present:larger:member:state:european:commiss:smaller:member:state,membro
6,fourteen:transfer:director-gener:deputi:director-gener:level:did:involv:promot:grade:case:relat:spanish:french:german:british:offici:chang:meant:advanc:respons:director-gener,incarico
7,panel:make:object:assess:profession:manageri:qualiti:capabl:relev:recommend:shortlist,incarico
8,shortlist:candid:interview:portfolio:commission:direct:concern:case:offici:commission:personnel:moment,ricoprire
9,clear:current:debat:european:parliament:ask:commiss:rotat:senior:lent:support:idea,funzionario
10,grade:cover:wide:rang:concept:offici:hold:import:duti:director-gener:develop:press:media:directorate-gener:aid,aggiunti
11,sake:comparison:refer:period:parliament:establish:total:new:offici,posto
12,august:lebanes:govern:agre:forc:redeploy:occupi:zone:unifil:set:number:perman:zone:taken:posit:israeli-lebanes:border,posto
13,just:say:request:begin:year:commiss:set:work:leadership:presid:commiss:recommend:examin:task:perform:depart:complet:critic:examin:staf:situat,posto
14,basi:direct:amend:improv:protect:anim:transport:provid:addit:measur:protect:hors:mandatori:unload:fix:rest:period:commerci:consign:hors:pass:border:inspect:union,posto
15,realli:highlight:follow:year:commission:long:appoint:tri:rough:estim:work:result:employ:action:succeed,diventasse
16,polit:leader:civil:societi:partner:state:decision-mak:power:strengthen:deleg:situ:happen:elabor:nation:indic:programm:scope:acp:cooper,decisionali
17,want:ask:border:gorica:slovenia:itali,gorizia
18,case:decid:speak:term:avail:ant:control:transit:period,posto
19,samaranch:know:took:ioc:presid:introduc:import:reform,incarico
20,segni:return:day:offici:work:visit:hatzidaki:larger:island:europ:crete:assess:sensit:associ:dual:handicap:underdevelop:remot:handicap:person:know:better:previous:handicap:mountain:region:goe:hand:hand:remot,funzione
21,senior:offici:ensur:merit:reward:vacant:senior:publish:offici:journal:internet,posto
22,come:three-way:dialogu:hope:receiv:good:news:issu:includ:lift:reserv:categori:new,assunzione
23,believ:establish:new:tentat:given:current:task:commiss:forthcom:eastward:enlarg:certain:need:increas:rate:staff:recruit:futur,assunzione
24,end:commiss:request:addit:year:budgetari:author:delight:decis:taken:week:framework:concili:procedur,effettivi
25,token:nepot:lack:transpar:erad:commiss:servic:especi:regard:recruit:temporari,assunzione
