id,phrase,classes
1,fact:issu:organis:crime:terror:traffick:human:immigr:thrown:constitut:singl:problem,calderone
2,worth:recal:pol:bloodthirsti:regim:remain:intern:recognis:long:period:defeat:reason:new:regim:hun:sen:liber:countri:band:murder:suspect:maintain:friend:relat:vietnames:neighbour,pot
3,technic:ethic:justifi:million:anim:die:nastiest:possibl:way:mere:cosmet:industri:produc:cream:million:cream:product,cremette
4,fact:case:call:kettl:black:reason:toler:deceit:fraud:theft:taxpay:money:especi:excus:toler:thing:reason:excus:allow:line:pocket:taken:advantag:year:unpunish,scagliare
5,intern:pressur:forc:fulli:independ:join:new:collect:state:intend:melt:minor:slavon:peopl:manag:integr:proper,slavo
6,cours:extrem:odd:ieng:sari:play:key:role:pol:releas:trial:prime:minist:dismiss:trial:court:justic:hun:sen,pot
7,presid:hous:given:great:deal:attent:cambodia:day:pol:stone:age:communist:doctor:philosophi:sorbonn,pot
8,true:open:window:hold:differ:view:start:smoke:cannabi:hard:drug:establish:fact:slave:heroin:start:smoke:grass,fumando
9,possibl:explan:recommend:provid:immigr:communiti:born:communiti:generat:teach:languag:cultur:origin:teach:extend:indigen:communiti:great:multicultur:melt:aim:creat:quot:common:cosmopolitan:heritag,crogiolo
10,continu:mere:ask:europ:pay:risk:destroy:round,crollare
11,govern:friend:american:follow:pol:pro-chines:reign:terror:vietnames:help:govern:hun:sen:subsequ:elect:produc:result:virtual:imposs:govern:widespread:support,pot
12,read:horror:past:regim:pol:stalin:haunt:think:situat:exist:north:korea:today,pot
13,condit:fulfil:europ:earthenwar:unit:state:cast:iron:give:definit:domin:posit:monopoli:situat:unhealthi,coccio
14,result:lost:million:farmer:make:sicco:mansholt:pol:agricultur,pot
15,concern:human:right:stalinist:russia:maoist:china:today:pol:cambodia:south:america:haiti:east:germani:day:honeck,pot
16,presid:ladi:gentlemen:neighbour:roof:leak:lend:pan:collect:water:cours:effect:help:plug:leak:roof,secchiello
