id,phrase,classes
1,fact:decad:temperatur:risen:centuri,resto
2,receiv:strong:support:commission:interservic:consult:commiss,altri
3,warm:thank:rapporteur,resto
4,peac,riposo
5,ladi:gentlemen:ask:matter:take:account:fact:commiss:support:amend:sterckx:refer:amend:later:accept:initi:draft,altri
6,say:folia:worri:problem:footwear:generally-speak:trade:relat:europ:mexico:proven:worth:past,inoltre
7,lay:apprehens,apprensione
8,akin:birdal:start:serv:sentenc,scontando
9,constitu:cours:aberdeen:angus:beef:just:renown:world:sure:true:region:member:state,dirsi
10,madam:presid:wish:request:split:vote:term:four-fifth,resto
11,just:jacqu:delor:valeri:giscard:esta:helmut:schmidt:recent:propos:core:countri:europ:road:integr:union:develop:confeder:independ:state:differenti,resto
12,repli:write,altre
13,obvious:follow:huge:repercuss:econom:employ:european:union,altre
14,main:criteria:met:achiev:object:need:reliabl:assess:measur:taken:effici:need:implement:member:state:candid:countri:central:eastern:europ:countri:right:legal:framework:relev:agreement,centrorientale
15,know:group:spend:great:deal:think:money:extrem:rich:great:deal:money:money:need:budget:day:sure:end:meet:month,saprete
16,struggl:banish:fear:day:basqu:countri:spain:popular:civic:peac:backlash:tyranni:murder:terror,resto
17,candid:set:pace,resto
18,far:hold:decis:oper:kosovo:serbia:press:urgenc:advanc:mere:formal:issu:certain:good:imag:communiti:present:world:polit:term,accampando
19,rapporteur:call:parliament:approv:suppos:social:polici:commiss:propos:council:word:approv:total:vacuum:singl:practic:measur:like:improv:situat:worker,resto
20,voluntari:natur:mean:task:control:product:born:nullifi:effect:produc:limit:crisi:arriv,rimanente
21,submit:write:barón:crespo,resto
22,respons:put:measur:member:state,spetta
23,standpoint:state:block:drag:parliament:support:view:use:futur:architectur:institut,rimanente
24,view:common:posit:decid:today:number:crucial:weak:disput:far:debat:term:principl,resto
25,statement:night:victori:good:evil:saddam:hussein:good:world:evil,resto
26,presid:end:point:need:assist:commiss:work:complic:field:prioriti:given:creat:european:air:safeti:agenc:need:independ:regul:current:consid:issu:relat:period:aircrew,riposo
27,russia:rail:gaug:differ:countri:lot:russian:carriag:wagon:run:finland:built:accord:gost:standard,altri
28,turn:audit:personnel:food:veterinari:offic:visit:number:member:state:end:decemb:intend:visit:earli,altri
29,understand:bullmann:say:growth:actual:take:laurel,riposare
30,third:comput:instal:home:link:internet:possibl:sick:elder:talk:famili:children:friend:live:world:speak:unfortun:guest:home,riposo
31,legal:basi,resto
32,year:type:commiss:month:old:commiss:number:problem:know:month:commiss:whatsoev:take:manag:decis:year:new:commiss:implement:reform,resto
33,amend:deal:eea:efta:countri:accept:principl:come:articl:particip:countri,resto
34,amend:cover:amend,coperto
35,troubl:join:debat:area:call:discuss:asem:ensur:increas:parliamentari:particip,riallacciarmi
36,despit:continu:effort:intern:communiti:terribl:realiti:afghanistan:unfortun:show:taliban:regim:remain:impervi:argument:pressur:abroad,resto
37,advis:govern:member:state:good:look:report:contain:seri:tip:manag:crisi,inoltre
38,send:clear:messag:unit:state:world:commit:goal:determin:combat:climat:chang,resto
39,adapt:vote:report:despit:fact:wholeheart:support:report,resto
40,gothenburg:summit:confirm:direct:taken:lisbon:stockholm:requir:economi:tackl:harsher:anti-grass:root:measur:hit:worker:start:pension:nation:insur:system:general,altronde
41,europ:cultur:histor:social:heritag:generat:human:right:french:revolut:build:european:histori:success:european:integr:guarante:uniqu:privileg:role:european:union:play:world,resto
42,grass-root:understand:employe:meet:demand:fresh:think:flexibl:adapt:appli:societi,resto
43,propos:set:monitor:committe:right:work:liaison:italian:member:parliament:social:forum:genoa:partner:wish:help:discov:truth:matter,genoa
44,ask:question:presid:awar:question:nos:repli:write,altre
45,question:give:express:common:basi:valu:european:cooper:ultim,reggersi
46,sixth:high:speed:rail:interoper:iberian:network:adapt:track:gaug:european:contin:eas:sky:land:congest,resto
47,second:just:said:clear:serv:integr:iberian:peninsula:european:union:just:rhine-rhon:project:paris-stuttgart-linz-vienna:later:budapest:rail:project:serv:integr:east:current:european:union,resto
48,commiss:believ:provid:pass:million:tonn:iberian:peninsula:european:contin,resto
49,longer:term:absolut:prioriti:maintain:control:flow:land:transport:alpin:region:hinder:freedom:movement:econom:develop:specif:access:italian:peninsula:europ:base:element:mention:moment:provid:alp:major:rail:cross:carri:proport:rail:transport:burden,resto
50,determin:racism:articl:european:union:say:world:approach:problem,resto
51,great:respons:develop:countri:govern:ngos:especi:religi:leader:wield:moral:author,ricade
52,help:intern:communiti:specif:european:union:timor:turn:independ:marvel:fine:exampl:world,umanità
53,open:debat:realli:know:turn:conduct:busi:way,altri
54,quit:clear:accept:report:fall:world:develop:import:treatment:cancer:diabet:parkinson:alzheim:diseas,coda
55,fact:endeavour:acp-eu:cooper:global:develop:cooper:effort:proof:fact:tri:develop:left:market,testimoniano
56,realiti:strategi:integr:environment:polici:union:polici:strategi:mention:recent:european:council:repeat:especi:gothenburg:european:council:appli:practic:especi:relat:industri:polici:fisheri:polici:union:polici,restanti
57,agre:exclus:determin:women:condemn:live,resto
58,european:union:condemn:phenomenon:countri:presum:lectur:world:confront:fundament:territori,saccente
59,year:european:union:world:standardis:prudenti:rule:essenti:financi:activ:form:supervis:practis:bank:insur:author,resto
60,believ:order:bring:matter:satisfactori:conclus:accord:rule:procedur:refer:report:committe:report:concern:council:vote:report,restante
61,palestinian:muslim:christian:dream:wish:countri:secur:viabl:base:just:fair:settlement,pace
62,feel:tourism:aim:satisfi:need:worker:work:class:general:recreat:vital:maintain:strength,riposo
63,fundament:problem:movement:transit:person:stem:transit:enclav:territori:russian:feder:candid:countri:join:union:fulli:appli:schengen:legisl,resto
64,appear:intern:communiti:turn:attent:entir:away:central:america,centroamerica
65,presid:amend:draw:attent:hous:particular:support:general:philosophi:report:intend:priori:vote:favour:end:fact:amend:stand:total:contradict:report,resto
66,mention:follow:ali:programm:develop:inform:societi:four-year:programm:receiv:eur:million:commiss:provid:million:latin:american:countri:provid:figur:reach,resto
67,prime:respons:irish:govern,incombe
68,recit:remain:drawn:common:posit,resto
69,said:today:immigr:secur:relat:world:depend:effect:larger-scal:mediterranean:polici,mondo
70,clear:item:legisl:certain:lay:issu:enzym:product:label,enzima
71,issu:rais:so-cal:packag:meet:expect:repli:end:year,altre
72,crucial:harmonis:flight:time:work:hour:requir:cabin:staff:view:futur:enlarg:especi:feel:urgent:need:protect:worker:light:expans:low:cost:airlin:european:union,riposo
73,leav:rapporteur,resto
74,agreement:inspector:have:given:opportun:enter:iraq:concern:weapon:mass:destruct:unit:state:unscom:reason:suspect:produc:dead:danger:peac:middl:east:world,resto
75,step:forward:let:hope:characteris:presid:futur:presid,mese
76,categori:fit:human:consumpt:includ:cater:wast:categori,sottoprodotto
77,assur:hous:bureau:make:effort:rule:procedur:chang:ensur:debat:plenari:exact:said,resto
78,auction:solut:market:function:auction:take:europ:competit:world:distort,resto
79,respons:european:institut:awar:complex:divers:economi:member:state:appli:criteria:alik:just:respons:track:develop:europ:world,resto
80,earli:laurel:european:union:remain:reason,riposarsi
81,candid:member:state:earli:laurel,dormire
82,last:control:globalis:usa:domin:world:polit:militari:term:industri:financi:group:care:control:usa:world:stock:exchang,restanti
83,consensus:reach:joint:declar:regard:transit:kaliningrad:russia,resto
84,accept:respons:form:climat:chang:nonetheless:regard:parti:industrialis:world:contribut:creat:climat:chang:way,altri
85,mere,resto
86,particular:true:turkey:repres:constant:danger:middl:east:north:africa,resto
87,think:believ:numer:accid:relat:period:drive:time:question:speed,riposo
88,obvious:sensibl:spend:travel:vehicl:state:text,riposo
89,simpl:new:rule:mean:doubt:long:driver:requir:break,riposo
90,imagin:mean:real:life:tractor:realli:tachograph:driver:milk:lorri:goe:farm:farm:longer:chat:period:farmer:respect:sequenc:drive:time:period:travel:rotterdam:munich,riposo
91,unaccept:authoris:divis,riposo
92,forget:issu:heart:crisi:saddam:hussein:treat:world:world:treat:saddam:hussein,resto
93,countri:belarus:border:latvia:lithuania:poland:develop:fair:similar:way:member:ussr:year:taken:authoritarian:cours:restrict:human:right:democraci:impos:abus:social:control:prevent:european:union:establish:mechan:relat:associ:cooper:countri,altri
94,problem:sustain:broad:sens:environment:natur:grave:consequ:pollut:creat:transport:cancel:save:industri:view:fulfil:kyoto:commit:impact:natur:general:health:citizen:accord:report:reach:level:practic:transport:accid:level,altri
95,agre:jarzembowski:port:direct:competit:port:complet:inadmiss:simultan:arrang:regul:competit:port,resto
96,practic:remov:shark:fin:throw:sea:aliv:consid:threat:surviv:speci:shark:furthermor:lay:open:charg:barbar:entir:incompat:principl:declar:upheld:european:integr,resto
97,conclus:express:wish:futur:young:student:univers:scholar:research:european:union:world:contin:sourc:learn:train:mutual:understand,resto
98,wonder:way:netherland:model:europ,resto
99,think:smart:set:european:intellig:energi:agenc:chanc:usa:environment:protect:agenc:earli:eye:world,resto
100,union:co-initi:roadmap:laurel:fact:daili:attempt:sharon:govern:destroy:slim:chanc:peac:belief:current:host:white:hous:understand:reason,restare
101,second:problem:applic:solut:movement:kaliningrad:russia:overcom,resto
102,propos:follow:budgetari:council:brussel:octob:communiti:budget:cut:just:modul:rural:develop:leav:fund:sector:reform:pillar,resto
103,person:dream:europ:great:power:world:affair:policeman:teacher:world,resto
104,label:product:result:reject:certain:catch:world,resto
105,world:eager:anticip:parliament:vote:tomorrow:compromis:packag,resto
