@relation education-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {onderwijs,basisonderwijs,onderwijsniveau,basisopleiding,onderwijsbeleid,licht,informatiecampagnes,voorlichting,vorming,school,veltroni,opleidingsniveau,studeren,opvoeding,onderwijsprogramma,pr-bijeenkomsten,onderwijspeil,onderwijssysteem,volwassenenonderwijs,bijscholingsprogramma,scholing,bewustmaking,opleiding,cultuurcommissie,cultuur,onderwijsdoelstelling,educatief,beschavingsniveau,bijscholing,schoolonderwijs,onderwijsgebied,onderwijsraad,educatieve,onderwijsnetwerken,opgeleid,onderwijskwaliteit,onderwijsdoelstellingen,aanzet,milieuonderwijs,leer,basisvorming,hooggeschoolden,verkeerssector,universiteit,onderwijsmogelijkheden,onderwijsveld,onderwijssector,onderwijsaanbod,bodin,onderwijsstelsels,onderwijsinstanties,onderwijsstelsel,laaggeschoold,zeevaartopleiding,beroepsschool,onderwijsinstelling,voorlichtingscampagne,onderwijssubsidie,opleidingsmaatregelen,educatie,onderwijszaken,consensusdocument,onderwijsniveaus,ondernemersmentaliteit,zorglijke,burgereducatie,tandheelkunde,vergemakkelijken,education,opleidings,hogeronderwijsinstellingen,hogeronderwijsdiploma,mensenrechteneducatie,media-educatie,universitair,leerproces,beroepsonderwijs,studie,ongeordende,infrastructuurwerken,onderwijstaak,onderwijs-opleiding,hogeronderwijsstelsels,cultuurtoerisme,pleitbezorgster,opleidingsprogramma,aanleren,opleidingssystemen,onderwijskansen,onderwijsvoorziening,onderwijspraktijk,meisje,onderwijsvraagstuk,vredesonderzoek,kwaliteitsonderwijs,schoolopleiding,onderwijsprobleem,bedrijfsopleidingen,afstandsonderwijs,leerprogramma,onderwijscircuit,kennisoverdracht,veiligheidstroepen,opleidingsbeleid,onderwijsministers,onderwijsruimte,bijscholingsbeleid,goedopgeleide,pedagogisch,onderwijsdoeleinden,sites,opleidingsgebied,kleuteronderwijs,aanvoelden,opleidingstechnische,culturele,onderwijsinfrastructuur,onderricht,opleidingsmogelijkheden,percentage,drukkere,voorgelicht,immigrantenmilieus,pedagogische,opleiden,onderwijzen,onderwijsperiode,geschoold,loopbaan,gezondheidseducatie,schoolrecht,onderwijsdiscussie,coachen,onderwijswereld,onderwijsen,hogeschoolopleiding,neponderwijs,ontwikkelingsniveau,kunstonderwijs,onderwijscampagnes,onderwijsbudget,voorlichtingsprogramma,ijverden,onderwijskosten,verkeersbewustzijn,volksonderwijs,opleidingsdiensten,onderwijsterrein,basispakket,universitaire,voorlichten,volwasseneneducatie,sportonderricht,gezondheidsvoorlichting,onderwijsvoorstellen,verblijfsduur,vaardigheid,postdoctorale,kennisland,opleidingskwesties,onderwees,onderwijsmarkt,bugerschap,onderwijskwesties,vormingssessies,onderwijsstrategieën,onderwijsmaatregelen,milieu-educatie,leermethode,volwasseneducatie,onderwijspakket,hogeschool,beroepsopleiding,informatie,schoolsysteem,gezondheidsopvoeding,leerzaam,volksontwikkeling,opgevoed,voorlichtingsbeleid,leerschool,onderwijsgelden,verkeersopvoeding,gezondheidsonderwijs,onderwijsbegrotingen,hogeronderwijsgebied,leerplicht,opleidingsstelsels,kruidenierswinkel,wereldonderwijsforum,opleidingsinstellingen,onderwijscommissie,franchising,onderwijsbestel,onderwijsdossier,onderwijsbeleidsmaatregelen,kiezersvoorlichting,onderwijsmodel,sportleraren,opvoedingssysteem,milieulessen,beroepspersoneel,getraind,beeindigd,lof,hogereberoepsdiploma,leerlingwezen,kansonderwijs,onderwijsbehoeften,commissie-kahn,hoger-onderwijsdiploma,eucultuur,verstrekkers,etnologische,practices,vervolgopleiding,verkeersonderricht,onderwijsactiviteiten,bibliotheek,vredeseducatie,universiteitsstudies,uitzonderingsmogelijkheden,arbeidplaats,onderwijstaal,opleidingscentrum,publieksvoorlichting,onderwijsconsumenten,talenonderwijs,evenement,levenslang,opvoedkundige,kennis,staatsonderwijs,onderwijshervormingen,leerplichtige,onderwijsprojecten,leervormen,scholingsacties,opvoedingssessie,onderwijsfase,gezondheidszorg,onderwijscampagne,burgerzin,pedagogie,educatieacties,onderwijsdiensten,levensmiddelenbeleid,voedselconferenties,artistieke,opleidingsnetwerken,brug,onderwijseuro,hogeschooldiploma,beroepsopleidingsdoeleinden,productiefactor,onderwijsgebieden,milieueducatie,onderwijsopvatting,jongere,infotechnische,conserveren,gemeenteraad,naastenliefde,mediaonderwijs,welopgevoedheid,opleidingsbasis,onderwijscentra,verstrekte,arbeidsmarktstructuur,ontwikkelingland,waarnemersorganisaties,onderwijsorganisatie,al-assad,huisvesting,moedertaal,opvoeden,ontwikkeling,onderwijsstructuren,opgeleiden,voltallige,beklemtonen,tempus-onderwijsprogramma,ehbo-les,maatschappijleer,volksontwikkelingswerk,onderwijsgemeenschap,gastdocent,leonardo,ambtelijke,loke,waardeschaal,schooldiploma,learning,onderwijsevaluatie,anderstown,onderwijshervorming,vakkenpakket,lestaal,provinciale,naderen,anticonceptiemiddel,herdenkingscentrum,onderwijscurricula,onderwijsstrategie,prestigieuze,yeng,degelijker,onderwijswebsite,diploma,afhaken,milieu-opvoeding,campagne,bijgeschoold,ruimtevaartonderwijs,bijscholingsstructuur,ryynänen,opleidingsinstituut,tolerante,opleidingsproblemen,onderwijsmensen,volkshogescholen,onderwijsrechten,jaartal,schoolbezoek,kolonisatieruimte,kwaliteitsverhoging,basisscholing,basisschool,onderwijscrisis,drankgebruik,woonruimte,studietoelage,berekeningsgrondslag,arbeidsmarktomstandigheden,hogeronderwijsmodel,ouderenonderwijs,taalopleiding,filmliefhebbers,leerkracht,onderwijsvlak,vrouwenonderwijs,peuterschool,ondoeltreffendheid,onderwijswetenschap,publiciteitsinitiatieven,hogeronderwijsbeleid,rapportage,tedere,taaldocent,contraceptie}

@data
1,possibl:govern:decentralis:higher:unquestion:use:polici:even:develop,onderwijs
2,interreg:serv:princip:fund:communiti:scheme:develop:smes:train:cultur:exchang:combat:health:problem:protect:improv:environ:energi:transport:telecommun:network,onderwijs
3,regard:problem:afflict:macedonia:higher:albanian-speak:citizen:deserv:special:attent,onderwijs
4,countri:children:better:chanc:basic:health:care:year:today,basisonderwijs
5,depend:boost:econom:growth:european:suffici:extent:generat:employ:level:citizen:train:worker,onderwijsniveau
6,import:stress:youth:awar:earli:develop,onderwijs
7,social:democrat:polici:economi:futur:remind:problem:internet:economi:europ:lag:lack:entrepreneuri:spirit:behaviour:govern:way:institut:function,onderwijs
8,possibl:invest:greater:extent:guterr:yesterday:call:human:capit:basic:plus:import:lifelong:train,basisopleiding
9,requir:care:mixtur:first:absolut:necessari:legisl,onderwijs
10,adequ:look:given:access:medic:care:social:entitl:children,onderwijs
11,thousand:children:world:suffer:systemat:violat:fundament:right:domest:cruelti:goe:undetect:unpunish:econom:exploit:labour:rob:childhood:war:forc:play:horrif:role:child-soldi:prostitut:pornographi,onderwijs
12,second:improv:recept:condit:includ:provid:access:health:care:provis:children:train,onderwijs
13,truli:disput:point:frame:liberalis:energi:transport:market:public:servic:tax:packag:compet:region:author:train,onderwijs
14,make:sens:unifi:polici:european:level:countless:problem:arrang:recognis:diploma,onderwijsbeleid
15,import:issu:aid:environ:address:theme:develop:understand:essenti:element:challeng:sustain:develop:africa:erad:poverti,onderwijs
16,know:debt:relief:african:agenda:allevi:poverti:evid:fund:save:better:health:care:better:improv:standard:live:arm:war:materi,onderwijs
17,presid:conclus:bold:aim:improv:employ:inform:societi:drag:chain:serv:rational:tool:support:part-tim:work:tele-employ:piecework:employ,onderwijs
18,unsubdu:uncompromis:unyield:fight:demand:steadi:employ:social:polici:includ:insur:health:pension:protect:unemploy:real:equal:opportun:substant:profession:train,onderwijs
19,presid:year:involv:campaign:promot:world,onderwijs
20,undersign:member:confeder:european:unit:left:nordic:green:left:agre:entir:point:view:commiss:committe:cultur:youth:media:sport:languag:crucial:compon:human:communic:spoken:written:languag:sign:languag:languag,onderwijs
21,commission:first:activ:polici:econom:sector:intend:bring:play:order:achiev:better:area:sens:respons:develop,licht
22,vital:establish:inform:prevent:young:countri:concern:client:famili:men,informatiecampagnes
23,help:bodi:exploit:commerci:purpos:countri:countri:origin:increas:aid:develop:cooper:countri,onderwijs
24,subject:futur:connect:initi:cultur:new:technolog:connect:initi:launch:european:parliament:instig,onderwijs
25,issu:creat:problem:women:right:sex:free:abort:safe:sex:order:protect:hiv:aid,voorlichting
26,member:state:duti:provid:polit:inform:accord:principl:subsidiar,vorming
27,possibl:estim:percentag:young:approxim:approxim,school
28,requir:detail:honour:member:consult:collect:entitl:key:data:european:union:produc:eurydic:collabor:eurostat:publish:commiss:french:german:english,onderwijs
29,presid:chairman:committe:cultur:youth:media:sport:person:acknowledg:extrem:valuabl:work:carri:veltroni,veltroni
30,item:report:heaton-harri:behalf:committe:cultur:youth:media:sport:report:commiss:survey:socio-econom:background:erasmus:student:com:cos,onderwijs
31,contrari:programm:instead:use:student:parent:high:level:correspond:level:incom,opleidingsniveau
32,furthermor:shall:consid:question:moment:french:presid:wish:develop:real:plan:foster:mobil:minist:jacqu:lang:just:set:specif:meet:minist:theme:mobil,onderwijs
33,right:follow:death:divorc:exampl:relat:automat:right:resid:host:countri:just:given:right:work:receiv:countri,studeren
34,sport:need:new:definit:consid:integr:train:young:free:integr:social:exclud:disabl,opvoeding
35,need:tri:improv:role:play:sport:role:teach:physic:curricula:school,opvoeding
36,need:establish:vast:programm:reinstat:true:valu:sport:school:life:exampl:youngest:generat,onderwijsprogramma
37,congress:seminar:event:construct:discuss:area:societi:necess:opportun:rethink:direct:lifelong:learn,pr-bijeenkomsten
38,final:recommend:pay:attent:point:constitut:good:guid:achiev:higher:level:european:union:level,onderwijspeil
39,system:specialis:contrari:say:self-enclos:educ:cours:limit:heavi:emphasi:final:examin,onderwijssysteem
40,access:money:problem:think:quantit:object:requir:connect:expenditur:adult,volwassenenonderwijs
41,help:reflect:implement:adult:compon:grundvik:form:socrat,volwassenenonderwijs
42,reason:young:teenag:discourag:learn:rigid:stick:establish:line:tri:fit:squar:peg:round:hole,onderwijssysteem
43,year:ought:devis:evalu:train:syllabus:offici:politician:enabl:measur:meet:need:profession:develop,bijscholingsprogramma
44,acknowledg:train:lifelong:summit:meet:commiss:member:state:encourag:defin:coher:strategi:practic:measur:order:lifelong:train:access,scholing
45,societi:wish:truli:civilis:duti:track:prohibit:punish:erad:racism:mean:prosecut,bewustmaking
46,europ:massiv:invest:prevent:combat:job:insecur:reaffirm:fact:non-european:resid:right:european:resid,onderwijs
47,free:free:access:job:centr:fundament:right:foot:right:life:human:digniti,onderwijs
48,subject:basic:women:right:immigr:right:right:right:accommod:right:employ:decent:wage:charter:inadequ:occasion:retrogress,onderwijs
49,given:ident:curriculum:vita:ident:ident:career:young:french:sound:time:chanc:recruit:young:north:african:sound:twice:young:portugues:spanish:sound,opleiding
50,appar:report:committe:cultur:youth:media:sport:threshold:work:visit:countri:hear:complaint:obstacl:mobil:implement:level:red-tap:involv:applic:number:bodi:carri:inspect:late:payment,cultuurcommissie
51,saturday:pari:council:minist:exclus:issu:mobil,onderwijs
52,head:govern:region:nation:govern:realis:role:play:want:develop:econom:social:side:european:union,onderwijs
53,mrs:pack:behalf:european:parti:christian:democrat:european:democrat:fyrom:law:higher:univers,onderwijs
54,long:albanian:opportun:attend:univers:cours:languag:offici:macedonia,onderwijs
55,univers:fund:taxpay:money:albanian:speaker:pay:tax:just:entitl:share:come:pay,onderwijs
56,committe:cultur:youth:media:sport:tri:remain:framework:propos:appropri:set:prioriti:befit:special:committe,cultuurcommissie
