@relation execution-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {beheer,vervallenverklaring,doodstraf,executie,uitvoering,vietnamees,terechtstelling,strafuitvoering,lionel,tenuitvoerlegging,delegatiefase,uitvoeringsfase,executeren,project,uitoefening,bestedingspercentage,besteding,benadeelden,hoofdzaak,huzarenstuk,voorspoedige,vonnis,dodenwake,realisering,uitvoerende,uitgevoerd,hoeseini,terdoodbrenging,asterisk,liquidatie,veroordeelde,gekoesterde,proeftijd,uitvoeringsverslagen,uitvoeringsorgaan,staak,afrekening,doodvonnis,gefunctioneerd,steniging,informatie-eisen,inwilliging,hongermarsen,deleg,dhondup,stenigen,uitvoerbaarheid,reglementeert,onvrijwillige,uitvoer,uitvoeringspercentages,initiatief-peace,dragen,nagegaan,programmapacte,vervulling,burgerdienst,nederlaag,voltrekking,kongo,houdend,rechtshandhaving,geformuleerde,uitvoeren,geëxecuteerd,massa-executies,massaexecuties,realiseren,terechtstellen,excecuties,transitief,uitvoeringsdoelstellingen,iranese,sharon,huntsville,portemonnee,executiebevel,uitstel,rechtsprocedure,uitvoeringsgraad,restrictiever,begrotingsregels,basisbesluiten,yassin,fusillade,toeziet,wots-verdrag,opgelopen,doodsvonnis,monsterlijke,verslag-morillon,vn-verband,andersoortig,uitvoeringsplatforms,basisbesluit,ten-t,braziliaan,uitgedachte,afstel,juridisch-politioneel,initiatiefprogramma,shibarghan,subsidieverlening,larrañaga,uitvoeringsbepalingen,benut,pennsylvania}

@data
1,mutual:consensus:effort:term:budgetari:rationalis:awar:lack:resourc:absenc:financi:autonomi:poor:budget:continu:urgent:issu:resolv,beheer
2,appear:council:decis:stay:taken:immin,vervallenverklaring
3,state:retain:death:penalti:carri:given:year,doodstraf
4,abu-jam:usa:Öçalan:turkey:abdul:achmin:sabiin:iraq:condemn,executie
5,nineteen:year:abolit:death:penalti:franc:initi:current:taken:favour:nation:day:institut:univers:moratorium:capit,doodstraf
6,instanc:propos:commiss:increas:respons:authoris:offic:commit:payment:bring:end:centralis:prior:approv:transact:financi:control:creation:independ:intern:audit:servic:line:key:requir:improv:financi:manag:lay:opinion,uitvoering
7,burma:member:asean:number:year:absolut:evid:date:show:improv:end:forc:labour:suppress:free:speech:free:movement,executie
8,circumst:surround:begin:year:vietnamese-canadian:citizen:undoubt:support:convict:regard,vietnamees
9,commiss:opinion:question:regard:delay:project:compet:greek:author,uitvoering
10,recent:form:human:right:violat:instanc:disappear:extrajudici:preced:tortur:particular:despic,executie
11,awar:situat:turkish:prison:mean:ignor:violenc:intransig:prison:fact:case:turkish:author:lost:control:section:prison:constant:report:authorit:sourc:summari:prison:tri:detach:organis:belong:lot:drawn:select:prison:fast:death,executie
12,let:equal:clear:deepli:concern:kill:isra:civilian:palestinian:recent:palestinian,terechtstelling
13,kill:unaccept:circumst:carri:palestinian:author:isra:armi:assassin:polici,executie
14,addit:palestinian:author:respect:human:right:higher:degre:term:exampl:treatment:prison,executie
