@relation letter-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {briefwisseling,schrijven,brief,controlemiddelen,verlanglijst,aanvulling,ontslagbrief,nota,sectorbrieven,letter,intentieverklaring,daarin,omkleed,aanmaningsbrief,schreef,reikt,gatt-akkoord,toegepast,dichtbij,verdedigen,gestuurd,ashgabat,aanmaning,zode,verzekeringsrichtlijnen,humanistische,schriftelijk,aanmaningsbrieven,gebrek,rogatoire,bombrief,besteld,rectificatiebrieven,condoleancebrief,herfstnota,onaanvechtbare,reglement,tekst,schriftelijke,trefwoord,aanmelding,ambivalente,nakoming,brievenmarkt,niet-verbindende,amenderende,inhoud,veertigtal,waarschuwing,littera,gemondialiseerde,beschavende,pact,inbreukprocedure,circus,standaardbrief,document,letterlijk,richtsnoer,brandbrief,tenvolle,strikt,opgevolgd,zaak,gewisseld,postvak,fax,inhoudelijk,inbreukbrief,correspondentie,geruster,briefvorm,chantagebrief,ongewijzigd,doorstuurt,alledag,wijzigingsnota,gedraagt,begrotingsaanpassing,sub,klachtenbrief,bevestigingsbrief,lettergrootte,reageren,waarschuwingsbrief,eenmaken,doorsnijdt,differentiatiebeginsel,anita,tours-gebouw,kreet,verificatieverzoeken,brievenbus,associatieregeling,toepast,gerangschikt,gehouden,enigen,verouderd,waarschuwingsbrieven,arbeidspraktijken,sollicitatieprocedure,controleverslagen,geantwoord,priorbrief,gesmeten,vrekkenbrief,bedankbrief,verklaring,inhield,lobbyist,briefpost,geweken,royale,clubmed,organisatiecomité,aangeeft,opperde,genegeerd,begrotingsoverleg,luistert,mededeelt,ondertekenen,feestelijke,verzekeren,kennisgeving,niet-exporteerbaarheid,verzenders,tussenorganisaties,spatiebalk,cyrillisch,binnenging,protestbrief,briefschrijven,sorteren,afgevuurd,beschuldigen,geest,verbazingwekkender,asielbedriegers,punt,juridisch-taalkundige,brievenpost,toetredingsvoorwaarden,gestoeld,handelsverdrag,afwijking,reprimande,dierziektenfonds,overhandigd,condoléancebetuiging,eenprocentsgrens,voeder,verklaarden,synoniem,bekommernissen,rectificative,lobbybrieven,overneemt,geleerde,vertolken,steminstallatie,hills,post,aangeschreven,rechtshulpverzoeken,every,beschaafde,letterlijke,doodgraver,kozen,sharipov,document-solana,handelswaar,nadrukkelijke,ontvang,huls,kind,ontvangstbevestiging,elefantiasis,mediabedrijf,letteren,neonletters,waarvandaan,geboekte,niet-functioneren,pastrana,absentie,visten,onverstoorbaar,wetswijziging,stipte,miltvuurbrieven,boodschap,dreigbrief,schrijver,hoofdletter,barber-arrest,gesorteerd,toezenden,belastingvrijstelling,gezonden,aow-uitkering,gistermorgen,aangetekende,ii-c,komma,ontvangst,begroting}

@data
1,agreement:reach:exchang:lord:plumb:delor,briefwisseling
2,presid:ladi:gentlemen:date:august:decemb:council:call:european:parliament:pursuant:articl:treati:deliv:opinion:draft:convent:member:state:aim:guarante:improv:mutual:assist:crimin:matter,schrijven
3,acknowledg:respons:parliamentarian:sent:effect:head:govern:yesterday,brief
4,point:adopt:convent:direct:subsequ:remain:dead:lack:inspect:resourc,controlemiddelen
5,refer:question:unclear:european:commiss:concept:coastal:water:western:sahara,brief
6,mrs:haug:allow:congratul:report:success:concentr:prioriti:imagin:receiv:lot:request:lot:santa:ask:includ:pet:concern,verlanglijst
7,famili:israel:set:case:motion,brief
8,barón:crespo:tell:follow:written:wurtz:draft:tunisian:author:state:wurtz:want,brief
9,behalf:deleg:thank:commiss:immedi:express:sympathi:prodi:municip:ensched,brief
10,briefli:point:commiss:propos:includ:propos:amend:budget,aanvulling
11,discuss:extrem:thorough:yesterday:receiv:mrs:palacio:inform:committe:opinion:issu,brief
12,surpris:just:read:chairperson:legal:affair:committe,brief
13,read:reflect:person:motiv:chairperson:mep:forward:doe:reflect:point:view:legal:affair:committe,brief
14,june:sent:regard:proceed:monday:june:whit:monday,brief
15,say:question:prompt:number:receiv:constitu:issu,brief
16,complaint:lodg:offici:channel:mean:perman:repres:cyprus:unit:nation:ambassador:zackheo:annan:june,brief
17,actual:seen:pelinka:resign,ontslagbrief
18,regard:commiss:budget:council:did:decis:juli:await:amend:commiss:just:present:council:examin:propos:appli:lesson:reorganis:work:head:neil:kinnock,nota
19,foremost:presid:receiv:gem:day:ask:partnership:turkey:european:union:draw:board:mention:helsinki:articl:relat:greek-turkish:relat:word:border:differ:question:progress:cyprus:issu,brief
20,quot:word:word:date:madam:presid:read:plenari,brief
21,evid:rais:issu:includ:problem:mrs:langenhagen:refer:introduct:elaps:sector:sent:report:debat:parliament:length:attribut:work:relat:commiss:court:auditor,sectorbrieven
22,sister:constitu:draw:attent:prison:march:similar:suspicion,brief
23,clear:violat:spirit:aforement:decis:taken:head:govern:regard:seat:parliament,letter
24,realli:quit:dread:contradict:treati:hope:happen,letter
25,madam:presid:recal:correct:follow:resolut:tunisia:adopt:decemb:presid:ben:ali:suppos:sent:shall:say:courtesi,brief
26,answer:verbal:write:awar:decis:govern:took:continu:rout:undertaken:actual:receiv,brief
27,associ:agreement:dead:respect,letter
28,feel:human:right:prioriti:opportun:ask:presid:parliament:send:colombian:author:call:respect:human:right:urg:govern:endeavour:ensur:say:negoti:liber:armi:forc:agreement:reach:fail:includ:immedi:liber:european:colombian:citizen:european:non-european:depriv,brief
29,second:question:concern:fact:commiss:wrote:commission:gradin:believ:way:attack:individu,brief
