@relation mission-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {doelwitten,werkbezoek,missie,team,waarnemersmissie,missiehoofden,ovse-missie,delegatie,inspectiereis,hoc-commissie,vertegenwoordiging,inspectie,eu-missie,vredesmissie,trojka,waarnemingsmissie,nmd,beoordelingsmissies,opdracht,vijandig,onderzoeksmissie,taak,afgezant,eu-missiehoofden,politiemissie,offensieve,verkiezingswaarnemingsmissie,eu-verkiezingswaarnemingsmissie,inspectiemissie,inspectiemissies,verkenningsmissies,hulpmissie,zending,reis,onderhandelingsdelegatie,onproductieve,roeping,deskundigenmissie,vredestaak,rechtsstaatmissie,althea,stuur,verkiezingswaarnemingsmissies,cohesiebeleid,hübner,opvoedende,eu-rechtsstaatmissie,unmik,eu-missies,vn-missie,bureau,langetermijnmissie,ad-hocmissie,unifil,unifil-missie,onderhandelingsmissies,afgesproken,medisch,ovse-land,bezoek,vn-delegatie,verkiezingswaarnemingen,petersberg-taken,scholastiek,mission,nederzettingsactiviteiten,belast,kvm,terugkwamen,rampsituaties,ovse-waarnemersmissie,hulpverlening,regenboogactie,verificatiemissie,ovse-delegatie,bestuurbaarheid,delegatieleider,eu-delegatie,vredesherstel,vredesinitiatief,onderzoeksmissies,waarnemer,zendingsbewustzijn,observatiemissie,zinni,najaagt,dienstreis,navo-missie,toer,handelsbarrières,uiterste,basisregel,beeld,plan,inspectiebezoeken,relex,verkiezingswaarnemer,eerbiediging,lex-missie,isaf-missie,fact,expertise,onaangekondigde,trojkamissie,minuut,vn-vredesmissie,vredesondersteuningsmissie,trojka-missie,zaïre,waarschuwingseenheid,vn-onderzoekscommissie,felipe,taakomschrijving,ministersbijeenkomst,streven,vredesmacht,toetrekken,werkveld,unie,behoefteonderzoek,pagode,verkiezingsmissie,waarnemingsmissies,missieteam,ovse,sfor-operaties,aanspraak,crisismissies,eu-waarnemingsmissie,controlemissie,evdb-missie,operatie,vn-vredesmacht,capaciteitsopbouw,meegebracht,missiebegroting,ad-hocmissies,commissie,zelfmoordmissie,verkiezingsmissies,overheidsbemoeiing,controlebureau,essentie,annan,strafexpeditie,waarnemersmissies,weu-missie,amerikaan,onderhouden,bemiddelingsmissie,verheft,trojka-bezoek,reddingsactie,onderhandelingsmissie,evaluatiemissie,missions,ontwikkelingsstrijd,troïka-missie,omroep,verkenningsoperatie,vvb-rapport,onderzoeksopdracht,avontuur,vn-beoordelingsmissie,zelfmoordacties,bespeurde,financieren,politiemacht,vvb-missie,eu-politiemissie,nalatende,aardappelproductie,crisisgebieden,controlebezoek,verkiezingswaarnemersmissie,proportionaliteitsregel,anti-fraudepatrouilles,odihr-fonds,defensievermogen,doelstelling,toegekend,verkenningsmissie,véronique,aangaat,manilla,vn-troepen,zelfmoordaanslagen,politiebijstandsmissie,harmonisatieopdracht,waarnemingstaken,raadsbesluit,petersbergtaken,vredeshandhavingstaken,onderzoeksdelegatie,wit-rusland,dienstverlening,situ,gambiaanse,hulpverlener,vredesbewakingsopdracht,waarnemersteam,dezer,ingoesjië,opgeheven,fact-finding,harare,overheidsdienstverlening,overgangsbesturen,peoples,minurso,beleidsverklaringen,moment,spionage-inval,onderweg,ovse-missies,takenpakket,navo-operaties,militair,blix,reisverzekering,missieposten,samenvatten,vijandelijkheid,ovse-onderzoeksmissie,pacificatiemissie,hopelijk,grensbijstandsmissie,eu-vredesmissies,eu-grensmissie,bijstandsmissie,waarnemingsopdracht,verkenningsdiensten,adviseur,gezonden,onderzoeksteam,verkiezingswaarneming,versterkt,kdom,eu-waarnemersmissie,trojkadelegatie,missie-hume,dienstweigeraar,ten-beleid,prijscompensatie,deskundigenmissies,subjectieve,vn-politiekorps,zoötechnische,eu-vertegenwoordigingen,informatiemissie,verzaakt,inspectiereizen,delegatiereis,onderzoeksreis,bank,hoofdtaak,investeringsmissie,politiemissies,veiligheidsmissies,hulpmissies,vn-hoofdkwartier,façade,waarnemingspost,voorbaat,eufor-missie,walesa,tact,onderzoekscommissie,verkiezingswaarnemingszendingen,aanboden,eucopps-missie,mandaat,televisie-aanbod,missie-gonzález,petersberg-missies,toevertrouwde,vredestaken,echo-missie,taakstelling,schori,terugtrekkingsstrategie,vvb,landsteun,amg-missie,vn-missies,verrichting,grenspost,burgermissies,topgun,onherroepelijke,petersberg-operaties,sfor-missie,vredesoperatie,delegatiehoofden,vn-vredesmissies,omkwam,evdb-operatie,ovse-regio,zakenmissies,handelsmissies,vn-vredesoperatie,bot,relativeren,unifil-vredesmissie,vaandel,roberto,riberto,denktashverklaringen,programmeringsmissies,gehanteerde,schitterende,trojkabezoek,dienstverlenende,grappig,echo-evaluatiemissies,zoiets,waarnemersdelegatie,donderkoppen,stemregels,ep-missie,projectidentificatiemissie,richtlijnmissies,gedetineerde,commissieverslag,indieners,waarneembaar,betuigt,animator,politiemis-sie,duivel,synoniem,militaire,sfor-mandaat,missiewerk,kluwen,identificatiemissies,staat,auditmissies,odihr-verkiezingswaarnemingsmissie,informatiemissies,teweeggebracht,vojvodina,vredesinterventie,afvaardiging,evdb-missies,masudi,leergierig,bemiddelingspoging,vredesmotieven,afgevaardigd,chirurgie,kostenvergoeding,toestel,volbrengen}

@data
1,desk:assess:coupl:fact-find:report:conclud:risk:limit:area:target,doelwitten
2,impress:european:parliament:final:push:convinc:cuban:friend:come:forward:mechan:cooper:european:union,werkbezoek
3,respons:author:western:countri:need:clear:unit:nation:committe:success:complet:embargo:lift:normal:trade:relat:resum,missie
4,end:european:union:prepar:send:elect:observ:cours:warn:zimbabwean:author:need:satisfactori:guarante:observ:safe:freedom:access:relev:premis,team
5,hope:solv:problem:fund:observ,waarnemersmissie
6,solut:difficulti:unit:nation:term:achiev:complianc:peac:agreement:entrust:polit:negoti:leader:liberia:libya:record:seek:peac:doubt:worri,missie
7,human:right:issu:frequent:discuss:speaker:note:polit:dialogu:council:conduct:tunisia:associ:council:head:member:state:tuni:regular:meet:relev:tunisian:govern:offici:area,missiehoofden
8,council:fear:conflict:spread:georgia:welcom:extens:osc:monitor:respect:border,ovse-missie
9,begin:stress:elect:final:report:attach:great:attent:post-elect:phase,delegatie
10,commit:africa:democraci:worldwid,delegatie
11,zimbabw:natur:consequ:support:struggl:african:independ:wish:build:strong:partnership:peac:democrat:zimbabw,missie
12,parliamentarian:commiss:offici:fact-find:iraq:meet:member:iraqi:parliament:diplomat:intern:agenc:ngos,inspectiereis
13,presid:sánchez:garcía:just:remind:resolut:come:scope:decis:taken:confer:presid:send:hoc:venezuela:assess:tragic:consequ:decemb:flood:countri,hoc-commissie
14,end:propos:mechan:thing:envisag:possibl:join:member:state:agre:current:commiss:deleg:appropri,vertegenwoordiging
15,member:state:respons:day-to-day:enforc:communiti:legisl:food:veterinari:offic:directorate-gener:undertak:specif:control:inspect:check:member:state:appli:communiti:legisl:effect:uniform:manner,inspectie
16,need:ensur:statut:nation:intern:sport:feder:lay:statement:contain:clear:precis:rule,missie
17,unfortun:prior:notic:come:sri:lanka:month:head:observ:elect,eu-missie
18,last:incomprehens:paradox:countri:particip:peac:promot:human:right:balkan:region:possibl:left:unsolv:public:health:environment:problem:affect:precis:popul:seek:protect,vredesmissie
19,council:agre:send:troika:rangoon,trojka
20,final:report:observ:conclud:flaw:conduct:elect:make:recommend:prevent:futur:council:commiss:prepar:sanction:field:trade:polici:donor:aid:achiev,waarnemingsmissie
21,moral:ethic:duti:ensur:prepar:futur:like:rapid:reaction:forc,missie
22,conspicu:absenc:refer:whatsoev:fact:peac:area:jeopardi:unit:state:step:aggress:china:seen:nmd:new:defenc:philosophi:flight:spi:visit:dalai:lama:presid:taiwan,nmd
23,statement:observ:report:opposit:candid:list:instanc:irregular:fraud:said:mar:vote,waarnemingsmissie
24,commiss:repres:regular:field:visit:assess:insid:afghanistan:order:condit:hand:ensur:aid:direct:area:greatest:need,beoordelingsmissies
25,view:influenc:develop:moscow:exert:develop:minsk:particip:russian:monitor:osc:observ:presidenti:elect:septemb:advis,ovse-missie
26,european:union:observ:elect:extrem:posit,missie
27,unfortun:divert:quick:origin:object:fresh:violenc:tension:erupt:follow:israel:assassin:abdul:ali:mustafa:leader:palestinian:liber:august,opdracht
28,unit:state:receiv:congress:met:hostil:administr,vijandig
29,presid:observ:went:zimbabw:gahler,waarnemingsmissie
30,encourag:applic:countri:respect:human:right:fundament:liberti:taliban:regim:refus:acknowledg:propos:led:commission:patten:troika,missie
31,auguri:presenc:good:mount:feasibl,eu-missie
32,report:local:humanitarian:fact-find:visit:area:includ:poso:tentena:week:suggest:situat:relat:calm:remain:tens,onderzoeksmissie
33,renew:place:hand:pension:age:make:chines:statesmanship:look:youth:rebellion,taak
34,great:border:inhabit:world,taak
35,union:period:dealt:problem:secur:russian:author:recent:commiss:offici:travel:chechnya:assess:current:situat:ground:union:troika:plan:visit:region:head:level,trojka
36,inabl:lead:frustrat:open:humili:seen:recent:israel:exampl,missie
37,question:council:doe:council:envisag:take:measur:protect:troop:humanitarian:ground:afghanistan,missie
38,ilo:februari:deni:access:aung:san:suu:kyi:special:envoy:strong:criticis:slow:progress:dialogu,delegatie
39,know:issu:public:declar:establish:common:posit:conflict:support:secretari:powel:region,missie
40,week:general:affair:council:consid:appropri:await:result:secretari:powel:mention:moment:moment:say:option:remain:open,missie
41,spirit:call:commiss:council:ensur:negoti:resum:includ:necessari:send:field:mediat:negoti,afgezant
42,head:jakarta:visit:papua:februari:year,eu-missiehoofden
43,food:veterinari:offic:short:assist,missie
44,action:secur:council:threaten:bosnia:indic:serious:america:concern:import:possibl:prosecut:civilian:militari:leader:crime:commit:abroad:militari:personnel,missie
45,regard:cours:exhaust:polit:diplomat:commerci:avenu:presid:guarante:free:access:unrestrict:uncondit:unit:nation:inspector:fulfil:verifi:weapon:mass:destruct,taak
46,offer:council:outcom:satisfactori:authoris:fund:polic:bosnia:second:read,politiemissie
47,support:reform:nato:polit:militari:structur:order:chang:defenc:allianc:offens:allianc,offensieve
48,commiss:appreci:carri:task:complianc:intern:accept:criteria:use:elect:observ,missie
49,commiss:believ:presenc:elect:observ:serv:enhanc:democrat:pakistan,verkiezingswaarnemingsmissie
50,commiss:agre:elect:observ:general:elect:doe:guarante:establish:democraci:support:restor:democraci:work:achiev:object,eu-verkiezingswaarnemingsmissie
51,iron:comparison:presid:strong:criticis:elect:togo:octob:observ:chose:ignor:conclus:pakistan:oper:half:month,missie
